handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepDavidValadao,Rep. David Valadao,1605654341959950336,1128514404,en,1605654341959950336,2022-12-21T20:00:01.000Z,"This year I co-sponsored 101 bills, and over half have bipartisan support. 

I will continue to support commonsense legislation that will better the lives of Valley families. #ByTheNumbers https://t.co/09z6RTSS1W",False,1605654341959950336,2,8,8,0
RepDavidValadao,Rep. David Valadao,1605384528343625728,1128514404,en,1605384528343625728,2022-12-21T02:07:52.000Z,"It’s an honor to serve the Central Valley in Congress. As we wrap up this year, I’m proud to share my 2022 #ByTheNumbers

➡️ $7.8 million returned to constituents 
➡️ 101 bills co-sponsored 
➡️ 316 in-district meetings https://t.co/uC2TiHv46J",False,1605384528343625728,1,4,4,0
RepDavidValadao,Rep. David Valadao,1604921592320258048,1128514404,en,1604921592320258048,2022-12-19T19:28:20.000Z,"If you’re subscribed to my newsletter, you got my 2022 year in review update in your inbox last week. Over the next few days, I’ll be sharing my 2022 #ByTheNumbers. 

Make sure to sign up for my e-newsletter to stay up to date: https://t.co/G2SvfFVoF6 https://t.co/zSQ47PU45Y",False,1604921592320258048,1,1,1,0
RepDavidValadao,Rep. David Valadao,1604241272071368704,1128514404,en,1604241272071368704,2022-12-17T22:24:59.000Z,"(3/3) A handful of members can make all the noise they want to try and flex their power as individual members. At the end of the day, they don’t represent the majority of our conference. 

We won’t let them hold us hostage. There is no plan B.",False,1604241266459516932,9,16,16,2
RepDavidValadao,Rep. David Valadao,1604241269802270721,1128514404,en,1604241269802270721,2022-12-17T22:24:58.000Z,"(2/3) The House Republican conference voted on our leadership slate and Kevin McCarthy won that vote. 

We all know that no one has worked harder for the job.",False,1604241266459516932,8,9,9,0
RepDavidValadao,Rep. David Valadao,1604241266459516932,1128514404,en,1604241266459516932,2022-12-17T22:24:57.000Z,"(1/3)🧵 Kevin McCarthy will be Speaker of the House. It doesn’t matter how many ballots it takes. 

The sooner we get @GOPLeader the Speaker’s gavel, the sooner we can actually start working on the issues the American people elected us to solve.",False,1604241266459516932,30,41,41,10
RepDavidValadao,Rep. David Valadao,1604234369710931968,1128514404,en,1604234369710931968,2022-12-17T21:57:33.000Z,Honored to help sponsor &amp; lay wreaths for our fallen heroes at Grangeville Cemetery’s Wreaths Across America event. We will never forget those who made the ultimate sacrifice for our freedoms. #WreathsAcrossAmerica https://t.co/dxWFPJYz4j,False,1604234369710931968,2,4,4,0
RepDavidValadao,Rep. David Valadao,1603476935933321218,1128514404,en,1603476935933321218,2022-12-15T19:47:47.000Z,Farm workers play an essential role in feeding America. I joined @SenatorBennet today to urge action on a bipartisan farm workforce bill that will lower food prices for Valley families and provide our farmers with a legal &amp; reliable workforce. https://t.co/wLRcWoDeSp https://t.co/dMrCrFDl3z,False,1603476935933321218,2,0,0,0
RepDavidValadao,Rep. David Valadao,1603155393877876736,1128514404,en,1603155393877876736,2022-12-14T22:30:05.000Z,Had a productive meeting with a distribution center for Malouf Companies in Delano last week to discuss the impact of supply chain issues on their business and the importance of supporting jobs in rural communities. https://t.co/5RZjNEyHwS,False,1603155393877876736,3,2,2,0
RepDavidValadao,Rep. David Valadao,1603143357978533889,1128514404,en,1603143357978533889,2022-12-14T21:42:16.000Z,"RT @ANCA_WR: #BREAKING: Armenia Caucus Co-Chairs on Escalation of Azerbaijani Humanitarian Abuses in Artsakh
 
Thank you Representatives @r…",False,1603143357978533889,30,0,0,0
RepDavidValadao,Rep. David Valadao,1603120431824871425,1128514404,en,1603120431824871425,2022-12-14T20:11:10.000Z,"An all of the above approach is key to increasing our supply of safe, clean energy for our electrical grid. While there’s still a ways to go before this is ready for commercial use, it’s an exciting breakthrough for American energy innovation. https://t.co/2wqehjzsOk",False,1603120431824871425,2,1,1,0
RepDavidValadao,Rep. David Valadao,1602771096813666306,1128514404,en,1602771096813666306,2022-12-13T21:03:02.000Z,"Happy 386th birthday to the @USNationalGuard. Thank you to the brave men and women who are “Always Ready, Always There” to serve our country. https://t.co/Ypt9E6M9wb",False,1602771096813666306,1,2,2,0
RepDavidValadao,Rep. David Valadao,1602416313636425763,1128514404,en,1602416313636425763,2022-12-12T21:33:15.000Z,"This holiday season, prices for almost everything are up and paychecks just don’t stretch as far as they used to.

We need to bring stability to our economy &amp; put more money back into the pockets of hardworking Valley families.
https://t.co/nsPaXyprCs",False,1602416313636425763,1,3,3,0
RepDavidValadao,Rep. David Valadao,1600939561638510592,1128514404,en,1600939561638510592,2022-12-08T19:45:10.000Z,"Today I was proud to vote in support of this year's #NDAA, which includes a 4.6% pay increase for our troops and provides our military with the equipment, resources, and training needed to effectively defend the U.S. against our adversaries. https://t.co/8jxN2DSV2X",False,1600939561638510592,1,4,4,0
