handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepDeSaulnier,Mark DeSaulnier,1601003298890260480,2968007206,en,1601003298890260480,2022-12-08T23:58:26.000Z,"House Democrats are wrapping up a productive two years, including progress in reducing prescription drug costs, moving closer to a clean energy economy, &amp; protecting LGBTQ+ rights. This week alone, I was proud to pass initiatives to improve water infrastructure in Contra Costa. https://t.co/5VSHzYcvKM",False,1601003298890260480,4,3,3,0
RepDeSaulnier,Mark DeSaulnier,1600938576472334337,2968007206,zxx,1600938576472334337,2022-12-08T19:41:15.000Z,https://t.co/rqclvl2tdN,False,1600938574668771328,0,0,0,0
RepDeSaulnier,Mark DeSaulnier,1600938574668771328,2968007206,en,1600938574668771328,2022-12-08T19:41:14.000Z,Today's passage of #WRDA is critical to improving water supply and infrastructure in our nation &amp; our community. I am proud to announce the bill included several provisions I authored that would benefit Contra Costa’s water conservation and environmental protection efforts.,False,1600938574668771328,1,2,2,0
RepDeSaulnier,Mark DeSaulnier,1600921572549660672,2968007206,en,1600921572549660672,2022-12-08T18:33:41.000Z,"The #RespectForMarriageAct provides critical protections to same-sex and interracial marriages, ensuring marriage equality for ALL Americans. I’m proud to have supported this bipartisan bill and am grateful it has finally been passed. https://t.co/thbcb2Dfkr",False,1600921572549660672,1,0,0,0
RepDeSaulnier,Mark DeSaulnier,1600678974698291202,2968007206,en,1600678974698291202,2022-12-08T02:29:41.000Z,Each year on #PearlHarbor Remembrance Day the beacon on Mt. Diablo is lit in honor of those who lost their lives during the attack. Our office was honored to again participate in this tradition &amp; recognize the heroism &amp; sacrifice of those who laid down their lives for our freedom https://t.co/DWhckucAnq,False,1600678974698291202,2,3,3,0
RepDeSaulnier,Mark DeSaulnier,1600629569869987843,2968007206,en,1600629569869987843,2022-12-07T23:13:22.000Z,"In an age where so many get their news online, it’s critical local news publishers are fairly compensated for their services. I’m proud to support local journalism as a principal co-author of the Journalism Competition &amp; Preservation Act. @EastBayTimes https://t.co/cYaRFlZjTD",False,1600629569869987843,1,1,1,0
RepDeSaulnier,Mark DeSaulnier,1600597173468422144,2968007206,en,1600597173468422144,2022-12-07T21:04:38.000Z,"Thank you @cityofelcerrito for having me at your city council meeting to reflect on the partnership we’ve built over the years. I’ll miss having you in the district I represent next year, but it’s been an honor to represent you in Congress these past 7 years. https://t.co/7CYQEfWGjj",False,1600597173468422144,1,0,0,0
RepDeSaulnier,Mark DeSaulnier,1600279924119506944,2968007206,en,1600279924119506944,2022-12-07T00:04:00.000Z,"Today at @EdLaborCmte, I led a discussion with my colleagues on the future of telework and telehealth and what we’ve learned from the pandemic. Thank you to the experts who joined us to share how telework and telehealth options can benefit American families. https://t.co/AR5I1l57X6",False,1600279924119506944,1,1,1,0
RepDeSaulnier,Mark DeSaulnier,1600244369319022592,2968007206,en,1600244369319022592,2022-12-06T21:42:43.000Z,Grateful to @jstreetdotorg for their continued partnership in promoting peace and human rights. https://t.co/zgsjytmhGG,False,1600244369319022592,0,1,1,0
RepDeSaulnier,Mark DeSaulnier,1600148161648992258,2968007206,en,1600148161648992258,2022-12-06T15:20:25.000Z,The Airport Energy Resiliency and Renewable Energy Act will aid America’s airports in clean energy production &amp; help to lower carbon emissions. I’m proud to lead this effort in the House as a Member of @TransportDems alongside @SenAlexPadilla to advance a clean energy future.,False,1600148161648992258,3,4,4,1
RepDeSaulnier,Mark DeSaulnier,1599856240338751489,2968007206,en,1599856240338751489,2022-12-05T20:00:26.000Z,Over the years I’ve had the pleasure of working with Orinda City Councilmember Amy Worth on a number of projects – from the Caldecott Tunnel to supporting Contra Costa’s libraries. It was wonderful to celebrate Amy's career as she retires from the City Council after 24 years. https://t.co/RiYxm37WRV,False,1599856240338751489,3,2,2,0
RepDeSaulnier,Mark DeSaulnier,1598776036493246464,2968007206,en,1598776036493246464,2022-12-02T20:28:05.000Z,"I was proud to support legislation this week to ensure humanity is upheld in our prison system, including by providing appropriate services for pregnant individuals and supporting the previously incarcerated in rejoining their communities.",False,1598776036493246464,3,1,1,0
RepDeSaulnier,Mark DeSaulnier,1598519362922872832,2968007206,en,1598519362922872832,2022-12-02T03:28:09.000Z,Our office joined @losmedanos to honor Dr. Bob Kratochvil upon his retirement from Los Medanos College. Dr. Kratochvil has served as President of LMC for over 10 years and our community is grateful for his dedication and service. https://t.co/47kGCU3UxB,False,1598519362922872832,1,8,8,0
RepDeSaulnier,Mark DeSaulnier,1598397379786543104,2968007206,en,1598397379786543104,2022-12-01T19:23:26.000Z,"RT @POTUS: On World AIDS Day, we raise a red ribbon to remember how far we’ve come, the work that's left, and those devastated by this dise…",False,1598397379786543104,4787,0,0,0
RepDeSaulnier,Mark DeSaulnier,1596194597872750592,2968007206,en,1596194597872750592,2022-11-25T17:30:22.000Z,"As you begin your holiday shopping, we hope you will #ShopSmall this #SmallBizSat to support our community’s small businesses, the backbone of our economy! https://t.co/OwaqbNcWT2",False,1596194597872750592,4,7,7,0
RepDeSaulnier,Mark DeSaulnier,1594758565079617537,2968007206,en,1594758565079617537,2022-11-21T18:24:05.000Z,"As allies, we cannot stand for the pattern of violence against the LGBTQ+ community and must be part of the solution, which should include commonsense gun violence prevention measures.
https://t.co/195a1gqwun",False,1594758563674861568,0,0,0,0
RepDeSaulnier,Mark DeSaulnier,1594758563674861568,2968007206,en,1594758563674861568,2022-11-21T18:24:05.000Z,"I am heartbroken by the horrific attack at Club Q in Colorado Springs yesterday and I grieve with the victims, their families, and the entire Colorado Springs community.",False,1594758563674861568,4,3,3,0
RepDeSaulnier,Mark DeSaulnier,1594730729707110401,2968007206,en,1594730729707110401,2022-11-21T16:33:29.000Z,"This weekend, I joined FOX National News to discuss changes in House Leadership and Democratic priorities in the 118th Congress, like continuing to serve the American people and addressing the issues that matter most families.
https://t.co/GFwPGWJW5x",False,1594730729707110401,2,7,7,0
