handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepDerekKilmer,Rep. Derek Kilmer,1601325865488777216,1058917562,en,1601325865488777216,2022-12-09T21:20:12.000Z,"If you serve this country, Congress should have your back and invest in you and your family. I’m proud that this year’s NDAA includes major wins for service members, their families, and our region’s talented civilians who are doing vitally important work to keep our country safe. https://t.co/nhTAcIdW7E",False,1601325865488777216,1,0,0,0
RepDerekKilmer,Rep. Derek Kilmer,1600908104128147457,1058917562,en,1600908104128147457,2022-12-08T17:40:10.000Z,"Every American deserves access to the same fundamental civil rights, regardless of who they are or whom they love. Today, I'm proud to have voted to support the #RespectForMarriageAct to provide critical protections for same-sex and interracial marriages. #LoveWins https://t.co/xpbwhvCcv6",False,1600908104128147457,3,16,16,1
RepDerekKilmer,Rep. Derek Kilmer,1600584380019314692,1058917562,en,1600584380019314692,2022-12-07T20:13:48.000Z,I’ll keep working to ensure the incredible natural assets in our region can continue to provide amazing visitor experiences and serve as economic drivers for rural communities and future generations.,False,1600584375644688391,0,1,1,0
RepDerekKilmer,Rep. Derek Kilmer,1600584378140299265,1058917562,en,1600584378140299265,2022-12-07T20:13:47.000Z,"Growing up on the Olympic Peninsula, I learned how important supporting our parks and public lands is to drive tourism, grow jobs, and support rural economies.",False,1600584375644688391,0,5,5,0
RepDerekKilmer,Rep. Derek Kilmer,1600584375644688391,1058917562,en,1600584375644688391,2022-12-07T20:13:47.000Z,"This week, @NatlParkService announced that @OlympicNP will use funds from the Great American Outdoors Act – bipartisan legislation I co-sponsored and helped get signed into law – to rehabilitate the Hurricane Ridge Day Lodge.

https://t.co/qDTC95UhKg",False,1600584375644688391,4,6,6,0
RepDerekKilmer,Rep. Derek Kilmer,1600539325187473415,1058917562,en,1600539325187473415,2022-12-07T17:14:46.000Z,"Today, we remember those who gave their lives defending our nation from the attack at Pearl Harbor — and, in the days and years after, in defense of our nation and the free world.

Thank you to all those who serve and continue to protect us.

https://t.co/zUBKceTbEG",False,1600539325187473415,0,4,4,0
RepDerekKilmer,Rep. Derek Kilmer,1600304651160539136,1058917562,en,1600304651160539136,2022-12-07T01:42:15.000Z,"Our nation owes it to our veterans, including our noncitizen veterans, to provide the care and benefits they’ve earned and deserve. Today, I voted to pass the Veteran Service Recognition Act to close gaps in our immigration system for veterans who have bravely served. https://t.co/odG3P1tmLq",False,1600304651160539136,6,4,4,1
RepDerekKilmer,Rep. Derek Kilmer,1600246370048229377,1058917562,en,1600246370048229377,2022-12-06T21:50:40.000Z,"DACA has been a success for years – across America, hundreds of thousands of young people have come out of the shadows to contribute to our economy, enrich the arts, and make our country stronger. Now, it’s time for the Senate to pass the American Dream and Promise Act. https://t.co/lzlDoxNJfL",False,1600246370048229377,16,3,3,0
RepDerekKilmer,Rep. Derek Kilmer,1599951564491264000,1058917562,en,1599951564491264000,2022-12-06T02:19:13.000Z,"Thank you, President Schulz, for coming to the other Washington to discuss our continued partnership!",False,1599951561421045760,2,2,2,0
RepDerekKilmer,Rep. Derek Kilmer,1599951561421045760,1058917562,en,1599951561421045760,2022-12-06T02:19:12.000Z,"Earlier today, I welcomed the Coug-in-Chief to my office – @WSUPullman President Kirk Schulz and I talked about the work happening at Washington State University, both on campus and throughout the state. https://t.co/Q3R66He9Un",False,1599951561421045760,6,8,8,0
RepDerekKilmer,Rep. Derek Kilmer,1599893245324308480,1058917562,en,1599893245324308480,2022-12-05T22:27:28.000Z,Congress and the fed govt have a moral and a legal obligation to fulfill promises made to Indian Country. That’s why I’m proud to introduce legislation to help reverse a decades-long pattern of systemic funding shortfalls to Native communities and more. https://t.co/njUM1NvN4Q,False,1599893245324308480,91,31,31,1
RepDerekKilmer,Rep. Derek Kilmer,1599577972859555840,1058917562,en,1599577972859555840,2022-12-05T01:34:42.000Z,"The November jobs numbers show an economy that’s added 750,000 manufacturing jobs since January 2021 — on top of that, @POTUS signed the CHIPS and Science Act in August to boost domestic manufacturing and make more stuff in America.

https://t.co/fuI75nQVmm",False,1599577972859555840,4,8,8,2
RepDerekKilmer,Rep. Derek Kilmer,1599138283426287616,1058917562,en,1599138283426287616,2022-12-03T20:27:31.000Z,And I hope the Senate will take up this legislation to show our veterans that we have their backs.,False,1599138280549015552,1,0,0,0
RepDerekKilmer,Rep. Derek Kilmer,1599138280549015552,1058917562,en,1599138280549015552,2022-12-03T20:27:31.000Z,"Our nation owes a debt of gratitude to those who put their lives on the line to defend our freedom. In June, I cosponsored @RepMikeLevin’s bill to help veterans more easily purchase new clothes under the VA clothing allowance benefit. https://t.co/w5WGhuFLEr",False,1599138280549015552,1,5,5,1
RepDerekKilmer,Rep. Derek Kilmer,1598697860089774080,1058917562,en,1598697860089774080,2022-12-02T15:17:26.000Z,".@NewDemCoalition members have one thing in common: they want to get things done.

I’m proud to serve the Coalition, including its 17 new members, as a vice chair during the 118th Congress — and I look forward to delivering real results for hard-working Washingtonians. https://t.co/L7O6Ca11LT",False,1598697860089774080,9,7,7,1
RepDerekKilmer,Rep. Derek Kilmer,1598688494511165443,1058917562,en,1598688494511165443,2022-12-02T14:40:13.000Z,"RT @NewDemCoalition: This afternoon, New Dems voted to elect our leadership team for the 118th Congress! 

Congratulations to Chair-elect @…",False,1598688494511165443,49,0,0,0
RepDerekKilmer,Rep. Derek Kilmer,1598688397266079744,1058917562,en,1598688397266079744,2022-12-02T14:39:50.000Z,RT @cspanwj: Up now-- Select Committee on the Modernization of Congress chair @RepDerekKilmer (D-WA) and Vice Chair @RepTimmons (R-SC) disc…,False,1598688397266079744,4,0,0,0
RepDerekKilmer,Rep. Derek Kilmer,1598521633441841152,1058917562,en,1598521633441841152,2022-12-02T03:37:11.000Z,Day two.  I’ll let you know when this grows old. https://t.co/w36TMQFmfy,False,1598117380668162050,1,3,3,0
RepDerekKilmer,Rep. Derek Kilmer,1598485047094435843,1058917562,en,1598485047094435843,2022-12-02T01:11:48.000Z,"Today on #WorldAIDSDay we remember those we have tragically lost – and recommit to the important work of doing everything we can to end the HIV/AIDS epidemic by 2030.

As a member of @AppropsDems, I'll keep working to secure the vital federal funding we need to get this done. https://t.co/YR3EySX8bw",False,1598485047094435843,1,1,1,0
RepDerekKilmer,Rep. Derek Kilmer,1598339696827973634,1058917562,en,1598339696827973634,2022-12-01T15:34:14.000Z,They need the federal government to step up and help and that’s particularly important in the instance of tribal communities because the federal government has a trust and treaty responsibility.,False,1598339694898696193,0,3,3,0
RepDerekKilmer,Rep. Derek Kilmer,1598339694898696193,1058917562,en,1598339694898696193,2022-12-01T15:34:13.000Z,"There are communities that are in harm’s way and whose residents are in harm’s way. But it’s also important to acknowledge that most of these communities can’t do this on their own.

https://t.co/1jMnyGNW83",False,1598339694898696193,4,7,7,1
RepDerekKilmer,Rep. Derek Kilmer,1598142463054872576,1058917562,en,1598142463054872576,2022-12-01T02:30:29.000Z,.@RepJeffries is a man of integrity. He’s ready to step-up in the footsteps of legendary leaders to lead the House Democratic Caucus. I was proud to second his nomination today — and proud to vote to support him as the next leader. https://t.co/y2YOdvRMea,False,1598142463054872576,4,5,5,0
RepDerekKilmer,Rep. Derek Kilmer,1598117380668162050,1058917562,en,1598117380668162050,2022-12-01T00:50:49.000Z,Moved to a new office today.  The view tonight was … ok. https://t.co/eNh3JLat33,False,1598117380668162050,2,7,7,0
RepDerekKilmer,Rep. Derek Kilmer,1598091436528144396,1058917562,en,1598091436528144396,2022-11-30T23:07:44.000Z,"On #NativeWomensEqualPay Day, I’m thinking about Native women in Washington who are working to achieve pay equity. It’s one of the many reasons why I support the #PaycheckFairnessAct to eliminate the gender wage gap for women across the United States.

https://t.co/xnI84ubfZt",False,1598091436528144396,0,1,1,0
RepDerekKilmer,Rep. Derek Kilmer,1597953524729786371,1058917562,en,1597953524729786371,2022-11-30T13:59:43.000Z,"The federal govt has an obligation to fulfill its trust &amp; treaty responsibilities and make sure that people aren’t put at risk. This is welcome news - but more support is needed to help the QIN, and other coastal tribes in our region and across the country, move to higher ground.",False,1597953521978343424,3,2,2,0
RepDerekKilmer,Rep. Derek Kilmer,1597953521978343424,1058917562,en,1597953521978343424,2022-11-30T13:59:42.000Z,Climate change &amp; rising sea levels are threatening coastal communities– incl. the homelands of the Quinault Indian Nation. That's why I've been pushing for years for federal support to help Tribes move to higher ground &amp; keep their people out of harm’s way https://t.co/W7vjKRClZH,False,1597953521978343424,9,5,5,2
RepDerekKilmer,Rep. Derek Kilmer,1597737224149536768,1058917562,en,1597737224149536768,2022-11-29T23:40:13.000Z,The Respect for Marriage Act will provide critical protections for same-sex and interracial marriages. It’s a BIG deal that it passed the Senate today with bipartisan support. I look forward to voting for this bill and sending it to the President’s desk to be signed into law. https://t.co/csxtPzciPV,False,1597737224149536768,6,8,8,0
RepDerekKilmer,Rep. Derek Kilmer,1597701307649134592,1058917562,en,1597701307649134592,2022-11-29T21:17:30.000Z,"The expanded Child Tax Credit in the American Rescue Plan helped working families make ends meet -- while lifting millions of American children out of poverty. 

I'll keep pushing to make the expanded child tax credit permanent.
https://t.co/NalDuqwMMn",False,1597701307649134592,10,6,6,1
RepDerekKilmer,Rep. Derek Kilmer,1597435179030614017,1058917562,en,1597435179030614017,2022-11-29T03:40:00.000Z,"In today's e-newsletter📨:
🙏What I'm Thankful For (a lot!)
🏛️The 'Fix Congress' Committee Passes Its 2⃣0⃣0⃣th Bipartisan Recommendation
🛣️Celebrating Year One of a Historic Investment in Infrastructure – AND JOBS!
...and more!

Read it all here:
https://t.co/0IoX2gP7HS",False,1597435179030614017,0,3,3,0
RepDerekKilmer,Rep. Derek Kilmer,1597414535601983490,1058917562,en,1597414535601983490,2022-11-29T02:17:58.000Z,RT @RepDerekKilmer: I’m with Chairman Forsman: we’ve got to protect the rights and safety of Native American children. That’s why I joined…,False,1597414535601983490,14,0,0,0
RepDerekKilmer,Rep. Derek Kilmer,1597334578892787713,1058917562,en,1597334578892787713,2022-11-28T21:00:15.000Z,"Fair winds and following seas to the USS Nimitz! 🇺🇸
https://t.co/3hgBTUlqDC",False,1597334578892787713,4,1,1,0
RepDerekKilmer,Rep. Derek Kilmer,1597289294229831680,1058917562,en,1597289294229831680,2022-11-28T18:00:18.000Z,I’m with Chairman Forsman: we’ve got to protect the rights and safety of Native American children. That’s why I joined nearly 90 members of Congress in filing a bipartisan amicus brief to the Supreme Court defending the constitutionality of ICWA. https://t.co/4Fs7ielx6x,False,1597289294229831680,14,6,6,2
RepDerekKilmer,Rep. Derek Kilmer,1596323733840736258,1058917562,en,1596323733840736258,2022-11-26T02:03:31.000Z,"On #NativeAmericanHeritageDay, we honor the First Americans, including the 12 tribes that have called our region home since time immemorial. Join me in celebrating the history &amp; culture of our tribes and recommitting to working with our tribal partners to create a better future. https://t.co/BX2pXBty11",False,1596323733840736258,3,2,2,0
RepDerekKilmer,Rep. Derek Kilmer,1595930801060839424,1058917562,en,1595930801060839424,2022-11-25T00:02:08.000Z,"I’ve got to be honest, I think I really crushed the pumpkin pie this year! Happy Thanksgiving! https://t.co/xIbcwejy6G",False,1595930801060839424,1,4,4,0
RepDerekKilmer,Rep. Derek Kilmer,1595828341214527497,1058917562,en,1595828341214527497,2022-11-24T17:15:00.000Z,"Terrific to join volunteers and community partners with the Gig Harbor Basket Brigade, who worked to assemble and deliver 650+ Thanksgiving meal baskets for local families in need!! Kudos to David Cathers and all who played a part.

Wishing you and yours a Happy Thanksgiving! https://t.co/sQtXqkvJT1",False,1595828341214527497,2,3,3,0
RepDerekKilmer,Rep. Derek Kilmer,1595474761555099655,1058917562,en,1595474761555099655,2022-11-23T17:50:00.000Z,"Every time I visit with students in our region, I'm reminded how bright the future is! I appreciated the opportunity to participate in an ""Ask Me Anything"" session with Leadership Students at Henderson Bay High School. Thanks for the terrific questions and conversation! https://t.co/FATwTdoh93",False,1595474761555099655,1,7,7,1
RepDerekKilmer,Rep. Derek Kilmer,1595236915120422913,1058917562,en,1595236915120422913,2022-11-23T02:04:53.000Z,"As families are feeling pinched by higher than normal gas and home energy fuel prices, big oil companies are posting record profits. It’s just not right. That's why I helped pass legislation to stop price gouging at the pump and bring down costs for Washingtonians. https://t.co/abBbtnVlYr",False,1595236915120422913,8,7,7,4
RepDerekKilmer,Rep. Derek Kilmer,1595198712053391365,1058917562,en,1595198712053391365,2022-11-22T23:33:04.000Z,"We’ve got to get government working better for folks. Sound evidence and data are needed to better design policies, measure their impacts, and ultimately improve outcomes for the American people. https://t.co/Hs2vl0Vxc0",False,1595198712053391365,1,4,4,1
RepDerekKilmer,Rep. Derek Kilmer,1594883056024031232,1058917562,en,1594883056024031232,2022-11-22T02:38:46.000Z,"Across our region, we need more affordable housing. That's why I've been pushing to support new projects like Evans Vista in Jefferson County - which seeks to unlock 100-150 units of quality, affordable, accessible, and sustainable housing. https://t.co/sgfrzcVFzx",False,1594883056024031232,3,8,8,0
RepDerekKilmer,Rep. Derek Kilmer,1594803673041076225,1058917562,en,1594803673041076225,2022-11-21T21:23:20.000Z,"Thank you to the team at Peacetrees Vietnam for taking the time to meet with me to discuss to their ongoing efforts to address the legacy of war by removing dangerous explosives, returning land to safe use, and promoting peace and cooperation. Count me as a partner! https://t.co/5gzXyNz4IJ",False,1594803673041076225,2,1,1,0
RepDerekKilmer,Rep. Derek Kilmer,1594456445315338243,1058917562,en,1594456445315338243,2022-11-20T22:23:34.000Z,"This tragic event, which occurred on the eve of Transgender Day of Remembrance, reminds us that we have so much work to do in order to make progress in the fight to end anti-LGBTQ+ violence, hate, and bigotry.

We must not let hate win. https://t.co/IAPsQpGYNP",False,1594456437853663232,3,5,5,0
RepDerekKilmer,Rep. Derek Kilmer,1594456437853663232,1058917562,en,1594456437853663232,2022-11-20T22:23:33.000Z,"The news from Colorado Springs today is heartbreaking. LGBTQ+ people deserve to live their lives free of fear - and to be accepted and celebrated in safe spaces. My heart is with the families of the victims and the LGBTQ+ community.
https://t.co/Np47GlYn9O",False,1594456437853663232,2,6,6,0
RepDerekKilmer,Rep. Derek Kilmer,1593722664836800514,1058917562,en,1593722664836800514,2022-11-18T21:47:47.000Z,"The 200+ bipartisan recommendations we have made and the work that we’ve done – and will continue to do – to implement these reforms, move us closer to having a Congress that works better for the American people.

https://t.co/pcHEUnah2T",False,1593722662987210752,1,2,2,0
RepDerekKilmer,Rep. Derek Kilmer,1593722662987210752,1058917562,en,1593722662987210752,2022-11-18T21:47:47.000Z,"The American people deserve a Congress that works. They deserve a Congress that is efficient, transparent, &amp; responsive. They deserve a Congress that is focused on solving problems and that has the capabilities to solve them. From Day 1, that has been the focus of @ModernizeCmte",False,1593722662987210752,6,11,11,1
RepDerekKilmer,Rep. Derek Kilmer,1593350167314546689,1058917562,en,1593350167314546689,2022-11-17T21:07:37.000Z,"RT @ModernizeCmte: 202 recommendations later, the Modernization Committee passed its final 7 measures to make Congress more efficient &amp; eff…",False,1593350167314546689,9,0,0,0
RepDerekKilmer,Rep. Derek Kilmer,1593304828951859205,1058917562,en,1593304828951859205,2022-11-17T18:07:28.000Z,"A historic leader who has done historic work to form a more perfect union. Thank you, @SpeakerPelosi 🇺🇸 https://t.co/IXkSog2Vi8",False,1593304828951859205,9,15,15,1
RepDerekKilmer,Rep. Derek Kilmer,1593268777550053377,1058917562,en,1593268777550053377,2022-11-17T15:44:12.000Z,"RT @ModernizeCmte: 📣FINAL VOTE📣

This is it, folks.

The Modernization Committee will hold its final vote at 11 A.M. ET on Thursday, Novemb…",False,1593268777550053377,7,0,0,0
RepDerekKilmer,Rep. Derek Kilmer,1593262594596524037,1058917562,en,1593262594596524037,2022-11-17T15:19:38.000Z,"RT @SecRaimondo: Through the CHIPS and Science Act, we’re creating good-paying jobs and building the future right here in America. https://…",False,1593262594596524037,11,0,0,0
RepDerekKilmer,Rep. Derek Kilmer,1593072683696226304,1058917562,en,1593072683696226304,2022-11-17T02:45:00.000Z,"The team at @tacomahousing does incredible work to provide high-quality, safe, and sustainable housing &amp; supportive services to folks in the South Sound. Great to connect in DC to talk about how we can work together to lower housing costs &amp; increase access to affordable housing! https://t.co/KiMztsNS5M",False,1593072683696226304,1,4,4,1
RepDerekKilmer,Rep. Derek Kilmer,1592980366218133504,1058917562,en,1592980366218133504,2022-11-16T20:38:10.000Z,"Congratulations, @PattyMurray! https://t.co/3zsHspX09D",False,1592980366218133504,15,7,7,0
