handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepDonaldsPress,Congressman Byron Donalds,1601279025561112576,1343968646050283522,en,1601279025561112576,2022-12-09T18:14:04.000Z,"Florida’s citrus industry is vital to our state, and they faced a devastating blow due to Hurricane Ian to the tune of 375,302 acres. 

I am proud to join my colleagues in urging appropriators to provide disaster relief funding for our state’s citrus industry. https://t.co/N2VnrQUX34",False,1601279025561112576,9,3,3,0
RepDonaldsPress,Congressman Byron Donalds,1600907605982949376,1343968646050283522,en,1600907605982949376,2022-12-08T17:38:11.000Z,"We have a Commander in chief who left our boys &amp; girls behind in Afghanistan, &amp; he has done it again with a Marine in Russia.

Mr. Whelan doesn’t have the weight of a celebrity, but he’s served his nation w/ honor, &amp; deserves all our support &amp; prayers for a safe return. (3/3)",False,1600907601046253570,29,29,29,1
RepDonaldsPress,Congressman Byron Donalds,1600907603777060864,1343968646050283522,en,1600907603777060864,2022-12-08T17:38:10.000Z,"I’m overwhelmingly concerned about this administration’s incompetent negotiating abilities. Trading a U.S. celebrity for a Russian arms dealer known as the “Merchant of Death” while simultaneously leaving behind a U.S. MARINE, Paul Whelan, is mind-blowing and defies logic. (2/3)",False,1600907601046253570,22,8,8,1
RepDonaldsPress,Congressman Byron Donalds,1600907601046253570,1343968646050283522,en,1600907601046253570,2022-12-08T17:38:10.000Z,"Following the arrest of #BrittneyGriner I sent a letter to the Biden admin urging them to bring her back fast &amp; safe. 

I also called upon him to bring home the other Americans being held in Russia’s authoritarian regime. 

I’m pleased to see Ms. Griner return home BUT…(1/3)",False,1600907601046253570,15,16,16,3
RepDonaldsPress,Congressman Byron Donalds,1600670284255723521,1343968646050283522,en,1600670284255723521,2022-12-08T01:55:09.000Z,I’ll be LIVE on @NEWSMAX at 9 PM. Tune in!,False,1600670284255723521,6,10,10,0
RepDonaldsPress,Congressman Byron Donalds,1600620084640227344,1343968646050283522,en,1600620084640227344,2022-12-07T22:35:40.000Z,"If you’re willing to fight and die for our nation, who cares about your COVID vaccination status?",False,1600620084640227344,140,60,60,6
RepDonaldsPress,Congressman Byron Donalds,1600617474394824722,1343968646050283522,en,1600617474394824722,2022-12-07T22:25:18.000Z,I’ll be joining @AriMelber on MSNBC tonight at 6 PM. Be sure to tune in! https://t.co/hmMOqY9wGv,False,1600617474394824722,11,15,15,0
RepDonaldsPress,Congressman Byron Donalds,1600601501910634511,1343968646050283522,fr,1600601501910634511,2022-12-07T21:21:50.000Z,Tune in! 6 PM EST https://t.co/TI8NapAsqL,False,1600601501910634511,9,0,0,0
RepDonaldsPress,Congressman Byron Donalds,1600600850879373312,1343968646050283522,en,1600600850879373312,2022-12-07T21:19:15.000Z,"Elements of our federal government conspiring with Big Tech to suppress conservative voices is a THREAT TO ""Democracy."" It's no wonder the Democrats and the media used this as their motto for 2022.

Republicans will expose the truth starting January 3, 2023.

Stay Tuned. 📽️⤵️ https://t.co/ZwWK3SD70y",False,1600600850879373312,38,9,9,1
RepDonaldsPress,Congressman Byron Donalds,1600548419164160011,1343968646050283522,en,1600548419164160011,2022-12-07T17:50:54.000Z,"Throughout my several visits to the border, I've had the honor of meeting the countless heroes of the Border Patrol. These selfless men and women work tirelessly to protect our nation, and this tragic loss is a tremendous blow to their families and the entire country. 

RIP. https://t.co/z3GO6UhX0f",False,1600548419164160011,34,11,11,0
