handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepDrewFerguson,Congressman Drew Ferguson,1601307203218341893,806583915012046854,en,1601307203218341893,2022-12-09T20:06:02.000Z,"The USMCA leveled global markets for American agriculture but Mexico’s recent actions are inconsistent with portions of the agreement. @AmbassadorTai must now send the right signal so our farmers aren’t put at risk.

I joined my colleagues in calling for immediate action: https://t.co/HWmP13CgSW",False,1601307203218341893,0,1,1,0
RepDrewFerguson,Congressman Drew Ferguson,1601035148429926400,806583915012046854,en,1601035148429926400,2022-12-09T02:04:59.000Z,"I proudly supported the NDAA, which provides vital funding to ensure our servicemembers have the resources to advance our national security &amp; combat evolving global threats. 

The bill also rescinds Biden's COVID vaccine mandate that has only damaged military readiness.",False,1601035148429926400,0,2,2,0
RepDrewFerguson,Congressman Drew Ferguson,1600532163992035328,806583915012046854,en,1600532163992035328,2022-12-07T16:46:19.000Z,"Today, we honor and remember the thousands of brave American heroes we lost during the attack on Pearl Harbor. 

Their selfless sacrifice to defend our freedom will never be forgotten. https://t.co/oTanBnERTR",False,1600532163992035328,0,0,0,0
RepDrewFerguson,Congressman Drew Ferguson,1600204616662020096,806583915012046854,en,1600204616662020096,2022-12-06T19:04:45.000Z,"The historic numbers from Biden’s border crisis are beyond appalling, and with Title 42 set to expire, this administration continues to act like nothing is wrong.

@HouseGOP is committed to combatting the illegal immigration crisis and we will hold this admin accountable. https://t.co/skp9bMe5qy",False,1600204616662020096,21,26,26,0
RepDrewFerguson,Congressman Drew Ferguson,1598448958656872448,806583915012046854,en,1598448958656872448,2022-12-01T22:48:24.000Z,"Along with adding 87,000 new IRS agents, the Biden administration will now target Americans sending transactions of $600 on Venmo/PayPal with new reporting requirements.

Instead of working to fix this economic crisis, this admin is further weaponizing the IRS. https://t.co/XqNFWPgXlr",False,1598448958656872448,2,13,13,1
RepDrewFerguson,Congressman Drew Ferguson,1597353947387531265,806583915012046854,en,1597353947387531265,2022-11-28T22:17:13.000Z,"Weaponizing the IRS is profoundly dangerous and opens a new, unjust political arena where any American can be targeted.

The IRS should not have the power to release private taxpayer information for public display as political retribution. https://t.co/Q1tlePL1qn",False,1597353947387531265,7,11,11,0
RepDrewFerguson,Congressman Drew Ferguson,1595836962019377152,806583915012046854,en,1595836962019377152,2022-11-24T17:49:15.000Z,"Happy Thanksgiving! Wishing everyone across GA - and the country - a safe and healthy holiday!

I’m especially grateful for the hardworking folks that make our #GA03 community a special place to call home! https://t.co/MIOZiIJqem",False,1595836962019377152,0,6,6,0
RepDrewFerguson,Congressman Drew Ferguson,1593018640840130560,806583915012046854,en,1593018640840130560,2022-11-16T23:10:15.000Z,"Very sorry to learn of the passing of Speaker David Ralston. 

His remarkable leadership brought countless achievements that will be felt by Georgians for generations to come.

Please join me in keeping his wife, Sheree, and his entire family in your prays. 🙏",False,1593018640840130560,3,6,6,0
RepDrewFerguson,Congressman Drew Ferguson,1592541480664838145,806583915012046854,en,1592541480664838145,2022-11-15T15:34:11.000Z,".@AustinScottGA08 &amp; I called out this radical provision that punished Kia - one of GA’s largest employers &amp; local providers of EVs.

@SenatorWarnock failed to stand up for Georgians, &amp; now we’re seeing how truly disastrous this policy is for our country.

https://t.co/PjQiJQbPe3 https://t.co/CNYhNP79Ek",False,1592541480664838145,4,31,31,0
RepDrewFerguson,Congressman Drew Ferguson,1591079470911598592,806583915012046854,en,1591079470911598592,2022-11-11T14:44:41.000Z,"Today we honor the countless sacrifices of the brave men and women who defend our freedoms. These patriots put their lives on hold - and on the line - to protect this great nation. 

Please join me in thanking the veterans across #GA03 &amp; across the country. #VeteransDay https://t.co/9vQAltXQXD",False,1591079470911598592,3,7,7,1
