handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepFischbach,Rep. Michelle Fischbach,1601300397934579712,1344375287484723205,en,1601300397934579712,2022-12-09T19:39:00.000Z,"Biden still hasn't gone to the border during his presidency, even though he was JUST 100 miles from it. Border security is national security but this Admin is refusing to make it a priority, ignoring cries from border communities &amp; abandoning CBP. https://t.co/Ux8496PWC3",False,1601300397934579712,3,5,5,0
RepFischbach,Rep. Michelle Fischbach,1601005706055925760,1344375287484723205,en,1601005706055925760,2022-12-09T00:08:00.000Z,"The @MnDOT Name A Snowplow contest is back! Submit your name by Friday, December 16 https://t.co/p9jaMFmY6R",False,1601005706055925760,2,5,5,0
RepFischbach,Rep. Michelle Fischbach,1600923844625436672,1344375287484723205,en,1600923844625436672,2022-12-08T18:42:42.000Z,"Congratulations to my friend, @CongressmanGT! He is a loyal voice for #RuralAmerica and with his leadership, we will have a Farm Bill that prioritizes the needs of rural communities, producers, &amp; taxpayers https://t.co/AGvrwQNPD7",False,1600923844625436672,3,2,2,0
RepFischbach,Rep. Michelle Fischbach,1600606576544546816,1344375287484723205,en,1600606576544546816,2022-12-07T21:42:00.000Z,"On Pearl Harbor Remembrance Day, we honor the 2,403 Americans who lost their lives on this day in 1941, propelling the U.S. into WWII and forever changing the course of world history. https://t.co/9UJB8kgDo8",False,1600606576544546816,2,4,4,0
RepFischbach,Rep. Michelle Fischbach,1600557626080772102,1344375287484723205,en,1600557626080772102,2022-12-07T18:27:29.000Z,"RT @HouseGOP: America’s producers are paying for Joe Biden’s reckless spending and anti-energy agenda.

Now, families across the country co…",False,1600557626080772102,37,0,0,0
RepFischbach,Rep. Michelle Fischbach,1600280426983182337,1344375287484723205,en,1600280426983182337,2022-12-07T00:06:00.000Z,"Be careful using 3rd party apps for buying/selling – thanks to current leadership, low- &amp; middle-income earners are being targeted &amp; you’ll be hearing from the IRS about any transactions over $600 https://t.co/G1FtDXOscn",False,1600280426983182337,3,6,6,0
RepFischbach,Rep. Michelle Fischbach,1600193881596837888,1344375287484723205,en,1600193881596837888,2022-12-06T18:22:06.000Z,"RT @RulesReps: HAPPENING NOW: Debate on the rule for H.R. 3648 &amp; H.R. 7946 with @RepFischbach managing for Republicans.

📺 Watch here: http…",False,1600193881596837888,2,0,0,0
RepFischbach,Rep. Michelle Fischbach,1600146796646264834,1344375287484723205,en,1600146796646264834,2022-12-06T15:15:00.000Z,Republicans are putting forward real solutions to help parents manage today's economy and do what's best for their families. https://t.co/iAvTQT5PLd,False,1600146796646264834,1,7,7,0
RepFischbach,Rep. Michelle Fischbach,1598761909733707776,1344375287484723205,en,1598761909733707776,2022-12-02T19:31:57.000Z,Jerry’s lifelong love for the Great Minnesota Get-together has made it what it is today. The state thanks you! https://t.co/8Hs3aV3fDn,False,1598761909733707776,1,2,2,0
RepFischbach,Rep. Michelle Fischbach,1598107106564984833,1344375287484723205,en,1598107106564984833,2022-12-01T00:10:00.000Z,"Thanks to #BidenFlation, increasing costs are the biggest issue for families going into the holiday season. https://t.co/WblMBUq4NT",False,1598107106564984833,4,20,20,0
RepFischbach,Rep. Michelle Fischbach,1598003108965011457,1344375287484723205,en,1598003108965011457,2022-11-30T17:16:45.000Z,Thank you @NRECANews! I am so proud to represent MN's electric co-ops in Washington. https://t.co/gCYq9kLNhM,False,1598003108965011457,2,1,1,0
RepFischbach,Rep. Michelle Fischbach,1597742202100252672,1344375287484723205,en,1597742202100252672,2022-11-30T00:00:00.000Z,Congratulations to Brad Schloesser on the new position at @SMSUToday! Welcome to #MN07 https://t.co/S21dW283ZP,False,1597742202100252672,2,2,2,0
RepFischbach,Rep. Michelle Fischbach,1597700271983185921,1344375287484723205,en,1597700271983185921,2022-11-29T21:13:23.000Z,RT @mnstateparks: It's that time of the year when we bring you this important message: there is no such thing as 100% safe ice. Many factor…,False,1597700271983185921,21,0,0,0
RepFischbach,Rep. Michelle Fischbach,1597384171743481856,1344375287484723205,en,1597384171743481856,2022-11-29T00:17:19.000Z,Thank you to the Beltrami County Sheriff’s Office for your heroic work rescuing the roughly 200 people who found themselves stranded on Red Lake this afternoon! #MN07 https://t.co/ug6UKy8z2H,False,1597384171743481856,2,3,3,0
RepFischbach,Rep. Michelle Fischbach,1597347343288119296,1344375287484723205,en,1597347343288119296,2022-11-28T21:50:58.000Z,"We can and should be doing everything in our power to become energy independent. Instead, @POTUS is choosing to ease sanctions on a corrupt Venezuelan government. https://t.co/Gt7j6PlfRK",False,1597347343288119296,1,10,10,2
RepFischbach,Rep. Michelle Fischbach,1597330516331868160,1344375287484723205,en,1597330516331868160,2022-11-28T20:44:06.000Z,RT @WaysandMeansGOP: The Republican Tax Cuts and Jobs Act (TCJA) led to  increasing wages for the lowest earners and the wealthy paying a l…,False,1597330516331868160,34,0,0,0
RepFischbach,Rep. Michelle Fischbach,1596294663819993088,1344375287484723205,en,1596294663819993088,2022-11-26T00:08:00.000Z,"Household debt is soaring &amp; Americans are losing their jobs in Joe Biden's economy, &amp; Dems still won’t acknowledge we're way off track. Republicans are committed to rolling back regulations, cutting back wasteful spending, &amp; holding this admin accountable. https://t.co/MEQnxWaD3k",False,1596294663819993088,6,15,15,1
RepFischbach,Rep. Michelle Fischbach,1596216398090571776,1344375287484723205,en,1596216398090571776,2022-11-25T18:57:00.000Z,"Thank you to Brig. Gen. Blomquist and Col. Lindman for meeting with me while you were in D.C. and thank you for the thoughtful conversation on NDAA, TRICARE, and other @MNNationalGuard priorities. https://t.co/c9MU8QPtaa",False,1596216398090571776,1,5,5,0
RepFischbach,Rep. Michelle Fischbach,1595810473865318400,1344375287484723205,en,1595810473865318400,2022-11-24T16:04:00.000Z,Happy Thanksgiving! https://t.co/7bf2TlyoQN,False,1595810473865318400,3,3,3,0
RepFischbach,Rep. Michelle Fischbach,1595573662932942848,1344375287484723205,en,1595573662932942848,2022-11-24T00:23:00.000Z,"November is #MilitaryFamilyMonth. Thank you to every member of our military families for the courage, sacrifice, and strength you exhibit every day in support of your service member. https://t.co/lzMEyeeEaV",False,1595573662932942848,2,6,6,0
RepFischbach,Rep. Michelle Fischbach,1595211023526633473,1344375287484723205,en,1595211023526633473,2022-11-23T00:22:00.000Z,"U.S. diesel reserves are at dangerous lows - the lowest point since 1951! Diesel is crucial for #MN07 to run farms, heat houses, and keep our economy moving. @HouseGOP will work to increase production and access to clean, reliable, American-made energy. https://t.co/kmGiVYSeVJ",False,1595211023526633473,3,15,15,0
RepFischbach,Rep. Michelle Fischbach,1595135526335651841,1344375287484723205,en,1595135526335651841,2022-11-22T19:22:00.000Z,"This #LungCancerAwareness month, if you’re at high risk, be sure to schedule a screening! Sadly, lung cancer is the leading cause of cancer death in America, but screening for early detection can save lives. https://t.co/J51lKiyPEZ",False,1595135526335651841,2,5,5,1
RepFischbach,Rep. Michelle Fischbach,1594848383885189122,1344375287484723205,en,1594848383885189122,2022-11-22T00:21:00.000Z,Three cheers for Middle River Veterans Outdoors for organizing free outdoor recreation opportunities for veterans and providing unique equipment to help those with limited mobility participate fully! #MN07 https://t.co/M9Ggh4qmAS,False,1594848383885189122,1,5,5,0
