handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepFitzgerald,Rep. Scott Fitzgerald,1601310883682340865,1004891731,en,1601310883682340865,2022-12-09T20:20:40.000Z,"TikTok's affiliation with the Chinese Communist Party is a national security threat.

I joined @LizMacDonaldFOX on the @EveningEdit to discuss: https://t.co/Ky2VO1POVh",False,1601310883682340865,1,2,2,1
RepFitzgerald,Rep. Scott Fitzgerald,1600899586645712897,1004891731,en,1600899586645712897,2022-12-08T17:06:19.000Z,Thank you to everyone who joined my Telephone Town Hall this week! It was a pleasure talking about the issues most important to you. https://t.co/81ctXdAe6G,False,1600899586645712897,1,37,37,5
RepFitzgerald,Rep. Scott Fitzgerald,1600537535070994432,1004891731,en,1600537535070994432,2022-12-07T17:07:39.000Z,Thank you to the Wisconsin Hospital Association for stopping by my office today. It was a pleasure discussing how health care providers continue to help patients. https://t.co/gpMME3yG9U,False,1600537535070994432,9,12,12,0
RepFitzgerald,Rep. Scott Fitzgerald,1600511476044894211,1004891731,en,1600511476044894211,2022-12-07T15:24:06.000Z,"We must protect the benefits of those discharged under the unjust mandate. My bill to protect education benefits, H.R. 6671, the Vaccine Discharge Parity Act, is a good start.",False,1600511474694324224,5,5,5,0
RepFitzgerald,Rep. Scott Fitzgerald,1600511474694324224,1004891731,en,1600511474694324224,2022-12-07T15:24:06.000Z,"I'm encouraged to see the COVID-19 vaccine mandate for our troops will be repealed in the NDAA. However, Congress must go further.",False,1600511474694324224,56,28,28,2
RepFitzgerald,Rep. Scott Fitzgerald,1600152376853176320,1004891731,en,1600152376853176320,2022-12-06T15:37:10.000Z,"ESG is tainting the integrity of our federal agencies. The Federal Trade Commission must not follow suit and erode its neutrality on consumer protection.

My colleagues and I will not stand for it.
https://t.co/oJDCT2rKmG",False,1600152376853176320,4,8,8,1
RepFitzgerald,Rep. Scott Fitzgerald,1599800222632189952,1004891731,en,1599800222632189952,2022-12-05T16:17:50.000Z,"Last night was very special as we came together for the City of Waukesha's 59th Annual Christmas Parade.

We will never forget the devastating attack of last year, but it's clear the good people of Waukesha are resilient and full of hope.

God bless our community. https://t.co/u48I9dZihs",False,1599800222632189952,0,3,3,1
RepFitzgerald,Rep. Scott Fitzgerald,1598699203739385858,1004891731,en,1598699203739385858,2022-12-02T15:22:47.000Z,"RT @HouseGOP: This Christmas, Americans will pay more for just about everything under the tree thanks to #Bidenflation.
https://t.co/rxl9cO…",False,1598699203739385858,77,0,0,0
RepFitzgerald,Rep. Scott Fitzgerald,1598033301649952783,1004891731,en,1598033301649952783,2022-11-30T19:16:43.000Z,"Members of JPMorgan Chase's team representing our veteran and active duty communities stopped by my office today. 

As a veteran, I appreciate efforts to help current and former servicemembers, and will always fight to protect them. https://t.co/1jrU2Ag3s9",False,1598033301649952783,8,30,30,2
RepFitzgerald,Rep. Scott Fitzgerald,1597622107911131137,1004891731,en,1597622107911131137,2022-11-29T16:02:47.000Z,"Don't hold your breath for a cheap Christmas tree this year. Inflation is driving up the cost of your favorite fir.
https://t.co/svFNM7f8nh",False,1597622107911131137,9,92,92,5
RepFitzgerald,Rep. Scott Fitzgerald,1595806025080528898,1004891731,en,1595806025080528898,2022-11-24T15:46:19.000Z,"Happy Thanksgiving to all celebrating, and a special thank you to first responders and our troops serving overseas who cannot be home with their families.",False,1595806025080528898,0,16,16,0
RepFitzgerald,Rep. Scott Fitzgerald,1595460037451059201,1004891731,en,1595460037451059201,2022-11-23T16:51:29.000Z,Darling’s esteemed service to Wisconsin will forever be remembered and her spirit of determination to deliver for her constituents will be missed in the 8th Senate District.,False,1595460034774896645,0,2,2,0
RepFitzgerald,Rep. Scott Fitzgerald,1595460034774896645,1004891731,en,1595460034774896645,2022-11-23T16:51:29.000Z,"Congratulations to my longtime friend and former colleague, Senator Alberta Darling, on her retirement. I served with Senator Darling for many years in the State Senate and admire the integrity and tireless work ethic she brought to the legislature.",False,1595460034774896645,0,6,6,1
RepFitzgerald,Rep. Scott Fitzgerald,1594740971425890304,1004891731,en,1594740971425890304,2022-11-21T17:14:11.000Z,"Today is the anniversary of the tragic and devastating attack on the Waukesha Christmas Parade. 

Please join me in praying for healing for the community and the families impacted.",False,1594740971425890304,42,8,8,5
RepFitzgerald,Rep. Scott Fitzgerald,1593615376524480512,1004891731,en,1593615376524480512,2022-11-18T14:41:28.000Z,"When Republicans take the majority next Congress, members will finally have to start showing up for work and the House will once again be fully open to the public. https://t.co/AQXETniOd3",False,1593615376524480512,1,71,71,9
RepFitzgerald,Rep. Scott Fitzgerald,1593323237991219202,1004891731,qam,1593323237991219202,2022-11-17T19:20:37.000Z,@RepGrothman @RepBryanSteil @RepRonKind @RepGallagher @RepGwenMoore @RepTiffany @RepMarkPocan,False,1593317160729907200,1,5,5,0
RepFitzgerald,Rep. Scott Fitzgerald,1593317160729907200,1004891731,en,1593317160729907200,2022-11-17T18:56:28.000Z,"Today, I introduced a bipartisan House Resolution, signed by the entire Wisconsin House delegation, honoring the victims of the attack on the Waukesha Christmas Parade.

Read my Press Release:
https://t.co/wJUsQOk1Vl",False,1593317160729907200,9,27,27,0
RepFitzgerald,Rep. Scott Fitzgerald,1592902162870587392,1004891731,en,1592902162870587392,2022-11-16T15:27:24.000Z,"Last month, 230,678 migrant apprehensions were recorded at the southern border. The third-highest mark since President Biden took office.

This crisis continues to go unaddressed and is not slowing at all.",False,1592902162870587392,0,66,66,7
