handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepFletcher,Rep. Lizzie Fletcher,1601326059017969667,1075904377221722113,en,1601326059017969667,2022-12-09T21:20:58.000Z,"Don't forget to sign up for our virtual Town Hall this Monday at 7:00PM, #TX07!

To ensure you get the link to join in, RSVP at: 
https://t.co/cfdegBxCQD. https://t.co/GgKMam2fvl",False,1601326059017969667,1,0,0,0
RepFletcher,Rep. Lizzie Fletcher,1601262166971228160,1075904377221722113,en,1601262166971228160,2022-12-09T17:07:05.000Z,ICYMI: I was glad to join my House colleagues in voting for and passing the #RespectforMarriageAct to protect and respect the sanctity of same-sex &amp; interracial marriages in this country. #LoveWins https://t.co/ozZRFxHlvD,False,1601262166971228160,1,1,1,0
RepFletcher,Rep. Lizzie Fletcher,1600995628112400385,1075904377221722113,en,1600995628112400385,2022-12-08T23:27:57.000Z,"Glad to join my Texas colleagues this week to honor our retiring friend and colleague @RepEBJ and to celebrate her 50 years of leadership and service to Texas, @HouseScience, the Congress, and the country. https://t.co/9zjGeinnpD",False,1600995628112400385,8,2,2,2
RepFletcher,Rep. Lizzie Fletcher,1600946717892952066,1075904377221722113,en,1600946717892952066,2022-12-08T20:13:36.000Z,"Like @Evan7257 always says—good news for Houston!

I was glad to vote today for the National Defense Authorization Act, which includes the Water Resources Development Act, authorizing the #IkeDike and other crucial #TX07 priorities. https://t.co/vfzvd3boHh",False,1600946717892952066,9,5,5,2
RepFletcher,Rep. Lizzie Fletcher,1600876855690682370,1075904377221722113,en,1600876855690682370,2022-12-08T15:35:59.000Z,"As a member of the @LGBTEqCaucus, I am proud to support the #RespectForMarriageAct.
 
This legislation will ensure critical protections for same-sex and interracial marriages. I look forward to voting for it again and seeing @POTUS sign it into law.

#LoveWins! 🌈 https://t.co/rNCpQuRhVH",False,1600876855690682370,6,6,6,1
RepFletcher,Rep. Lizzie Fletcher,1600859923134365696,1075904377221722113,en,1600859923134365696,2022-12-08T14:28:42.000Z,Thank you to @POTUS and to all who worked so hard for this moment. https://t.co/PC7meyOuaP,False,1600859923134365696,12,14,14,0
RepFletcher,Rep. Lizzie Fletcher,1600589445119545358,1075904377221722113,en,1600589445119545358,2022-12-07T20:33:55.000Z,"OTD in 1941, our country was forever changed when 2,300 servicemembers lost their lives at Pearl Harbor.

We will always remember the heroism &amp; bravery of those who volunteered to defend our country during one of history's darkest moments. #PearlHarborDay https://t.co/usi6iuCEVW",False,1600589445119545358,2,1,1,0
RepFletcher,Rep. Lizzie Fletcher,1600527673528389638,1075904377221722113,en,1600527673528389638,2022-12-07T16:28:28.000Z,"Join me for a year-end town hall!  In this busy month, join this virtual event from wherever you are for a look back at the year and the 117th Congress, and a look ahead to the next one.

Sign up: https://t.co/cfdegBxCQD https://t.co/GoBukv1f25",False,1600527673528389638,3,1,1,0
RepFletcher,Rep. Lizzie Fletcher,1597987776145809410,1075904377221722113,en,1597987776145809410,2022-11-30T16:15:49.000Z,"We know, because of the impacts of the Brady Handgun Violence Prevention Act signed into law by President Clinton on this day in 1998, that background checks are effective in keeping guns out of the hands of felons—but they must be strengthened, expanded, and enforced. https://t.co/MO400Jgjsg",False,1597987776145809410,26,20,20,1
RepFletcher,Rep. Lizzie Fletcher,1597622048687554561,1075904377221722113,en,1597622048687554561,2022-11-29T16:02:33.000Z,"RT @HoustonTX: Customers should flush their water system by running cold-water faucets for at least one minute, cleaning automatic ice make…",False,1597622048687554561,422,0,0,0
RepFletcher,Rep. Lizzie Fletcher,1597621973705949186,1075904377221722113,en,1597621973705949186,2022-11-29T16:02:15.000Z,"RT @HouPublicWorks: ‼ City of Houston Boil Water Notice is lifted. More information: https://t.co/0L98ZICHrC

#BoilWaterNotice #HouWater #A…",False,1597621973705949186,421,0,0,0
RepFletcher,Rep. Lizzie Fletcher,1597050481582673922,1075904377221722113,en,1597050481582673922,2022-11-28T02:11:21.000Z,"RT @HoustonTX: A boil water notice has been issued for the City of Houston ‼️ Everyone should boil the water before drinking, cooking, bath…",False,1597050481582673922,5388,0,0,0
RepFletcher,Rep. Lizzie Fletcher,1596528321348730889,1075904377221722113,en,1596528321348730889,2022-11-26T15:36:28.000Z,"Don't forget to support our community today—#ShopSmall this Small Business Saturday! 

Learn more → https://t.co/djsqGIzZFk https://t.co/y63jW5OBAd",False,1596528321348730889,2,6,6,0
RepFletcher,Rep. Lizzie Fletcher,1596236251866492928,1075904377221722113,en,1596236251866492928,2022-11-25T20:15:53.000Z,"Here in the U.S., we have worked to end domestic violence with legislation like the Violence Against Women Act.

But here and around the world, women still face violence. I join them this International Day for the Elimination of Violence Against Women. https://t.co/gL6GYS1ezO",False,1596236251866492928,9,9,9,0
RepFletcher,Rep. Lizzie Fletcher,1595795718572318721,1075904377221722113,en,1595795718572318721,2022-11-24T15:05:22.000Z,"For all that we have, for those whom we love, and for the time we have with each other, we express our gratitude today. Happy #Thanksgiving, #TX07! https://t.co/XVeNaAWECC",False,1595795718572318721,4,4,4,0
RepFletcher,Rep. Lizzie Fletcher,1595488913090658315,1075904377221722113,en,1595488913090658315,2022-11-23T18:46:14.000Z,"As we near the holiday shopping season, please consider shopping local to support our #TX07 neighbors and our local economy. This Saturday, #ShopSmall! https://t.co/BfL3gwRgKw",False,1595488913090658315,2,1,1,0
RepFletcher,Rep. Lizzie Fletcher,1595087369861943296,1075904377221722113,en,1595087369861943296,2022-11-22T16:10:38.000Z,"This month, we celebrate the rich history and important contributions of the diverse native communities across our country.

Happy #NativeAmericanHeritageMonth! https://t.co/lGGAwHF7MD",False,1595087369861943296,4,0,0,0
RepFletcher,Rep. Lizzie Fletcher,1594813116319154176,1075904377221722113,en,1594813116319154176,2022-11-21T22:00:51.000Z,"I'll be on @HoustonMatters tomorrow during the 9 o'clock hour to talk about news of the day and my work in Washington as the 117th Congress wraps up.

🔊 Listen in on 88.7FM or at https://t.co/GQcSsZxhMl!",False,1594813116319154176,1,1,1,0
RepFletcher,Rep. Lizzie Fletcher,1594396425533722624,1075904377221722113,en,1594396425533722624,2022-11-20T18:25:04.000Z,"Today we remember Marisela Castro, who was tragically killed in Houston earlier this summer. May we remember her for the love she shared and the life she lived this #TransgenderDayOfRemembrance. https://t.co/sh89D4fhaz",False,1594396425533722624,5,1,1,0
RepFletcher,Rep. Lizzie Fletcher,1594040422132752384,1075904377221722113,en,1594040422132752384,2022-11-19T18:50:27.000Z,"159 years ago, President Lincoln delivered the Gettysburg Address, known then for its unifying message and now for its powerful words—among many others—that our country was ""conceived in Liberty, and dedicated to the proposition that all men are created equal."" https://t.co/6peqpdFUOs",False,1594040422132752384,5,1,1,0
RepFletcher,Rep. Lizzie Fletcher,1593986313497333760,1075904377221722113,en,1593986313497333760,2022-11-19T15:15:26.000Z,"From deployments and moves, to the transition to being a veteran, the life of a military servicemember's parent, spouse, or child can be challenging.

Today, #TX07 recognizes #MilitaryFamilyAppreciationMonth for their honor, sacrifice, and service to our country. https://t.co/WQJTfHCCZA",False,1593986313497333760,4,1,1,2
RepFletcher,Rep. Lizzie Fletcher,1593758679370797058,1075904377221722113,en,1593758679370797058,2022-11-19T00:10:54.000Z,"Lymphedema, a chronic condition, can be treated w/ compression items that currently aren't covered by Medicare.

As a co-sponsor of the Lymphedema Treatment Act, I was proud to join @JanSchakowsky in voting to expand Medicare coverage to include lymphedema compression treatment.",False,1593758679370797058,6,2,2,0
RepFletcher,Rep. Lizzie Fletcher,1593720969914351619,1075904377221722113,en,1593720969914351619,2022-11-18T21:41:03.000Z,"Affordable, reliable health care coverage is available NOW at https://t.co/WbgU3qMULt. This year, 3.2 million Americans found plans for less than $10 a month!
 
You have until December 15 to enroll in a plan that starts at the beginning of 2023. Be sure to #GetCovered. https://t.co/9yQeXAYTxU",False,1593720969914351619,2,2,2,0
RepFletcher,Rep. Lizzie Fletcher,1592627309630361600,1075904377221722113,en,1592627309630361600,2022-11-15T21:15:14.000Z,"Spring internship applications for both Washington and Houston are due in just a few weeks.

Learn more and begin your application at:
🔗 https://t.co/ZmTK28E9xv https://t.co/XuKQvvZQ69",False,1592627309630361600,2,0,0,0
RepFletcher,Rep. Lizzie Fletcher,1592590779910090755,1075904377221722113,en,1592590779910090755,2022-11-15T18:50:05.000Z,"Did you know? The idea for America Recycles Day began right here in Texas!

As an avid recycler myself, I'm proud to join Texans and people across the country pledging to reduce, reuse, &amp; recycle. #BeRecycled

Find a recycling center in Harris County. ⬇️ https://t.co/ZgGVZsvlgH",False,1592590779910090755,6,2,2,0
RepFletcher,Rep. Lizzie Fletcher,1592515742108635136,1075904377221722113,en,1592515742108635136,2022-11-15T13:51:55.000Z,"The groundbreaking Infrastructure Investment and Jobs Act, signed into law a year ago today, is helping build our communities for the future.

The largest infrastructure investment in more than a century, it has provided substantial funding for our roads, bridges, ports, &amp; more. https://t.co/KTVOpgmzpF",False,1592515742108635136,6,4,4,1
