handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepFrankLucas,Frank Lucas,1600609467179171841,242772524,en,1600609467179171841,2022-12-07T21:53:29.000Z,TUNE IN📻: I’ll be on @KOKCradio @ChadAlexander2’s show at 4:05pm CT.,False,1600609467179171841,1,1,1,0
RepFrankLucas,Frank Lucas,1600606487998566419,242772524,en,1600606487998566419,2022-12-07T21:41:39.000Z,"Microvast itself discloses that the Chinese government ‘exerts substantial influence’ over their business activities.

Given the extremely irresponsible decision to grant taxpayer dollars to a company with such close ties to the CCP, Congress is demanding accountability. https://t.co/A1Q6D2Y60E",False,1600606487998566419,0,4,4,1
RepFrankLucas,Frank Lucas,1600605384221331462,242772524,en,1600605384221331462,2022-12-07T21:37:16.000Z,"RT @housesciencegop: Under the Biden Administration's infrastructure program, the DOE awarded $200 million in taxpayer dollars to a company…",False,1600605384221331462,5,0,0,0
RepFrankLucas,Frank Lucas,1600507751830102016,242772524,en,1600507751830102016,2022-12-07T15:09:18.000Z,"On National Pearl Harbor Remembrance Day, we honor and uphold the memories of the 2,403 men and women who lost their lives on December 7, 1941- ""a date which will live in infamy"".

Let us always remember the service and sacrifice of the Greatest Generation. 🇺🇸 https://t.co/bs71DLEktP",False,1600507751830102016,11,4,4,0
RepFrankLucas,Frank Lucas,1600192301908754450,242772524,en,1600192301908754450,2022-12-06T18:15:49.000Z,RT @housesciencegop: Does the Biden Administration really think awarding $200 million in taxpayer funding to a company with ties to the Chi…,False,1600192301908754450,6,0,0,0
RepFrankLucas,Frank Lucas,1600192249840664583,242772524,en,1600192249840664583,2022-12-06T18:15:37.000Z,RT @housesciencegop: 🚨One of the first DOE grants under the Admin's infrastructure program is going to a company with direct ties to the CC…,False,1600192249840664583,46,0,0,0
RepFrankLucas,Frank Lucas,1598797065714561024,242772524,en,1598797065714561024,2022-12-02T21:51:39.000Z,RT @housesciencegop: Nearly 90% of drones used for public safety come from a Chinese firm connected to the CCP. HR 9376 will increase UAS R…,False,1598797065714561024,2,0,0,0
RepFrankLucas,Frank Lucas,1598452336107704330,242772524,en,1598452336107704330,2022-12-01T23:01:49.000Z,"RT @housesciencegop: Today, @RepFrankLucas introduced the National Drone and Advanced Air Mobility Act.

The bill, cosponsored by @RepBice…",False,1598452336107704330,1,0,0,0
RepFrankLucas,Frank Lucas,1598353387514478593,242772524,en,1598353387514478593,2022-12-01T16:28:38.000Z,"Proud to have @SenateAgGOP Republican Leader @JohnBoozman &amp; @SenatorBraun introduce the Senate companion to my bill- Protect Farmers from the SEC Act.

The SEC’s proposed climate rules are a major government overreach and would make it impossible for family farms to operate. https://t.co/4MasJjytkr",False,1598353387514478593,2,1,1,1
RepFrankLucas,Frank Lucas,1598350959419297793,242772524,en,1598350959419297793,2022-12-01T16:18:59.000Z,"RT @JohnBoozman: It's an unprecedented, unreasonable and unnecessary burden for family farms &amp; ranches to report granular on-farm data on c…",False,1598350959419297793,11,0,0,0
