handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepFranklin,Congressman Scott Franklin,1601308673296728071,1343664721384398849,en,1601308673296728071,2022-12-09T20:11:53.000Z,"It's time for #CivicsWithScott! 

Which state was the first to adopt the Constitution in December 1787?",False,1601308673296728071,0,1,1,0
RepFranklin,Congressman Scott Franklin,1601285977980690433,1343664721384398849,en,1601285977980690433,2022-12-09T18:41:42.000Z,"RT @RepDarrenSoto: After Hurricane Ian, we saw Central Florida growers struggle with losses and water damage.

I joined @RepFranklin and se…",False,1601285977980690433,2,0,0,0
RepFranklin,Congressman Scott Franklin,1601268951513587712,1343664721384398849,qam,1601268951513587712,2022-12-09T17:34:02.000Z,@RepKatCammack @RepWaltzPress @congbillposey @CongresswomanSC @RepDonaldsPress @RepMariaSalazar @RepBrianMast @RepCarlos @VernBuchanan @RepGusBilirakis @RepValDemings @RepGregSteube @RepAlLawsonJr @DrNealDunnFL2 @KathyCastorFL,False,1601268946807984134,1,1,1,0
RepFranklin,Congressman Scott Franklin,1601268949014171648,1343664721384398849,en,1601268949014171648,2022-12-09T17:34:02.000Z,"That’s why I led a letter with @RepDarrenSoto requesting disaster relief for our hardworking and resilient citrus growers. Read more below:

https://t.co/IEJJROoUfk",False,1601268946807984134,0,1,1,0
RepFranklin,Congressman Scott Franklin,1601268946807984134,1343664721384398849,en,1601268946807984134,2022-12-09T17:34:01.000Z,"Hurricane Ian devastated Florida’s citrus industry this year, with more than 90 percent of all production impacted. Citrus is the pride of Florida &amp; the backbone of many of our rural communities.",False,1601268946807984134,0,2,2,1
RepFranklin,Congressman Scott Franklin,1600991189200617473,1343664721384398849,en,1600991189200617473,2022-12-08T23:10:19.000Z,"Read more about the FY 2023 here: 
https://t.co/YyObCDPWDI",False,1600991169307373568,0,0,0,1
RepFranklin,Congressman Scott Franklin,1600991187376033792,1343664721384398849,en,1600991187376033792,2022-12-08T23:10:18.000Z,9. Prevented the expansion of abortion services on military bases.,False,1600991169307373568,0,1,1,0
RepFranklin,Congressman Scott Franklin,1600991185614831616,1343664721384398849,en,1600991185614831616,2022-12-08T23:10:18.000Z,8. Saved taxpayer money by divesting from antiquated systems and including cost saving audits.,False,1600991169307373568,0,3,3,0
RepFranklin,Congressman Scott Franklin,1600991183836426241,1343664721384398849,en,1600991183836426241,2022-12-08T23:10:17.000Z,"7. Provided funding to modernize our military to deter and defeat Russia, China, and other adversaries.",False,1600991169307373568,0,1,1,1
RepFranklin,Congressman Scott Franklin,1600991181957402626,1343664721384398849,en,1600991181957402626,2022-12-08T23:10:17.000Z,6. Provided a 4.6% pay raise for service members &amp; improved family benefits.,False,1600991169307373568,0,1,1,0
