handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepFredUpton,Rep. Fred Upton,1600868414482006017,124224165,en,1600868414482006017,2022-12-08T15:02:27.000Z,"I was pleased to join my friend Michael Milken at @MilkenInstitute to discuss improving health outcomes at today’s Future of Health Summit. 21st Century Cures set us on the right path, now it’s up to the next generation of leaders to go down it. https://t.co/iWFrEB3AHI",False,1600868414482006017,1,11,11,0
RepFredUpton,Rep. Fred Upton,1599829800226816000,124224165,en,1599829800226816000,2022-12-05T18:15:22.000Z,"Pfizer’s continued investments in Portage have produced incredible improvements for people around the world. 300 new jobs coming to SW MI will strengthen our community, economy, and help keep Portage as a global center of pharmaceutical innovation. https://t.co/yLaGVpUPzG",False,1599829800226816000,1,13,13,1
RepFredUpton,Rep. Fred Upton,1598044888146509824,124224165,en,1598044888146509824,2022-11-30T20:02:46.000Z,"It all comes full circle. Over 30 years ago, @RepKweisiMfume and I introduced my very first bipartisan amendment which was to the American’s with Disabilities Act to help small businesses. https://t.co/yvBaSNrEJF",False,1598044888146509824,5,19,19,2
RepFredUpton,Rep. Fred Upton,1596185071064866817,124224165,en,1596185071064866817,2022-11-25T16:52:31.000Z,Getting ready for the big game! 🏈 #GoBlue https://t.co/7XZuxFHK4f,False,1596185071064866817,4,5,5,0
RepFredUpton,Rep. Fred Upton,1595818819288801280,124224165,en,1595818819288801280,2022-11-24T16:37:10.000Z,"Happy Thanksgiving! 🦃 Today and everyday, I’m thankful to represent you all in Congress. I’m also thankful to live in SW MI and to be your neighbor. I hope you enjoy time with family and friends, as I’ll be taking an annual Thanksgiving walk with my family. #GoBlue this weekend!",False,1595818819288801280,1,7,7,0
RepFredUpton,Rep. Fred Upton,1593653713553563649,124224165,en,1593653713553563649,2022-11-18T17:13:48.000Z,Thank you @USACEHQ for securing funding for St. Joe Harbor's emergency dredging. This is welcomed news  for the businesses and families that call Southwest Michigan home. https://t.co/CgYu63fTaw,False,1593653713553563649,2,8,8,1
RepFredUpton,Rep. Fred Upton,1592605284870291458,124224165,en,1592605284870291458,2022-11-15T19:47:43.000Z,"One year ago today, the #BIF was signed into law. Investing in our infrastructure is an investment in our future, and I am beyond proud to have been a part of this bipartisan effort.",False,1592605284870291458,5,8,8,0
RepFredUpton,Rep. Fred Upton,1591097670809944064,124224165,en,1591097670809944064,2022-11-11T15:57:00.000Z,"To all our veterans, thank you for your service, and welcome home. We are the land of the free because of our brave.🇺🇸 #VeteransDay https://t.co/JmLZr38DGE",False,1591097670809944064,3,3,3,0
RepFredUpton,Rep. Fred Upton,1590769273563418624,124224165,en,1590769273563418624,2022-11-10T18:12:04.000Z,"Happy Birthday, @USMC! Thank you for 247 years of service. #SemperFi https://t.co/1jSA4vT4zK",False,1590769273563418624,4,1,1,0
RepFredUpton,Rep. Fred Upton,1589694881404194816,124224165,en,1589694881404194816,2022-11-07T19:02:49.000Z,"The proposed changes to the way @USPS sorts and delivers mail will seriously hurt those who rely on timely and consistent mail delivery. Today, many local officials joined me in making your concerns heard here and in Washington. https://t.co/LboD0ykceL https://t.co/yLHkdmc8Y1",False,1589694881404194816,3,4,4,1
RepFredUpton,Rep. Fred Upton,1588576795477291010,124224165,en,1588576795477291010,2022-11-04T16:59:57.000Z,"Earlier this week, I joined Dan Evans and Gary Stevens in the @1450whtc studio for both the morning news and Talk of the Town. Listen to both segments now: https://t.co/puJq2SiCbz https://t.co/eowey9kMKp https://t.co/jHilctYA0y",False,1588576795477291010,2,1,1,0
RepFredUpton,Rep. Fred Upton,1587899925748146177,124224165,en,1587899925748146177,2022-11-02T20:10:18.000Z,"Ensuring clean drinking water across Michigan has been an all-hands-on-deck effort. We’re about to cross the finish line ahead of schedule, and I could not be prouder of how everyone worked together to get this done. https://t.co/T7LWL16EP8",False,1587899925748146177,2,0,0,0
RepFredUpton,Rep. Fred Upton,1586076013854748672,124224165,en,1586076013854748672,2022-10-28T19:22:44.000Z,"I am appalled by the horrific attack on Speaker Pelosi’s husband Paul. Like it or not, Jan 6 was real, and threats leading to violence-whether they are aimed at elected officials, Supreme Court Justices or local school board members-undermine our democratic form of government.",False,1586076013854748672,84,74,74,15
RepFredUpton,Rep. Fred Upton,1585725146383499269,124224165,en,1585725146383499269,2022-10-27T20:08:30.000Z,This morning I joined the US Army Corps at the St. Joe Harbor which was recently closed after three days of storms. It is our hope the Corps of Engineers can prepare the necessary documents for emergency dredging bids as early as next week. https://t.co/9nFv3MH97K,False,1585725146383499269,3,0,0,0
RepFredUpton,Rep. Fred Upton,1582769952393940994,124224165,en,1582769952393940994,2022-10-19T16:25:37.000Z,I am honored to receive the 2022 @_OneCountry_  Rural Champion Award for my bipartisan efforts to support rural life and enhance Southwest Michigan’s agricultural economy. https://t.co/6rDgNL6Fri,False,1582769952393940994,2,3,3,1
RepFredUpton,Rep. Fred Upton,1582766586825363456,124224165,en,1582766586825363456,2022-10-19T16:12:15.000Z,"RT @_OneCountry_: .@RepFredUpton has delivered wins for rural Americans by expanding rural broadband service, improving drinking water and…",False,1582766586825363456,4,0,0,0
RepFredUpton,Rep. Fred Upton,1582429261734236161,124224165,en,1582429261734236161,2022-10-18T17:51:50.000Z,"This morning, I joined the South Haven Rotary to discuss the completion of US-31 just a few weeks ago and the importance of energy independence and what steps we must take to achieve it. https://t.co/Z68EG1BH99",False,1582429261734236161,2,2,2,0
RepFredUpton,Rep. Fred Upton,1580663756668817413,124224165,en,1580663756668817413,2022-10-13T20:56:21.000Z,Happy birthday @USNavy! Thank you to all the brave sailors who have and are currently protecting our nation.,False,1580663756668817413,2,1,1,0
RepFredUpton,Rep. Fred Upton,1580659536989655040,124224165,en,1580659536989655040,2022-10-13T20:39:35.000Z,"CPI reports show that inflation climbed double the rate economists predicted. Folks are feeling it, and with gas prices on the rise again, we are looking at another tough winter. We must unleash domestic energy production to offer some sort of relief for the American taxpayer.",False,1580659536989655040,3,6,6,0
RepFredUpton,Rep. Fred Upton,1578111024452239360,124224165,en,1578111024452239360,2022-10-06T19:52:42.000Z,"RT @AllergyAsthmaHQ: Thank you @RepDebDingell and @RepFredUpton, co-chairs of the Congressional Asthma and Allergy Caucus, for introducing…",False,1578111024452239360,2,0,0,0
RepFredUpton,Rep. Fred Upton,1578048799515320320,124224165,en,1578048799515320320,2022-10-06T15:45:27.000Z,It was a pleasure to join @kcollege President @KPrez18  at the President’s Community Breakfast this morning. Good to see so many local leaders and the Student Ambassador of this year’s graduating class as well. https://t.co/JfqMXxigqH,False,1578048799515320320,4,0,0,2
RepFredUpton,Rep. Fred Upton,1577717762151038984,124224165,en,1577717762151038984,2022-10-05T17:50:01.000Z,American energy production is American security. Regularly tapping into the Strategic Petroleum Reserve has weakened our energy independence and it must be remedied with robust energy production right here in the US. https://t.co/CB1dKaZIXO,False,1577717762151038984,3,12,12,2
