handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepGolden,Congressman Jared Golden,1598108342396026880,1080891667308298240,en,1598108342396026880,2022-12-01T00:14:54.000Z,"If the Biden White House can prioritize purchasing 200 Maine lobsters for a fancy dinner, @POTUS should also take the time to meet with the Maine lobstermen his administration is currently regulating out of business. https://t.co/PLiGGopsid",False,1598108342396026880,2696,1061,1061,263
RepGolden,Congressman Jared Golden,1595788033428754433,1080891667308298240,en,1595788033428754433,2022-11-24T14:34:50.000Z,Wishing my fellow Mainers a safe and happy Thanksgiving. https://t.co/u2MPHX5w1I,False,1595788033428754433,9,9,9,0
RepGolden,Congressman Jared Golden,1591085139425366016,1080891667308298240,en,1591085139425366016,2022-11-11T15:07:12.000Z,"Our duty to honor the tremendous sacrifices made by our veterans is life-long, but especially important today. 

I hope you’ll join me in taking an extra moment to reflect on what American veterans have done to protect us &amp; what you can do to support veterans in your community. https://t.co/Tr3N1BXcE6",False,1591085139425366016,10,7,7,0
RepGolden,Congressman Jared Golden,1587830208379645954,1080891667308298240,en,1587830208379645954,2022-11-02T15:33:16.000Z,The Fire Grants and Safety Act would invest millions into individual departments to help crews meet their most pressing needs – from replacing outdated trucks to resources for retaining seasoned firefighters. Read more about it here: https://t.co/G41ahLI6t8 2/,False,1587830206659809283,0,3,3,0
RepGolden,Congressman Jared Golden,1587830206659809283,1080891667308298240,en,1587830206659809283,2022-11-02T15:33:16.000Z,"Fire departments across Maine are facing significant staffing shortages, which endangers both our communities and the brave men and women who serve them. I’m introducing bipartisan legislation that would assist hiring efforts and bolster resources for local brigades. 1/",False,1587830206659809283,6,8,8,0
RepGolden,Congressman Jared Golden,1585333089819299840,1080891667308298240,en,1585333089819299840,2022-10-26T18:10:37.000Z,"I worked with Elmet earlier this year to make sure the House defense funding bill included additional resources for the development of high-temperature and leading-edge materials, including the products they manufacture right here in Lewiston. 2/ https://t.co/xs2Ptb0Cya",False,1585333077924102157,2,2,2,0
RepGolden,Congressman Jared Golden,1585333077924102157,1080891667308298240,en,1585333077924102157,2022-10-26T18:10:34.000Z,"I spent Tuesday afternoon with @LAMetroChamber, @MaineChamber, @USChamber, and @MayorSheline at Elmet Technologies learning more about their business, talking with employees, and discussing the work we’ve done to promote American manufacturing and infrastructure. 1/ https://t.co/2Mjl6Nda0H",False,1585333077924102157,7,4,4,1
RepGolden,Congressman Jared Golden,1583196525290979330,1080891667308298240,en,1583196525290979330,2022-10-20T20:40:40.000Z,"Kicked off the week in Houlton where I sat down with employees at Smith and Wesson to talk about the work they’re doing and to celebrate the ten millionth set of handcuffs they’ve made at this facility. 

I’m proud of the American manufacturing we’re doing right here in Maine. https://t.co/ipjlDcuNAk",False,1583196525290979330,10,14,14,4
RepGolden,Congressman Jared Golden,1582093130249121792,1080891667308298240,en,1582093130249121792,2022-10-17T19:36:10.000Z,"One of the greatest honors of the job is nominating young Mainers for appointment to the U.S. service academies. 

If you or someone you know is interested in serving our country and getting a great education, you can find the application on our website: https://t.co/z5TdDNMsSF https://t.co/dLQjpitpFE",False,1582093130249121792,3,3,3,0
RepGolden,Congressman Jared Golden,1579926846543925248,1080891667308298240,en,1579926846543925248,2022-10-11T20:08:08.000Z,"Are you or someone you know having a tough time with the Social Security Administration or another federal agency? We can help:

Bangor: 207-249-7400
Caribou: 207-492-6009
Lewiston: 207-241-6767 2/",False,1579926844144381953,1,2,2,0
RepGolden,Congressman Jared Golden,1579926844144381953,1080891667308298240,en,1579926844144381953,2022-10-11T20:08:07.000Z,"Kenneth in Bar Harbor was stuck in a seemingly endless wait for his Social Security payments when he turned to my office for help. My team worked with the Social Security Administration on his behalf, identified the issue, and got it resolved. 1/ https://t.co/R2BokQI8fh",False,1579926844144381953,8,6,6,1
RepGolden,Congressman Jared Golden,1578468108872089600,1080891667308298240,en,1578468108872089600,2022-10-07T19:31:38.000Z,"It was great to be out in the woods with my fellow veterans, Oxford County Sheriff Wainwright, and others talking about the transition back home and trying out their adaptive shooting range. 2/ https://t.co/7sfw66l7Kb",False,1578468100156313600,3,2,2,0
RepGolden,Congressman Jared Golden,1578468100156313600,1080891667308298240,en,1578468100156313600,2022-10-07T19:31:36.000Z,"Yesterday, I had the opportunity to join @OutdoorsReboot at their camp for a tour of the facilities and to talk about the great work they do to support veterans making the transition to civilian life and how my office can help. 1/ https://t.co/P7lQcWEwLz",False,1578468100156313600,6,2,2,0
