handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepGregMurphy,"Congressman Greg Murphy, M.D.",1601646225354559489,1173978070535024642,en,1601646225354559489,2022-12-10T18:33:11.000Z,"Victory for @nbhsbears! 🎉🏈

Congratulations to the New Bern HS football team for winning the 4A State Championship over Grimsley this week! 

To the players — you’ve made your parents, your peers, and your coaches very proud. Way to represent Eastern North Carolina! https://t.co/fhV6gQ4v8A",False,1601646225354559489,0,0,0,0
RepGregMurphy,"Congressman Greg Murphy, M.D.",1601297581858263040,1173978070535024642,en,1601297581858263040,2022-12-09T19:27:48.000Z,"As a practicing surgeon of more than 30 years, it’s a true honor to be elected to serve as co-chair of the GOP Doctors Caucus (@GOPDoctors) alongside @michaelcburgess and @RepBradWenstrup ⬇️ https://t.co/iglUvYeLSV",False,1601297581858263040,1,7,7,0
RepGregMurphy,"Congressman Greg Murphy, M.D.",1601285896245981185,1173978070535024642,en,1601285896245981185,2022-12-09T18:41:22.000Z,"RT @henryrodgersdc: EXCLUSIVE: House Republicans Call On Biden To End COVID Public Health Emergency 

Read more here first for ⁦@DailyCalle…",False,1601285896245981185,45,0,0,0
RepGregMurphy,"Congressman Greg Murphy, M.D.",1601261186422489088,1173978070535024642,en,1601261186422489088,2022-12-09T17:03:11.000Z,I cannot support a single healthcare executive or insurance company executive receiving a bonus or raise this year if physicians are having Medicare cut their reimbursement. Soon they won’t have any doctors or surgeons to take care of their patients.,False,1601261186422489088,2,7,7,1
RepGregMurphy,"Congressman Greg Murphy, M.D.",1600952560285757441,1173978070535024642,en,1600952560285757441,2022-12-08T20:36:49.000Z,"🚨 I voted “YES” on the National Defense Authorization Act (#NDAA). This critical defense bill authorizes a troop pay raise, ends the COVID vax mandate, and includes over $190M for military construction projects @MCASCPPA, @MCASNewRiver, &amp; @camp_lejeune. https://t.co/XTsZwxocUL",False,1600952560285757441,0,6,6,0
RepGregMurphy,"Congressman Greg Murphy, M.D.",1600924219075809281,1173978070535024642,en,1600924219075809281,2022-12-08T18:44:12.000Z,"In the face of physicians, who were on the front line of saving lives during the pandemic, facing a 4.42% cut from Medicare, executive pay raises are a slap in the face no matter how you spin in. https://t.co/RD5MLrHhdK",False,1600924219075809281,1,3,3,0
RepGregMurphy,"Congressman Greg Murphy, M.D.",1600599472899297282,1173978070535024642,en,1600599472899297282,2022-12-07T21:13:46.000Z,"Since 2007, the @RedCross Holiday for Heroes Program has provided Americans with the opportunity to send Christmas cards and holiday cheer to our brave service members, veterans, and their families. Great to write some letters of gratitude with my friend @RepDustyJohnson! ✉️🎄🇺🇸 https://t.co/CWLxeR5LUU",False,1600599472899297282,4,6,6,0
RepGregMurphy,"Congressman Greg Murphy, M.D.",1600580121064259663,1173978070535024642,en,1600580121064259663,2022-12-07T19:56:52.000Z,"While eliminating the unjust #COVID vaccine mandate for service members is a win for our U.S. Armed Forces, we must work to reenlist those who were discharged and hold the Biden Admin accountable for this damaging, politically targeted act. Read more: https://t.co/Vb6kSUvUb5",False,1600580121064259663,5,15,15,1
RepGregMurphy,"Congressman Greg Murphy, M.D.",1600533451584708608,1173978070535024642,en,1600533451584708608,2022-12-07T16:51:25.000Z,"RT @EdLaborGOP: #FreeSpeech is at the heart of academic inquiry. 

At Monday's free speech roundtable hosted by @RepGregMurphy, @virginiafo…",False,1600533451584708608,3,0,0,0
RepGregMurphy,"Congressman Greg Murphy, M.D.",1600501164642123777,1173978070535024642,en,1600501164642123777,2022-12-07T14:43:08.000Z,"December 7, 1941 - ""a date which will live in infamy.""

81 years later, we remember President Franklin D. Roosevelt's famous words in the wake of the devastating attack on #PearlHarbor which killed 2,335 service members and 68 civilians. #NeverForget #PearlHarborRemembranceDay",False,1600501164642123777,4,4,4,0
RepGregMurphy,"Congressman Greg Murphy, M.D.",1600125735561089024,1173978070535024642,en,1600125735561089024,2022-12-06T13:51:18.000Z,"Thank you @virginiafoxx, @RepBurgessOwens, @RepKatCammack, @RepMMM, @yaf, @TheFIREorg, @realkaraleegeis, and @goACTA for your leadership in protecting students' First Amendment rights, especially in post-secondary education. #FreeSpeech",False,1600125732188868608,2,1,1,0
RepGregMurphy,"Congressman Greg Murphy, M.D.",1600125732188868608,1173978070535024642,en,1600125732188868608,2022-12-06T13:51:18.000Z,"Now that the American people have entrusted Republicans with a @HouseGOP majority, we must make #1A protections a top priority. ICYMI, read more about our Campus Free Speech Roundtable ⬇️: https://t.co/7LbKbExPY0 https://t.co/3bHDzC1UfD",False,1600125732188868608,3,6,6,0
RepGregMurphy,"Congressman Greg Murphy, M.D.",1599870055981862912,1173978070535024642,en,1599870055981862912,2022-12-05T20:55:20.000Z,"RT @RepBurgessOwens: Freedom of speech is a fundamental Constitutional right. Proud to join @RepGregMurphy, @virginiafoxx, @RepKatCammack,…",False,1599870055981862912,12,0,0,0
RepGregMurphy,"Congressman Greg Murphy, M.D.",1599795761587580928,1173978070535024642,en,1599795761587580928,2022-12-05T16:00:06.000Z,Great to have @goACTA on board as we advance free expression in higher education. Tune in to our Campus Free Speech Roundtable now! https://t.co/DvhtNmm3QT https://t.co/emEzaiwPYv,False,1599795761587580928,0,5,5,2
