handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepGregPence,Rep. Greg Pence,1601292915279646720,1082369392229400576,en,1601292915279646720,2022-12-09T19:09:16.000Z,"Law enforcement officers are working overtime to get deadly poisons off our streets.

Yet, they get no support from Biden because he won’t take action to secure the southern border.

This Administration’s dereliction of duty is threatening Hoosier lives. https://t.co/ZwAKe0hrAs",False,1601292915279646720,2,3,3,0
RepGregPence,Rep. Greg Pence,1600958568806621220,1082369392229400576,en,1600958568806621220,2022-12-08T21:00:41.000Z,"Democrats knew energy prices would skyrocket when they declared war on fossil fuels. They didn’t care.

Americans shouldn’t be paying the price for liberals ill-fated policies.

Next year @HouseCommerce⁩ will work to end this energy crisis. https://t.co/DpaGnmiLiN",False,1600958568806621220,4,5,5,1
RepGregPence,Rep. Greg Pence,1600884672459849728,1082369392229400576,en,1600884672459849728,2022-12-08T16:07:03.000Z,"To the Hoosiers of Indiana’s Sixth District, family and friends — we’ve moved offices! You can now find us at 404 Cannon House Office Building when you’re visiting Washington, D.C. 🇺🇸 https://t.co/B4heqJElrn",False,1600884672459849728,0,2,2,1
RepGregPence,Rep. Greg Pence,1600620829481508872,1082369392229400576,en,1600620829481508872,2022-12-07T22:38:38.000Z,"My good friend @RepPeteStauber &amp; I spent time with the @RedCross today writing messages to our troops, veterans &amp; their families this Christmas season. 🎄

Our American Heroes sacrifice so much for our Freedom, especially during the Holidays — we can never thank them enough! 🇺🇸 https://t.co/m0iY65Xt0X",False,1600620829481508872,2,10,10,0
RepGregPence,Rep. Greg Pence,1600519290905583619,1082369392229400576,en,1600519290905583619,2022-12-07T15:55:09.000Z,"Today, on Pearl Harbor Remembrance Day, we honor the more than 2,400 brave Americans who were tragically taken from us on that infamous day eighty-one years ago.

We will Never Forget the sacrifice of the heroes of our Armed Services who paid the ultimate price for our Freedom. https://t.co/5fZfLendq9",False,1600519290905583619,3,1,1,0
RepGregPence,Rep. Greg Pence,1598755474349883400,1082369392229400576,en,1598755474349883400,2022-12-02T19:06:23.000Z,"The late Congresswoman Jackie Walorski had a servant’s heart, which was very clearly reflected in her dedication to helping our most vulnerable.

Today, I’m proud the House passed legislation honoring her legacy of work supporting women, children &amp; families across the nation. 🇺🇸 https://t.co/Hk9jdGIRce",False,1598755474349883400,4,13,13,0
RepGregPence,Rep. Greg Pence,1595779312539832320,1082369392229400576,en,1595779312539832320,2022-11-24T14:00:10.000Z,"Today, we come together with loved ones with the opportunity to reflect on the many great blessings the Lord has given us this year. 🙏

From our family to yours — Denise and I would like to wish everyone across Indiana and America, a happy and peaceful Thanksgiving! https://t.co/ITsJay36LW",False,1595779312539832320,0,10,10,0
RepGregPence,Rep. Greg Pence,1592929802121805825,1082369392229400576,en,1592929802121805825,2022-11-16T17:17:14.000Z,"Thank you to @USMC_LegAffairs for honoring Congressional Marines this week for the @USMC’s 247th Birthday. 

These fine service members do an outstanding job aiding us on Capitol Hill in serving our Marine constituents.

Semper Fi! 🇺🇸 https://t.co/2kRBeoyQ1k",False,1592929802121805825,1,3,3,0
RepGregPence,Rep. Greg Pence,1592641253421813761,1082369392229400576,en,1592641253421813761,2022-11-15T22:10:39.000Z,"Today, with a heavy heart, I honored a dear friend – Anthony “Tony” Moravec on the U.S. House Floor.

It’s exceptionally hard to underscore what an immense loss Tony’s passing is to our community.

May his memory be a blessing to all those who knew him.  https://t.co/YctvXR5N1b",False,1592641253421813761,3,6,6,0
RepGregPence,Rep. Greg Pence,1591221433791057920,1082369392229400576,en,1591221433791057920,2022-11-12T00:08:47.000Z,"Another due and deserving thank-you to America’s Veterans from Denise and I on this special day. 

May God Bless our American Heroes. May God Bless America. 🇺🇸 #SemperFi https://t.co/F15vwfJ75z",False,1591221433791057920,1,8,8,1
RepGregPence,Rep. Greg Pence,1591179980494753792,1082369392229400576,en,1591179980494753792,2022-11-11T21:24:04.000Z,"Today, and everyday we honor the millions of brave and courageous service members who took an oath to serve our Nation.

America remains a Free nation because of their fortitude and patriotism.

On behalf of a grateful nation: thank you to our veterans of our Armed Forces. 🇺🇸 https://t.co/sNUApiphzR",False,1591179980494753792,2,4,4,1
RepGregPence,Rep. Greg Pence,1591099019513982977,1082369392229400576,en,1591099019513982977,2022-11-11T16:02:22.000Z,"It was honor to serve our Country in the @USMC, and it’s an honor to serve again as the U.S. Representative for #IN06 fighting for our Veterans in Congress.

This morning, I joined fellow Marines to honor what Veterans Day means for our nation. Freedom isn’t Free. 🇺🇸 https://t.co/28k14ayWT1",False,1591099019513982977,3,4,4,0
RepGregPence,Rep. Greg Pence,1590875644883148800,1082369392229400576,en,1590875644883148800,2022-11-11T01:14:45.000Z,Thank you to Judge Worton for inviting me to share my story of service in the Marine Corps. My hope is that the participants in the Bartholomew County Veterans Treatment Court are inspired this Veterans Day in their journey of recovery and redemption. 🇺🇸 https://t.co/Oagipe0XxD,False,1590875644883148800,1,4,4,0
RepGregPence,Rep. Greg Pence,1590875501538988032,1082369392229400576,en,1590875501538988032,2022-11-11T01:14:11.000Z,"RT @tperkins: ""I'm looking forward to us getting about the business of Congress, passing bills reducing regulations, which is how I think i…",False,1590875501538988032,7,0,0,0
