handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepGregStanton,Rep. Greg Stanton,1606045148403486720,1080885078425784320,en,1606045148403486720,2022-12-22T21:52:56.000Z,"President @ZelenskyyUa left Congress this Ukrainian flag signed by soldiers on the frontlines—a reminder of the remarkable bravery of the women + men defending their homeland.

The U.S. must continue to steadfastly support Ukraine against Russia’s unprovoked and unjust invasion. https://t.co/0teFZkf2Av",False,1606045148403486720,3,1,1,0
RepGregStanton,Rep. Greg Stanton,1605730783498379264,1080885078425784320,en,1605730783498379264,2022-12-22T01:03:46.000Z,"Inspiring remarks from Ukrainian President Zelenskyy. Our countries, a world apart, are united by values of life, family, honor, faith and democracy.

America has a duty to stand by its allies when those values are threatened. We stand with Ukraine. 🇺🇦",False,1605730783498379264,47,87,87,4
RepGregStanton,Rep. Greg Stanton,1605719403018027010,1080885078425784320,en,1605719403018027010,2022-12-22T00:18:33.000Z,"Congress has failed its duty to protect Afghans who risked their lives for our troops.

With the Afghan Adjustment Act left out of our year-end funding bill, thousands will stay in limbo because of a few Senate Republicans. This is morally inexcusable.
https://t.co/XhpSnSupM4",False,1605719403018027010,3,2,2,0
RepGregStanton,Rep. Greg Stanton,1605315478313803776,1080885078425784320,en,1605315478313803776,2022-12-20T21:33:30.000Z,"Glad to join the dedicated staff and volunteers at @SVdP in Mesa today to help prepare holiday meals for Arizonans in need.

Volunteers are vital to their daily work—you can sign up to lend a hand this holiday season by visiting https://t.co/Vlxedfm4fa. https://t.co/bpc5WlofDs",False,1605315478313803776,2,2,2,0
RepGregStanton,Rep. Greg Stanton,1605029790721126401,1080885078425784320,en,1605029790721126401,2022-12-20T02:38:16.000Z,"Glad to join @mayorcoreywoods and Chabad at ASU’s Rabbi Shmuel Tiechtel tonight in Tempe for the first annual menorah lighting.

Amid a rise in antisemitism, this year’s celebrations are an important reminder that light will always triumph over darkness. https://t.co/vAYan6ra6L",False,1605029790721126401,3,1,1,1
RepGregStanton,Rep. Greg Stanton,1604964262627233835,1080885078425784320,en,1604964262627233835,2022-12-19T22:17:53.000Z,"RT @PHXSkyHarbor: Today @MayorGallego, @RepGregStanton, @District7PHX and representatives from @Alstom, @HenselPhelps &amp; @Hertz celebrated t…",False,1604964262627233835,5,0,0,0
RepGregStanton,Rep. Greg Stanton,1604928104954216448,1080885078425784320,en,1604928104954216448,2022-12-19T19:54:13.000Z,"Proud to celebrate the grand opening of Sky Train Stage 2 alongside @MayorGallego!

Sky Harbor powers Arizona’s trade and tourism-focused economies. Now, just in time for the holidays, visitors will be able to get in their rental cars and out exploring the Valley even faster. https://t.co/R9FpZzR9HO",False,1604928104954216448,5,0,0,0
RepGregStanton,Rep. Greg Stanton,1604630793740988416,1080885078425784320,en,1604630793740988416,2022-12-19T00:12:48.000Z,Happy Hanukkah! May it bring peace and happiness to you and your loved ones.,False,1604630793740988416,1,0,0,0
RepGregStanton,Rep. Greg Stanton,1600963427283111937,1080885078425784320,en,1600963427283111937,2022-12-08T21:20:00.000Z,"Negotiating Brittney Griner’s release required a steady hand and competent diplomacy, both of which @POTUS and his team exemplified. I was glad to lead efforts in Congress to advocate for her release.

We never lost faith, we never gave up, and now BG is on her way home. https://t.co/0SN7lmZGWC",False,1600963427283111937,389,215,215,26
RepGregStanton,Rep. Greg Stanton,1600877765846519808,1080885078425784320,en,1600877765846519808,2022-12-08T15:39:36.000Z,"RT @SpeakerPelosi: .@POTUS, @SecBlinken &amp; @RepGregStanton should be commended in their work to help secure her release. Congress stands fir…",False,1600877765846519808,367,0,0,0
RepGregStanton,Rep. Greg Stanton,1600845256442146816,1080885078425784320,en,1600845256442146816,2022-12-08T13:30:26.000Z,"After nearly 300 days, Brittney Griner is coming home. 

This is the day we worked towards and prayed for.",False,1600845256442146816,124,361,361,16
RepGregStanton,Rep. Greg Stanton,1600608123852492802,1080885078425784320,en,1600608123852492802,2022-12-07T21:48:09.000Z,"On the 81st anniversary of the attack on Pearl Harbor we remember the sacrifice, honor and courage our fellow Americans had as they fought to defend our country. 2,300 servicemembers lost their lives including 1,177 officers and crew of the USS Arizona. We will never forget them.",False,1600608123852492802,4,4,4,0
RepGregStanton,Rep. Greg Stanton,1600513109705297920,1080885078425784320,en,1600513109705297920,2022-12-07T15:30:36.000Z,"Dreamers have been waiting far too long for certainty and a pathway to citizenship.

Let’s get this done. https://t.co/mLZMrZG8jU",False,1600513109705297920,50,13,13,2
RepGregStanton,Rep. Greg Stanton,1600235983617695744,1080885078425784320,en,1600235983617695744,2022-12-06T21:09:24.000Z,"Thanks to our bipartisan CHIPS Act, TSMC is increasing its investment in AZ and building a second semiconductor manufacturing facility in Phoenix.

This is great news—not only a boost to our economy but a combined 10,000 new, high-paying jobs here at home!
https://t.co/0sKkPvZ1cw",False,1600235983617695744,6,5,5,1
RepGregStanton,Rep. Greg Stanton,1600227699854745600,1080885078425784320,en,1600227699854745600,2022-12-06T20:36:29.000Z,"While traveling to Phoenix aboard Air Force One, I had the opportunity to speak with President Biden about the critical need to protect the Colorado River system and urged him to do all he can to bring Brittney Griner home as soon as possible. https://t.co/jJlMo2FDa0",False,1600227699854745600,35,35,35,3
RepGregStanton,Rep. Greg Stanton,1600175758814502924,1080885078425784320,en,1600175758814502924,2022-12-06T17:10:05.000Z,".@POTUS's visit goes to show just how critical Arizona's semiconductor industry is for our national security and global competitiveness.

Thanks to our bipartisan CHIPS Act, we're making more here at home instead of relying on competitors like China.
https://t.co/mOhiV5bxao",False,1600175758814502924,9,4,4,1
RepGregStanton,Rep. Greg Stanton,1598793665924980736,1080885078425784320,en,1598793665924980736,2022-12-02T21:38:08.000Z,Had the pleasure to meet with @Adrian_Fontes to discuss how we can partner to help strengthen Arizona's election security. I rest easy knowing that voters have entrusted him to ensure elections are run right and well and that every vote and voice counts. https://t.co/6A6KaKAZDs,False,1598793665924980736,49,81,81,7
RepGregStanton,Rep. Greg Stanton,1598752932798746624,1080885078425784320,en,1598752932798746624,2022-12-02T18:56:17.000Z,An excellent State of the City address by my friend @mayorcoreywoods. I'm grateful for his leadership and partnership—from improved transit options to increased housing services—together we've delivered for the city of Tempe. I look forward to all he will accomplish next! https://t.co/Z4dPCHv0BB,False,1598752932798746624,0,0,0,0
RepGregStanton,Rep. Greg Stanton,1598412625536335873,1080885078425784320,en,1598412625536335873,2022-12-01T20:24:01.000Z,"On #WorldAIDSDay , we mourn the lives cut short by this terrible disease and honor the resilience of those living with HIV.

Not only must we continue working to end the epidemic, we must also work to end the stigma and ensure access to treatment and prevention. https://t.co/SW7k8icmEZ",False,1598412625536335873,5,4,4,0
RepGregStanton,Rep. Greg Stanton,1598074005499817984,1080885078425784320,en,1598074005499817984,2022-11-30T21:58:28.000Z,"Good news: The @US_FDA is relaxing an outdated and discriminatory policy preventing gay and bisexual men from donating blood.

This is a long-overdue step that will increase our nation's blood supply without putting anyone at risk.
https://t.co/WxUaJwEr1b",False,1598074005499817984,13,6,6,1
RepGregStanton,Rep. Greg Stanton,1598023947911860224,1080885078425784320,en,1598023947911860224,2022-11-30T18:39:33.000Z,NEW: Public schools in need of energy improvements can now apply for grants through @ENERGY's new Renew America's Schools program. This first-of-its-kind investment by the Bipartisan Infrastructure Law will create healthier schools + lower energy costs. https://t.co/HDHysN8is9,False,1598023947911860224,4,0,0,0
RepGregStanton,Rep. Greg Stanton,1597996704867180545,1080885078425784320,en,1597996704867180545,2022-11-30T16:51:18.000Z,"Congratulations to @RepJeffries on his election as the House Democratic Leader! 

A historic moment for our country, as he is the first African American to lead either party in Congress. A truly good man, no one is better suited for this essential role at this critical moment. https://t.co/tE4XSZxpsZ",False,1597996704867180545,4,1,1,0
RepGregStanton,Rep. Greg Stanton,1597755988173795329,1080885078425784320,en,1597755988173795329,2022-11-30T00:54:47.000Z,"The #RespectforMarriageAct preserves every American's right to marry who they love, and the House should move quickly to send it to the President.

But we have more work to do to protect LGBTQ+ Americans from discrimination—that starts with the Senate passing the Equality Act. https://t.co/FFoljZdBLx",False,1597755988173795329,4,0,0,0
RepGregStanton,Rep. Greg Stanton,1597718347453722624,1080885078425784320,en,1597718347453722624,2022-11-29T22:25:12.000Z,"Countless Arizona restaurants were able to keep their doors open because of the Restaurant Revitalization Fund.

For months now, I've been calling on the @SBAgov to get every single unused dollar out the door and into small business owners' hands. This is welcome news. https://t.co/67sVkJYxou",False,1597718347453722624,1,5,5,0
RepGregStanton,Rep. Greg Stanton,1597701512884813824,1080885078425784320,en,1597701512884813824,2022-11-29T21:18:19.000Z,Never a doubt. Onto the next! 🇺🇸 https://t.co/sNRbllG9zY,False,1597701512884813824,4,2,2,0
RepGregStanton,Rep. Greg Stanton,1597662064381952000,1080885078425784320,en,1597662064381952000,2022-11-29T18:41:33.000Z,"#GivingTuesday is a chance to support local organizations that serve and uplift Arizonans.

No matter which worthy cause you choose, there are countless ways to make a difference. Learn more ⬇️ https://t.co/ondcQvQQ8B",False,1597662064381952000,0,1,1,0
RepGregStanton,Rep. Greg Stanton,1596578549871230976,1080885078425784320,en,1596578549871230976,2022-11-26T18:56:03.000Z,"Small businesses are the backbone of our economy and we can't imagine our community without them.

Today on Small Business Saturday, remember to #ShopSmall to show your support for the businesses that keep our community vibrant and strong! https://t.co/pHHtRZm1nv",False,1596578549871230976,0,7,7,0
RepGregStanton,Rep. Greg Stanton,1595805553623969792,1080885078425784320,en,1595805553623969792,2022-11-24T15:44:27.000Z,"From my family to yours, have a safe and happy Thanksgiving! https://t.co/YZMycN5cWE",False,1595805553623969792,0,3,3,0
RepGregStanton,Rep. Greg Stanton,1595179796094500864,1080885078425784320,en,1595179796094500864,2022-11-22T22:17:55.000Z,"Great to meet with @ValleyMetro's new CEO Jessica Mefford-Miller and see the progress on the South Central Light Rail extension!

Reliable public transit is one of our best economic development tools, and I'm excited to continue our strong partnership. https://t.co/b0DJAFsslC",False,1595179796094500864,4,1,1,0
RepGregStanton,Rep. Greg Stanton,1595131189538754560,1080885078425784320,en,1595131189538754560,2022-11-22T19:04:46.000Z,"Workplaces became safer when the President signed our Ending Forced Arbitration Act into law earlier this year.

And last week, the House passed the Speak Out Act to ensure survivors are no longer silenced through forced NDAs.",False,1595131189538754560,2,1,1,0
RepGregStanton,Rep. Greg Stanton,1594800089838526483,1080885078425784320,en,1594800089838526483,2022-11-21T21:09:06.000Z,"Red tape and old tech slows down environmental reviews for critical infrastructure projects—like expanding I-10 and building I-11.

I'm working with @SenMarkKelly and Republican colleagues to bring the process into the 21st century. https://t.co/BHK4RLovet",False,1594800089838526483,0,0,0,0
RepGregStanton,Rep. Greg Stanton,1594775505613750272,1080885078425784320,en,1594775505613750272,2022-11-21T19:31:24.000Z,"The team at @nativehealthphx went above and beyond to make sure Arizona seniors will have a warm and filling meal this Thanksgiving.

Grateful to lend a hand this morning! https://t.co/lfDtqGgyGr",False,1594775505613750272,1,0,0,0
RepGregStanton,Rep. Greg Stanton,1594390204630110212,1080885078425784320,en,1594390204630110212,2022-11-20T18:00:21.000Z,"Praying for the victims and their families.

No one should fear violence because of who they are or who they love. But just 6 yrs after the Pulse shooting, we are once again mourning the devastating consequences of anti-LGBTQ+ hate and inaction on gun violence.

Enough is enough. https://t.co/sOrI1dc2Ys",False,1594390204630110212,7,1,1,0
RepGregStanton,Rep. Greg Stanton,1593355306750431233,1080885078425784320,en,1593355306750431233,2022-11-17T21:28:02.000Z,"Since my very first days in Congress, @LeaderHoyer has been a friend and mentor. Leading with humor and grace, he's worked diligently to make sure every voice in our caucus was heard throughout the legislative process.

I'm grateful to continue serving alongside him in the House.",False,1593355306750431233,3,0,0,0
RepGregStanton,Rep. Greg Stanton,1593296912391852032,1080885078425784320,en,1593296912391852032,2022-11-17T17:36:00.000Z,"Under her expert leadership, the House passed generation-defining bills like the Affordable Care Act, American Rescue Plan, Bipartisan Infrastructure Law, Inflation Reduction Act and CHIPS and Science Act.

She has served not just her party but the country well.",False,1593296910986756098,4,0,0,0
RepGregStanton,Rep. Greg Stanton,1593296910986756098,1080885078425784320,en,1593296910986756098,2022-11-17T17:36:00.000Z,"When the history books are written, @SpeakerPelosi will go down as one of the most effective and prolific legislative leaders in American history.

Her discipline and savvy are unmatched, as is her ability to build consensus on many challenging issues within a diverse Congress.",False,1593296910986756098,9,2,2,0
RepGregStanton,Rep. Greg Stanton,1593033636433235970,1080885078425784320,en,1593033636433235970,2022-11-17T00:09:50.000Z,"Afterschool programs like @KyreneSchools' Kids Club help students learn beyond the classroom.

Great to stop by Kyrene de los Lagos Dual Language Academy in Ahwatukee to help celebrate #LightsOnAfterschool.
https://t.co/GszlFqd7p6",False,1593033636433235970,1,0,0,0
RepGregStanton,Rep. Greg Stanton,1592991432553660419,1080885078425784320,en,1592991432553660419,2022-11-16T21:22:08.000Z,"I proudly helped pass the Respect for Marriage Act in the House, which will finally protect marriage equality under federal law.

Today, the Senate took a crucial step towards passing this bipartisan legislation.

Let's get it done.🌈",False,1592991432553660419,7,2,2,1
RepGregStanton,Rep. Greg Stanton,1592948651336536064,1080885078425784320,en,1592948651336536064,2022-11-16T18:32:08.000Z,"Arizona is becoming a global leader in semiconductor manufacturing—and with more investments through the CHIPS Act, companies like @Apple see the promise our state has to offer. https://t.co/hKAAhz4I3b",False,1592948651336536064,2,0,0,0
RepGregStanton,Rep. Greg Stanton,1592681570754002944,1080885078425784320,en,1592681570754002944,2022-11-16T00:50:51.000Z,"We're building a better Arizona. I look forward to the work ahead, and I'm dedicated to making sure our state gets its fair share of federal resources to help move our economy and community forward.",False,1592681525900083200,1,1,1,0
RepGregStanton,Rep. Greg Stanton,1592681567637635072,1080885078425784320,en,1592681567637635072,2022-11-16T00:50:50.000Z,"In today's world, high-speed internet access is more than a luxury, it's a necessity, a direct connection to a quality education, health care and economic opportunity.

Thanks to the Bipartisan Infrastructure Law, Arizona is receiving $100M to expand broadband access. https://t.co/dL0jODaYEx",False,1592681525900083200,1,1,1,0
RepGregStanton,Rep. Greg Stanton,1592681562134700033,1080885078425784320,en,1592681562134700033,2022-11-16T00:50:49.000Z,"Putting more electric vehicles on the road and chargers in the streets helps address the climate crisis and support good jobs. Thanks to the Bipartisan Infrastructure Law, Arizona will receive $76M+ to expand our EV charging network.

Read more: https://t.co/DiEwjYkxel https://t.co/yuQPTKtTUf",False,1592681525900083200,0,1,1,0
RepGregStanton,Rep. Greg Stanton,1592681557076344832,1080885078425784320,en,1592681557076344832,2022-11-16T00:50:48.000Z,"A strong trade relationship with Mexico and a secure border is crucial to growing Arizona's economy.

The Bipartisan Infrastructure Law will send Arizona $500M+ to modernize ports of entry at our shared border––protecting our community and economy. https://t.co/dleM6kkgkC",False,1592681525900083200,0,1,1,0
RepGregStanton,Rep. Greg Stanton,1592681551074316288,1080885078425784320,en,1592681551074316288,2022-11-16T00:50:47.000Z,"Airports are economic engines that drive our regional economy and create jobs. The Bipartisan Infrastructure Law delivers $340M+ to AZ airports.

We've already funded two big projects:

✈️ $194M for a new taxiway at @PHXSkyHarbor
✈️ $14.4M for a new terminal at @gatewayairport https://t.co/MnokynI4sJ",False,1592681525900083200,0,1,1,0
RepGregStanton,Rep. Greg Stanton,1592681544766087168,1080885078425784320,en,1592681544766087168,2022-11-16T00:50:45.000Z,"When we invest in public transportation, we connect our community to jobs, health care and economic and educational opportunities.

The Bipartisan Infrastructure Law makes the largest public transportation investment ever, delivering $900M to Arizona. https://t.co/iTol9N9UIM",False,1592681525900083200,3,1,1,0
RepGregStanton,Rep. Greg Stanton,1592681538931806215,1080885078425784320,en,1592681538931806215,2022-11-16T00:50:44.000Z,"In August, I welcomed @SecretaryPete to Phoenix to announce one of the first projects: a $25M grant for a pedestrian bridge over the Salt River, connecting central and south Phoenix.

Read more about it here: https://t.co/u0hNXwEEPp https://t.co/FjTyQoMspZ",False,1592681525900083200,4,1,1,0
