handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepGregoryMeeks,Rep. Gregory Meeks,1601272034520363009,22812754,en,1601272034520363009,2022-12-09T17:46:17.000Z,"The expanded #ChildTaxCredit reached nearly 40 million families with 65 million children across the country allowing them to afford basics like food, clothes, housing, and childcare. More than 2 million New York families benefited from this tax cut. #NY05 
https://t.co/VqQiZWQe7W https://t.co/4C4dab2NsP",False,1601272034520363009,8,3,3,1
RepGregoryMeeks,Rep. Gregory Meeks,1600927358948896768,22812754,en,1600927358948896768,2022-12-08T18:56:40.000Z,RT @HouseForeign: Chair @RepGregoryMeeks' statement on the release of #BrittneyGriner from wrongful detention in Russia ⤵️ https://t.co/6iL…,False,1600927358948896768,5,0,0,0
RepGregoryMeeks,Rep. Gregory Meeks,1600916925994790913,22812754,en,1600916925994790913,2022-12-08T18:15:13.000Z,"Today, the House PASSED the #RespectForMarriageAct. I am proud to have voted for a measure that protects &amp; respects same-sex &amp; interracial marriages in this country.

Love wins again, and I look forward to seeing @POTUS sign this bill into law. 🌈 https://t.co/vVFlkPtSJH",False,1600916925994790913,4,2,2,0
RepGregoryMeeks,Rep. Gregory Meeks,1600511038994120706,22812754,en,1600511038994120706,2022-12-07T15:22:22.000Z,Congratulations to my colleague @ReverendWarnock for winning his re-election race to the U.S. Senate. Georgians chose democracy. https://t.co/Uxymj52CW4,False,1600511038994120706,9,1,1,1
RepGregoryMeeks,Rep. Gregory Meeks,1600293682141274112,22812754,en,1600293682141274112,2022-12-07T00:58:40.000Z,"The Trump Organization was found GUILTY of tax fraud, conspiracy and more. Time to end their era of greed and deceit.  https://t.co/IPQLvpZZ7U",False,1600293682141274112,7,6,6,2
RepGregoryMeeks,Rep. Gregory Meeks,1599891513353203712,22812754,en,1599891513353203712,2022-12-05T22:20:35.000Z,"Today, I had the pleasure of attending the @YorkCollegeCUNY Groundbreaking for the Welcome Center. It serves as a one-stop shop for students &amp; visitors with the tools they need to navigate the admissions process &amp; more. The renovation will enhance the College’s many offerings. https://t.co/H1GwEDKedX",False,1599891513353203712,5,4,4,0
RepGregoryMeeks,Rep. Gregory Meeks,1598757403528290304,22812754,en,1598757403528290304,2022-12-02T19:14:03.000Z,"RT @HouseForeign: CM @RepGregoryMeeks: France is our oldest ally and a cherished friend to the United States.

Honored to welcome @Emmanuel…",False,1598757403528290304,11,0,0,0
RepGregoryMeeks,Rep. Gregory Meeks,1598422315536097283,22812754,en,1598422315536097283,2022-12-01T21:02:31.000Z,"Today, we passed a bill that would improve the national standard of care for women who are pregnant and incarcerated.

No woman should be shackled to a bed during labor &amp; delivery. Women should feel safe and cared for during this special time in their lives. https://t.co/VGhjEFYDDJ",False,1598422315536097283,8,5,5,0
RepGregoryMeeks,Rep. Gregory Meeks,1598116368532267008,22812754,en,1598116368532267008,2022-12-01T00:46:48.000Z,"""The time is now for the next generation of House Democratic leadership. I am proud of the individuals that we’ve elected to lead our Caucus because they have demonstrated their commitment to serve the American people...""
https://t.co/eXoHiEiLQj",False,1598116368532267008,8,1,1,0
RepGregoryMeeks,Rep. Gregory Meeks,1597971431459270657,22812754,en,1597971431459270657,2022-11-30T15:10:52.000Z,I am proud that my Senate colleagues voted in support of the #RespectForMarriageAct. This measure will ensure critical protections for same-sex and interracial marriages. Americans deserve the right to marry who they love. https://t.co/gThjIabbOx,False,1597971431459270657,2,0,0,0
RepGregoryMeeks,Rep. Gregory Meeks,1597693163296403457,22812754,en,1597693163296403457,2022-11-29T20:45:08.000Z,"Today, I had the pleasure of attending the @JFKairport Terminal 8 Ribbon Cutting. The modernization project revitalizes New York’s economy by offering good paying jobs for residents and serves as our country’s door to the world. This airport is certainly a premier global gateway. https://t.co/WIhvRChHHw",False,1597693163296403457,1,2,2,0
