handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepHalRogers,Hal Rogers,1583255475348336642,550401754,en,1583255475348336642,2022-10-21T00:34:55.000Z,RT @SOAR_EKY: A salute and standing ovation for our first responders who helped and assisted during this year’s severe flooding in Eastern…,False,1583255475348336642,7,0,0,0
RepHalRogers,Hal Rogers,1583250384017010688,550401754,en,1583250384017010688,2022-10-21T00:14:41.000Z,Thank you @GayleManchin for joining us at the SOAR Summit! ARC’s investments are so important as we revitalize Eastern Kentucky. Thank you for supporting the mission of @SOAR_EKY! https://t.co/NQeuK9KolZ,False,1583250384017010688,2,11,11,0
RepHalRogers,Hal Rogers,1583069527457566720,550401754,en,1583069527457566720,2022-10-20T12:16:02.000Z,"Nearly 1,500 people are in Pikeville, Ky this week for the 9th annual @SOAR_EKY Summit! On Wednesday, @GovAndyBeshear &amp; I announced $25 million in AMLER grants for 11 projects and 200 jobs in Eastern Kentucky. Stay tuned for more announcements today. Visit https://t.co/X8aVkKx8jI https://t.co/VFp4ha9Sx5",False,1583069527457566720,2,4,4,2
RepHalRogers,Hal Rogers,1574844565248512000,550401754,en,1574844565248512000,2022-09-27T19:32:58.000Z,"Flood survivors now have an additional 30 days to apply for @fema aid. Last week, KY’s Congressional Delegation requested the extension for Individual Assistance in Breathitt, Clay, Floyd, Knott, Lee, Leslie, Letcher, Magoffin, Martin, Owsley, Perry, Pike &amp; Whitley Co. https://t.co/10VLFdvpUP",False,1574844565248512000,2,5,5,0
RepHalRogers,Hal Rogers,1572672338096955394,550401754,en,1572672338096955394,2022-09-21T19:41:18.000Z,"With only one week left before the @fema deadline expires next Wed. Sept. 28, Kentucky's federal leaders have requested a 30-day extension for East Kentucky flood survivors to apply for housing assistance. Learn more at https://t.co/X8aVkKx8jI.
@femaregion4 https://t.co/dnZP5VeCjh",False,1572672338096955394,1,2,2,1
RepHalRogers,Hal Rogers,1571886920489226242,550401754,en,1571886920489226242,2022-09-19T15:40:20.000Z,"ATTN: High School &amp; Middle School Students in Southern and Eastern Kentucky: You are invited to compete in the 2022 Congressional App Challenge.
Click this link to learn how to apply:   https://t.co/t7Y1ZcqyTF 
@CongressionalAC https://t.co/ewNty0ecwz",False,1571886920489226242,7,4,4,0
RepHalRogers,Hal Rogers,1570197566230507520,550401754,en,1570197566230507520,2022-09-14T23:47:27.000Z,Special thanks to @GOPLeader &amp; @LeaderHoyer for honoring me tonight as Dean of the House. Read more at https://t.co/X8aVkKx8jI https://t.co/WRtBYLCL1f,False,1570197566230507520,5,10,10,9
RepHalRogers,Hal Rogers,1570075693584715784,550401754,en,1570075693584715784,2022-09-14T15:43:10.000Z,"As we continue to help East Kentucky with flood relief efforts, Ky's Congressional Delegation sent a letter to @POTUS requesting an increased federal cost share for counties facing high costs for debris removal &amp; emergency protective measures. Read more at https://t.co/X8aVkKwAua https://t.co/4pkoxVDe2f",False,1570075693584715784,1,2,2,0
RepHalRogers,Hal Rogers,1569747474507505664,550401754,en,1569747474507505664,2022-09-13T17:58:57.000Z,RT @McConnellPress: .@LeaderMcConnell and @RepHalRogers Announce Over $2.2 Million for Water System Improvements in Eastern Kentucky: https…,False,1569747474507505664,2,0,0,0
RepHalRogers,Hal Rogers,1567271210341343232,550401754,en,1567271210341343232,2022-09-06T21:59:09.000Z,"The days of boiling water in Buckhorn, Ky. will soon be over, thanks to $8.9 million in funding that @GovAndyBeshear &amp; I announced today for a new water treatment plant. I was grateful to share some good news after the flood. Read more at https://t.co/X8aVkKwAua. https://t.co/3xS8r1ZI07",False,1567271210341343232,1,5,5,2
