handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepHarshbarger,Rep. Diana Harshbarger,1601315288880132097,1345787285179162624,en,1601315288880132097,2022-12-09T20:38:10.000Z,"We now know that the price for Freedom of Speech is $44 billion, a hefty price tag for truth.

Merry Christmas America",False,1601315288880132097,8,14,14,0
RepHarshbarger,Rep. Diana Harshbarger,1600956735887245312,1345787285179162624,en,1600956735887245312,2022-12-08T20:53:24.000Z,"The Washington elite is in no position to force decisions on Americans who know their needs best.

Eliminating the COVID vaccine mandate for our military is a win, but just the beginning. I won’t rest until the Biden Admin is held accountable for their tyrannical policies.",False,1600956735887245312,23,9,9,1
RepHarshbarger,Rep. Diana Harshbarger,1600912062615801857,1345787285179162624,en,1600912062615801857,2022-12-08T17:55:53.000Z,"Families are being ripped apart by drugs crossing our southern border and inflation is stealing food off the table of middle class Americans.

What are Democrats pushing? A bill to redefine marriage.

Americans deserve solutions not distractions, I voted NO.",False,1600912062615801857,7,15,15,4
RepHarshbarger,Rep. Diana Harshbarger,1600886602120581120,1345787285179162624,en,1600886602120581120,2022-12-08T16:14:43.000Z,"!!Breaking !!

@AdamSchiff is circulating a letter urging @facebook to maintain their ban of President Trump's account.

The left is desperate for power and is willing to deploy CCP-style censorship tactics to silence any opposition. 

This is the real threat to democracy.",False,1600886602120581120,201,60,60,26
RepHarshbarger,Rep. Diana Harshbarger,1600557015985582081,1345787285179162624,en,1600557015985582081,2022-12-07T18:25:04.000Z,Removing President Biden’s unjust vaccine mandate from this year’s NDAA is just the first step. It’s time for this administration to take accountability for targeting our men and women in uniform. Our fight is not over until every undue termination is reversed.,False,1600557015985582081,16,12,12,3
RepHarshbarger,Rep. Diana Harshbarger,1600534641563271169,1345787285179162624,en,1600534641563271169,2022-12-07T16:56:09.000Z,"Today will always “live in infamy” as we honor the 2,403 Americans who were killed in the attack on Pearl Harbor.

God Bless the Greatest Generation. May we never forget the sacrifices they made for our freedom.🇺🇸 https://t.co/NvfGkN0tce",False,1600534641563271169,9,3,3,2
RepHarshbarger,Rep. Diana Harshbarger,1600528332151574530,1345787285179162624,en,1600528332151574530,2022-12-07T16:31:05.000Z,"🚨BIG NEWS🚨
@HouseGOP stands against Biden’s tyrannical vaccine mandate and delivers a win to our heroes. https://t.co/fat5xCmSZL",False,1600528332151574530,8,6,6,2
RepHarshbarger,Rep. Diana Harshbarger,1600201876254822400,1345787285179162624,en,1600201876254822400,2022-12-06T18:53:52.000Z,"Joe Biden just admitted he’s refused to visit the southern border. His excuse?: “there are more important things”.

Admitting that the health and safety of Americans is not a priority for the White House is a bad look for Biden.",False,1600201876254822400,9,10,10,5
RepHarshbarger,Rep. Diana Harshbarger,1600186011388063744,1345787285179162624,en,1600186011388063744,2022-12-06T17:50:49.000Z,Our heroes should never be forced to choose between a jab and a job.,False,1600186011388063744,10,9,9,0
RepHarshbarger,Rep. Diana Harshbarger,1600130507156512768,1345787285179162624,en,1600130507156512768,2022-12-06T14:10:16.000Z,"Men and women, who dedicated their careers to protecting this nation, are losing their livelihoods over Biden’s COVID vaccine mandate. Our service members deserve protection from this undue termination.",False,1600130507156512768,9,10,10,2
RepHarshbarger,Rep. Diana Harshbarger,1599853451885748226,1345787285179162624,en,1599853451885748226,2022-12-05T19:49:21.000Z,"As our nation faces new and unprecedented challenges, let us keep Psalm 27:1 in our hearts: “the Lord is my light and salvation, so why should I be afraid?”

With faith and fearlessness, God will lead this great nation through turbulent times.",False,1599853451885748226,5,7,7,2
RepHarshbarger,Rep. Diana Harshbarger,1599838836481458176,1345787285179162624,en,1599838836481458176,2022-12-05T18:51:16.000Z,"As for me and East Tennessee, we are NOT proud of Joe Biden’s handiwork: 

- Record breaking fentanyl overdoses
- Decade-high crime rates
- 40-year high inflation
- Open border
- Afghanistan disaster
- Unaffordable gas prices
- Parent’s rights trampled

Changes coming soon… https://t.co/Zq7UadgaCT",False,1599838836481458176,4,18,18,0
RepHarshbarger,Rep. Diana Harshbarger,1599784584673398784,1345787285179162624,en,1599784584673398784,2022-12-05T15:15:42.000Z,"Today we remember MSG Jefferson Davis, who lost his life 21 years ago.

MSG Davis was an East Tennessee native who gave his life in defense of our freedom.

Please join me in praying for his family and the families of all of our service members. https://t.co/yPk0ATcgED",False,1599784584673398784,3,2,2,0
RepHarshbarger,Rep. Diana Harshbarger,1599423085181997056,1345787285179162624,en,1599423085181997056,2022-12-04T15:19:14.000Z,"Science supports the efficacy of natural immunity.

That's why, together with @SenMikeLee, I introduced the Natural Immunity is Real Act, which requires the Fed Gov to acknowledge Natural Immunity.",False,1599423083324272640,4,7,7,1
