handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepHoulahan,Chrissy Houlahan,1601329220998660097,1052896620797460481,en,1601329220998660097,2022-12-09T21:33:32.000Z,"Here's our latest Week in Review!
🇺🇸 Passed the annual defense bill w/ dozens of my provisions
🏳️‍🌈 Sent the Respect for Marriage Act to President's desk
💼 Started Bipartisan Working Group on paid leave
🏬 Visited small business incubator in Coatesville

Have a great weekend #PA06 https://t.co/6zV54dVDcK",False,1601329220998660097,3,5,5,0
RepHoulahan,Chrissy Houlahan,1600862181234311168,1052896620797460481,en,1600862181234311168,2022-12-08T14:37:41.000Z,"The House will pass the #RespectForMarriageAct today.

For my daughter, her wife, and all members of the LGBTQ+ community — I am an enthusiastic YES vote.

🏳️‍🌈🏳️‍🌈🏳️‍🌈",False,1600862181234311168,14,3,3,2
RepHoulahan,Chrissy Houlahan,1600858919378702336,1052896620797460481,en,1600858919378702336,2022-12-08T14:24:43.000Z,"Last week, I was in Coatesville touring a great local business, @jgm_steel. They are extremely entrepreneurial and innovative, something that I particularly appreciate as an entrepreneur myself.

Thanks for having me! https://t.co/cHfvRpXGg5",False,1600858919378702336,0,1,1,1
RepHoulahan,Chrissy Houlahan,1600240284381560834,1052896620797460481,en,1600240284381560834,2022-12-06T21:26:29.000Z,"Tonight, the House joined the Senate in overwhelmingly passing the PROTECT Our Children Act, which will give law enforcement better tools to combat child exploitation across the country.

More on this bill: https://t.co/TmpFLDTlpm https://t.co/EDGB7FzyC6",False,1600240280438902784,3,2,2,0
RepHoulahan,Chrissy Houlahan,1600240280438902784,1052896620797460481,en,1600240280438902784,2022-12-06T21:26:28.000Z,"We live in a digital age where, sadly, there are bad actors out there who want to use online platforms to exploit children.

As a parent, I'm alarmed.

As a Representative, I'm working to address this horrific practice.",False,1600240280438902784,5,4,4,0
RepHoulahan,Chrissy Houlahan,1600164993240023046,1052896620797460481,en,1600164993240023046,2022-12-06T16:27:18.000Z,"Today, we are honoring the heroic @CapitolPolice officers who defended our democracy on January 6th.

They have rightfully earned the Congressional Gold Medal for their efforts, and we must continue to support them with the resources they need to protect our nation's capital.",False,1600164993240023046,10,4,4,0
RepHoulahan,Chrissy Houlahan,1599902020630380545,1052896620797460481,en,1599902020630380545,2022-12-05T23:02:21.000Z,"Evenly divided between Republicans &amp; Democrats, our group will pursue policies that have a real chance of getting signed into law. 

Grateful for our parternship with @RepColinAllred, @RepHaleyStevens, @RepMMM, and @RepJuliaLetlow, and excited for the work ahead on paid leave.",False,1599902017887019031,2,2,2,0
RepHoulahan,Chrissy Houlahan,1599902017887019031,1052896620797460481,en,1599902017887019031,2022-12-05T23:02:20.000Z,"I firmly believe that progress in Congress is rooted in bipartisan compromise, and I know many in our community feel that way too. That's why I created the first ever bipartisan working group with @RepBice to advance paid leave policies. 
https://t.co/yPPZcFGsZE",False,1599902017887019031,3,8,8,2
RepHoulahan,Chrissy Houlahan,1599871893884260353,1052896620797460481,en,1599871893884260353,2022-12-05T21:02:38.000Z,"@Friel9th Same building (Longworth), new floor (7th). We will be in room 1727!",False,1599832564394381312,0,1,1,0
RepHoulahan,Chrissy Houlahan,1599863189574864896,1052896620797460481,en,1599863189574864896,2022-12-05T20:28:03.000Z,"The baby infant formula crisis is still affecting families, and our community isn't immune.

It's why I authored my bipartisan Access to Donor Milk Act to improve access to donor breast milk, better child health, and combat the infant formula shortage.
https://t.co/gXPZRUkveb",False,1599863189574864896,0,2,2,0
