handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepJasonCrow,Rep. Jason Crow,1601317208072024064,1080191866509901826,en,1601317208072024064,2022-12-09T20:45:48.000Z,"I may not be here if it weren't for Afghan partners who helped our troops.

We have a moral &amp; national security obligation to honor our promises to friends &amp; partners. It would be an epic failure &amp; moral travesty to end this program. 

I won’t stop fighting for our Afghan friends https://t.co/ywQ7mqWRZu",False,1601317208072024064,33,10,10,0
RepJasonCrow,Rep. Jason Crow,1601279523533729792,1080191866509901826,en,1601279523533729792,2022-12-09T18:16:03.000Z,"Welcome home, Brittney!

Grateful to the Administration for doing the tough diplomatic work to make it happen.

It’s always a win to bring an American home. https://t.co/nNXpqVYATc",False,1601279523533729792,13,4,4,0
RepJasonCrow,Rep. Jason Crow,1601222306189017088,1080191866509901826,en,1601222306189017088,2022-12-09T14:28:41.000Z,"RT @ldelpuerto: colo_politics: ""On paper, the Russians should have won this war, and they should have won it a long time ago,"" @RepJasonCro…",False,1601222306189017088,9,0,0,0
RepJasonCrow,Rep. Jason Crow,1600931849043222529,1080191866509901826,en,1600931849043222529,2022-12-08T19:14:31.000Z,"When I was a young soldier, I lived with decisions made in Washington. I will never forget what that felt like. That's why I take my responsibility on @HASCDemocrats very seriously.

I’m proud to have delivered on 29 of my priorities &amp; many other big wins in this year's NDAA. https://t.co/M5dXUDFpuf",False,1600931849043222529,9,6,6,0
RepJasonCrow,Rep. Jason Crow,1600889626956529664,1080191866509901826,en,1600889626956529664,2022-12-08T16:26:44.000Z,"Today #LoveWins.

Proud to cast my vote to pass the #RespectForMarriageAct protecting every Americans' right to marry the person they love. https://t.co/CjAERNAsh5",False,1600889626956529664,50,20,20,2
RepJasonCrow,Rep. Jason Crow,1600517921318510594,1080191866509901826,en,1600517921318510594,2022-12-07T15:49:43.000Z,"December 7, 1941 — a date that lives in infamy.

On #PearlHarborRemembranceDay we commemorate those who made the ultimate sacrifice, &amp; those who fought against tyranny &amp; fascism in the years that followed.

May we always honor their memory. https://t.co/nja41wQnF9",False,1600517921318510594,17,10,10,1
RepJasonCrow,Rep. Jason Crow,1600261160355659776,1080191866509901826,en,1600261160355659776,2022-12-06T22:49:26.000Z,"🚨NEW: My &amp; @RepYoungKim's SBA Cyber Awareness Act passed &amp; will now head to @POTUS's desk to be signed into law.

I'm honored to have resounding bipartisan support for this bill as we deliver the protections our small business owners need &amp; deserve. https://t.co/sfOfzQs6sK",False,1600261160355659776,11,4,4,1
RepJasonCrow,Rep. Jason Crow,1600193447452823556,1080191866509901826,en,1600193447452823556,2022-12-06T18:20:22.000Z,"On Jan. 6 courageous @CapitolPolice &amp; @DCPoliceDept officers held off a mob at the Capitol to protect our lives.

We are here today because of their heroism.

Grateful stand with fellow Gallery Group members today as those officers were honored with a Congressional Gold Medal. https://t.co/U1POfBDapl",False,1600193447452823556,37,14,14,2
RepJasonCrow,Rep. Jason Crow,1600149710974558208,1080191866509901826,en,1600149710974558208,2022-12-06T15:26:35.000Z,"Small businesses are 3x more likely to be targeted by cybercriminals than larger ones.

Yet IT security remains a huge challenge for @SBAgov.

I'm proud to offer the SBA Cyber Awareness Act this week with @RepYoungKim to help provide the protections our small businesses need. https://t.co/bPH4fqQiKK",False,1600149710974558208,10,4,4,1
RepJasonCrow,Rep. Jason Crow,1599424788870664193,1080191866509901826,en,1599424788870664193,2022-12-04T15:26:00.000Z,"As our country has faced enormous difficulties @RepJeffries, @RepPeteAguilar, &amp; @RepKClark have always met the moment with courage &amp; resolve.

I have full faith they will continue to do so in these new roles as @HouseDemocrats tackle the biggest challenges our country faces. https://t.co/2G80F8ZAfb",False,1599424788870664193,18,14,14,2
RepJasonCrow,Rep. Jason Crow,1599041262211825665,1080191866509901826,en,1599041262211825665,2022-12-03T14:02:00.000Z,"Despite record profits during COVID, rail companies have nickel &amp; dimed workers over just 7 days of paid sick leave.

Our rail workers deserve good wages, fair treatment, &amp; the dignity of taking paid sick leave if necessary.

I voted in support of this deal &amp; our workers. https://t.co/pIRm31TQ5x",False,1599041262211825665,25,11,11,0
RepJasonCrow,Rep. Jason Crow,1598824232401526784,1080191866509901826,en,1598824232401526784,2022-12-02T23:39:36.000Z,"The very week members of the Oath Keepers were convicted of seditious conspiracy, the former president dined with an avowed antisemite &amp; white supremacist.

Right now we're in a battle for the heart &amp; soul of America.

We must speak out &amp; say this extremism will not be tolerated. https://t.co/85N6E7HsSZ",False,1598824232401526784,69,35,35,3
RepJasonCrow,Rep. Jason Crow,1598728964289138688,1080191866509901826,en,1598728964289138688,2022-12-02T17:21:02.000Z,"Thanks to the #InflationReductionAct we passed, CO families will be eligible for hundreds in direct energy savings in 2023.

That includes tax credits for:
💡Energy efficient home improvements;
🌞Installing clean energy sources like solar; &amp;
🚙Up to $7,500 for buying a new EV.",False,1598728964289138688,16,17,17,1
RepJasonCrow,Rep. Jason Crow,1598419248484851724,1080191866509901826,en,1598419248484851724,2022-12-01T20:50:20.000Z,"Small businesses are most vulnerable to cyber attacks &amp; for many, an attack can be lethal.

@RepYoungKim &amp; I are working to provide critical protections.

I'm proud of the strong bipartisan support for our @SBAgov Cyber Awareness Act as we protect &amp;  reinforce small businesses. https://t.co/z0zIoC6v6H",False,1598419248484851724,10,4,4,1
RepJasonCrow,Rep. Jason Crow,1598028696224694272,1080191866509901826,en,1598028696224694272,2022-11-30T18:58:25.000Z,"Since the horrific shooting at Club Q, there have already been 14 other mass shootings.
 
We don’t have to live like this.
 
There are commonsense measures we can and must pass. https://t.co/7OLbS81wov",False,1598028696224694272,34,19,19,2
RepJasonCrow,Rep. Jason Crow,1597721227313172480,1080191866509901826,en,1597721227313172480,2022-11-29T22:36:39.000Z,"I will never standby and allow people to legitimize extremists

Donald Trump is once again propping up antisemites and white supremacists. It’s not subtle and no one should tolerate it. 

If you’re not speaking out you’re part of the problem.

https://t.co/kmRxXexXaM",False,1597721227313172480,131,57,57,3
RepJasonCrow,Rep. Jason Crow,1597690763663376384,1080191866509901826,en,1597690763663376384,2022-11-29T20:35:36.000Z,"Sad to hear about the passing of my friend &amp; colleague Rep. McEachin – who spent his career standing up for working families in VA.

Our country is better for his leadership fighting the climate crisis.

My thoughts are with his loved ones, staff, &amp; constituents as they grieve. https://t.co/4kfGGAGqAX",False,1597690763663376384,6,3,3,0
RepJasonCrow,Rep. Jason Crow,1597674776310427649,1080191866509901826,en,1597674776310427649,2022-11-29T19:32:04.000Z,"RT @ASP: This weekend, a man entered an LGBTQ nightclub with an assault rifle &amp; a handgun, killed 5 people, &amp; injured about 19 others. Hear…",False,1597674776310427649,30,0,0,0
RepJasonCrow,Rep. Jason Crow,1597363820858859520,1080191866509901826,en,1597363820858859520,2022-11-28T22:56:27.000Z,"Glad to visit the @CUAnschutz Center for COMBAT Research today.
 
The research they’re conducting helps save lives on the battlefield &amp; after our servicemembers return.

I’m proud of our community’s work ensuring our veterans &amp; their families have the support they need to thrive. https://t.co/6kWzhawCyL",False,1597363820858859520,8,3,3,6
RepJasonCrow,Rep. Jason Crow,1597334168605970432,1080191866509901826,en,1597334168605970432,2022-11-28T20:58:37.000Z,"Grateful to join the @MattShepardFDN today to discuss their advocacy work in the wake of the Club Q attack.

We must never normalize these horrific events.

Working together, we will empower our communities to be seen &amp; heard. https://t.co/Rzok75tq1s",False,1597334168605970432,10,4,4,0
RepJasonCrow,Rep. Jason Crow,1596554011284733952,1080191866509901826,en,1596554011284733952,2022-11-26T17:18:33.000Z,"Colorado, it’s #SmallBusinessSaturday!

Over 99% of all businesses in CO are small businesses. I’m proud every day to fight for them on @HouseSmallBiz.

We can all support their success and #ShopSmall this holiday season. https://t.co/rpZDTVefEj",False,1596554011284733952,8,6,6,0
RepJasonCrow,Rep. Jason Crow,1596162291707297792,1080191866509901826,en,1596162291707297792,2022-11-25T15:22:00.000Z,"Team Crow is hosting mobile office hours on November 30th at Castlewood Library (6739 S Uinta St, Centennial, CO 80112, Meeting Room A.)

Our team will be there to help with VA benefits, visas, passports &amp; more. https://t.co/QimnRZ20Ed",False,1596162291707297792,11,4,4,0
RepJasonCrow,Rep. Jason Crow,1595779772033814528,1080191866509901826,en,1595779772033814528,2022-11-24T14:02:00.000Z,"Happy Thanksgiving to all Coloradans, including those who are overseas protecting our freedom. 

I hope everyone has a safe, restful, and thankful holiday. https://t.co/b5g8xiK01Y",False,1595779772033814528,11,9,9,1
RepJasonCrow,Rep. Jason Crow,1595416430752813057,1080191866509901826,en,1595416430752813057,2022-11-23T13:58:13.000Z,"Horrible to wake up to the news of yet another shooting. My thoughts are with the victims &amp; their families.

73% of all mass shootings happen in America. We don’t have to live like this.

Together we can &amp; must change. https://t.co/S1ykcIWgzO",False,1595416430752813057,22,18,18,2
RepJasonCrow,Rep. Jason Crow,1595155991200698370,1080191866509901826,en,1595155991200698370,2022-11-22T20:43:19.000Z,"Today I joined our Colorado National Guard leaders to discuss ways we can best support the @140thWing at @Buckley_SFB.
 
The 140th Wing provides critical homeland defense and alert functions for the region.
 
Their mission keeps us safe &amp; I'll keep fighting for their success. https://t.co/kQweuf2JNJ",False,1595155991200698370,1,0,0,0
RepJasonCrow,Rep. Jason Crow,1595111578311196673,1080191866509901826,en,1595111578311196673,2022-11-22T17:46:50.000Z,"Team Crow interns get a firsthand understanding of the legislative process! 
 
Love hearing from them about legislative efforts that will help our community.
 
Learn more about our program &amp; apply for next semester here:  https://t.co/1T8gfbiKGg https://t.co/rwf7PiZ4qK",False,1595111578311196673,6,1,1,0
RepJasonCrow,Rep. Jason Crow,1595071793152557056,1080191866509901826,en,1595071793152557056,2022-11-22T15:08:45.000Z,"Grateful to stand with LGBTQ+ friends, Coloradans of all faiths &amp; backgrounds @Tracks_Denver to honor victims of the Club Q shooting. 

We are shaken. Not silenced. 

Our calls to stop hate &amp; its weaponization grow louder as we fight to protect all who love openly &amp; live proudly. https://t.co/WkIzBE3UTS",False,1595071793152557056,38,12,12,0
RepJasonCrow,Rep. Jason Crow,1594298996042104832,1080191866509901826,en,1594298996042104832,2022-11-20T11:57:55.000Z,"Horrific situation in Colorado Springs.

I’m thinking of all victims &amp; their families, &amp; will continue monitoring the situation.

These attacks must stop. My heart is with our LGBTQ+ community as we all reel from this violence. https://t.co/vy4KI72GZk",False,1594298996042104832,179,43,43,8
