handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepJenniffer,Jenniffer González,1601285252172812288,819744763020775425,en,1601285252172812288,2022-12-09T18:38:49.000Z,"With this groundbreaking, we reaffirm our commitment to finally ensure that the necessary flood control works will continue, that will impact more that 250,000 residents. This project will also create jobs and generate $229,183.40 in municipal tax collections. https://t.co/aOW5miUNIc",False,1601285252172812288,1,4,4,0
RepJenniffer,Jenniffer González,1601284892217970688,819744763020775425,en,1601284892217970688,2022-12-09T18:37:23.000Z,"Today we were present at the start of a new phase of the Rio Puerto Nuevo Flood Risk Management Project of USACE.  Funded at $4.4 million under the Bipartisan Budget Act of 2018 (BBA-2018), this phase will prepare a site for acceptance of excavated material in the project. https://t.co/eOYqsxxVR5",False,1601284892217970688,0,1,1,0
RepJenniffer,Jenniffer González,1601271490539769856,819744763020775425,es,1601271490539769856,2022-12-09T17:44:08.000Z,"Comunicado de Prensa | Inicia obra 100% federal dentro del proyecto de control de inundaciones del río Puerto Nuevo

https://t.co/niQdSewe41 https://t.co/ci0rKllPAP",False,1601271490539769856,0,6,6,1
RepJenniffer,Jenniffer González,1600900022413201408,819744763020775425,en,1600900022413201408,2022-12-08T17:08:03.000Z,"Speaking in today’s Congressional briefing hosted by the Instituto para el Desarrollo de la Juventud in Puerto Rico (@IDJ_PR) to discuss the role and importance of critical programs, like CTC and SNAP, for children and families on the Island. https://t.co/tl4IH4dNud",False,1600900022413201408,3,9,9,1
RepJenniffer,Jenniffer González,1600874508994244608,819744763020775425,en,1600874508994244608,2022-12-08T15:26:40.000Z,"At today's @NatResources Committee markup, where we just passed H.R. 7918, the Sea Turtle Rescue Assistance Act. I was proud to cosponsor this bipartisan bill to authorize a new federal grant program for organizations that respond to and rehabilitate stranded sea turtles. https://t.co/21WPsGQYvZ",False,1600874508994244608,2,1,1,0
RepJenniffer,Jenniffer González,1600614613116125185,819744763020775425,en,1600614613116125185,2022-12-07T22:13:56.000Z,Always great to catch up with my colleague @RepCarlos to discuss our legislative priorities for the remainder of this Congress &amp; how we can continue to work together on behalf of the people of #PuertoRico and #FL26. https://t.co/3bO140FJgm,False,1600614613116125185,0,3,3,0
RepJenniffer,Jenniffer González,1600612552345804800,819744763020775425,es,1600612552345804800,2022-12-07T22:05:45.000Z,"Comunicado de Prensa | Jenniffer González anuncia avance en acuerdo para fondos de Medicaid

https://t.co/Gc25ZoVPlf https://t.co/7JSUcpcgH8",False,1600612552345804800,1,4,4,0
RepJenniffer,Jenniffer González,1600608198657974306,819744763020775425,en,1600608198657974306,2022-12-07T21:48:27.000Z,"Excited to check out the new tech center at @honeywell in DC and learn about their latest research and technology, as well as their efforts to expand their presence on the Island. https://t.co/V8MVxIxoPz https://t.co/iJ1I8oTMsT",False,1600608198657974306,1,2,2,0
RepJenniffer,Jenniffer González,1600542743775920133,819744763020775425,en,1600542743775920133,2022-12-07T17:28:21.000Z,RT @NTIAgov: NEWS: #PuertoRico is connecting! They're receiving more than $5.7 million in planning funds to kickstart #InternetForAll. Deta…,False,1600542743775920133,18,0,0,0
RepJenniffer,Jenniffer González,1600517089424510980,819744763020775425,en,1600517089424510980,2022-12-07T15:46:24.000Z,"Greater access to broadband &amp; equity in that access are critical for our communities to grow. I'm encouraged that the federal funds under the Planning Grant programs will be made available &amp; expect that the people in these communities can benefit promptly.
https://t.co/GnyerKrDFh https://t.co/GmYCsP0zRm",False,1600517089424510980,0,9,9,0
