handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepJimBaird,Congressman Jim Baird,1600915873639927851,1086316494450032640,en,1600915873639927851,2022-12-08T18:11:02.000Z,"While we are pleased to welcome Ms. Griner back home, U.S. Marine Paul Whelan has been wrongfully imprisoned in a Russian prison for over 4 years. How much longer should his family have to wait? 

Leaving him behind is unconscionable.",False,1600915873639927851,2,18,18,2
RepJimBaird,Congressman Jim Baird,1600869671691243520,1086316494450032640,en,1600869671691243520,2022-12-08T15:07:27.000Z,Make no mistake: the crisis at our southern border is a threat to our national security. https://t.co/OKXULhKtJE,False,1600869671691243520,0,4,4,0
RepJimBaird,Congressman Jim Baird,1600545032012181505,1086316494450032640,en,1600545032012181505,2022-12-07T17:37:26.000Z,"A date which will live in infamy. 

Today, on National Pearl Harbor Remembrance Day, we remember the 2,403 souls lost 81 years ago. May we never forget their service or their sacrifice. https://t.co/JjHCpxBmKm",False,1600545032012181505,1,7,7,0
RepJimBaird,Congressman Jim Baird,1600244421190033408,1086316494450032640,en,1600244421190033408,2022-12-06T21:42:55.000Z,"RT @RepFinstad: Proud to cosponsor the Farmers Deserve Notification Act, led by @RepJimBaird. Herbicides &amp; pesticides are vital to growers.…",False,1600244421190033408,4,0,0,0
RepJimBaird,Congressman Jim Baird,1600213034571423744,1086316494450032640,en,1600213034571423744,2022-12-06T19:38:12.000Z,"Instead of addressing the crisis or visiting our southern border to come up with a plan before Title 42 expires in 15 days, Pres. Biden told reporters “there are more important things going on.” 

Respectfully, I think national security is pretty important if you ask me.",False,1600213034571423744,2,8,8,0
RepJimBaird,Congressman Jim Baird,1599817076369428481,1086316494450032640,en,1599817076369428481,2022-12-05T17:24:48.000Z,"RT @HouseAgGOP: Shopping for the family Christmas tree? 🎄

Prepare to pay more due to #Bidenflation. 💸

WATCH 👇 https://t.co/XSyKqokAuF",False,1599817076369428481,13,0,0,0
RepJimBaird,Congressman Jim Baird,1599815329470824448,1086316494450032640,en,1599815329470824448,2022-12-05T17:17:52.000Z,"RT @HouseGOP: So far in 2022, 114 law enforcement officers were shot in ambush attacks. 

Democrats’ ‘Defund the Police’ movement has demon…",False,1599815329470824448,523,0,0,0
RepJimBaird,Congressman Jim Baird,1599210821338349568,1086316494450032640,en,1599210821338349568,2022-12-04T01:15:46.000Z,Boiler up!!,False,1599210821338349568,1,9,9,0
RepJimBaird,Congressman Jim Baird,1598803335498407953,1086316494450032640,en,1598803335498407953,2022-12-02T22:16:34.000Z,A great and fitting tribute to my friend @purduemitch #BoilerUp https://t.co/rPKJNMmM3x,False,1598803335498407953,1,1,1,0
RepJimBaird,Congressman Jim Baird,1598403024967417856,1086316494450032640,en,1598403024967417856,2022-12-01T19:45:52.000Z,"Respectfully, I believe the multi-trillion dollar spending packages Congressional Democrats pushed through Congress and President Biden signed into law are far more likely to blame for soaring inflation than Americans ""splurging"". 

https://t.co/oh9JxdFpeg",False,1598403024967417856,4,9,9,0
RepJimBaird,Congressman Jim Baird,1597985015241244673,1086316494450032640,en,1597985015241244673,2022-11-30T16:04:51.000Z,Hauling livestock can be a considerably challenging task and requires flexibility. This decision to reject a commonsense petition at a time when cattle &amp; beef supply chains continue to face stress is very disappointing &amp; could have notable impacts on Hoosier farmers &amp; ranchers. https://t.co/UF5WgOYhHq,False,1597985015241244673,2,11,11,0
RepJimBaird,Congressman Jim Baird,1597702778713145344,1086316494450032640,und,1597702778713145344,2022-11-29T21:23:20.000Z,USA!!! 🇺🇸🇺🇸🇺🇸,False,1597702778713145344,1,3,3,0
RepJimBaird,Congressman Jim Baird,1597622655120994305,1086316494450032640,en,1597622655120994305,2022-11-29T16:04:58.000Z,My deepest condolences to the loved ones of my colleague @RepMcEachin. Please join me in lifting his loved ones up in prayer during this difficult time.,False,1597622655120994305,0,1,1,0
RepJimBaird,Congressman Jim Baird,1597261292532006912,1086316494450032640,en,1597261292532006912,2022-11-28T16:09:02.000Z,Please join me in lifting the O'Connell family up in prayer during this difficult time. https://t.co/m1xlHYmGP0,False,1597261292532006912,1,3,3,0
RepJimBaird,Congressman Jim Baird,1595785559389224961,1086316494450032640,en,1595785559389224961,2022-11-24T14:25:00.000Z,"From my family to yours, we want to wish you a very happy Thanksgiving. https://t.co/lPDj5EVIzh",False,1595785559389224961,0,18,18,1
RepJimBaird,Congressman Jim Baird,1594808718536876032,1086316494450032640,en,1594808718536876032,2022-11-21T21:43:23.000Z,"China owns 350,000 acres of U.S. farmland, and if that doesn't concern you, it should. Any foreign entity acquiring U.S.-based farmland that doesn't share our free market values poses a serious threat to our national security. More: https://t.co/LIuuuj7Zb7",False,1594808718536876032,5,24,24,1
RepJimBaird,Congressman Jim Baird,1594774088698171393,1086316494450032640,en,1594774088698171393,2022-11-21T19:25:46.000Z,"RT @GOPLeader: Thanksgiving will cost you and your family 20% more this year.

 It’s past time to get our nation back on track. https://t.c…",False,1594774088698171393,431,0,0,0
RepJimBaird,Congressman Jim Baird,1594772899931783168,1086316494450032640,en,1594772899931783168,2022-11-21T19:21:03.000Z,"RT @HouseGOP: Border security IS national security.

House Republicans are committed to addressing the historic #BidenBorderCrisis in the n…",False,1594772899931783168,183,0,0,0
RepJimBaird,Congressman Jim Baird,1593330125545897985,1086316494450032640,en,1593330125545897985,2022-11-17T19:47:59.000Z,"RT @RepDanCrenshaw: Mexican cartels are destroying the rule of law in our country. 

They’re more than a criminal threat—they’re a national…",False,1593330125545897985,65,0,0,0
RepJimBaird,Congressman Jim Baird,1593277611521736713,1086316494450032640,en,1593277611521736713,2022-11-17T16:19:18.000Z,The recent collapse of cryptocurrency exchange giant FTX dramatically underscores the need for further transparency from the world of Big Tech... read my full statement on FTX below. https://t.co/bLUs3NWPyN,False,1593277611521736713,1,15,15,3
RepJimBaird,Congressman Jim Baird,1592965343764688896,1086316494450032640,en,1592965343764688896,2022-11-16T19:38:28.000Z,"Happy National Indiana Day! Today we celebrate everything that makes our state great. Today especially, I'm proud to be a Hoosier.",False,1592965343764688896,2,10,10,0
RepJimBaird,Congressman Jim Baird,1592957923948662784,1086316494450032640,en,1592957923948662784,2022-11-16T19:08:59.000Z,"RT @HouseAgGOP: 🦃 The cost of this year's #Thanksgiving dinner is 𝐔𝐏 𝟐𝟎% from last year.

Once again, #Bidenflation is impacting the holida…",False,1592957923948662784,12,0,0,0
