handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepJimBanks,Jim Banks,1601019069767241728,816131319033950208,en,1601019069767241728,2022-12-09T01:01:06.000Z,@dandakich Had a lot of great feedback from our interview on @DontAtMeDD last week and looking forward to doing it again. Good luck @dandakich! 🇺🇸,False,1600957450558980096,1,7,7,0
RepJimBanks,Jim Banks,1601017431543070720,816131319033950208,en,1601017431543070720,2022-12-09T00:54:35.000Z,Twitter shadow banned conservatives. Lied about it. And the media helped them cover it up. https://t.co/bluEwkkLjz,False,1601017431543070720,39,32,32,1
RepJimBanks,Jim Banks,1600912574694187008,816131319033950208,en,1600912574694187008,2022-12-08T17:57:55.000Z,A big win for China hawks &amp; a big loss for the #CCP. Congrats @RepGallagher! https://t.co/3TvD00LFTJ,False,1600912574694187008,19,11,11,1
RepJimBanks,Jim Banks,1600883772911935492,816131319033950208,en,1600883772911935492,2022-12-08T16:03:29.000Z,"Biden just returned the “Merchant of Death,” an international arms dealer convicted of conspiring to kill Americans, to Putin and left former Marine Paul Whelan, who has been unjustly detained for over four years, to rot in a Russian prison.",False,1600883772911935492,68,67,67,2
RepJimBanks,Jim Banks,1600877824256389120,816131319033950208,en,1600877824256389120,2022-12-08T15:39:50.000Z,"In the 50+ days that President Biden has ignored @RepublicanStudy’s request to meet and discuss the Fentanyl crisis, more than 7,500 Americans have died from synthetic opioids.
 
https://t.co/9tOhTS4Lmn",False,1600877824256389120,20,11,11,0
RepJimBanks,Jim Banks,1600595391405297667,816131319033950208,en,1600595391405297667,2022-12-07T20:57:33.000Z,Hoosiers are thankful for @MarshaBlackburn’s leadership to get this done. 🇺🇸 https://t.co/5QGOyn3foL,False,1600595391405297667,51,82,82,5
RepJimBanks,Jim Banks,1600593561321639937,816131319033950208,en,1600593561321639937,2022-12-07T20:50:17.000Z,"Pass the NDAA now to protect the 60k servicemembers facing discharge over Biden’s vaccine mandate. After January, House Republicans need to make amends to the ~6k troops unjustly fired by the Biden DoD.",False,1600593561321639937,35,42,42,4
RepJimBanks,Jim Banks,1600509062776586243,816131319033950208,en,1600509062776586243,2022-12-07T15:14:31.000Z,"Today we remember the 2,403 Americans killed at Pearl Harbor 81 years ago today - a day that will live in infamy.

May their lives and service to our nation never be forgotten.",False,1600509062776586243,54,16,16,3
RepJimBanks,Jim Banks,1600205620199575552,816131319033950208,en,1600205620199575552,2022-12-06T19:08:44.000Z,"These NGOs must be subpoenaed. 

This proves they're working with the Biden admin to not only funnel illegal aliens across our border but also relocate them, too. 

They're the logistical support to keeping America's borders wide open. https://t.co/038QLnjsDn",False,1600205620199575552,136,47,47,4
RepJimBanks,Jim Banks,1600202338156675072,816131319033950208,en,1600202338156675072,2022-12-06T18:55:42.000Z,The #BidenBorderCrisis is the most important threat facing our country.,False,1600202338156675072,29,37,37,4
RepJimBanks,Jim Banks,1600173847546036224,816131319033950208,en,1600173847546036224,2022-12-06T17:02:29.000Z,Joe Biden doesn’t think hundreds of Americans dying every single day from the fentanyl flowing across our southern border is important. https://t.co/rZWSPntfUG,False,1600173847546036224,54,35,35,3
RepJimBanks,Jim Banks,1600165299739054080,816131319033950208,en,1600165299739054080,2022-12-06T16:28:31.000Z,Amnesty will give Joe Biden a blank check to double down on the humanitarian crisis he created at our southern border.,False,1600165299739054080,28,28,28,1
RepJimBanks,Jim Banks,1599846349939572736,816131319033950208,en,1599846349939572736,2022-12-05T19:21:08.000Z,No amnesty!,False,1599846349939572736,272,77,77,17
RepJimBanks,Jim Banks,1599178190798589952,816131319033950208,en,1599178190798589952,2022-12-03T23:06:06.000Z,"“Gaslighting”
“Rewriting history”
“Blanketing American media”
“Mao would be proud”
“Fascist lies”

Luke is unhinged that @elonmusk has done more for transparency and informing the public in one evening than he will do in a lifetime. https://t.co/nOmxPo4Z62",False,1599178190798589952,37,83,83,7
RepJimBanks,Jim Banks,1599069575781699586,816131319033950208,en,1599069575781699586,2022-12-03T15:54:30.000Z,RT @jbarro: The press water-carrying for pre-Musk execs at Twitter has been crazy. In April when Musk criticized Vijaya Gadde over censorsh…,False,1599069575781699586,135,0,0,0
RepJimBanks,Jim Banks,1599058987210924034,816131319033950208,en,1599058987210924034,2022-12-03T15:12:26.000Z,"As I’ve said many times before all 50+ former intelligence officials who signed letter calling the Hunter Biden laptop “Russian disinfo” are political hacks who should lose their security clearances and any further credibility immediately.
https://t.co/1ujgQqR0ab",False,1599058987210924034,895,209,209,37
RepJimBanks,Jim Banks,1599053108394348544,816131319033950208,en,1599053108394348544,2022-12-03T14:49:04.000Z,"If Republicans don’t hold Big Tech accountable, who will?",False,1599053108394348544,208,189,189,19
RepJimBanks,Jim Banks,1599048823485042695,816131319033950208,en,1599048823485042695,2022-12-03T14:32:03.000Z,Let’s go @USMNT 🇺🇸,False,1599048823485042695,4,5,5,0
RepJimBanks,Jim Banks,1599042513825734656,816131319033950208,en,1599042513825734656,2022-12-03T14:06:58.000Z,RT @MZHemingway: Last night’s news was what I wrote my last book about! With a ton of info on the coordinated suppression of news and debat…,False,1599042513825734656,1369,0,0,0
RepJimBanks,Jim Banks,1599041757672767490,816131319033950208,ca,1599041757672767490,2022-12-03T14:03:58.000Z,.@elonmusk deserves a Pulitzer Prize.,False,1599041757672767490,130,130,130,11
RepJimBanks,Jim Banks,1599035558264598529,816131319033950208,en,1599035558264598529,2022-12-03T13:39:20.000Z,The Bidens are the most corrupt family ever to occupy the White House. The laptop proves it.,False,1599035558264598529,7042,4693,4693,349
RepJimBanks,Jim Banks,1599031747919761408,816131319033950208,en,1599031747919761408,2022-12-03T13:24:11.000Z,Never forget that Democrats celebrated censorship and the attacks on your free speech.,False,1599031747919761408,95,45,45,4
RepJimBanks,Jim Banks,1599025597438533633,816131319033950208,en,1599025597438533633,2022-12-03T12:59:45.000Z,Republicans have a moral duty to hold Big Tech accountable!,False,1599025597438533633,106,93,93,4
RepJimBanks,Jim Banks,1599025270517661697,816131319033950208,en,1599025270517661697,2022-12-03T12:58:27.000Z,"Never forget that 79% say truthful coverage of Hunter Biden’s laptop would have changed outcome of 2020 election. Those responsible for politically motivated censorship must be held accountable!
https://t.co/KkP9twiuST",False,1599025270517661697,126,49,49,3
RepJimBanks,Jim Banks,1598832456727089152,816131319033950208,en,1598832456727089152,2022-12-03T00:12:17.000Z,Big Tech interfered in the 2020 election. https://t.co/DzB6ciwiv4,False,1598832456727089152,286,74,74,14
RepJimBanks,Jim Banks,1598763147703177216,816131319033950208,en,1598763147703177216,2022-12-02T19:36:52.000Z,"Americans deserve to know if their taxpayer dollars are being used to pay an alleged felon and thief.

I wrote @SecGranholm to find out.

https://t.co/MHzNgaPVuO",False,1598763147703177216,42,22,22,3
RepJimBanks,Jim Banks,1598378528860475407,816131319033950208,en,1598378528860475407,2022-12-01T18:08:32.000Z,"The Biden White House blames Americans for 100% of its failures. 
https://t.co/DBbhcrDgT2",False,1598378528860475407,35,54,54,3
RepJimBanks,Jim Banks,1598085761970368512,816131319033950208,en,1598085761970368512,2022-11-30T22:45:11.000Z,"The @WhiteHouse is ""keeping a close eye"" on constitutionally protected speech…
 
Un-American!

https://t.co/iIj2R1VGiJ",False,1598085761970368512,30,43,43,2
RepJimBanks,Jim Banks,1598009510417018880,816131319033950208,en,1598009510417018880,2022-11-30T17:42:11.000Z,"This is heartbreaking. 

Our Border Patrol agents deserve support now more than ever. Instead, they continue to face disrespect and sabotage from the Biden administration. https://t.co/MH05Q4ARtb",False,1598009510417018880,32,22,22,3
RepJimBanks,Jim Banks,1597975445202665475,816131319033950208,en,1597975445202665475,2022-11-30T15:26:49.000Z,RT @dandakich: This is awesome w @RepJimBanks,False,1597975445202665475,5,0,0,0
RepJimBanks,Jim Banks,1597693735222927360,816131319033950208,en,1597693735222927360,2022-11-29T20:47:24.000Z,"RT @Surabees: 🎯💯

""Rep. Jim Banks characterized the split between corporations &amp; Republicans as a divorce, which has made his party healthi…",False,1597693735222927360,162,0,0,0
RepJimBanks,Jim Banks,1597665690009604096,816131319033950208,und,1597665690009604096,2022-11-29T18:55:58.000Z,U-S-A!! 🇺🇸🇺🇸 https://t.co/V55rGW0a09,False,1597665690009604096,24,23,23,0
RepJimBanks,Jim Banks,1597308637697159169,816131319033950208,en,1597308637697159169,2022-11-28T19:17:10.000Z,Weak! https://t.co/cPMMCrF7Dm,False,1597308637697159169,11,18,18,2
RepJimBanks,Jim Banks,1597260522331963393,816131319033950208,en,1597260522331963393,2022-11-28T16:05:58.000Z,Don’t forget that Democrats’ media allies &amp; the @WHO were 100% behind the #CCP lockdowns! https://t.co/lVwqxgGLRF,False,1597260522331963393,123,27,27,4
RepJimBanks,Jim Banks,1597237940664815617,816131319033950208,en,1597237940664815617,2022-11-28T14:36:14.000Z,I stand with the anti-lockdown protestors in China. 🇺🇸🇺🇸,False,1597237940664815617,86,40,40,8
RepJimBanks,Jim Banks,1597063378383802368,816131319033950208,en,1597063378383802368,2022-11-28T03:02:36.000Z,RT @elonmusk: @caroljsroth ESG is the devil,False,1597063378383802368,10172,0,0,0
RepJimBanks,Jim Banks,1595758345071505408,816131319033950208,en,1595758345071505408,2022-11-24T12:36:51.000Z,The Banks family wishes you all a Happy Thanksgiving! https://t.co/uS7wJcki78,False,1595758345071505408,27,40,40,2
RepJimBanks,Jim Banks,1595109821271146497,816131319033950208,en,1595109821271146497,2022-11-22T17:39:51.000Z,"“We acknowledge the importance of shared standards/verification... to seamless int'l travel, interoperability, and recognizing digital &amp; non-digital solutions, including proof of vaccinations.” 
 
@WhiteHouse supports vaccine passports. Dystopian! 
https://t.co/vwXRQdUn0y",False,1595109821271146497,18,22,22,5
RepJimBanks,Jim Banks,1595108924923219968,816131319033950208,en,1595108924923219968,2022-11-22T17:36:18.000Z,"RT @FoxNews: 'BETTER BELIEVE IT': @RepJimBanks tells ""The Ingraham Angle"" that Republicans will do ""everything that we can"" to block Presid…",False,1595108924923219968,830,0,0,0
RepJimBanks,Jim Banks,1595084440606167041,816131319033950208,en,1595084440606167041,2022-11-22T15:59:00.000Z,"We need a military that is prepared to fight more than culture wars.

I joined @marthamaccallum to discuss the dangers of the Biden administration’s woke defense strategy: https://t.co/Xhw8NfRNy6",False,1595084440606167041,27,43,43,5
RepJimBanks,Jim Banks,1594859558559748096,816131319033950208,en,1594859558559748096,2022-11-22T01:05:24.000Z,"The biggest threat to the American way of life is the #CCP, and the CCP owns the Democrat Party.
 
I discussed on War Room, 👇 https://t.co/26igZLbdso",False,1594859558559748096,78,56,56,5
RepJimBanks,Jim Banks,1594693730010791936,816131319033950208,en,1594693730010791936,2022-11-21T14:06:27.000Z,Elon is cleaning up Twitter and restoring free speech at the same time https://t.co/G0C8DITDOE,False,1594693730010791936,66,56,56,1
RepJimBanks,Jim Banks,1594167434570874880,816131319033950208,en,1594167434570874880,2022-11-20T03:15:09.000Z,Free speech 🇺🇸🇺🇸 https://t.co/aYxHlQiAOw,False,1594167434570874880,60,59,59,4
RepJimBanks,Jim Banks,1594145269364690945,816131319033950208,en,1594145269364690945,2022-11-20T01:47:04.000Z,"RT @realDonaldTrump: I am asking for everyone at the U.S. Capitol to remain peaceful. No violence! Remember, WE are the Party of Law &amp; Orde…",False,1594145269364690945,133996,0,0,0
RepJimBanks,Jim Banks,1593706814448754690,816131319033950208,en,1593706814448754690,2022-11-18T20:44:48.000Z,"15-months for trying to kill police officers. Shameful!

https://t.co/eUMnrIri32",False,1593706814448754690,72,38,38,4
RepJimBanks,Jim Banks,1593316743698587648,816131319033950208,en,1593316743698587648,2022-11-17T18:54:48.000Z,"The @RepublicanStudy Committee will be in very capable hands with the newly elected Chairman, my friend @repkevinhern 🇺🇸 https://t.co/9ZPp3V3MPq",False,1593316743698587648,17,27,27,4
RepJimBanks,Jim Banks,1593001721592438784,816131319033950208,en,1593001721592438784,2022-11-16T22:03:01.000Z,"RT @SecretsBedard: Nation impatient amid ‘historic high’ in border crossings

Voters want border brought under control, wall built, immigra…",False,1593001721592438784,46,0,0,0
RepJimBanks,Jim Banks,1592998214558703616,816131319033950208,en,1592998214558703616,2022-11-16T21:49:05.000Z,Say NO to amnesty! https://t.co/ojDjNoHjv4,False,1592998214558703616,96,41,41,4
RepJimBanks,Jim Banks,1592656880702488578,816131319033950208,en,1592656880702488578,2022-11-15T23:12:45.000Z,"House Republicans must use ANY MEANS necessary to secure the border next Congress. 

https://t.co/K13fNrvSfJ",False,1592656880702488578,49,54,54,3
RepJimBanks,Jim Banks,1592215683953459200,816131319033950208,en,1592215683953459200,2022-11-14T17:59:35.000Z,Parents know best. https://t.co/ySncUwHC8k,False,1592215683953459200,42,65,65,2
RepJimBanks,Jim Banks,1591883577775783936,816131319033950208,en,1591883577775783936,2022-11-13T19:59:55.000Z,RT @RepDLesko: I cosponsored @RepJimBanks' Protecting Kids from Candy-Flavored Drugs Act to prohibit the manufacture and distribution of ca…,False,1591883577775783936,32,0,0,0
RepJimBanks,Jim Banks,1591848479722176514,816131319033950208,en,1591848479722176514,2022-11-13T17:40:27.000Z,"RT @FoxNewsSunday: WATCH: @RepJimBanks ""Republicans will win the majority... we have an opportunity over the next 2 years to be the last li…",False,1591848479722176514,36,0,0,0
RepJimBanks,Jim Banks,1591062249510436864,816131319033950208,en,1591062249510436864,2022-11-11T13:36:15.000Z,"Home of the free, because of the brave. Happy Veterans Day 🇺🇸 https://t.co/hIXDdc7Z1l",False,1591062249510436864,30,40,40,3
RepJimBanks,Jim Banks,1590877965969391616,816131319033950208,en,1590877965969391616,2022-11-11T01:23:58.000Z,For 247 years Marines have been the first line of defense for American’s freedoms. Happy Birthday to the #USMC! https://t.co/uxtUnGbQjZ,False,1590877965969391616,36,24,24,2
RepJimBanks,Jim Banks,1590752074282979328,816131319033950208,en,1590752074282979328,2022-11-10T17:03:43.000Z,"Big Tech moralizes about woke values while actively working with our greatest adversary the CCP. 

Why is @Apple helping the #CCP crack down on Hong Kong protesters? https://t.co/jIKnUv4P6h",False,1590752074282979328,41,49,49,4
RepJimBanks,Jim Banks,1590451631963111426,816131319033950208,en,1590451631963111426,2022-11-09T21:09:52.000Z,Border Patrol agents are under constant threat of assault because of the lawless #BidenBorderCrisis. https://t.co/r3AbnJ0qIy,False,1590451631963111426,54,60,60,4
RepJimBanks,Jim Banks,1590046656892121089,816131319033950208,en,1590046656892121089,2022-11-08T18:20:39.000Z,".@RepublicanStudy’s Save Democracy Act would implement voter ID requirements, ballot counting transparency, and fair treatment of poll-watchers in federal elections. 

Republicans are committed to election integrity! https://t.co/PYsTRoHBBy",False,1590046656892121089,39,50,50,3
RepJimBanks,Jim Banks,1589695336196755456,816131319033950208,en,1589695336196755456,2022-11-07T19:04:37.000Z,Don’t forget what the Democrat Party stands for! https://t.co/n6fmsqzRBj,False,1589695336196755456,1063,293,293,48
RepJimBanks,Jim Banks,1589656160067813377,816131319033950208,en,1589656160067813377,2022-11-07T16:28:57.000Z,".@DrREpstein has found massive partisan bias in Google's search results, YouTube auto play &amp; get out the vote reminders. 

Big Tech' election interference must end! 

https://t.co/QcwyA0KCYl",False,1589656160067813377,27,41,41,1
RepJimBanks,Jim Banks,1589655318241632256,816131319033950208,en,1589655318241632256,2022-11-07T16:25:36.000Z,"RT @DonaldJTrumpJr: Great OpEd from @RepMikeRogersAL and @RepJimBanks on their plan to get tough on China!

Washington Examiner: House Repu…",False,1589655318241632256,321,0,0,0
RepJimBanks,Jim Banks,1589631703341223942,816131319033950208,en,1589631703341223942,2022-11-07T14:51:46.000Z,"When Republicans retake the majority, we’ll put America first by taking on the China threat. 
 
Thank you to @RepMikeRogersAL for your commitment to tackling the #CCP before it’s too late. 
https://t.co/Tuc9SnpV2K",False,1589631703341223942,31,31,31,5
RepJimBanks,Jim Banks,1588351693137317888,816131319033950208,en,1588351693137317888,2022-11-04T02:05:28.000Z,.@RepublicanStudy’s Save Democracy Act would ban election officials from pausing vote counting. Common sense! https://t.co/ja29XuEKCQ,False,1588351693137317888,47,66,66,5
RepJimBanks,Jim Banks,1588250348426121216,816131319033950208,en,1588250348426121216,2022-11-03T19:22:45.000Z,Biden’s ridiculous speech last night was meant to distract you from 👇 https://t.co/eedWYCV77S,False,1588250348426121216,48,65,65,2
RepJimBanks,Jim Banks,1588240658397028353,816131319033950208,en,1588240658397028353,2022-11-03T18:44:15.000Z,"A person dies from fentanyl once every 8.5 minutes, and many of those people had no idea what they were taking.

I partnered w/ @chatlistenlove to film a PSA and raise awareness for Hoosier students on the dangers of fentanyl and self-medicating for struggles with mental health. https://t.co/15bxvxhB1D",False,1588240658397028353,28,31,31,4
RepJimBanks,Jim Banks,1588236132558454787,816131319033950208,en,1588236132558454787,2022-11-03T18:26:16.000Z,"Congratulations, @netanyahu! The people of Israel and the United States are fortunate to have you leading our closest ally in the Middle East 🇺🇸🇮🇱",False,1588236132558454787,37,97,97,7
RepJimBanks,Jim Banks,1588183775569399809,816131319033950208,en,1588183775569399809,2022-11-03T14:58:13.000Z,"RT @theammind: “Elon Musk’s agenda, which is simply free speech on Twitter, threatens the institutions in the United States which are both…",False,1588183775569399809,31,0,0,0
RepJimBanks,Jim Banks,1588180250923393024,816131319033950208,en,1588180250923393024,2022-11-03T14:44:13.000Z,Big Tech and the Biden admin are trying to end free speech in America as we know it.,False,1588180250923393024,39,46,46,10
RepJimBanks,Jim Banks,1587976248818548737,816131319033950208,en,1587976248818548737,2022-11-03T01:13:35.000Z,"RT @sophielouisecc: Ah there we have it folks - this is what the green agenda is really all about. 

Bringing back communism. https://t.co/…",False,1587976248818548737,4009,0,0,0
RepJimBanks,Jim Banks,1587959051866054656,816131319033950208,en,1587959051866054656,2022-11-03T00:05:15.000Z,We’ve never had a more divisive President than Joe Biden.,False,1587959051866054656,1157,393,393,90
RepJimBanks,Jim Banks,1587895950252572673,816131319033950208,en,1587895950252572673,2022-11-02T19:54:30.000Z,"#CCP “police stations” are popping up in cities around the world, including in NYC. Why is the Biden admin allowing Communist Party thugs on US soil?  

https://t.co/rjHb1JNXTX",False,1587895950252572673,34,21,21,5
RepJimBanks,Jim Banks,1587626893511106562,816131319033950208,en,1587626893511106562,2022-11-02T02:05:22.000Z,"RT @RepDanBishop: 🚨DHS and social media companies work together to silence free speech.

This blatant censorship WILL NOT be tolerated.

I…",False,1587626893511106562,1653,0,0,0
RepJimBanks,Jim Banks,1587540911998832642,816131319033950208,en,1587540911998832642,2022-11-01T20:23:43.000Z,".@BrendanCarrFCC is right!
https://t.co/cPW9REc3ME",False,1587540911998832642,13,16,16,0
RepJimBanks,Jim Banks,1587493111932112897,816131319033950208,en,1587493111932112897,2022-11-01T17:13:46.000Z,Democrats and the Biden DOJ have declared war on the 1st Amendment!,False,1587493111932112897,51,62,62,1
RepJimBanks,Jim Banks,1587448960834310152,816131319033950208,en,1587448960834310152,2022-11-01T14:18:20.000Z,"RT @RepDanBishop: CRT is plainly destructive and un-American.

So why are our tax dollars funding it?

@RepJimBanks and I wrote on why it’s…",False,1587448960834310152,83,0,0,0
RepJimBanks,Jim Banks,1587446766743461895,816131319033950208,en,1587446766743461895,2022-11-01T14:09:37.000Z,Nice! 🇺🇸 @Wendys https://t.co/vh0QHGEx1K,False,1587446766743461895,6,16,16,1
RepJimBanks,Jim Banks,1587131867240742914,816131319033950208,en,1587131867240742914,2022-10-31T17:18:19.000Z,Biden has had a “disinformation governance board” all along! https://t.co/HUr8Rc7jCk,False,1587131867240742914,260,51,51,14
RepJimBanks,Jim Banks,1587078574049316866,816131319033950208,en,1587078574049316866,2022-10-31T13:46:33.000Z,"The Commerce Department would never cut off corporations’ #CCP cash. National security decisions shouldn’t be up to Commerce, especially when China is involved! @RepGregSteube
https://t.co/xDr8PDTEAj",False,1587078574049316866,26,12,12,5
RepJimBanks,Jim Banks,1586394272714182657,816131319033950208,en,1586394272714182657,2022-10-29T16:27:23.000Z,"This is dangerous and unAmerican. When we take back the House, Republicans have a duty to hold woke corporations accountable! https://t.co/WXIHbEI9hj",False,1586394272714182657,23,43,43,1
RepJimBanks,Jim Banks,1585802150671622144,816131319033950208,en,1585802150671622144,2022-10-28T01:14:30.000Z,Make Twitter Great Again! @elonmusk https://t.co/Qqoofgyyza,False,1585802150671622144,66,63,63,3
RepJimBanks,Jim Banks,1585799580741935105,816131319033950208,en,1585799580741935105,2022-10-28T01:04:17.000Z,RT @hughhewitt: Here is @RepGallagher essay on our crumbling deterrence from earlier this week in @WSJ: https://t.co/Qs1xlS1eGj,False,1585799580741935105,5,0,0,0
RepJimBanks,Jim Banks,1585635810971639810,816131319033950208,en,1585635810971639810,2022-10-27T14:13:31.000Z,"House Republicans must make sure the left can never shut down our schools again! 
https://t.co/hAjjAjmxsf",False,1585635810971639810,36,53,53,1
RepJimBanks,Jim Banks,1585608999818362880,816131319033950208,en,1585608999818362880,2022-10-27T12:26:59.000Z,"There must be consequences for this unprecedented and illegal leak! @RepLarryBucshon 
 
https://t.co/UpMSNLmR3s https://t.co/W3GyzfIzQs",False,1585608999818362880,32,26,26,2
RepJimBanks,Jim Banks,1585337258055720960,816131319033950208,en,1585337258055720960,2022-10-26T18:27:11.000Z,"The Biden DOJ’s refusal to prosecute the illegal SCOTUS protesters still stands out as one of its most partisan and shameful decisions. 
https://t.co/TJUBnhuLG0",False,1585337258055720960,173,55,55,4
RepJimBanks,Jim Banks,1585273387630329856,816131319033950208,en,1585273387630329856,2022-10-26T14:13:23.000Z,"According to Biden’s DOJ, China is illegally trying to steal US tech &amp; threatening our national security and competitiveness. 
 
So why did Biden abolish the DOJ’s China initiative? 
https://t.co/QkZI4J4DlQ",False,1585273387630329856,28,28,28,6
RepJimBanks,Jim Banks,1584969352599592960,816131319033950208,en,1584969352599592960,2022-10-25T18:05:15.000Z,Consequences of the #BidenBorderCrisis will be felt for generations. https://t.co/BcPIxMnrHI,False,1584969352599592960,109,73,73,11
RepJimBanks,Jim Banks,1584963469085794304,816131319033950208,en,1584963469085794304,2022-10-25T17:41:52.000Z,"DEFUND ANTI-POLICE DEMOCRATS!

https://t.co/OrP8rfq7ch",False,1584963469085794304,28,61,61,2
RepJimBanks,Jim Banks,1584948571803373568,816131319033950208,en,1584948571803373568,2022-10-25T16:42:41.000Z,"RT @henryrodgersdc: EXCLUSIVE: Rep. Banks, Sen. Marshall To Introduce Legislation To Defund Far-Left DAs 

Read all about it here first:…",False,1584948571803373568,240,0,0,0
RepJimBanks,Jim Banks,1584944781381480451,816131319033950208,en,1584944781381480451,2022-10-25T16:27:37.000Z,RT @tonykatz: @POTUS Care to comment?,False,1584944781381480451,10,0,0,0
RepJimBanks,Jim Banks,1584943079760728064,816131319033950208,en,1584943079760728064,2022-10-25T16:20:51.000Z,"Last week my colleagues and I asked President Biden for a meeting to share the stories of families impacted by the deadly fentanyl crisis.
 
We have not received a response.

Apparently, he has other priorities for his time: https://t.co/He1OLcQvCG",False,1584943079760728064,378,64,64,15
RepJimBanks,Jim Banks,1584626109995692032,816131319033950208,en,1584626109995692032,2022-10-24T19:21:20.000Z,"When will Dems pledge to never shut down schools again?? 
https://t.co/nLJqyIvk5h",False,1584626109995692032,10,62,62,7
RepJimBanks,Jim Banks,1584575480170094595,816131319033950208,en,1584575480170094595,2022-10-24T16:00:09.000Z,"Dems spoke out against Obama’s disastrous nuclear deal just a few years ago. Today, standing up to Iran is a completely partisan issue… 

https://t.co/fT8ncghZGu",False,1584575480170094595,22,33,33,2
RepJimBanks,Jim Banks,1583562003871694848,816131319033950208,en,1583562003871694848,2022-10-21T20:52:57.000Z,RT @greg_price11: Joe Biden once again claims that he become a professor at UPenn after leaving the vice presidency (where he never taught…,False,1583562003871694848,1539,0,0,0
RepJimBanks,Jim Banks,1583553918260633601,816131319033950208,en,1583553918260633601,2022-10-21T20:20:49.000Z,RT @JasonMBrodsky: Glad to see legislation introduced by @RepJimBanks called #MahsaAmini Act mandating human rights &amp; terrorism sanctions o…,False,1583553918260633601,190,0,0,0
RepJimBanks,Jim Banks,1583531670258343936,816131319033950208,en,1583531670258343936,2022-10-21T18:52:25.000Z,"Taking an unborn life is not a “human right” @HouseDemocrats 
https://t.co/24RqKieKZr",False,1583531670258343936,11,73,73,2
RepJimBanks,Jim Banks,1583510423521099776,816131319033950208,en,1583510423521099776,2022-10-21T17:27:59.000Z,".@GOPLeader is exactly right:

Congress needs to prioritize fixing America’s problems first. 
 
We can’t lead abroad while we are so weak at home! @IngrahamAngle https://t.co/3kimJBtTVx",False,1583510423521099776,197,167,167,6
RepJimBanks,Jim Banks,1583507359355191296,816131319033950208,en,1583507359355191296,2022-10-21T17:15:49.000Z,"RT @BillFOXLA: Now 20 days into October, and still no September border numbers released by the federal government.",False,1583507359355191296,820,0,0,0
RepJimBanks,Jim Banks,1583488242988769281,816131319033950208,en,1583488242988769281,2022-10-21T15:59:51.000Z,Every GOP governor should follow @GovRonDeSantis's lead. https://t.co/RHoxM99xED,False,1583488242988769281,37,42,42,8
RepJimBanks,Jim Banks,1583480809100808197,816131319033950208,en,1583480809100808197,2022-10-21T15:30:19.000Z,"This is a political persecution. The Biden DoJ is a corrupt, two-tiered system of justice. https://t.co/Ws0Pvsbdvs",False,1583480809100808197,197,172,172,7
RepJimBanks,Jim Banks,1583480788200611841,816131319033950208,en,1583480788200611841,2022-10-21T15:30:14.000Z,RT @RepTroyNehls: Daily reminder that we are in a recession because of Joe Biden.,False,1583480788200611841,797,0,0,0
RepJimBanks,Jim Banks,1583123584817410058,816131319033950208,en,1583123584817410058,2022-10-20T15:50:50.000Z,"President Trump wanted to refill our Strategic Petroleum Reserve when oil was $24/barrel, but Democrats blocked him.
 
Now, taxpayers will be forced to refill it at nearly TRIPLE the cost.",False,1583123584817410058,102,56,56,7
RepJimBanks,Jim Banks,1583107866700808193,816131319033950208,en,1583107866700808193,2022-10-20T14:48:22.000Z,"Joe Biden has drained our Strategic Petroleum Reserve to help Democrats in the midterms.
 
There is no getting around it: the President is jeopardizing our national security for political gain. Disgraceful and dangerous.",False,1583107866700808193,104,65,65,8
RepJimBanks,Jim Banks,1583104438268411905,816131319033950208,en,1583104438268411905,2022-10-20T14:34:45.000Z,"A Republican-led House will put the needs of America first. We cannot continue with unlimited spending for any foreign nation while our people are struggling to get by here at home.

@GOPLeader is 100% right. https://t.co/0uzxmDJSLo",False,1583104438268411905,345,317,317,29
RepJimBanks,Jim Banks,1582806395183075329,816131319033950208,en,1582806395183075329,2022-10-19T18:50:26.000Z,Democrats don't care if gas jumps to $10 a gallon after election day.,False,1582806395183075329,148,138,138,15
RepJimBanks,Jim Banks,1582798429574483968,816131319033950208,en,1582798429574483968,2022-10-19T18:18:47.000Z,"Joe Biden keeps rolling back all the progress made standing up to the #CCP

https://t.co/p8WGCapG1O",False,1582798429574483968,15,31,31,7
RepJimBanks,Jim Banks,1582780594215616512,816131319033950208,en,1582780594215616512,2022-10-19T17:07:54.000Z,"My @RepublicanStudy colleagues and I have requested a meeting with President Biden to share the dozens of obituaries we were given by grieving parents from across the country at our fentanyl roundtable last month.
 
This crisis is too deadly to ignore.

https://t.co/a9Tgj8Xu7n",False,1582780594215616512,38,50,50,8
