handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepJimCosta,Rep. Jim Costa,1601030341493690368,245451804,en,1601030341493690368,2022-12-09T01:45:53.000Z,"Today I proudly voted to pass the historic #RespectForMarriageAct. Passage of this bill is long overdue—to protect &amp; respect the sanctity of same-sex &amp; interracial marriages in this country. Now, onto @POTUS’s desk to be signed into law! https://t.co/enUcmqfWkB",False,1601030341493690368,7,0,0,2
RepJimCosta,Rep. Jim Costa,1600639958833942529,245451804,en,1600639958833942529,2022-12-07T23:54:39.000Z,"On the 81st anniversary of the attack on Pearl Harbor, we honor and remember the ultimate sacrifice of the over 2,400 service members who lost their lives in defending our country and freedoms. Let us never forget their heroism and bravery. https://t.co/cLFxPgGF2I",False,1600639958833942529,2,1,1,0
RepJimCosta,Rep. Jim Costa,1600596009595404288,245451804,en,1600596009595404288,2022-12-07T21:00:00.000Z,"The open enrollment period is here! Having health insurance protects your wallet. If you ever have high medical bills, you’ll only pay a small portion, and your plan will pay the rest. Enroll now⬇️
https://t.co/FA1hTkaMgR",False,1600596009595404288,3,1,1,0
RepJimCosta,Rep. Jim Costa,1600260042745434112,245451804,en,1600260042745434112,2022-12-06T22:45:00.000Z,80 percent of Americans support a path to citizenship for our Dreamers. The Senate needs to act now to #ProtectDACA. https://t.co/wQsSoSEB4O,False,1600260042745434112,3,0,0,2
RepJimCosta,Rep. Jim Costa,1600253320676851713,245451804,en,1600253320676851713,2022-12-06T22:18:17.000Z,We must never forget their bravery and the ultimate sacrifice they made to protect our democracy. (2/2) https://t.co/qcVWDoAwnW,False,1600253315509456896,1,2,2,0
RepJimCosta,Rep. Jim Costa,1600253315509456896,245451804,en,1600253315509456896,2022-12-06T22:18:16.000Z,"It was an honor to join my colleagues in presenting the Congressional Gold Medal to our heroes, the U.S. Capitol and D.C. Metropolitan police, who defended our capitol on January 6, 2021. This is the highest distinguished achievement presented by the United States Congress.(1/2)",False,1600253315509456896,2,1,1,0
RepJimCosta,Rep. Jim Costa,1600236142271471617,245451804,en,1600236142271471617,2022-12-06T21:10:01.000Z,"It was a pleasure as always to work with TLD Vice-Chair @nicustefanuta. We had robust talks about security on Europe's Eastern flank, and I welcome the expansion of the Schengen Area. This is critical for the continued security and wellbeing of our Eastern European allies. https://t.co/KdgikdXwQA",False,1600236142271471617,5,0,0,1
RepJimCosta,Rep. Jim Costa,1599798313402138624,245451804,pl,1599798313402138624,2022-12-05T16:10:15.000Z,"RT @sikorskiradek: Deklaracja TLD podpisana. 
The TLD statement has been signed. https://t.co/O0mcq4hi3c",False,1599798313402138624,14,0,0,0
RepJimCosta,Rep. Jim Costa,1599218215304908800,245451804,en,1599218215304908800,2022-12-04T01:45:09.000Z,Go Dogs!🐾 #ValleyProud https://t.co/RpBfgUily4,False,1599218215304908800,3,7,7,0
RepJimCosta,Rep. Jim Costa,1599067182633308161,245451804,en,1599067182633308161,2022-12-03T15:45:00.000Z,"Health insurance may cost less than you think. Through Covered California, financial assistance can lower the monthly premium for health coverage. Visit https://t.co/WAC9ZSAFKM",False,1599067182633308161,0,3,3,0
