handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepJoeCourtney,Rep. Joe Courtney,1601347313149935616,85396297,en,1601347313149935616,2022-12-09T22:45:25.000Z,"As Chairman of the Seapower and Projection Forces Subcommittee, I’m proud of the bipartisan work we did to ensure the 2023 NDAA meets the mark for our Navy and our region. 

Learn more about some of the bill's most important parts 👇
https://t.co/pz6DybpM8Y",False,1601347309849415680,0,0,0,0
RepJoeCourtney,Rep. Joe Courtney,1601347309849415680,85396297,en,1601347309849415680,2022-12-09T22:45:24.000Z,"The House came together for the 62nd year in a row to pass a bipartisan NDAA, and it's loaded with support for our Navy and for CT-02—a historic amount of submarine construction, funding for workforce &amp; supply chain development, a pay-raise for our servicemembers, and lots more. https://t.co/zZMJjydnhU",False,1601347309849415680,2,1,1,0
RepJoeCourtney,Rep. Joe Courtney,1601004447991152640,85396297,en,1601004447991152640,2022-12-09T00:03:00.000Z,"Today, the House voted to pass the Respect for Marriage Act – a bill which will enshrine the right to same-sex and interracial marriage into federal law. 

This is the final passage of the bill, and it will now be sent to the President’s desk to be signed into law.",False,1601004447991152640,5,5,5,0
RepJoeCourtney,Rep. Joe Courtney,1600974249166098435,85396297,en,1600974249166098435,2022-12-08T22:03:00.000Z,"As we approach the 10-year anniversary of the tragedy at Sandy Hook Elementary, survivors and parents were in Washington with @NewtownAction to share their heartbreaking stories.

This is incredibly brave work, turning grief and horror into action. https://t.co/nfZ884IDsw",False,1600974249166098435,13,0,0,0
RepJoeCourtney,Rep. Joe Courtney,1600956894319095808,85396297,en,1600956894319095808,2022-12-08T20:54:02.000Z,"This year’s NDAA includes historic support for submarine construction, workforce development, shipyard recapitalization, and more in support of our Navy, eastern CT, and the AUKUS alliance.  

Read more here: https://t.co/pz6DybHVn6",False,1600955946909372417,1,0,0,0
RepJoeCourtney,Rep. Joe Courtney,1600955946909372417,85396297,en,1600955946909372417,2022-12-08T20:50:16.000Z,"Today, we completed final passage of the FY23 NDAA. For the 62nd year in a row, Congress came together in bipartisan fashion to authorize funding that will provide for our men and women in uniform, assure our allies, deter conflict, and protect our homeland. https://t.co/TGfm3YvFgu",False,1600955946909372417,1,1,1,0
RepJoeCourtney,Rep. Joe Courtney,1600604887074672668,85396297,en,1600604887074672668,2022-12-07T21:35:17.000Z,"I’m more excited than ever for what comes next for AUKUS, and will continue to work here in Congress to build bipartisan support to make this groundbreaking agreement a success. 🇺🇸🇦🇺",False,1600602213398855680,0,0,0,0
RepJoeCourtney,Rep. Joe Courtney,1600604885724106758,85396297,en,1600604885724106758,2022-12-07T21:35:17.000Z,"What I am confident in is that with the right demand signal and a coordinated approach among our nations, industry, and the @USNavy, our strong domestic shipbuilding industry can and will meet any challenge presented to it.",False,1600602213398855680,0,1,1,0
RepJoeCourtney,Rep. Joe Courtney,1600604883819892737,85396297,en,1600604883819892737,2022-12-07T21:35:16.000Z,"There’s still a lot more work to develop the way forward for the US, UK and Australia to meet the near and long term undersea capability goals of AUKUS, and it’s far too early to rule anything in or out.",False,1600602213398855680,0,1,1,0
RepJoeCourtney,Rep. Joe Courtney,1600604880971960344,85396297,en,1600604880971960344,2022-12-07T21:35:16.000Z,"Congress will soon pass the first legislation in support of AUKUS – the Australia-US Submarine Officer Pipeline Act – and on his visit this week, Australian Defence Minister Marles toured Electric Boat for insights into submarine construction.

📰 https://t.co/kNiepIYhh7 https://t.co/dIL2vlyfco",False,1600602213398855680,2,1,1,0
RepJoeCourtney,Rep. Joe Courtney,1600602216724824064,85396297,en,1600602216724824064,2022-12-07T21:24:40.000Z,"While the global landscape keeps shifting, one thing is for certain: 2023 is going to be a big year for our two countries and for our AUKUS undersea defense partnership.",False,1600602213398855680,1,1,1,0
RepJoeCourtney,Rep. Joe Courtney,1600602213398855680,85396297,en,1600602213398855680,2022-12-07T21:24:40.000Z,"As this year’s AUSMIN meetings between @SecDef and @RichardMarlesMP wrap up, I’m more bullish than ever on the strength of our alliance and the seminal role #AUKUS will continue to play in our nation’s history. https://t.co/zPUUMnxg7O",False,1600602213398855680,7,2,2,1
RepJoeCourtney,Rep. Joe Courtney,1600574150736756764,85396297,en,1600574150736756764,2022-12-07T19:33:09.000Z,"The Army’s decision not to select Sikorsky for the Future Long-Range Assault Aircraft contract was perplexing, to say the least. Sikorsky has a long, proven track record of producing the most capable helicopters of any county on earth. My full statement ⬇️ https://t.co/SohRJkEUgU",False,1600574150736756764,0,3,3,1
RepJoeCourtney,Rep. Joe Courtney,1600551211857592353,85396297,en,1600551211857592353,2022-12-07T18:02:00.000Z,"The attack against our men and women in Pearl Harbor on December 7th, 1941, forever changed the course of our nation’s history. On Pearl Harbor Remembrance Day, we honor the Americans who lost their lives on that day and the servicemembers who answered the call to serve in WWII. https://t.co/yn5U40AAsy",False,1600551211857592353,5,1,1,0
RepJoeCourtney,Rep. Joe Courtney,1600274638860259328,85396297,en,1600274638860259328,2022-12-06T23:43:00.000Z,"More evidence that eastern CT farmers make some of the world’s best cheese. 

Cato Corner Farm in Colchester is owned and operated by mother and son duo Elizabeth MacAlister and Mark Gillman. Their cheese is ranked top 50 in the US! 

https://t.co/wDiYtrYWzk",False,1600274638860259328,0,2,2,0
RepJoeCourtney,Rep. Joe Courtney,1600206942911143936,85396297,en,1600206942911143936,2022-12-06T19:14:00.000Z,"The Medicare Open Enrollment deadline is tomorrow. Visit https://t.co/PjmQySUsuf to compare coverage.

This year we passed long-awaited Medicare reforms – including a $35/month cap on the price of insulin and improved access to vaccines. Both of these changes kick in next year. https://t.co/PnF9n9kZeu",False,1600206942911143936,0,0,0,0
RepJoeCourtney,Rep. Joe Courtney,1599926595476668420,85396297,en,1599926595476668420,2022-12-06T00:40:00.000Z,"⚓🇺🇸🤝🇦🇺⚓ 

Last week, the USS Mississippi – a Groton-built Virginia-class sub – docked at HMAS Stirling Naval Base in Western Australia for a visit while on patrol in the Indo-Pacific. 

Our undersea partnership in action! https://t.co/rzeGKt2T8s",False,1599926595476668420,0,1,1,0
RepJoeCourtney,Rep. Joe Courtney,1599869533514522624,85396297,en,1599869533514522624,2022-12-05T20:53:15.000Z,"PM Albanese has shown that Australia won’t be shaken from its democratic values—even in the face of immense pressure in the Indo-Pacific.
 
America is grateful for allies like these. #AUKUS 
https://t.co/sLe8UE7q6u",False,1599869533514522624,1,1,1,0
RepJoeCourtney,Rep. Joe Courtney,1599828579579150336,85396297,en,1599828579579150336,2022-12-05T18:10:31.000Z,"This new funding comes on top of the $86 million Connecticut has been allocated from LIHEAP.
 
Get started on an application here. https://t.co/2V9ZD2iLN5",False,1599828577330995202,0,0,0,0
RepJoeCourtney,Rep. Joe Courtney,1599828577330995202,85396297,en,1599828577330995202,2022-12-05T18:10:30.000Z,"Some positive news. Connecticut has allocated an additional $30M in federal funding to our state’s home energy assistance program.   
 
These new funds will go directly to help more eastern CT homeowners stay warm and lower costs this winter. https://t.co/yusQJ2C0Ln",False,1599828577330995202,0,4,4,0
RepJoeCourtney,Rep. Joe Courtney,1599488024165109763,85396297,en,1599488024165109763,2022-12-04T19:37:16.000Z,"It’s no secret that the U.S. Navy is increasingly reliant on the capabilities of submarines and undersea technology.

To help our shipbuilders keep up with more work, we need to re-invest in Registered Apprenticeships and skills training programs.

📰 https://t.co/U157gSmxBp https://t.co/5ewvCiMEHK",False,1599488024165109763,0,4,4,0
RepJoeCourtney,Rep. Joe Courtney,1598779789011144704,85396297,en,1598779789011144704,2022-12-02T20:43:00.000Z,"Starting in January, Medicare Part B monthly premiums are dropping by 3%.  
 
I lead the effort in Congress to have the premiums reduced with updated drug price and scope of use information. Now, for the first time a decade, the monthly cost for Part B beneficiaries will go down.",False,1598779789011144704,3,2,2,0
RepJoeCourtney,Rep. Joe Courtney,1598745933927383040,85396297,en,1598745933927383040,2022-12-02T18:28:28.000Z,"Rep. Langevin has been a great partner and ally for years—from supporting our Navy and the men &amp; women who make it great, to growing America's manufacturing workforce and more.

He made a huge difference for the @USNavy, and his contributions will be felt for generations to come. https://t.co/v16NSzSoM8",False,1598745933927383040,1,0,0,0
RepJoeCourtney,Rep. Joe Courtney,1598708214920613889,85396297,en,1598708214920613889,2022-12-02T15:58:35.000Z,"As we head into winter, remember that you can get the updated COVID-19 booster with your annual flu vaccine.

These vaccines are the best tool we have to keep ourselves and others healthy. Find where you can get yours here 👇 https://t.co/R2Dk9xXq25",False,1598708214920613889,0,4,4,0
RepJoeCourtney,Rep. Joe Courtney,1598357003151110145,85396297,en,1598357003151110145,2022-12-01T16:43:00.000Z,"Just over one year since the bipartisan Infrastructure Investment and Jobs Act was signed into law, it’s fueling 93 active projects in the Second District with more than $800 million in federal funding. https://t.co/wV9E0z10kC",False,1598357003151110145,1,6,6,0
RepJoeCourtney,Rep. Joe Courtney,1598088306335846404,85396297,en,1598088306335846404,2022-11-30T22:55:17.000Z,"I joined to SBA Connecticut to catch up with a few entrepreneurs in Madison and hear how federal PPP &amp; EIDL loans helped them bounce back from the pandemic. 

While you’re out shopping this holiday season, make sure to support local businesses! https://t.co/PciS7VPqIY",False,1598088306335846404,0,4,4,0
RepJoeCourtney,Rep. Joe Courtney,1598056041396465666,85396297,en,1598056041396465666,2022-11-30T20:47:05.000Z,"Congratulations to @RepJeffries, @RepKClark, and @RepPeteAguilar on their elections to House Democratic leadership! 

Ready to work together in the 118th Congress! 🇺🇸",False,1598056041396465666,2,3,3,0
RepJoeCourtney,Rep. Joe Courtney,1597981432798121985,85396297,en,1597981432798121985,2022-11-30T15:50:37.000Z,"Education and skills-training are the cornerstone of generating great career opportunities, and that’s what the new Digital Innovation &amp; STEM Hub will be focused on as it helps train the next generation of medical professionals, engineers, programmers and other in-demand workers.",False,1597981429530382336,0,1,1,0
