handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepJohnCurtis,Rep. John Curtis,1600954719765401600,931614483050414080,en,1600954719765401600,2022-12-08T20:45:24.000Z,"I am pleased to vote in favor of the National Defense Authorization Act. Even before formally taking the Majority, Republicans have exerted our influence to provide solid wins for constituents. #utpol https://t.co/fs5NWM81UM",False,1600954719765401600,0,4,4,0
RepJohnCurtis,Rep. John Curtis,1600597032204632064,931614483050414080,en,1600597032204632064,2022-12-07T21:04:04.000Z,"Focus is incredibly important here in Washington, D.C and I want to make sure my staff and I are putting ours to legislation and not distracting ourselves from the important issues for Utahns. #utpol https://t.co/D2xTQbLDuU",False,1600597032204632064,1,12,12,0
RepJohnCurtis,Rep. John Curtis,1600269852622565378,931614483050414080,en,1600269852622565378,2022-12-06T23:23:59.000Z,RT @NN_MyronLizer: Congressman @RepJohnCurtis always make valuable time to meet with Navajo Leadership (Executive &amp; Legislative). We apprec…,False,1600269852622565378,5,0,0,0
RepJohnCurtis,Rep. John Curtis,1599629071541243904,931614483050414080,en,1599629071541243904,2022-12-05T04:57:44.000Z,"PSA to the incoming freshman class in Congress: time to up your sock game. 

#NationalSockDay 

 https://t.co/lE2A1qFFrl",False,1599629071541243904,0,8,8,1
RepJohnCurtis,Rep. John Curtis,1598905902874382337,931614483050414080,en,1598905902874382337,2022-12-03T05:04:08.000Z,RT @UUtah: We’ll see you in the Rose Bowl 🌹,False,1598905902874382337,490,0,0,0
RepJohnCurtis,Rep. John Curtis,1598038877922422784,931614483050414080,en,1598038877922422784,2022-11-30T19:38:53.000Z,Thank you to the Ute Indian Tribe for the visit to my office in D.C. to discuss the issues at hand between our shared constituents. As we move into the new Congress I look forward to having a strong and open dialogue to get things done. https://t.co/vzVEOzSdrc,False,1598038877922422784,0,4,4,0
RepJohnCurtis,Rep. John Curtis,1597697929154023424,931614483050414080,en,1597697929154023424,2022-11-29T21:04:04.000Z,WHAT A WIN 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸#USAvIRN,False,1597697929154023424,3,7,7,0
RepJohnCurtis,Rep. John Curtis,1597633481865297920,931614483050414080,en,1597633481865297920,2022-11-29T16:47:59.000Z,"Saddened to hear about the passing of a colleague. Donald and I served on the same committee and beyond his service in the Halls of Congress, he was a dedicated public servant and my heart goes out to his family and friends. https://t.co/GwpKUuMOqs",False,1597633481865297920,0,2,2,0
RepJohnCurtis,Rep. John Curtis,1597292759882534912,931614483050414080,en,1597292759882534912,2022-11-28T18:14:04.000Z,"TikTok has failed to assure my committee that it is handling Americans’ personal data responsibly. I wholeheartedly support this request from @cathymcmorris and @RepJamesComer and look forward to more vigorous oversight of Tik Tok in a Republican House. 

https://t.co/XgGFuGJLfT",False,1597292759882534912,6,17,17,0
RepJohnCurtis,Rep. John Curtis,1595779269635997696,931614483050414080,en,1595779269635997696,2022-11-24T14:00:00.000Z,"Today is a day to be with family, be thankful and express appreciation for all of our blessings.

If you are not with family, as I was in 1980 during my Missionary Service in Taiwan, I hope that you can still gather with others and have a meaningful holiday.

Happy Thanksgiving. https://t.co/FKczepZnyZ",False,1595779269635997696,0,1,1,0
RepJohnCurtis,Rep. John Curtis,1595503659978211328,931614483050414080,en,1595503659978211328,2022-11-23T19:44:50.000Z,"RT @UtahDPS: Did you know?
#Thanksgiving is the leading day of the year for home fires involving cooking equipment.
Find more holiday cooki…",False,1595503659978211328,5,0,0,0
RepJohnCurtis,Rep. John Curtis,1595178917924638725,931614483050414080,en,1595178917924638725,2022-11-22T22:14:25.000Z,"From left to right: 

“Accidental Light” 
Katherine Carlston, Olympus High School
 
“Sisters”
Dayna Harris, Provo High School
 
“Lion”
Kira Paskett, Emery High School

“Water Spirit”
Madeline Hoyt, Timpview High School",False,1595178911855529985,0,0,0,0
RepJohnCurtis,Rep. John Curtis,1595178911855529985,931614483050414080,en,1595178911855529985,2022-11-22T22:14:24.000Z,"Not all the entries to the Congressional Art Competition can make it to D.C., which is why I am proud to recognize these honorable mentions in our Provo office. 

Check out these great works from incredibly talented high school students. https://t.co/xkONWINpiA",False,1595178911855529985,0,3,3,0
RepJohnCurtis,Rep. John Curtis,1594792770140778496,931614483050414080,en,1594792770140778496,2022-11-21T20:40:00.000Z,"Hearing and seeing what's happening on the main streets across the District helps me tackle head-on the many issues we are facing.   

Inflation, energy and food prices, are just some to name a few. 
 
As a @CaucusMain member, I am dedicated to working on finding solutions. https://t.co/9UjHvak8of",False,1594792770140778496,0,10,10,1
RepJohnCurtis,Rep. John Curtis,1594736446040309760,931614483050414080,en,1594736446040309760,2022-11-21T16:56:12.000Z,"My team and I are going to hit the ground running in the new Congress and I want to share with you my thoughts on what to expect. 

Check it out below ⬇️⬇️⬇️

https://t.co/cTu7v5aHXj https://t.co/vJGTgD52eQ",False,1594736446040309760,2,7,7,0
RepJohnCurtis,Rep. John Curtis,1593661963862786048,931614483050414080,en,1593661963862786048,2022-11-18T17:46:35.000Z,"There’s a lot of questions about what legislation and work we can get done in a divided Congress next year. 

In this weeks Highs and Lows I’ll be taking a deeper dive into this. 

Subscribe at the link below if you’d like to hear more. ⬇️⬇️⬇️

https://t.co/njtg7QULNB",False,1593661963862786048,1,15,15,0
RepJohnCurtis,Rep. John Curtis,1593637278089416705,931614483050414080,en,1593637278089416705,2022-11-18T16:08:30.000Z,"RT @RepDanCrenshaw: Is the world ready for rational environmentalism?

I joined @RepGregMurphy, @RepGarretGraves, @RepMMM, @RepJohnCurtis,…",False,1593637278089416705,17,0,0,0
RepJohnCurtis,Rep. John Curtis,1593423746831814656,931614483050414080,en,1593423746831814656,2022-11-18T02:00:00.000Z,"Utah is home to the most majestic national parks and they are now free to access for our veterans and Gold Star families. 

If you are in need of assistance in obtaining the proper identification to visit, please contact my office. 

https://t.co/mpSAwELSLh",False,1593423746831814656,2,1,1,0
