handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepJohnJoyce,"John Joyce, M.D.",1600867448584310786,1082311988926124036,en,1600867448584310786,2022-12-08T14:58:37.000Z,"This Christmas, we are deeply thankful for the members of our Armed Forces who are deployed overseas. Yesterday, I had the chance to join the @RedCross  to send Christmas cards to our military members who cannot be with their families this holiday. https://t.co/h6osECsaaW",False,1600867448584310786,0,7,7,0
RepJohnJoyce,"John Joyce, M.D.",1600600358216208406,1082311988926124036,en,1600600358216208406,2022-12-07T21:17:17.000Z,"Our hearts are heavy as we mourn the death of Mapleton Firefighter Kurt Keilhofer. Please join Alice and me as we pray for his family, loved ones, and the entire Mapleton community. https://t.co/LcV0R7Rshs",False,1600600358216208406,2,2,2,0
RepJohnJoyce,"John Joyce, M.D.",1600233763384201216,1082311988926124036,en,1600233763384201216,2022-12-06T21:00:34.000Z,President Biden has made it clear that he does not think the safety of Americans is a priority for his administration. https://t.co/yrQj1NSlMB,False,1600233763384201216,0,7,7,0
RepJohnJoyce,"John Joyce, M.D.",1600189497039519744,1082311988926124036,en,1600189497039519744,2022-12-06T18:04:40.000Z,"On this National Miners Day, we recognize the hardworking men and women of Pennsylvania whose tireless efforts heat our homes and keep the lights on. Thank you. https://t.co/60SsPEGLcp",False,1600189497039519744,3,7,7,0
RepJohnJoyce,"John Joyce, M.D.",1598370391654817792,1082311988926124036,en,1598370391654817792,2022-12-01T17:36:12.000Z,"Equipment produced by Chinese Communist Party-backed companies like Huawei and ZTE should never be sold in the United States. I was proud to see the FCC passed a rule last week to ban these technologies, which have the potential to spy on Americans' personal and private data. https://t.co/UPQB3cWjo4",False,1598370391654817792,4,15,15,1
RepJohnJoyce,"John Joyce, M.D.",1598017533399142400,1082311988926124036,en,1598017533399142400,2022-11-30T18:14:04.000Z,"Our nation owes a debt of gratitude to our men and women in uniform, as well as the families and loved ones who support them. We thank you for your service and sacrifices as your loved ones work to keep our country safe and free. 🇺🇸 https://t.co/FCvdpFRMyZ",False,1598017533399142400,1,7,7,0
RepJohnJoyce,"John Joyce, M.D.",1597734829726265344,1082311988926124036,en,1597734829726265344,2022-11-29T23:30:42.000Z,During National Healthy Skin Month we recognize the importance of skin care and skin cancer prevention. Learn more by visiting https://t.co/U2PqC55LRi https://t.co/mAAAL0hmr0,False,1597734829726265344,0,4,4,0
RepJohnJoyce,"John Joyce, M.D.",1597288955694628864,1082311988926124036,en,1597288955694628864,2022-11-28T17:58:57.000Z,"Last week, six pounds of deadly, illegal drugs were seized in Somerset County. Drugs like fentanyl analogs that continue to pour into Pennsylvania have made our communities less safe. How long will it be before President Biden finally takes our border security seriously? https://t.co/CBgCVQO5Ze",False,1597288955694628864,2,10,10,2
RepJohnJoyce,"John Joyce, M.D.",1595775837890027521,1082311988926124036,en,1595775837890027521,2022-11-24T13:46:22.000Z,"On Thanksgiving, we remember the servicemembers who are deployed overseas, our law enforcement, first responders, healthcare workers, and all Pennsylvanians who make our communities stronger. May God bless you, and may He continue to bless these great United States of America. https://t.co/RKYgJW1jGv",False,1595775837890027521,1,10,10,0
RepJohnJoyce,"John Joyce, M.D.",1595441364078104578,1082311988926124036,en,1595441364078104578,2022-11-23T15:37:17.000Z,"If you or a veteran you know needs assistance with the Department of Veterans Affairs, my office is here to help! This Thanksgiving, we remember and thank all those who have served our nation in uniform. https://t.co/mFWEc09fBf",False,1595441364078104578,2,6,6,1
RepJohnJoyce,"John Joyce, M.D.",1595181201446371328,1082311988926124036,en,1595181201446371328,2022-11-22T22:23:30.000Z,"The scientists, engineers, and astronauts at NASA are a key part of what makes our nation great. To watch the flight of the ORION spacecraft and learn more about its mission, click here: https://t.co/lR1O2Hkmq5 https://t.co/xslUtULMsx",False,1595181201446371328,1,4,4,0
RepJohnJoyce,"John Joyce, M.D.",1593624249935269889,1082311988926124036,en,1593624249935269889,2022-11-18T15:16:43.000Z,The Biden Administration's failure to safely and effectively withdraw our troops and equipment from Afghanistan has made our nation less safe.  https://t.co/CMOmaN0d6p,False,1593624249935269889,1,10,10,0
RepJohnJoyce,"John Joyce, M.D.",1593365355447173121,1082311988926124036,en,1593365355447173121,2022-11-17T22:07:58.000Z,"Today is National Rural Health Day! Thank you to the doctors, nurses and healthcare workers who support our rural #PA13 communities. https://t.co/bzXLmdEHAj",False,1593365355447173121,3,7,7,0
RepJohnJoyce,"John Joyce, M.D.",1592942688793669632,1082311988926124036,en,1592942688793669632,2022-11-16T18:08:27.000Z,"Soaring diesel prices are hurting manufacturers in #PA13. 

It's time to flip the switch on the failed energy policies of the Biden Administration and return to American energy dominance. https://t.co/WTtnusdPUF",False,1592942688793669632,2,8,8,0
RepJohnJoyce,"John Joyce, M.D.",1592277145149407232,1082311988926124036,en,1592277145149407232,2022-11-14T22:03:49.000Z,"American small businesses can't afford President Biden's failed policies. To get inflation under control, it's time to put a stop to the socialist spending sprees that have driven prices higher for the past two years. https://t.co/6KGhFx9nfT",False,1592277145149407232,1,13,13,0
RepJohnJoyce,"John Joyce, M.D.",1592174409644752896,1082311988926124036,en,1592174409644752896,2022-11-14T15:15:35.000Z,"As the number one killer of Americans between the ages of 18-45, fentanyl is wreaking havoc across our Pennsylvania communities. Addressing this crisis in our communities will take all of us working together at the federal, state, and local levels. https://t.co/y1QeIJ4Yzp",False,1592174409644752896,5,4,4,0
RepJohnJoyce,"John Joyce, M.D.",1590747119563833345,1082311988926124036,en,1590747119563833345,2022-11-10T16:44:02.000Z,"Ensuring that these maps are accurate will be critical to bringing reliable, high-speed internet to businesses, students, and patients across #PA13. Funding for broadband deployment must go to communities that are most in need. https://t.co/bL6PWABGv3",False,1590747119563833345,1,10,10,0
RepJohnJoyce,"John Joyce, M.D.",1590717973362511872,1082311988926124036,en,1590717973362511872,2022-11-10T14:48:13.000Z,Happy 247th Birthday to the United States Marines! Your service and sacrifice are essential to keeping our nation safe and free. https://t.co/af7WMZsZsE,False,1590717973362511872,2,7,7,0
RepJohnJoyce,"John Joyce, M.D.",1587536706215055360,1082311988926124036,en,1587536706215055360,2022-11-01T20:07:00.000Z,RT @HouseGOP: WATCH: @RepJohnJoyce on House Republicans' #CommitmentToAmerica to restore American energy independence and bring down prices…,False,1587536706215055360,39,0,0,0
