handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepJoshHarder,Rep. Josh Harder,1601305812328128517,1080851152151953410,en,1601305812328128517,2022-12-09T20:00:31.000Z,"Our friends at @PORACalifornia stopped by to talk about what more we can do to support Valley police officers.
 
There’s plenty more to do. https://t.co/5yNE2a67xW",False,1601305812328128517,3,1,1,1
RepJoshHarder,Rep. Josh Harder,1600921015693021191,1080851152151953410,en,1600921015693021191,2022-12-08T18:31:28.000Z,I just voted to make marriage equality the law of the land! https://t.co/vDfIzN8jeg,False,1600921015693021191,7,3,3,1
RepJoshHarder,Rep. Josh Harder,1600673845454819328,1080851152151953410,en,1600673845454819328,2022-12-08T02:09:18.000Z,"Today, we remember the men and women we lost at Pearl Harbor 81 years ago.

We will never forgot the sacrifice and bravery of our World War II veterans. https://t.co/5RW4GtMPrn",False,1600673845454819328,2,3,3,0
RepJoshHarder,Rep. Josh Harder,1600239211227013122,1080851152151953410,en,1600239211227013122,2022-12-06T21:22:13.000Z,"Just last week, a mother told me she had to drive 4 hours for her son to see a doctor.

We’re going to change that.

I’m incredibly proud our plan to bring 10,000 more doctors to the Valley is about to become a reality!! https://t.co/xJN1nD0k8R",False,1600239211227013122,7,4,4,0
RepJoshHarder,Rep. Josh Harder,1599495049313751040,1080851152151953410,en,1599495049313751040,2022-12-04T20:05:11.000Z,"My brother and I had asthma growing up because the Valley’s air quality was so bad.

I refuse for my daughter Lillian to go through the same thing.

Excited to share more next week about my new bill to get ahead of this.",False,1599495049313751040,3,3,3,1
RepJoshHarder,Rep. Josh Harder,1599112783626440704,1080851152151953410,en,1599112783626440704,2022-12-03T18:46:12.000Z,RT @fox5sandiego: It's been available to physicians in most states after federal education officials adopted new rules that were championed…,False,1599112783626440704,2,0,0,0
RepJoshHarder,Rep. Josh Harder,1599094362016825344,1080851152151953410,en,1599094362016825344,2022-12-03T17:33:00.000Z,"Bundle up folks. It’s gonna get chilly. 🥶
lows in the 30s! https://t.co/l7hwgbz3uk",False,1599094362016825344,0,4,4,0
RepJoshHarder,Rep. Josh Harder,1598861198824382469,1080851152151953410,en,1598861198824382469,2022-12-03T02:06:29.000Z,"RT @NikkiLaurenzo: NEW: A legislative win for @RepJoshHarder. It’s one he says will improve medical care in CA, especially in the Central V…",False,1598861198824382469,11,0,0,0
RepJoshHarder,Rep. Josh Harder,1598482152685027328,1080851152151953410,en,1598482152685027328,2022-12-02T01:00:18.000Z,"Christmas has made it to the Valley! 🎄
 
https://t.co/T0U3EfDuKx",False,1598482152685027328,0,3,3,0
RepJoshHarder,Rep. Josh Harder,1598098103756017664,1080851152151953410,en,1598098103756017664,2022-11-30T23:34:13.000Z,"Read the bills here:
 
https://t.co/WJOhFFUpv1
 
https://t.co/6U3IIMDs2D",False,1598098101214253057,1,1,1,0
RepJoshHarder,Rep. Josh Harder,1598098101214253057,1080851152151953410,en,1598098101214253057,2022-11-30T23:34:13.000Z,"Good news of the day:
 
We just passed 2 bipartisan bills to get law enforcement more resources when they respond to mental health crisises. I hear from law enforcement all the time this is one of the biggest issues they face.
 
Glad to get this done.",False,1598098101214253057,6,5,5,0
