handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepJuanVargas,Rep. Juan Vargas,1605982428903792640,1260172386,en,1605982428903792640,2022-12-22T17:43:43.000Z,"RT @SpeakerPelosi: Last night, @ZelenskyyUa delivered an address to Congress about the determination of the Ukrainian people and inspired u…",False,1605982428903792640,3012,0,0,0
RepJuanVargas,Rep. Juan Vargas,1605658662319493122,1260172386,en,1605658662319493122,2022-12-21T20:17:11.000Z,My office was honored to attend several swearing-in ceremonies across #CA51. Congratulations to our state &amp; local officials! I look forward to working with you to deliver for our community. https://t.co/UxR32hdYil,False,1605658662319493122,0,2,2,0
RepJuanVargas,Rep. Juan Vargas,1604966995409223680,1260172386,en,1604966995409223680,2022-12-19T22:28:45.000Z,"Thank you to my colleagues on the @January6thCmte for your tireless work to tell the American people the truth.

Insurrectionists have no place in the White House or the halls of Congress. https://t.co/KGQyVQl9bB",False,1604966995409223680,1,5,5,1
RepJuanVargas,Rep. Juan Vargas,1604621177011539969,1260172386,en,1604621177011539969,2022-12-18T23:34:35.000Z,Happy Hanukkah to all who celebrate in #CA51 &amp; around the world!,False,1604621177011539969,0,2,2,0
RepJuanVargas,Rep. Juan Vargas,1603471981327929344,1260172386,en,1603471981327929344,2022-12-15T19:28:06.000Z,"📣 Starting today, each household can order up to four FREE #COVID19 tests.

As COVID-19 cases rise across our nation, we all must do our part to slow the spread. 

Order tests here: https://t.co/lhG4OZa8q3 https://t.co/5NWrwzcQ17",False,1603471981327929344,3,4,4,0
RepJuanVargas,Rep. Juan Vargas,1603426431949742080,1260172386,en,1603426431949742080,2022-12-15T16:27:06.000Z,"I’m proud of what my @HouseDemocrats colleagues &amp; I have delivered for Americans:
 
🌎 historic climate investments through #InflationReductionAct
🛠 good-paying jobs across our nation
🚧 once-in-a-generation investments to rebuild our infrastructure
 
We delivered #ForThePeople.",False,1603426431949742080,1,6,6,0
RepJuanVargas,Rep. Juan Vargas,1603075225746345985,1260172386,en,1603075225746345985,2022-12-14T17:11:32.000Z,"Ten years ago today, 20 children &amp; 6 educators were senselessly killed at Sandy Hook Elementary School.
 
Far too many communities have been impacted by gun violence. We can &amp; must do more to #EndGunViolence  once and for all.",False,1603075225746345985,3,5,5,1
RepJuanVargas,Rep. Juan Vargas,1603047636592111616,1260172386,en,1603047636592111616,2022-12-14T15:21:54.000Z,"RT @FSCDems: #Today at 10 AM - the full Committee, chaired by @RepMaxineWaters, is holding a hearing entitled, ""Consumers First: Semi-Annua…",False,1603047636592111616,9,0,0,0
RepJuanVargas,Rep. Juan Vargas,1602762269116534789,1260172386,en,1602762269116534789,2022-12-13T20:27:57.000Z,"Today, @POTUS will sign the #RespectForMarriageAct. 

Today, marriage equality becomes the law of the land. https://t.co/xdhN0vINFz",False,1602762269116534789,0,9,9,0
RepJuanVargas,Rep. Juan Vargas,1602678217642475522,1260172386,en,1602678217642475522,2022-12-13T14:53:58.000Z,"Proud to join my @FSCDems colleagues to once again hold bad actors who abuse the financial system accountable.
 
More than 1 million consumers were impacted by the collapse of FTX. The public deserves answers. 

📺: https://t.co/bOuks0YXAk",False,1602678217642475522,10,56,56,3
RepJuanVargas,Rep. Juan Vargas,1601303907992363008,1260172386,en,1601303907992363008,2022-12-09T19:52:57.000Z,"ESG disclosures provide insight into how companies are addressing crucial issues like climate change &amp; diversity.
 
Proud to share I'll be leading the Congressional Sustainable Investment Caucus next year &amp; continue my work with @FSCDems to highlight ESG's role in our economy. https://t.co/oLD5soZhbx",False,1601303907992363008,4,14,14,2
RepJuanVargas,Rep. Juan Vargas,1600894062667902976,1260172386,en,1600894062667902976,2022-12-08T16:44:22.000Z,"Just voted to send the #RespectForMarriageAct to @POTUS's desk.

Love is love. https://t.co/nPkiU5X0bb",False,1600894062667902976,6,3,3,2
RepJuanVargas,Rep. Juan Vargas,1600885449362264070,1260172386,en,1600885449362264070,2022-12-08T16:10:08.000Z,So thankful Brittney Griner will be home with her loved ones. https://t.co/2hwMvOwQG6,False,1600885449362264070,1,1,1,0
RepJuanVargas,Rep. Juan Vargas,1600660504217026560,1260172386,en,1600660504217026560,2022-12-08T01:16:17.000Z,"RT @HouseDemocrats: ICYMI: Last month, the U.S. added 263,000 jobs, and our economy grew faster last quarter than experts predicted.

This…",False,1600660504217026560,19,0,0,0
RepJuanVargas,Rep. Juan Vargas,1600585875771035658,1260172386,en,1600585875771035658,2022-12-07T20:19:44.000Z,"This year, I voted to:
 
✅Protect reproductive rights
✅Protect marriage equality
✅Lower costs for working Americans
✅Bolster American manufacturing
✅Support Ukraine against Putin’s illegal war",False,1600585875771035658,1,2,2,0
RepJuanVargas,Rep. Juan Vargas,1600498230680338433,1260172386,en,1600498230680338433,2022-12-07T14:31:28.000Z,".@HouseDemocrats passed the #InflationReductionAct to lower costs, tackle the #ClimateCrisis, and make the ultra-wealthy pay their fair share. 

Learn more below 👇 https://t.co/2pJpvYIo7k",False,1600498230680338433,2,3,3,0
RepJuanVargas,Rep. Juan Vargas,1600274166745370626,1260172386,en,1600274166745370626,2022-12-06T23:41:07.000Z,"DACA recipients are our students, teachers, friends &amp; neighbors.
 
They deserve a pathway to citizenship. Let’s pass the Dream Act NOW! #HomeIsHere",False,1600274166745370626,97,14,14,2
RepJuanVargas,Rep. Juan Vargas,1600225281876246529,1260172386,en,1600225281876246529,2022-12-06T20:26:52.000Z,"People who serve our country deserve to stay in our country.

Proud to have voted for the Veteran Service Recognition Act. https://t.co/2pdA3ypty7",False,1600225281876246529,17,4,4,1
RepJuanVargas,Rep. Juan Vargas,1599848189443469312,1260172386,en,1599848189443469312,2022-12-05T19:28:26.000Z,"This funding will make a crucial difference for the environment and communities in #CA51. Proud to have voted for the Inflation Reduction Act to make historic funding like this possible.

https://t.co/Ixh1KxrxQK",False,1599848189443469312,2,5,5,0
RepJuanVargas,Rep. Juan Vargas,1598833869213794304,1260172386,en,1598833869213794304,2022-12-03T00:17:53.000Z,"We need to create a pathway to citizenship for DACA recipients, farm workers, TPS holders &amp; the millions of immigrants who call our nation home.
 
It’s high time to pass the Dream Act. #HomeIsHere",False,1598833869213794304,92,31,31,6
RepJuanVargas,Rep. Juan Vargas,1598790245918642191,1260172386,en,1598790245918642191,2022-12-02T21:24:33.000Z,"Today’s jobs report shows that @POTUS is building an economy that works for working Americans.
 
Democrats have delivered an economic plan to create jobs for more than 10 million people across the nation.
 
https://t.co/a4Fu5DsO8Z",False,1598790245918642191,2,2,2,1
RepJuanVargas,Rep. Juan Vargas,1598432645163130888,1260172386,en,1598432645163130888,2022-12-01T21:43:34.000Z,"There have been more than 600 mass shootings this year. 

We need to #BanAssaultWeapons &amp; #EndGunViolence NOW.",False,1598432645163130888,1,4,4,1
