handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepJudyChu,Judy Chu,1600926233604526080,193732179,en,1600926233604526080,2022-12-08T18:52:12.000Z,"What a great surprise to run into one of the most resilient men out there— Paul Pelosi!

Thrilled to report that there's no keeping him down. Toughness and strength runs in @SpeakerPelosi's whole family! https://t.co/bb16mREK4v",False,1600926233604526080,15,10,10,1
RepJudyChu,Judy Chu,1600914583082135552,193732179,en,1600914583082135552,2022-12-08T18:05:54.000Z,"I've spent my whole career fighting for the rights of LGBTQ+ Americans. That's why I was proud to speak on the House floor today in *strong* support of the #RespectforMarriageAct. 🏳️‍🌈

Watch my remarks below ⬇️ https://t.co/GozqPNMHJF",False,1600914583082135552,15,6,6,4
RepJudyChu,Judy Chu,1600897091769077760,193732179,en,1600897091769077760,2022-12-08T16:56:24.000Z,"So proud to stand alongside my friend and the first out LGBTQ+ person of color elected to Congress, @RepMarkTakano, as the Respect for Marriage Act passed the House! Next stop: the President's desk! https://t.co/7DcQQmtckJ",False,1600897091769077760,25,10,10,1
RepJudyChu,Judy Chu,1600859493214167042,193732179,en,1600859493214167042,2022-12-08T14:27:00.000Z,"RT @LGBTEqCaucus: Today the House will vote to send the #RespectForMarriageAct to the President’s desk.

Passage of this bill will be a hug…",False,1600859493214167042,86,0,0,0
RepJudyChu,Judy Chu,1600559942154719232,193732179,en,1600559942154719232,2022-12-07T18:36:41.000Z,"RT @WaysMeansCmte: WATCH @RepJudyChu discuss the ""Jackie Walorski Maternal &amp; Child Home Visiting Reauthorization Act"" and how it delivers m…",False,1600559942154719232,13,0,0,0
RepJudyChu,Judy Chu,1600194521978916865,193732179,en,1600194521978916865,2022-12-06T18:24:38.000Z,"Delighted to be at @librarycongress to celebrate National Kimchi Day.

Yes, the kimchi tasted as good as it looks! https://t.co/ykHYerPx9D",False,1600194521978916865,11,2,2,2
RepJudyChu,Judy Chu,1598803966623887360,193732179,en,1598803966623887360,2022-12-02T22:19:04.000Z,"While the weather back home might not get as cold as it does here in DC, our holiday spirit is just as prevalent! Loved seeing the U.S. Capitol Christmas Tree at the Lighting Ceremony earlier this week. https://t.co/oJuWy6zagR",False,1598803966623887360,8,11,11,0
RepJudyChu,Judy Chu,1598422976558497794,193732179,en,1598422976558497794,2022-12-01T21:05:09.000Z,RT @RepKClark: The Team. https://t.co/bCVOQAk8P6,False,1598422976558497794,5066,0,0,0
RepJudyChu,Judy Chu,1598062618249695233,193732179,en,1598062618249695233,2022-11-30T21:13:13.000Z,"Congratulations to my friend, @TedLieu on his election to Vice Chair of the Democratic Caucus. Ted made history today as the first AAPI elected to top Dem Leadership &amp; I could not be more proud. He is an incredible leader who makes ALL members of our caucus feel heard. https://t.co/YIr431qo41",False,1598062618249695233,1827,383,383,77
RepJudyChu,Judy Chu,1598039171947704320,193732179,en,1598039171947704320,2022-11-30T19:40:03.000Z,"I strongly support the efforts to add 7 paid sick days to the agreement, but without its inclusion, I could not in good conscience support the underlying bill. (3/3)",False,1598039169192046594,3,3,3,1
RepJudyChu,Judy Chu,1598039170689400832,193732179,en,1598039170689400832,2022-11-30T19:40:03.000Z,"I challenge anyone who has ever woken up with the flu, been infected with COVID, or had to stay home with a sick child, to argue that paid time off is not essential. (2/3)",False,1598039169192046594,6,2,2,0
RepJudyChu,Judy Chu,1598039169192046594,193732179,en,1598039169192046594,2022-11-30T19:40:02.000Z,"I have been a longtime champion of the rights of workers to collectively bargain, and that includes railroad workers. While the tentative agreement reached in September includes many increased benefits for these rail workers, it includes only one additional personal day. (1/3)",False,1598039169192046594,8,7,7,2
RepJudyChu,Judy Chu,1597616765785108482,193732179,en,1597616765785108482,2022-11-29T15:41:33.000Z,"I am saddened to hear of the loss of my colleague, @RepMcEachin, who passed away after a valiant battle with cancer. His tireless advocacy for a healthy and safe environment for his constituents was an inspiration. I send my thoughts to his loved ones in this difficult time.",False,1597616765785108482,1,0,0,0
RepJudyChu,Judy Chu,1595139926613716992,193732179,en,1595139926613716992,2022-11-22T19:39:29.000Z,As a member of the @LGBTEqCaucus I join my colleagues in sending my love &amp; condolences to everyone impacted by the #ClubQ attack this past weekend https://t.co/rP4tmxcxtU,False,1595139926613716992,9,5,5,0
RepJudyChu,Judy Chu,1594772499333582869,193732179,en,1594772499333582869,2022-11-21T19:19:27.000Z,"Let's be clear. The attack at Club Q in Colorado Springs didn't happen in a vacuum. The incessant political rhetoric against LGBTQ+ people gives way for such violence to occur.

My thoughts are with all affected by this tragedy. We cannot stop violence without stopping hate. https://t.co/xGq4CaLWON",False,1594772499333582869,14,4,4,1
RepJudyChu,Judy Chu,1593680893897572354,193732179,en,1593680893897572354,2022-11-18T19:01:48.000Z,"Today marks the end of #TransAwarenessWeek, leading into #TransDayOfRemembrance on Sunday.
 
I will *always* protect and defend the right of transgender Americans to be their authentic selves—  especially in the face of vitriol and hate. https://t.co/uSNSt6Ecgd",False,1593680893897572354,12,4,4,0
RepJudyChu,Judy Chu,1593637501595488256,193732179,en,1593637501595488256,2022-11-18T16:09:23.000Z,"@LeaderHoyer's leadership leaves a mighty legacy, in ways that are easy to measure, like the monumental legislation we passed for working families, but also in intangible ways, like his kindness, generosity, and the way he treated every Member and House employee with respect.",False,1593637501595488256,2,0,0,0
RepJudyChu,Judy Chu,1593344783099084801,193732179,en,1593344783099084801,2022-11-17T20:46:13.000Z,"#Title42  is a harmful, abusive, and racist policy that took advantage of a public health rule to block asylum seekers from entering the country. 

Like many of my colleagues, I will be glad to see it go https://t.co/YhjHnfIMS1",False,1593344783099084801,18,5,5,1
RepJudyChu,Judy Chu,1593307656759959553,193732179,en,1593307656759959553,2022-11-17T18:18:42.000Z,"Thank you to my dear friend @SpeakerPelosi, for your inspiration, your vision, and your leadership. Your legacy leaves the United States stronger than ever, and I am proud to have served with you as our nation's first ever woman Speaker of the House. https://t.co/S2IVSL7sNb",False,1593307656759959553,23,4,4,0
RepJudyChu,Judy Chu,1592959980402941952,193732179,en,1592959980402941952,2022-11-16T19:17:09.000Z,No one should be discriminated against for who they love. I strongly urge my colleagues in the Senate to pass the #RespectForMarriageAct. #LoveIsLove ❤️🏳️‍🌈 https://t.co/KwEDBj8RbJ,False,1592959980402941952,10,3,3,0
