handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepKahele,Congressman Kaiali‘i Kahele,1606059007176716290,1351966874377056257,en,1606059007176716290,2022-12-22T22:48:01.000Z,"I give credit where credit is deserved. 

Kudoʻs to John Burnett of the @HITribuneHerald who wrote a normal, informative, fact based article with journalistic integrity. 

Never received a phone call. No need for an interview. No opinions. 

Mahalo John 🤙🏽 https://t.co/PcFid5RUDz",False,1606059007176716290,1,0,0,0
RepKahele,Congressman Kaiali‘i Kahele,1606041298628055040,1351966874377056257,en,1606041298628055040,2022-12-22T21:37:39.000Z,"@SamGuckenheimer @kiapolo808 @kuehuikapono Great question. 

Because it literally took my entire term in Congress, 23 months, to get a formal response back from the ONHR on the blood quantum issue. 

HR 9614 addresses their formal opinion &amp; the “inequitable effects” between existing lessees &amp; waitlisters. https://t.co/7OmWpCqE3t",False,1605712685257134080,0,0,0,0
RepKahele,Congressman Kaiali‘i Kahele,1606034291057631243,1351966874377056257,en,1606034291057631243,2022-12-22T21:09:48.000Z,"This bill, headed to the President's desk is a BIG DEAL for the indigenous language revitalization movement nationally and Senator Schatz made sure - Native Hawaiians were included in the bill. 🤙🏽

https://t.co/qlLvqYxu5N https://t.co/wveh7m9Oer",False,1606034262511083520,2,0,0,0
RepKahele,Congressman Kaiali‘i Kahele,1606034262511083520,1351966874377056257,en,1606034262511083520,2022-12-22T21:09:41.000Z,"As a parent to two daughters who have been raised in the ʻōlelo Hawaiʻi immersion education program since they were 15 months old,  I was proud to cast my YES vote today for S.989 a bill authored by my colleague @SenBrianSchatz - The Native American Language Resource Center Act. https://t.co/uI99sV5mBq",False,1606034262511083520,4,1,1,0
RepKahele,Congressman Kaiali‘i Kahele,1606022537560788992,1351966874377056257,en,1606022537560788992,2022-12-22T20:23:06.000Z,"Proud to announce the Congress has passed federal legislation today authored by my colleague @RepEdCase that will initiate the formal process to designate Kaʻēna Point as the States first National Heritage Area. 

It is on its way to the Presidents desk!

https://t.co/w2nltYoRSv https://t.co/1QUTUcIbPh",False,1606022537560788992,8,1,1,1
RepKahele,Congressman Kaiali‘i Kahele,1605961418750038016,1351966874377056257,en,1605961418750038016,2022-12-22T16:20:14.000Z,"It was an honor to preside over the floor of the House for my final time in the 117th Congress. 

Since statehood in 1959, only 18 individuals have ever represented Hawai’i in Congress. 

From Miloli’i to Hilo to Washington D.C. it has truly been an experience of a lifetime. 🤙🏽🤙🏽 https://t.co/K1ZhzjTL1V",False,1605961418750038016,25,3,3,3
RepKahele,Congressman Kaiali‘i Kahele,1605953009195720704,1351966874377056257,en,1605953009195720704,2022-12-22T15:46:49.000Z,"“Leaders don’t wait to see what the crowd wants. Leaders also don’t take orders from lobbyists”. 

Truth. https://t.co/ezbBkFDoIH",False,1605953009195720704,0,0,0,1
RepKahele,Congressman Kaiali‘i Kahele,1605946761918423040,1351966874377056257,und,1605946761918423040,2022-12-22T15:21:59.000Z,@HiAirGuard 🤙🏽🤙🏽🤙🏽 https://t.co/Rtxbxw0H1j,False,1605946761918423040,0,0,0,0
RepKahele,Congressman Kaiali‘i Kahele,1605763381360791553,1351966874377056257,en,1605763381360791553,2022-12-22T03:13:18.000Z,@2021June @kaikahele Awesome!  🤙🏽🤙🏽,False,1605344792082538497,0,0,0,0
RepKahele,Congressman Kaiali‘i Kahele,1605737258526441472,1351966874377056257,en,1605737258526441472,2022-12-22T01:29:30.000Z,Witness to history 🇺🇸🇺🇦 https://t.co/O0ecqbFYoX,False,1605737258526441472,14,1,1,0
RepKahele,Congressman Kaiali‘i Kahele,1605712765058011138,1351966874377056257,en,1605712765058011138,2022-12-21T23:52:10.000Z,It is time to right a historical wrong &amp; address a longstanding issue in the native Hawaiian community - blood quantum.,False,1605712685257134080,6,0,0,0
RepKahele,Congressman Kaiali‘i Kahele,1605712685257134080,1351966874377056257,en,1605712685257134080,2022-12-21T23:51:51.000Z,"Today, I spoke on the floor of the House about the Hawaiian Home Lands Preservation Act which would amend the Hawaiian Homes Commission Act of 1920 &amp; lower the blood quantum requirement to 1/32nd for successor beneficiaries. https://t.co/8w3WYY0VKj",False,1605712685257134080,47,8,8,3
RepKahele,Congressman Kaiali‘i Kahele,1605642746466775041,1351966874377056257,en,1605642746466775041,2022-12-21T19:13:56.000Z,RT @HouseDailyPress: .@RepKahele presided. House Chaplain Kibben offered the opening prayer. The Journal was approved. @RepJoeWilson led th…,False,1605642746466775041,2,0,0,0
RepKahele,Congressman Kaiali‘i Kahele,1605344792082538497,1351966874377056257,en,1605344792082538497,2022-12-20T23:29:58.000Z,"Colorectal Cancer is the 3rd most common cancer in Hawaiʻi.

Native Hawaiian men experience the highest death rate from colon cancer of all ethnic groups, &amp; over 58% of Native Hawaiian men over 50 have never been screened.

Let me take you along the ride for my first colonoscopy. https://t.co/wCRpnwd6pm",False,1605344792082538497,16,10,10,2
RepKahele,Congressman Kaiali‘i Kahele,1605343807410536448,1351966874377056257,und,1605343807410536448,2022-12-20T23:26:04.000Z,🇺🇦 https://t.co/CrN8XpO6hp,False,1605343807410536448,8,2,2,0
RepKahele,Congressman Kaiali‘i Kahele,1605251844917305347,1351966874377056257,en,1605251844917305347,2022-12-20T17:20:38.000Z,H.R. 9614 introduced in the 117th Congress https://t.co/GOYijU9twO,False,1605251844917305347,2,0,0,0
RepKahele,Congressman Kaiali‘i Kahele,1605251478507360257,1351966874377056257,en,1605251478507360257,2022-12-20T17:19:11.000Z,RT @HouseDailyPress: .@RepSarbanes presided. House Chaplain Kibben led the House in the opening prayer. The Journal was approved. @RepKahel…,False,1605251478507360257,2,0,0,0
RepKahele,Congressman Kaiali‘i Kahele,1605013646291406849,1351966874377056257,en,1605013646291406849,2022-12-20T01:34:07.000Z,"21 years ago in USAF pilot training, every day we would sync our watches precisely to the US Naval Observatory Atomic Clock. 

We were never late, down to the exact second. 

Tonight I went to the USNO holiday reception to meet &amp; coin the @VP. 

Needless to say she was ready. 🤙🏽 https://t.co/3FHoTIluSl",False,1605013646291406849,8,3,3,0
RepKahele,Congressman Kaiali‘i Kahele,1604951863509630980,1351966874377056257,en,1604951863509630980,2022-12-19T21:28:37.000Z,RT @CAPAC: CAPAC members successfully worked to send First Vice-Chair @RepGraceMeng's bill studying the creation of a National Museum of As…,False,1604951863509630980,2,0,0,0
RepKahele,Congressman Kaiali‘i Kahele,1604948042871816192,1351966874377056257,en,1604948042871816192,2022-12-19T21:13:26.000Z,From Hawai’i straight to the White House for the congressional member led tour. Some of the best 🎄 were the ones decorated with stars remembering our gold star families &amp; honoring their loved ones. 🥶 but beautiful day in Washington. https://t.co/1IABFVnaM5 https://t.co/pTylIksIjQ,False,1604948042871816192,8,0,0,0
RepKahele,Congressman Kaiali‘i Kahele,1604887507237232641,1351966874377056257,en,1604887507237232641,2022-12-19T17:12:53.000Z,"RT @KSNews: Aloha lā hānau e Ke Aliʻi Pauahi!
 
Today, as one Kamehameha Schools ‘ohana, we come together to celebrate the 191st anniversar…",False,1604887507237232641,12,0,0,0
RepKahele,Congressman Kaiali‘i Kahele,1604694732319227905,1351966874377056257,en,1604694732319227905,2022-12-19T04:26:52.000Z,RT @TheDemocrats: A very happy Hanukkah to everyone beginning their celebrations tonight. We hope the next eight days bring you joy and hap…,False,1604694732319227905,197,0,0,0
RepKahele,Congressman Kaiali‘i Kahele,1604691919510310913,1351966874377056257,en,1604691919510310913,2022-12-19T04:15:42.000Z,Last time this will be at my 6 as a Member of Congress 🛫 https://t.co/XJ0WxmO2uM,False,1604691919510310913,5,1,1,1
RepKahele,Congressman Kaiali‘i Kahele,1604679343254298624,1351966874377056257,en,1604679343254298624,2022-12-19T03:25:43.000Z,"49 hours in Hawai’i 🏝

Cert Presentation to Hotel Workers ✅
Commander Pacific Fleet Meeting ✅
Homework with the kids ✅
Filipino Food in Waipahu ✅
Don Quijote for omiyage ✅
‘Ohana holiday party in Maunawili ✅

Now back to DC to meet the @VP &amp; @SecondGentleman https://t.co/Z4yxgQTLzj",False,1604679343254298624,4,2,2,1
RepKahele,Congressman Kaiali‘i Kahele,1604253748502487040,1351966874377056257,en,1604253748502487040,2022-12-17T23:14:33.000Z,The @WhiteHouse Christmas tree in the Blue Room features official birds from every state &amp; territory. Can you guess what Hawaii’s is? 🎄 https://t.co/0Wv6e94JWl,False,1604253748502487040,58,21,21,3
RepKahele,Congressman Kaiali‘i Kahele,1604010753760956417,1351966874377056257,tl,1604010753760956417,2022-12-17T07:08:59.000Z,Mahalo &amp; Mele Kalikimaka to the outstanding team of the @Marriott O’ahu Kapolei. 🤙🏽🎄 https://t.co/0qE0kiNHYP,False,1604010753760956417,3,6,6,0
RepKahele,Congressman Kaiali‘i Kahele,1603785314522349568,1351966874377056257,en,1603785314522349568,2022-12-16T16:13:10.000Z,"“It’s a very complicated history and I try to not make it sound that way, but it is” - @RepDavids

@RepDavids, @Rep_Peltola and @RepKahele discussed what we, as Indigenous Members of Congress, are doing to uplift native communities on the final episode of #ConversationsWithKai. https://t.co/tLgcPycM4V",False,1603785314522349568,97,6,6,7
RepKahele,Congressman Kaiali‘i Kahele,1603780043083317248,1351966874377056257,en,1603780043083317248,2022-12-16T15:52:13.000Z,The bipartisan U.S. House prayer breakfast held every Thursday is a chance for members from both parties to gather in fellowship &amp; pray for the nation &amp; our world. I have been attending this for the last two years &amp; always bring with me the Akaka Bible &amp; my ukulele. 🙏🤙🏽 https://t.co/ffLwOfORFC,False,1603780043083317248,3,8,8,0
RepKahele,Congressman Kaiali‘i Kahele,1603490816613355520,1351966874377056257,en,1603490816613355520,2022-12-15T20:42:56.000Z,"In the 117th Congress, I had the honor to co-lead the National Guard &amp; Reserve Caucus. Throughout the last 2 years our @USNationalGuard was #AlwaysReadyAlwaysThere. 
 
Mahalo to our citizen soldiers, their families &amp; @NGAUS1878, your work is vital to the strength of our nation.🇺🇸 https://t.co/gCc6R4GMAv",False,1603490816613355520,7,2,2,1
RepKahele,Congressman Kaiali‘i Kahele,1603185918810025984,1351966874377056257,en,1603185918810025984,2022-12-15T00:31:23.000Z,Nice &amp; cozy in the Speakers Lobby on a Wednesday evening as members return to the House to vote on the Continuing Resolution keeping the government funded through next week. 🔥🔥🔥 https://t.co/6J51nIwoWV,False,1603185918810025984,4,4,4,0
RepKahele,Congressman Kaiali‘i Kahele,1603099345917980672,1351966874377056257,qht,1603099345917980672,2022-12-14T18:47:22.000Z,#NeverForgetSandyHook https://t.co/OWi6XHEkIy,False,1603099345917980672,2,0,0,0
RepKahele,Congressman Kaiali‘i Kahele,1603035416264937473,1351966874377056257,tl,1603035416264937473,2022-12-14T14:33:20.000Z,Mahalo @katiecouric 🤙🏽🤙🏽 https://t.co/zKyhOleqw1,False,1603035416264937473,0,0,0,0
RepKahele,Congressman Kaiali‘i Kahele,1602990815210512385,1351966874377056257,en,1602990815210512385,2022-12-14T11:36:07.000Z,"RT @FLOTUS: Love, forever more. 💕 https://t.co/sg8DGGCRlw",False,1602990815210512385,15348,0,0,0
RepKahele,Congressman Kaiali‘i Kahele,1602854796611960833,1351966874377056257,en,1602854796611960833,2022-12-14T02:35:37.000Z,RT @WhiteHouse: The White House is lit up rainbow tonight in celebration of President Biden signing the Respect for Marriage Act. https://t…,False,1602854796611960833,15548,0,0,0
RepKahele,Congressman Kaiali‘i Kahele,1602843555168505856,1351966874377056257,en,1602843555168505856,2022-12-14T01:50:57.000Z,RT @WhiteHouse: President Biden signed the Respect for Marriage Act into law today – protecting the right for Americans to marry the person…,False,1602843555168505856,1162,0,0,0
RepKahele,Congressman Kaiali‘i Kahele,1602767748458684416,1351966874377056257,en,1602767748458684416,2022-12-13T20:49:43.000Z,"1,233 women in Hawai’i are diagnosed with invasive breast cancer &amp; an average 155 women die of breast cancer each year. 

Early detection is the key. Visit @DenseBreastInfo for more info.",False,1602767744654405632,3,0,0,1
RepKahele,Congressman Kaiali‘i Kahele,1602767744654405632,1351966874377056257,en,1602767744654405632,2022-12-13T20:49:42.000Z,"Proud to stand with my bipartisan colleagues &amp; @katiecouric be a co-sponsor of the #FindItEarlyAct which would mandate all insurance providers to cover additional screenings including diagnostic mammograms, breast ultrasounds, and breast MRIs, with no cost-sharing. https://t.co/hk8AppDrsd",False,1602767744654405632,20,4,4,0
RepKahele,Congressman Kaiali‘i Kahele,1602758396989493248,1351966874377056257,zxx,1602758396989493248,2022-12-13T20:12:34.000Z,https://t.co/2zYC7Sciuj,False,1602745341811515400,1,0,0,0
RepKahele,Congressman Kaiali‘i Kahele,1602749065762144261,1351966874377056257,en,1602749065762144261,2022-12-13T19:35:29.000Z,"@SustainKohala Right now, nothing.",False,1602745341811515400,0,1,1,0
RepKahele,Congressman Kaiali‘i Kahele,1602745456890900480,1351966874377056257,en,1602745456890900480,2022-12-13T19:21:09.000Z,RT @rosadelauro: Today I am introducing the #FindItEarlyAct which would mandate all insurance providers to cover additional screenings incl…,False,1602745456890900480,16,0,0,0
RepKahele,Congressman Kaiali‘i Kahele,1602745345330626561,1351966874377056257,en,1602745345330626561,2022-12-13T19:20:42.000Z,"Starting Jan. 3rd 2023, the DHA will open a Red Hill Hawai‘i Clinic at BHC Makalapa for service members and their families to evaluate health effects from the Red Hill contamination.

We must do everything to protect our ‘ohana, both military and civilian on the island of Oʻahu.",False,1602745341811515400,11,3,3,1
RepKahele,Congressman Kaiali‘i Kahele,1602745341811515400,1351966874377056257,en,1602745341811515400,2022-12-13T19:20:41.000Z,"The long term health impacts of the Red Hill fuel contamination cannot be understated.

Today, @RepCase, myself and our senior staff met with leaders of the @DoD_DHA for a Red Hill Health Response Update. https://t.co/zPsDV9Qpr8",False,1602745341811515400,10,1,1,1
RepKahele,Congressman Kaiali‘i Kahele,1602716483930492928,1351966874377056257,en,1602716483930492928,2022-12-13T17:26:01.000Z,"Happy 386th birthday @USNationalGuard! Mahalo to our National Guardsmen, who have continued to serve as the first line of defense for our country since 1636.

We thank them for being “Always ready, always there” and dedicating their lives to our country’s safety and freedoms. https://t.co/UwMSeXgzFu",False,1602716483930492928,5,2,2,1
RepKahele,Congressman Kaiali‘i Kahele,1602690278074335232,1351966874377056257,en,1602690278074335232,2022-12-13T15:41:53.000Z,In HASC this morning voting unfavorably on HR 1475 👎🏽 https://t.co/p5HdMw5XI9,False,1602690278074335232,0,0,0,0
RepKahele,Congressman Kaiali‘i Kahele,1602531978552696833,1351966874377056257,en,1602531978552696833,2022-12-13T05:12:51.000Z,Packed crowd at the National Archives this evening for the premier of the HBO documentary - Pelosi in the House. It was excellent &amp; a must watch! 🤙🏽🤙🏽 https://t.co/Gt8HjU8aft,False,1602531978552696833,77,19,19,7
RepKahele,Congressman Kaiali‘i Kahele,1602458371629764608,1351966874377056257,en,1602458371629764608,2022-12-13T00:20:22.000Z,Monday night in Washington #pelosiinthehouse https://t.co/tqoZ23v4FK,False,1602458371629764608,1,0,0,1
RepKahele,Congressman Kaiali‘i Kahele,1602314701710540800,1351966874377056257,en,1602314701710540800,2022-12-12T14:49:29.000Z,"9,806 miles - one way 🛫

The longest commute of any voting member of the Congress. 

One more to go..🤙🏽 https://t.co/73ucvLiVY1",False,1602314701710540800,4,7,7,0
RepKahele,Congressman Kaiali‘i Kahele,1602133732160323584,1351966874377056257,en,1602133732160323584,2022-12-12T02:50:22.000Z,"From Iolani Palace &amp; the Kuleana Academy / HAPA #alohaaina Warriors to Lāʻie where families are forevor, it was a whirlwind weekend back home. 

Now back to DC &amp; the FY23 budget &amp; the CR that expires Friday. 🤙🏽🤙🏽🤙🏽 https://t.co/AbRHcMdty6",False,1602133732160323584,7,4,4,1
RepKahele,Congressman Kaiali‘i Kahele,1601815343646658560,1351966874377056257,en,1601815343646658560,2022-12-11T05:45:12.000Z,Our ‘ohana was proud to “walk for wai” this afternoon to support Ernie Lau &amp; the Honolulu Board of Water Supply to #ShutDownRedHill. https://t.co/GPcf01Bz07 https://t.co/84ZFVdAsm5,False,1601815343646658560,24,5,5,2
RepKahele,Congressman Kaiali‘i Kahele,1601744498253451264,1351966874377056257,hi,1601744498253451264,2022-12-11T01:03:42.000Z,Ola i ka wai #ShutDownRedHill https://t.co/UawqjvysPk,False,1601744498253451264,27,3,3,1
RepKahele,Congressman Kaiali‘i Kahele,1601395459133562880,1351966874377056257,en,1601395459133562880,2022-12-10T01:56:44.000Z,"From Na’alehu to Hilo we spent lunchtime with Waiakea High School students as part of their Junior Achievement speaker series. These students are ready for college, military, vocational trades &amp; more! Mahalo for having me. 🤙🏽🤙🏽 https://t.co/Xc8VbFFjnp",False,1601395459133562880,2,4,4,0
RepKahele,Congressman Kaiali‘i Kahele,1601382994538741761,1351966874377056257,en,1601382994538741761,2022-12-10T01:07:12.000Z,"Home for just 72 hours &amp; went straight to Na’alehu Elementary School in Ka’ū this morning to inspire 500 pre-K thru 6th grade students in one of Hawaii’s rural, country communities. 

Every student received a personalized letter, pocket constitution &amp; U.S. House swag! 🇺🇸🤙🏽 https://t.co/opK4ZxPOgt",False,1601382994538741761,3,1,1,0
RepKahele,Congressman Kaiali‘i Kahele,1600844888660094976,1351966874377056257,art,1600844888660094976,2022-12-08T13:28:58.000Z,👊🏽👊🏽👊🏽🇺🇸🇺🇸🇺🇸 https://t.co/YmKkQ3lEXZ,False,1600844888660094976,1,0,0,0
RepKahele,Congressman Kaiali‘i Kahele,1600720820405690368,1351966874377056257,en,1600720820405690368,2022-12-08T05:15:58.000Z,"@RepEdCase, myself and our senior staff met this morning with RADM Wade, JTF Red Hill Commander in Washington. 

We discussed the recent AFFF spill and the defueling and decommissioning timetable for the Red Hill Bulk Fuel Storage Facility. https://t.co/Ggtnqhqm1U",False,1600720820405690368,3,15,15,3
RepKahele,Congressman Kaiali‘i Kahele,1600651377918840832,1351966874377056257,en,1600651377918840832,2022-12-08T00:40:01.000Z,"A day in the House with…

⁃the Ruiz ‘ohana
⁃The next Speaker of the House
⁃The current Speaker of the House
⁃The amazing Paul Pelosi

🤙🏽🤙🏽🤙🏽🤙🏽 https://t.co/VKSQcj5mzj",False,1600651377918840832,6,2,2,0
RepKahele,Congressman Kaiali‘i Kahele,1600577994866704409,1351966874377056257,en,1600577994866704409,2022-12-07T19:48:25.000Z,"On this day 81 years ago, 2,403 Americans lost their lives during the attack on Pearl Harbor. 
Today we honor those who lost their lives on that day and reflect on the bravery &amp; fearlessness of all veterans who fight for our nation’s freedom. #PearlHarborRemembranceDay https://t.co/cujKJivzQj",False,1600577994866704409,5,3,3,0
RepKahele,Congressman Kaiali‘i Kahele,1600362941768867841,1351966874377056257,en,1600362941768867841,2022-12-07T05:33:53.000Z,Its not too often you get to be with two Chief of Staffs of the U.S. Army. The photo on the wall in Quarters One is of the famed “Go for Broke” 442nd RCT in WWII. Mahalo for hosting the @USArmy holiday reception at Fort Myer. 🎄🤙🏽 https://t.co/e3OICzN51v,False,1600362941768867841,3,3,3,0
RepKahele,Congressman Kaiali‘i Kahele,1600232024664440834,1351966874377056257,en,1600232024664440834,2022-12-06T20:53:40.000Z,"Today, we remember Patsy Mink on her 95th birthday.

The first AAPI woman and first woman of color elected to the U.S. House, Congresswoman Mink championed #TitleIX and fearlessly fought to prevent discrimination across our nation’s educational institutions. https://t.co/bbU3ai2tWG",False,1600232024664440834,19,4,4,0
RepKahele,Congressman Kaiali‘i Kahele,1600200254841815053,1351966874377056257,en,1600200254841815053,2022-12-06T18:47:25.000Z,"RT @POTUS: Even if you’ve gotten vaccinated or boosted, even if you’ve had COVID before – get the updated vaccine to protect you and your f…",False,1600200254841815053,3121,0,0,0
RepKahele,Congressman Kaiali‘i Kahele,1599984480512405505,1351966874377056257,en,1599984480512405505,2022-12-06T04:30:01.000Z,"Coined the President of the United States tonight 🤙🏽🤙🏽

Mahalo @POTUS for hosting the Congress this evening and to the @FLOTUS for the amazing holiday decorations at the White House! 🎄 https://t.co/SA6sRgB7Ao",False,1599984480512405505,15,7,7,1
RepKahele,Congressman Kaiali‘i Kahele,1598872359460831232,1351966874377056257,en,1598872359460831232,2022-12-03T02:50:50.000Z,"RT @usairforce: Unveiled today, the B-21 Raider will be a dual-capable, penetrating-strike stealth bomber capable of delivering both conven…",False,1598872359460831232,5948,0,0,0
RepKahele,Congressman Kaiali‘i Kahele,1598825401983242240,1351966874377056257,und,1598825401983242240,2022-12-02T23:44:15.000Z,@usairforce 👀 https://t.co/wyIQCZVN0G,False,1598825401983242240,0,0,0,0
RepKahele,Congressman Kaiali‘i Kahele,1598721122760990721,1351966874377056257,und,1598721122760990721,2022-12-02T16:49:53.000Z,WOW! 🇰🇷,False,1598721122760990721,1,2,2,0
RepKahele,Congressman Kaiali‘i Kahele,1598698707872014338,1351966874377056257,en,1598698707872014338,2022-12-02T15:20:48.000Z,"#OnThisDayInHistory in 2021, I first raised the unfolding crisis at Red Hill in a @HASCDemocrats hearing with the @USNavy.

Exactly 270 days later the @SecDef announced the permanent closure of #RedHill. https://t.co/NZNsO9UIyO",False,1598698707872014338,4,1,1,0
RepKahele,Congressman Kaiali‘i Kahele,1598498806156259328,1351966874377056257,en,1598498806156259328,2022-12-02T02:06:28.000Z,"We are not waiting for the lava to cross the DKI, we are preparing the @WhiteHouse now in the event that it does. Today, @RepEdCase and I sent a letter to the President to update and prepare the administration on the #maunaloa 🌋. https://t.co/oiHyH4pTex",False,1598498806156259328,10,7,7,1
