handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepKarenBass,Congressmember Bass,1598546552410492929,239949176,en,1598546552410492929,2022-12-02T05:16:12.000Z,"The One Stop Shop Community Reentry Program Act that I introduced last year will help create resource centers supporting people transitioning out of incarceration by providing access to employment and housing services.

Thank you to my colleagues for your support.",False,1598546545623781378,7,14,14,0
RepKarenBass,Congressmember Bass,1598546545623781378,239949176,en,1598546545623781378,2022-12-02T05:16:10.000Z,"All too often, folks who have served their time are released from jail with no where to go and no resources to access.

That often leads to homelessness — not just in L.A. but nationwide.

It’s a cycle we must work to break and today, Congress took a big step in that direction. https://t.co/L5927KFH2C",False,1598546545623781378,21,20,20,0
RepKarenBass,Congressmember Bass,1598546188231667712,239949176,en,1598546188231667712,2022-12-02T05:14:45.000Z,"RT @HouseJudiciary: 🚨🚨🚨 BREAKING: The House PASSED H.R. 3372, One Stop Shop Community Reentry Program Act of 2021. https://t.co/G7LA6SoKaQ",False,1598546188231667712,25,0,0,0
RepKarenBass,Congressmember Bass,1598546105234378753,239949176,en,1598546105234378753,2022-12-02T05:14:25.000Z,"RT @HouseJudiciary: 🚨🚨🚨 BREAKING: The House PASSED H.R.6878, the Pregnant Women in Custody Act. https://t.co/taQJpOA6Dk",False,1598546105234378753,50,0,0,0
RepKarenBass,Congressmember Bass,1595924195183013888,239949176,en,1595924195183013888,2022-11-24T23:35:53.000Z,"Today, we celebrate together with gratitude and high hopes for what is to come. 

Wishing everyone a happy and safe Thanksgiving!",False,1595924195183013888,10,10,10,0
RepKarenBass,Congressmember Bass,1595616865250062336,239949176,en,1595616865250062336,2022-11-24T03:14:40.000Z,"I look forward to seeing all she does for the good people of California's 37th District.

Our district is in good hands. 3/3",False,1595616859533049856,1,1,1,0
RepKarenBass,Congressmember Bass,1595616863056285698,239949176,en,1595616863056285698,2022-11-24T03:14:39.000Z,"I’ve known Congresswoman-elect Kamlager for years and have seen her selfless service up close.

Whether it was during her time on the L.A. Community College District Board or in the State Assembly or Senate, Congresswoman-elect Kamlager has ALWAYS fought for all Angelenos. 2/",False,1595616859533049856,2,1,1,0
RepKarenBass,Congressmember Bass,1595616859533049856,239949176,en,1595616859533049856,2022-11-24T03:14:39.000Z,"I want to congratulate my sister in service, State Senator and soon to be United States Congresswoman @sydneykamlager, on being elected to serve in the House of Representatives. 1/ https://t.co/JwxAqyiCEn",False,1595616859533049856,9,5,5,0
RepKarenBass,Congressmember Bass,1592640634787352576,239949176,en,1592640634787352576,2022-11-15T22:08:11.000Z,"One year ago today, President Biden signed the Bipartisan Infrastructure Bill into law, which included my provision to bring jobs straight to Los Angeles.

As we recover from the pandemic, we must do all we can to get jobs to those who need them most. 
https://t.co/aSNwwIcnIy",False,1592640634787352576,24,11,11,0
RepKarenBass,Congressmember Bass,1588251415113146368,239949176,en,1588251415113146368,2022-11-03T19:27:00.000Z,"It's November -- you know what that means! 

Looking for your local voting center? Click here! https://t.co/hqyq4HhSRY",False,1588251415113146368,16,18,18,2
RepKarenBass,Congressmember Bass,1588199573851365381,239949176,en,1588199573851365381,2022-11-03T16:01:00.000Z,Our government should not regulate women’s bodies more than assault weapons.,False,1588199573851365381,63,19,19,2
RepKarenBass,Congressmember Bass,1587965027717328899,239949176,en,1587965027717328899,2022-11-03T00:29:00.000Z,"My body, my choice. Period.",False,1587965027717328899,169,66,66,7
RepKarenBass,Congressmember Bass,1587915954532466688,239949176,en,1587915954532466688,2022-11-02T21:14:00.000Z,"“Local workers can be the first in line for these jobs, thanks to Karen.” - @POTUS

Thank you President Biden for working with me to bring JOBS to Los Angeles. https://t.co/sYjC9FNxA2",False,1587915954532466688,15,6,6,0
RepKarenBass,Congressmember Bass,1587822338254438400,239949176,en,1587822338254438400,2022-11-02T15:02:00.000Z,"RT if you voted today! 

Get off Twitter and go vote if you haven’t!",False,1587822338254438400,19,6,6,2
RepKarenBass,Congressmember Bass,1587592122588594176,239949176,en,1587592122588594176,2022-11-01T23:47:12.000Z,"Investing in healthcare prevents homelessness.

Investing in substance abuse treatment prevents homelessness.

Investing in mental health services prevents homelessness.

Thank you @SecBecerra for joining me in L.A. and discussing how we can help our 40,000 unhoused Angelenos. https://t.co/N8Jb4XOYeM",False,1587592122588594176,51,12,12,5
RepKarenBass,Congressmember Bass,1587518951252144128,239949176,en,1587518951252144128,2022-11-01T18:56:27.000Z,"I’ve worked with @SecBecerra on expanding mental health services, preventing homelessness, and reforming our child welfare system — and of course expanding access to health care, which is what we joined @CoveredCA today to discuss.

Welcome home, Mr. Secretary! https://t.co/zINWZspRzE",False,1587518951252144128,7,2,2,0
RepKarenBass,Congressmember Bass,1587518752081399808,239949176,en,1587518752081399808,2022-11-01T18:55:39.000Z,"RT @CoveredCA: The open enrollment period is here! Having health insurance protects your wallet. If you ever have high medical bills, you’l…",False,1587518752081399808,32,0,0,0
RepKarenBass,Congressmember Bass,1587208543320481792,239949176,en,1587208543320481792,2022-10-31T22:23:00.000Z,"We are at an incredibly dangerous time in our country. I will always fight for women’s rights – just as I have my entire life.
https://t.co/1Lh4KCe7lt",False,1587208543320481792,10,11,11,0
RepKarenBass,Congressmember Bass,1587102343429922816,239949176,en,1587102343429922816,2022-10-31T15:21:00.000Z,"You know what’s scarier than ghosts? 

Not voting. 

Find out how to vote TODAY! 
https://t.co/rOe4Awiiit",False,1587102343429922816,12,8,8,1
RepKarenBass,Congressmember Bass,1586860248106618880,239949176,en,1586860248106618880,2022-10-30T23:19:00.000Z,"The child welfare system has been a top focus of mine in Congress. 

Supporting our nation’s foster youth means preventing homelessness. 
https://t.co/WCzUf23mTN",False,1586860248106618880,10,6,6,1
RepKarenBass,Congressmember Bass,1586768896312414209,239949176,en,1586768896312414209,2022-10-30T17:16:00.000Z,"Local, good-paying jobs is what we are delivering for the people of Los Angeles. 
https://t.co/aSNwwIbPT0",False,1586768896312414209,10,9,9,1
RepKarenBass,Congressmember Bass,1586464643773476864,239949176,en,1586464643773476864,2022-10-29T21:07:00.000Z,"As we learn more about what happened in Seoul today, my thoughts are with the Korean American community here in Los Angeles. 

Absolutely heartbreaking. https://t.co/VphDL4y1yQ",False,1586464643773476864,6,2,2,0
RepKarenBass,Congressmember Bass,1586432177398378496,239949176,en,1586432177398378496,2022-10-29T18:58:00.000Z,"Pro-choice isn’t a political stance, it’s an action. I will always fight to protect the rights of women everywhere. https://t.co/6xHsHvB2x1",False,1586432177398378496,32,12,12,1
RepKarenBass,Congressmember Bass,1586390905455407105,239949176,en,1586390905455407105,2022-10-29T16:14:00.000Z,"In-person voting in Los Angeles is now OPEN! 

Find out more information about how to exercise your right to vote here: https://t.co/L1TCkUwWFF",False,1586390905455407105,23,5,5,1
RepKarenBass,Congressmember Bass,1586118611420209154,239949176,en,1586118611420209154,2022-10-28T22:12:00.000Z,Looking for the closest Ballot Drop Box near you? Click here! https://t.co/o9wvu7FJPL,False,1586118611420209154,72,8,8,1
RepKarenBass,Congressmember Bass,1586011405236461577,239949176,en,1586011405236461577,2022-10-28T15:06:00.000Z,"“You are a courageous, fearless fighter on so many of these issues, and in particular to what you have done throughout your career to be a strong voice for women, for children, for all communities… I thank you.” - @VP
 Kamala Harris 

Together we will move this country FORWARD. https://t.co/fY2IJi2nXt",False,1586011405236461577,7,0,0,0
RepKarenBass,Congressmember Bass,1585785667354697729,239949176,en,1585785667354697729,2022-10-28T00:09:00.000Z,"We are 12 days away from Election Day but you can vote TODAY! Right now! 

Find out how here: https://t.co/rOe4Awiiit",False,1585785667354697729,12,5,5,0
RepKarenBass,Congressmember Bass,1585738859211411456,239949176,en,1585738859211411456,2022-10-27T21:03:00.000Z,"“The Congresswoman was instrumental in helping us draw down federal money.” 

I look forward to continuing to work with @CAGovernor Gavin Newsom to bring our unhoused folks inside. https://t.co/kfNCnrcvyb",False,1585738859211411456,11,2,2,1
RepKarenBass,Congressmember Bass,1585664368347435008,239949176,en,1585664368347435008,2022-10-27T16:07:00.000Z,It should not be easier for a woman to access a weapon of war in this country than it is for her to get health care.,False,1585664368347435008,62,69,69,4
RepKarenBass,Congressmember Bass,1583312635176419329,239949176,en,1583312635176419329,2022-10-21T04:22:03.000Z,Happy birthday @VP! https://t.co/E6e6VZlbSA,False,1583312635176419329,31,27,27,3
RepKarenBass,Congressmember Bass,1582874654158467072,239949176,en,1582874654158467072,2022-10-19T23:21:40.000Z,"Thank you to @POTUS and @VP for joining me in Los Angeles. 

I look forward to continuing our work to bring jobs to L.A. and to protect the rights of women in our city. https://t.co/Fxqfy6hegv",False,1582874654158467072,155,20,20,11
RepKarenBass,Congressmember Bass,1582864239512821762,239949176,en,1582864239512821762,2022-10-19T22:40:17.000Z,RT @krhutchings: @VP Kamala Harris has arrived - she’s in #LosAngeles to discuss #abortion rights post-Roe &amp; how a CA constitutional amendm…,False,1582864239512821762,28,0,0,0
RepKarenBass,Congressmember Bass,1582214346972594176,239949176,art,1582214346972594176,2022-10-18T03:37:51.000Z,RT @herboldmoveUSA: 🥰,False,1582214346972594176,7,0,0,0
RepKarenBass,Congressmember Bass,1582214318593933312,239949176,art,1582214318593933312,2022-10-18T03:37:44.000Z,RT @CapehartJ: 👏🏾👏🏾👏🏾,False,1582214318593933312,26,0,0,0
RepKarenBass,Congressmember Bass,1582193093217951745,239949176,en,1582193093217951745,2022-10-18T02:13:23.000Z,RT @Elex_Michaelson: Bass and Harris together today in L.A.,False,1582193093217951745,6,0,0,0
RepKarenBass,Congressmember Bass,1582174835198681092,239949176,en,1582174835198681092,2022-10-18T01:00:50.000Z,"“You are a courageous, fearless fighter on so many of these issues, and in particular to what you have done throughout your career to be a strong voice for women, for children, for all communities… I thank you.” - @VP Kamala Harris

Together we will move this country FORWARD. https://t.co/8BytUCBcIi",False,1582174835198681092,319,67,67,17
RepKarenBass,Congressmember Bass,1582173707216166913,239949176,en,1582173707216166913,2022-10-18T00:56:21.000Z,RT @YNB: Two of my absolute FAVES! @KarenBassLA and @VP!,False,1582173707216166913,11,0,0,0
RepKarenBass,Congressmember Bass,1582153736973012992,239949176,en,1582153736973012992,2022-10-17T23:37:00.000Z,"It was an honor to join the @VP today in Mid-City for a conversation about how we are fighting to protect the rights of women in this country.

We have never wavered. We have never equivocated. 

We will continue this fight, and we will win. https://t.co/1sZ26Wl3xu",False,1582153736973012992,42,16,16,3
RepKarenBass,Congressmember Bass,1582152310582439937,239949176,en,1582152310582439937,2022-10-17T23:31:20.000Z,"The Supreme Court may have set us back, but TOGETHER we will move forward. 

Thank you to @VP for leading this fight. https://t.co/X3O9ZNl7jI",False,1582152310582439937,156,27,27,5
RepKarenBass,Congressmember Bass,1582149862639878144,239949176,en,1582149862639878144,2022-10-17T23:21:36.000Z,"RT @VP: This afternoon I’m joining Congresswoman Karen Bass and Celinda Vázquez, of Planned Parenthood Los Angeles, for a conversation on o…",False,1582149862639878144,544,0,0,0
RepKarenBass,Congressmember Bass,1582149810500485121,239949176,en,1582149810500485121,2022-10-17T23:21:24.000Z,"RT @BrandonRichards: NOW&gt;&gt;@VP @KamalaHarris in LA w/@PPLosAngeles' Celinda Vázquez &amp; @RepKarenBass for a panel on repro rights.

""There is…",False,1582149810500485121,5,0,0,0
RepKarenBass,Congressmember Bass,1582149765415940096,239949176,en,1582149765415940096,2022-10-17T23:21:13.000Z,"RT @krhutchings: @RepKarenBass is now on stage, met with a standing ovation from the crowd https://t.co/uSxpCtcfDA",False,1582149765415940096,14,0,0,0
RepKarenBass,Congressmember Bass,1581009146358349824,239949176,en,1581009146358349824,2022-10-14T19:48:48.000Z,"RT @abc7JoshHaskell: President Biden, Karen Bass, and Hilda Solis stop for lunch at Tacos 1986 in Westwood @ABC7",False,1581009146358349824,5,0,0,0
RepKarenBass,Congressmember Bass,1581007877312958465,239949176,en,1581007877312958465,2022-10-14T19:43:46.000Z,RT @tylerpager: President Biden picking up tacos in Los Angeles alongside Karen Bass and Hilda Solis. https://t.co/2EuDulbDJf,False,1581007877312958465,19,0,0,0
RepKarenBass,Congressmember Bass,1581006804850397185,239949176,en,1581006804850397185,2022-10-14T19:39:30.000Z,"At a time when people are looking for work and when our economy is in need of a push, it made no sense that the people living in our communities couldn’t be prioritized for those jobs.

So we passed a law to fix it.

Thank you Mr. President for working with me to get this done. https://t.co/eeNsFHIYzI",False,1581006804850397185,11,8,8,1
RepKarenBass,Congressmember Bass,1580763814105972736,239949176,en,1580763814105972736,2022-10-14T03:33:57.000Z,“Take out order for Bass?” 🌮 https://t.co/dr8vxDHbtC,False,1580763814105972736,46,17,17,5
RepKarenBass,Congressmember Bass,1580691480187846657,239949176,en,1580691480187846657,2022-10-13T22:46:31.000Z,"RT @FOXLA: No trip to LA is complete without a taco stop! 🌮 President Biden visited Tacos 1986 in Westwood for some takeout, and he did som…",False,1580691480187846657,91,0,0,0
RepKarenBass,Congressmember Bass,1580690658293010433,239949176,en,1580690658293010433,2022-10-13T22:43:15.000Z,RT @EliStokols: MOMENTS AGO: Biden visits Tacos 1986 near UCLA with Bass and Solis. Clerk gives him a discount so he leaves $60 extra “for…,False,1580690658293010433,1276,0,0,0
RepKarenBass,Congressmember Bass,1580685992817676288,239949176,en,1580685992817676288,2022-10-13T22:24:43.000Z,RT @kymwhitley: Leadership!! @KarenBassLA,False,1580685992817676288,8,0,0,0
RepKarenBass,Congressmember Bass,1580685975772008448,239949176,en,1580685975772008448,2022-10-13T22:24:39.000Z,"RT @mikememoli: Meanwhile in LA, @RepKarenBass gets top billing in program with @POTUS as they talk about infrastructure law funds going to…",False,1580685975772008448,29,0,0,0
RepKarenBass,Congressmember Bass,1580665925170212865,239949176,en,1580665925170212865,2022-10-13T21:04:58.000Z,"“Local workers can be the first in line for these jobs, thanks to Karen.” - @POTUS 

Thank you President Biden for working with me to bring JOBS to Los Angeles. https://t.co/qGd2ZHzf8d",False,1580665925170212865,221,106,106,13
RepKarenBass,Congressmember Bass,1580632907013423105,239949176,en,1580632907013423105,2022-10-13T18:53:46.000Z,"RT @Elex_Michaelson: .@KarenBassLA arrives at site of @POTUS speech in West LA. 

They’re awaiting a speech about infrastructure at the end…",False,1580632907013423105,12,0,0,0
