handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepKayGranger,Rep. Kay Granger,1601564135736516608,161743731,en,1601564135736516608,2022-12-10T13:07:00.000Z,I am proud to join my colleagues to announce our comprehensive border security plan.  It’s a framework BY Texans FOR Texas!  #BorderSecurityIsNationalSecurity https://t.co/rmTESGreOD,False,1601564135736516608,0,2,2,0
RepKayGranger,Rep. Kay Granger,1601203257904275457,161743731,en,1601203257904275457,2022-12-09T13:13:00.000Z,"I was proud to vote in favor of this year’s NDAA. Read more here:
https://t.co/LbhbVWomwt",False,1601203257904275457,0,1,1,0
RepKayGranger,Rep. Kay Granger,1600842379849699329,161743731,en,1600842379849699329,2022-12-08T13:19:00.000Z,"#TexasVeterans, there are some great local resources tailored for veterans from our great state, including https://t.co/6Idh0Sa05N   
Thank you for your service to our nation! https://t.co/zMA1CLnwWq",False,1600842379849699329,0,2,2,0
RepKayGranger,Rep. Kay Granger,1600477978814599173,161743731,en,1600477978814599173,2022-12-07T13:11:00.000Z,"In honor of those who lost their lives in the attack on Pearl Harbor, today we remember their sacrifice and promise to never forget this sacred day. https://t.co/PzcatzPpW0",False,1600477978814599173,3,5,5,0
RepKayGranger,Rep. Kay Granger,1600117101049524224,161743731,en,1600117101049524224,2022-12-06T13:17:00.000Z,"Hats off to @FortWorthISD Southwest High School’s Aubrey Kistler for winning the Friedman Chair for Teaching Excellence in Performing Arts!  Thanks for educating the next generation in TX-12! 
https://t.co/Q8TIs7GdV3",False,1600117101049524224,0,3,3,0
RepKayGranger,Rep. Kay Granger,1599959275610046464,161743731,en,1599959275610046464,2022-12-06T02:49:51.000Z,"Congratulations @BellFlight! You make #TX12 and all of America proud! 
https://t.co/ERjd6unHWV",False,1599959275610046464,0,5,5,0
RepKayGranger,Rep. Kay Granger,1599766123368833026,161743731,en,1599766123368833026,2022-12-05T14:02:20.000Z,"Go Frogs!  
https://t.co/dsoHaEuPFq",False,1599766123368833026,0,2,2,0
RepKayGranger,Rep. Kay Granger,1599396100422631424,161743731,en,1599396100422631424,2022-12-04T13:32:00.000Z,"Best of luck to @ParkerCountyTX champions Rocker Steiner, Leighton Berry, and Stevi Hillman, who are competing in the upcoming @LasVegasNFR rodeo final!   We are all rooting for you!   https://t.co/9jQut1qSAq",False,1599396100422631424,0,1,1,0
RepKayGranger,Rep. Kay Granger,1599091346211770368,161743731,en,1599091346211770368,2022-12-03T17:21:01.000Z,"RT @TCUFootball: Together. 

#GoFrogs #DFWBig12Team https://t.co/f71XTHsQIA",False,1599091346211770368,25,0,0,0
RepKayGranger,Rep. Kay Granger,1599090837022916609,161743731,zxx,1599090837022916609,2022-12-03T17:18:59.000Z,https://t.co/I8JemBZkjM,False,1599090837022916609,1,1,1,0
