handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepLaMalfa,Rep. Doug LaMalfa,1600958897853898752,1069124515,en,1600958897853898752,2022-12-08T21:02:00.000Z,U.S. Marine veteran Paul Whelan is wrongfully detained in Russia on false charges. Bring him home instead.,False,1600958897853898752,9,56,56,6
RepLaMalfa,Rep. Doug LaMalfa,1600911950942441472,1069124515,en,1600911950942441472,2022-12-08T17:55:27.000Z,"Paul Whelan is a patriot and veteran who fought for our country and is falsely imprisoned on sham charges. Brittney Griner is an America-hating WNBA player who was caught with illegal drugs. 
 
Biden gave Russia the ""Merchant of Death” for the celebrity.",False,1600911950942441472,5,40,40,4
RepLaMalfa,Rep. Doug LaMalfa,1600586318316277762,1069124515,en,1600586318316277762,2022-12-07T20:21:30.000Z,"America is built on the service of those who fought for our freedom. On this day of Pearl Harbor remembrance, I’m honored to recognize the service of my friend Lieutenant Commander Lou Conter, and many others, to our great nation.
https://t.co/Kfvw2bZDdk",False,1600586318316277762,5,13,13,1
RepLaMalfa,Rep. Doug LaMalfa,1600147491705364480,1069124515,en,1600147491705364480,2022-12-06T15:17:45.000Z,"It’s not “racist” to oppose communism, yet China continues hurling insults at Republicans for standing up to their regime and supporting limited government, free speech and religion. https://t.co/I1ntB0Oss3",False,1600147491705364480,2,20,20,2
RepLaMalfa,Rep. Doug LaMalfa,1600130476831698944,1069124515,en,1600130476831698944,2022-12-06T14:10:09.000Z,"RT @HouseGOP: There were 73,000 known ‘gotaways’ at our southern border in November. 

That is higher than any other time in history. 

Bor…",False,1600130476831698944,395,0,0,0
RepLaMalfa,Rep. Doug LaMalfa,1600116597569605634,1069124515,en,1600116597569605634,2022-12-06T13:15:00.000Z,"Military readiness, recruitment and retention levels, and morale have all suffered too much under overreaching COVID mandates.  Congress should repeal the mandate and let service members decide for themselves. We should welcome back those who refused to take it.",False,1600116597569605634,7,23,23,2
RepLaMalfa,Rep. Doug LaMalfa,1599889878518407168,1069124515,en,1599889878518407168,2022-12-05T22:14:06.000Z,"It’s confirmed that Big Tech censored bad press for the Biden Administration, including details of Hunter Biden’s laptop. 
 
Now that Republicans are back in the majority we will investigate this interference and hold Big Tech, the FBI, and the Biden Family accountable.",False,1599889878518407168,9,91,91,7
RepLaMalfa,Rep. Doug LaMalfa,1599080772261990403,1069124515,en,1599080772261990403,2022-12-03T16:39:00.000Z,"All workers who lost their jobs for refusing the COVID jab should be reinstated, with backpay, and a MASSIVE apology from their employer and President Biden.",False,1599080772261990403,151,64,64,7
RepLaMalfa,Rep. Doug LaMalfa,1598747826573426688,1069124515,en,1598747826573426688,2022-12-02T18:35:59.000Z,Food security is national security. https://t.co/JPyPwHM613,False,1598747826573426688,6,15,15,1
RepLaMalfa,Rep. Doug LaMalfa,1598445397143605251,1069124515,en,1598445397143605251,2022-12-01T22:34:15.000Z,"YES. Biomass is a win-win-win for forest management, creating well-paying jobs in rural areas, and expanding renewable energy opportunities. https://t.co/QGDzkiIyRv",False,1598445397143605251,10,15,15,0
