handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepLaTurner,Rep. Jake LaTurner,1601363060769390592,1345850704800468993,en,1601363060769390592,2022-12-09T23:48:00.000Z,"President Biden was in Arizona this week but refused to make a visit to the southern border.

He claimed, ""there are more important things going on.” 

President Biden has been in office 688 days and hasn't made one single trip to the border to assess the worsening crisis. https://t.co/aYpgpon3Lf",False,1601363060769390592,4,18,18,2
RepLaTurner,Rep. Jake LaTurner,1601303884089397248,1345850704800468993,en,1601303884089397248,2022-12-09T19:52:51.000Z,"This week, I voted YES on the PROTECT Our Children Act.
 
This bipartisan legislation will help ensure law enforcement officers across our country have the resources they need to combat cybercrimes and protect our children from online predators. https://t.co/4P6TSmnbyh",False,1601303884089397248,3,9,9,0
RepLaTurner,Rep. Jake LaTurner,1601258771015008256,1345850704800468993,en,1601258771015008256,2022-12-09T16:53:35.000Z,"House Republicans promised the American people that we would be a check on the Biden Administration's failed policies &amp; actions.

On January 3rd, we'll begin to deliver on that promise.

Here's our plan to give Americans the accountability they deserve. ⤵️
https://t.co/MVtEgGXmab",False,1601258771015008256,1,10,10,1
RepLaTurner,Rep. Jake LaTurner,1601003319605878784,1345850704800468993,en,1601003319605878784,2022-12-08T23:58:31.000Z,"Today the House passed the FY2023 National Defense Authorization Act.


The bipartisan FY2023 NDAA ensures our military readiness while also providing additional benefits for our brave servicemembers and their families.

Read my full statement: https://t.co/7tGbaL6Ro2 https://t.co/Ss51DV0fAA",False,1601003319605878784,1,9,9,0
RepLaTurner,Rep. Jake LaTurner,1600915572904316928,1345850704800468993,en,1600915572904316928,2022-12-08T18:09:50.000Z,"I'm proud to join my fellow Kansans in introducing this commonsense legislation to allow the year-round sale of E-15.
 
As energy prices continue to soar under President Biden, this bill will help ensure Americans have access to affordable, reliable sources of fuel. https://t.co/4q5Du2Frh6",False,1600915572904316928,6,5,5,0
RepLaTurner,Rep. Jake LaTurner,1600890128540516354,1345850704800468993,en,1600890128540516354,2022-12-08T16:28:44.000Z,"POTUS just traded a Russian arms dealer, aka the ""Merchant of Death,"" for Brittney Griner while leaving Paul Whelan behind.

This is unacceptable.

Paul is a Marine veteran who has been wrongfully imprisoned in Russia for years. POTUS must remain committed to bringing Paul home. https://t.co/zt79iyIQAa",False,1600890128540516354,5,36,36,1
RepLaTurner,Rep. Jake LaTurner,1600653233105653774,1345850704800468993,en,1600653233105653774,2022-12-08T00:47:24.000Z,"Congratulations, @RepJamesComer! It's been an honor to serve with you on @GOPoversight.
 
27 days until we begin to deliver real accountability and oversight for the American people. https://t.co/0DKbE6x7Q7",False,1600653233105653774,10,8,8,1
RepLaTurner,Rep. Jake LaTurner,1600624809993461761,1345850704800468993,en,1600624809993461761,2022-12-07T22:54:27.000Z,"The first time I visited Washington DC was in 8th grade on the Galena Williamsburg Trip—a truly fantastic memory and experience.

Last night, I had the honor to take 8th graders from across the Second District on a tour of the U.S. Capitol. Thanks for making the trip! https://t.co/uf7cLkB5PT",False,1600624809993461761,4,4,4,0
RepLaTurner,Rep. Jake LaTurner,1600562664320614400,1345850704800468993,en,1600562664320614400,2022-12-07T18:47:30.000Z,"BIG NEWS: President Biden's COVID-19 military vaccine mandate has officially been eliminated from this year's NDAA.

The Biden Administration must now correct service records and reinstate the thousands of brave Americans who were fired from our military for not getting the vax. https://t.co/TgwHIqtZsZ",False,1600562664320614400,3,11,11,0
RepLaTurner,Rep. Jake LaTurner,1600514725095165952,1345850704800468993,en,1600514725095165952,2022-12-07T15:37:01.000Z,"Today is Pearl Harbor Remembrance Day—an opportunity to remember and honor the thousands of brave Americans who lost their lives defending Pearl Harbor on December 7, 1941.

We will never forget the bravery and sacrifice of the Greatest Generation. 🇺🇸 https://t.co/xoIt3qLRrF",False,1600514725095165952,3,5,5,0
RepLaTurner,Rep. Jake LaTurner,1600179893676826624,1345850704800468993,en,1600179893676826624,2022-12-06T17:26:31.000Z,"Over 73,000 illegal immigrants evaded law enforcement at the southern border and entered our country undetected last month—the highest number of gotaways ever recorded.

President Biden and Secretary Mayorkas have failed to secure the border.
https://t.co/17xbKTExxL",False,1600179893676826624,19,12,12,3
