handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepLindaSanchez,Rep. Linda Sánchez,1601638375030669314,312134473,en,1601638375030669314,2022-12-10T18:02:00.000Z,"The brave men &amp; women who defended our democracy on January 6 deserve more than our thanks.

This week, I was proud to join my colleagues in awarding them the Congressional Gold Medal—the highest honor Congress can give.

Read more ⬇️
https://t.co/dekwFxm3j6",False,1601638375030669314,0,0,0,0
RepLindaSanchez,Rep. Linda Sánchez,1601249486755725312,312134473,en,1601249486755725312,2022-12-09T16:16:42.000Z,"Team Sánchez is hiring for Spring 2023!

If you are a college student or recent grad, I encourage you to apply. This is a great opportunity to see how Congress works from the inside!

DC internship applications are due Tuesday, December 20th at 5 pm EST.

https://t.co/hfwa3nxAVd https://t.co/sTwOB8nGFy",False,1601249486755725312,1,1,1,1
RepLindaSanchez,Rep. Linda Sánchez,1601013730245890048,312134473,en,1601013730245890048,2022-12-09T00:39:53.000Z,"RT @RepKClark: Proud to announce the 118th Congress Chief Deputy Whip team that will work to secure opportunity &amp; justice for all: 

@RepSc…",False,1601013730245890048,24,0,0,0
RepLindaSanchez,Rep. Linda Sánchez,1600983783464763393,312134473,en,1600983783464763393,2022-12-08T22:40:53.000Z,"I'm honored that Whip @RepKClark has asked me to serve as Chief Deputy Whip.

I look forward to working with her &amp; serving as a bridge for every corner of our caucus, especially the @HispanicCaucus, to build on all that we accomplished for working families in the 117th Congress. https://t.co/kGUqOY0z88",False,1600983783464763393,3,1,1,1
RepLindaSanchez,Rep. Linda Sánchez,1600944976413986816,312134473,es,1600944976413986816,2022-12-08T20:06:41.000Z,Equal pay NOW! Ahora es el momento. ✊🏼 https://t.co/utieI8atyW,False,1600944976413986816,1,1,1,0
RepLindaSanchez,Rep. Linda Sánchez,1600941288697667585,312134473,en,1600941288697667585,2022-12-08T19:52:01.000Z,"It's 2022, and Latinas still make about half as much as white, non-Latino men.

Latinas deserve equal pay for equal work. Let's close the wage gap now!

#LatinaEqualPayDay
https://t.co/iiJANvbNE8",False,1600941288697667585,9,7,7,1
RepLindaSanchez,Rep. Linda Sánchez,1600930787632652288,312134473,en,1600930787632652288,2022-12-08T19:10:18.000Z,RT @natopapress: #NATOPA Parliamentary Transatlantic Forum drew to a close with a 2023 outlook from Congress; a focus on the corruption-sec…,False,1600930787632652288,10,0,0,0
RepLindaSanchez,Rep. Linda Sánchez,1600895517818781696,312134473,en,1600895517818781696,2022-12-08T16:50:09.000Z,"I was proud to help pass the #RespectForMarriageAct today.

This is a historic step toward protecting marriage equality for LGBTQ+ &amp; interracial couples—and it sends the message that in America, love always wins. 🌈
https://t.co/IAsFeX51HI",False,1600895517818781696,0,0,0,0
RepLindaSanchez,Rep. Linda Sánchez,1600855027324698626,312134473,en,1600855027324698626,2022-12-08T14:09:15.000Z,"Later today, the House will pass the #RespectForMarriageAct &amp; send it to @POTUS for his signature.

I look forward to voting for this bill &amp; finally protecting marriage equality under federal law.",False,1600855027324698626,4,0,0,0
RepLindaSanchez,Rep. Linda Sánchez,1600579110937530368,312134473,en,1600579110937530368,2022-12-07T19:52:52.000Z,"Today, I'm thinking of the servicemembers who lost their lives during the attack on Pearl Harbor 81 years ago.

May we always remember their service &amp; their sacrifice. #NeverForget https://t.co/hSTU0GsrSi",False,1600579110937530368,1,0,0,0
RepLindaSanchez,Rep. Linda Sánchez,1600555424075329536,312134473,en,1600555424075329536,2022-12-07T18:18:44.000Z,"As one of the newly-elected Vice Presidents of @natopapress, I was honored to speak with @NATO Members at this morning's Transatlantic Forum.

I look forward to continuing our work to promote democracy &amp; combat issues like climate change and disinformation around the globe. https://t.co/4t7qRBS07m",False,1600555424075329536,0,1,1,0
RepLindaSanchez,Rep. Linda Sánchez,1600528827830214656,312134473,en,1600528827830214656,2022-12-07T16:33:03.000Z,RT @ALZIMPACT: Thank you @RepLindaSanchez for cosponsoring the #ENACTAct which would increase the participation of underrepresented populat…,False,1600528827830214656,2,0,0,0
RepLindaSanchez,Rep. Linda Sánchez,1600525377281163265,312134473,en,1600525377281163265,2022-12-07T16:19:20.000Z,"The 117th Congress is coming to an end, and #Dreamers still don't have the protections &amp; certainty they deserve.

We must act now to address DACA before radical courts do away with it for good.",False,1600525377281163265,2,0,0,0
RepLindaSanchez,Rep. Linda Sánchez,1600522863726907392,312134473,en,1600522863726907392,2022-12-07T16:09:21.000Z,"RT @MontebelloCity: There's always something fun happening in our senior programs! 

Interested in learning more? 📞 Call (323) 887-4575 to…",False,1600522863726907392,2,0,0,0
RepLindaSanchez,Rep. Linda Sánchez,1600224540805955584,312134473,en,1600224540805955584,2022-12-06T20:23:55.000Z,"Immigrants contribute so much to America's success—including serving our country in uniform.

That's why I proudly voted for the #VeteranServiceRecognitionAct today, which will make the naturalization process easier for our servicemembers.",False,1600224540805955584,9,5,5,1
RepLindaSanchez,Rep. Linda Sánchez,1600199798384078849,312134473,en,1600199798384078849,2022-12-06T18:45:36.000Z,"I will never forget January 6.

And I will never forget the law enforcement heroes who protected me, my colleagues, and our democracy that day.

Today, I'm proud to honor the @CapitolPolice, the @DCPoliceDept, &amp; the heroes of January 6 with the Congressional Gold Medal. https://t.co/7nYZ7NtI0W",False,1600199798384078849,1,2,2,0
RepLindaSanchez,Rep. Linda Sánchez,1600168312960274436,312134473,en,1600168312960274436,2022-12-06T16:40:30.000Z,"Tomorrow is the last day of Medicare Open Enrollment.

Don’t miss out on lower costs &amp; improved coverage thanks to the #InflationReductionAct.

Visit https://t.co/7elDA5V11u or call 1-800-MEDICARE to get covered today.",False,1600168312960274436,0,1,1,0
RepLindaSanchez,Rep. Linda Sánchez,1599810617229348864,312134473,en,1599810617229348864,2022-12-05T16:59:08.000Z,RT @WaysMeansCmte: Thank you @RepLindaSanchez for speaking about what our latest mental health bills will do to support sexual assault vict…,False,1599810617229348864,7,0,0,0
RepLindaSanchez,Rep. Linda Sánchez,1599799908667490311,312134473,en,1599799908667490311,2022-12-05T16:16:35.000Z,"Today in history: The Montgomery Bus Boycott begins, leading to the desegregation of public buses throughout the U.S.

Inspired by the bravery of Rosa Parks, Martin Luther King, Jr., &amp; others, let's keep fighting to ensure every American is treated with equal dignity &amp; respect. https://t.co/gIOpQU4Qjy",False,1599799908667490311,1,1,1,1
RepLindaSanchez,Rep. Linda Sánchez,1598797321340272640,312134473,en,1598797321340272640,2022-12-02T21:52:40.000Z,RT @InsulatorsUnion: Thanks to @RepLindaSanchez for introducing the Federal Mechanical Insulation Act into the House. The bill recognizes t…,False,1598797321340272640,1,0,0,0
RepLindaSanchez,Rep. Linda Sánchez,1598717554771599360,312134473,en,1598717554771599360,2022-12-02T16:35:42.000Z,"Mechanical insulation improves working environments, reduces energy demand, lowers costs &amp; increases building value.

And it creates thousands of good-paying American jobs.

My bill would ensure our federal buildings are making the most of this tool.

https://t.co/mra92HlRls",False,1598717554771599360,1,1,1,0
RepLindaSanchez,Rep. Linda Sánchez,1598414319867273225,312134473,en,1598414319867273225,2022-12-01T20:30:45.000Z,"Renewable natural gas offers immediate emission reductions for the industries that run America.

My bill w/ @RepBrianFitz provides a tax credit for renewable gas, helping companies cut transportation emissions now while investing in a carbon free future.
https://t.co/S9ubpP01KM",False,1598414319867273225,2,0,0,0
