handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepLisaMcClain,Representative Lisa McClain,1600957703287091200,1344032292432437248,en,1600957703287091200,2022-12-08T20:57:15.000Z,"3,733 Marines requested religious exemptions from the COVID-19 vaccine. 

11 were granted.

I am proud to have voted to END Biden's authoritarian vaccine mandate. #NDAA",False,1600957703287091200,13,32,32,1
RepLisaMcClain,Representative Lisa McClain,1600932575622881280,1344032292432437248,en,1600932575622881280,2022-12-08T19:17:24.000Z,"On top of that, we stopped the Democrats from putting more wokeness into the military. Additionally, this bill gives our soldiers a pay raise and helps modernize our military to help combat China. Overall, the NDAA is a win for our military, our country, &amp; our national security.",False,1600932574217764866,3,9,9,1
RepLisaMcClain,Representative Lisa McClain,1600932574217764866,1344032292432437248,en,1600932574217764866,2022-12-08T19:17:24.000Z,"Today, I was proud to vote for the NDAA. I have spent the last two years fighting to rescind the vaccine mandate for our servicemembers, and we did just that. We also ensured no Red Flag laws were included and no language to draft our daughters.",False,1600932574217764866,5,16,16,1
RepLisaMcClain,Representative Lisa McClain,1600909514244431872,1344032292432437248,en,1600909514244431872,2022-12-08T17:45:46.000Z,"Paul Whelan was left behind because President Biden negotiated a bad deal. Rest assured, I will not stop until we get answers. https://t.co/4bytlACD3W",False,1600909514244431872,12,63,63,3
RepLisaMcClain,Representative Lisa McClain,1600886718680686592,1344032292432437248,en,1600886718680686592,2022-12-08T16:15:11.000Z,"Today, I met with former Prime Minister to the UK, Liz Truss. We discussed the many ways that the United States and the United Kingdom can grow and strengthen the relationship between our countries. Thanks for stopping by! https://t.co/HuMwzj9cfY",False,1600886718680686592,0,17,17,2
RepLisaMcClain,Representative Lisa McClain,1600858324853215232,1344032292432437248,en,1600858324853215232,2022-12-08T14:22:21.000Z,"President Biden just gave Russia its ""Merchant of Death"" back while U.S. Marine Paul Whelan is left locked up in a Russian prison.

We need justice for Paul. He should be on that plane coming home too.",False,1600858324853215232,19,33,33,0
RepLisaMcClain,Representative Lisa McClain,1600644804404445184,1344032292432437248,en,1600644804404445184,2022-12-08T00:13:54.000Z,"Tonight, I joined @FoxBusiness to talk about the NDAA, how Republicans worked to remove the vaccine mandate for our military, and how to best protect our national security and counter the #CCP. https://t.co/t1u8YsfzIi",False,1600644804404445184,10,15,15,2
RepLisaMcClain,Representative Lisa McClain,1600590218230304768,1344032292432437248,en,1600590218230304768,2022-12-07T20:37:00.000Z,"America deserves answers on the origin of COVID-19, and @HouseGOP will investigate. https://t.co/d9oJIvRnD4",False,1600590218230304768,7,21,21,0
RepLisaMcClain,Representative Lisa McClain,1600577479147667459,1344032292432437248,en,1600577479147667459,2022-12-07T19:46:22.000Z,My thoughts and prayers are with @SenTedCruz and his family during this difficult time.,False,1600577479147667459,2,14,14,0
RepLisaMcClain,Representative Lisa McClain,1600536848329498624,1344032292432437248,en,1600536848329498624,2022-12-07T17:04:55.000Z,"This Coast Guardsman should be preparing for his well-earned retirement, not defending his beliefs about a vaccine.

https://t.co/zNn9SKzyW4",False,1600536848329498624,8,13,13,0
RepLisaMcClain,Representative Lisa McClain,1600513302836174848,1344032292432437248,en,1600513302836174848,2022-12-07T15:31:22.000Z,"Today, we pause to honor the men and women who died 81 years ago in the attack on Pearl Harbor. Let us remember those brave heroes who gave their lives in service to our country. https://t.co/fIyHnrciL4",False,1600513302836174848,10,6,6,0
RepLisaMcClain,Representative Lisa McClain,1600208812023029760,1344032292432437248,en,1600208812023029760,2022-12-06T19:21:25.000Z,"Instead of lifting vax mandates and keeping the best and brightest, the Navy is lowering its standards.

https://t.co/OivoTAE1AR",False,1600208812023029760,3,33,33,1
RepLisaMcClain,Representative Lisa McClain,1600151344307875840,1344032292432437248,en,1600151344307875840,2022-12-06T15:33:04.000Z,"Students deserve transparency in the cost of their education.

That is why I introduced the College Cost Protection and Student Transparency Act, because no college student should ever pay for a bill they don't know exists.

https://t.co/7FMDaDL1c7",False,1600151344307875840,7,11,11,0
RepLisaMcClain,Representative Lisa McClain,1599871482984894464,1344032292432437248,en,1599871482984894464,2022-12-05T21:01:00.000Z,The #CCP must be stopped. https://t.co/8bqRueVajI,False,1599871482984894464,17,25,25,3
RepLisaMcClain,Representative Lisa McClain,1599839436854153216,1344032292432437248,en,1599839436854153216,2022-12-05T18:53:39.000Z,The government has no right to FORCE speech that goes against your religious freedom.,False,1599839436854153216,11,24,24,2
RepLisaMcClain,Representative Lisa McClain,1599793984842256384,1344032292432437248,en,1599793984842256384,2022-12-05T15:53:03.000Z,The St. Clair Post Office officially has its plaque renaming the building after Marine Corporal Jeffrey Robert Standfest. I am proud to have led legislation to honor this hero so that our community will always remember the great legacy Cpl. Standfest left behind. 🇺🇸 https://t.co/cLNR5H0sgn,False,1599793984842256384,4,15,15,0
RepLisaMcClain,Representative Lisa McClain,1599573770674606080,1344032292432437248,en,1599573770674606080,2022-12-05T01:18:00.000Z,Bidenomics- (noun) a fiscal theory that causes an unending increase in inflation and the cost of living due to a poor understanding of economics.,False,1599573770674606080,13,36,36,2
RepLisaMcClain,Representative Lisa McClain,1599427557304188928,1344032292432437248,en,1599427557304188928,2022-12-04T15:37:00.000Z,"“But from everlasting to everlasting the Lord’s love is with those who fear Him, and His righteousness with their children’s children – with those who keep His covenant and remember to obey His precepts.” - Psalm 103:17-18",False,1599427557304188928,10,27,27,0
RepLisaMcClain,Representative Lisa McClain,1599196534934949888,1344032292432437248,en,1599196534934949888,2022-12-04T00:19:00.000Z,Good governments defend freedom. #StopTheCCP,False,1599196534934949888,17,37,37,1
RepLisaMcClain,Representative Lisa McClain,1599054599930974211,1344032292432437248,en,1599054599930974211,2022-12-03T14:55:00.000Z,Good luck to the #USMNT as they take on the Netherlands today!,False,1599054599930974211,2,9,9,0
RepLisaMcClain,Representative Lisa McClain,1598831533116137473,1344032292432437248,en,1598831533116137473,2022-12-03T00:08:37.000Z,"@elonmusk releasing information on Hunter Biden is just the start. House Republicans take the gavel for oversight on January 3rd. 

Buckle up.",False,1598831533116137473,20,15,15,0
RepLisaMcClain,Representative Lisa McClain,1598744667864039443,1344032292432437248,en,1598744667864039443,2022-12-02T18:23:26.000Z,"I'm calling on Congress to immediately pass my bill, the Anti-CCP Espionage Via Social Media Act, and ban TikTok for good. https://t.co/d5o7HrzVUX",False,1598744667864039443,25,28,28,1
