handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepLoudermilk,Rep. Barry Loudermilk,1600972640071843840,2914163523,en,1600972640071843840,2022-12-08T21:56:36.000Z,"Not only will this facility in Bartow County be the third largest economic development project in state history, it will reduce our dependence on China for manufacturing and create more than 3,500 new jobs in the 11th Congressional District of Georgia. 

https://t.co/KUEzSj2yBV",False,1600972640071843840,1,11,11,1
RepLoudermilk,Rep. Barry Loudermilk,1600541435346010129,2914163523,en,1600541435346010129,2022-12-07T17:23:09.000Z,"RT @RepThomasMassie: Thank you to @RepLoudermilk for cosponsoring HR 5874, the Restoring America's Leadership in Innovation Act of 2021 (RA…",False,1600541435346010129,61,0,0,0
RepLoudermilk,Rep. Barry Loudermilk,1600527934485368834,2914163523,en,1600527934485368834,2022-12-07T16:29:30.000Z,"The repeal of the vaccine mandate is a step in the right direction. But I agree with Speaker-Elect McCarthy, it should go further. Those discharged from the military for not taking the vax should be allowed reinstatement without retribution. https://t.co/n3CWCLGnvt",False,1600527934485368834,122,292,292,14
RepLoudermilk,Rep. Barry Loudermilk,1600519199582978048,2914163523,en,1600519199582978048,2022-12-07T15:54:48.000Z,"President Biden believes visiting a computer chip plant in Arizona is more important than visiting our southern border, which has seen 4,000,000+ migrants cross illegally since he took office and become a national security crisis. https://t.co/q7g1wR1YOI",False,1600519199582978048,3,11,11,0
RepLoudermilk,Rep. Barry Loudermilk,1600481622595457024,2914163523,en,1600481622595457024,2022-12-07T13:25:28.000Z,"The attack on Pearl Harbor on December 7, 1941, was truly “…a date which will live in infamy.” Let us never forget the 2,403 Americans who lost their lives on that fateful day. https://t.co/wZVueUHbXC",False,1600481622595457024,5,17,17,0
RepLoudermilk,Rep. Barry Loudermilk,1599783082483412992,2914163523,en,1599783082483412992,2022-12-05T15:09:44.000Z,[Part 2/2] My discussion with @AlanJSanders continued. https://t.co/t6CiN6NAyd,False,1599783082483412992,3,8,8,1
RepLoudermilk,Rep. Barry Loudermilk,1599782900638961669,2914163523,en,1599782900638961669,2022-12-05T15:09:00.000Z,[Part 1/2] I recently joined @AlanJSanders radio show to discuss how we can fix Our economy and hold the Biden Administration accountable. https://t.co/WwDVwH5MV4,False,1599782900638961669,4,6,6,0
RepLoudermilk,Rep. Barry Loudermilk,1599240140882251777,2914163523,en,1599240140882251777,2022-12-04T03:12:16.000Z,"Congratulations Dawgs, on the big WIN! Number One in the SEC and Number One in the Nation! #GoDawgs https://t.co/UypUb1GBGJ",False,1599240140882251777,3,11,11,1
RepLoudermilk,Rep. Barry Loudermilk,1599173012666081280,2914163523,en,1599173012666081280,2022-12-03T22:45:32.000Z,"On day one of the next Congress, Republicans will cut the 87,000 new IRS agents that Democrats authorized to harass hardworking Americans. 

https://t.co/0ktBJgIqGR",False,1599173012666081280,5,34,34,1
RepLoudermilk,Rep. Barry Loudermilk,1598765120347205634,2914163523,en,1598765120347205634,2022-12-02T19:44:42.000Z,"The Biden admin dismisses the border crisis as if it’s just an overcrowded store on Black Friday. This is an insult to our border patrol agents, the humans being trafficked, and the countless lives lost due to fentanyl overdoses; and it’s a shame the MSM is covering them. https://t.co/CunJeQX9Gj",False,1598765120347205634,3,22,22,0
RepLoudermilk,Rep. Barry Loudermilk,1598353257134542853,2914163523,en,1598353257134542853,2022-12-01T16:28:07.000Z,"I certainly hope the Biden administration will make some of these changes, because more than 6,000 illegal immigrants have been pouring across our border -every single day- since he became President. https://t.co/nfaFhYGRKa",False,1598353257134542853,3,11,11,0
RepLoudermilk,Rep. Barry Loudermilk,1597990503332487173,2914163523,en,1597990503332487173,2022-11-30T16:26:39.000Z,"[3/3] would have to revisit this issue in February.  
 
President Biden has again exhibited careless leadership at the expense of our workers and our economy. It should have never come to this.",False,1597990499326926855,1,9,9,1
RepLoudermilk,Rep. Barry Loudermilk,1597990501386719232,2914163523,en,1597990501386719232,2022-11-30T16:26:39.000Z,"[2/3] We are in the final hours before a possible strike, and Biden is calling on Congress to close the deal he couldn’t. If any changes are made to the current proposal (like adding sick days) it could result in another 60 days of negotiations, and the President, or Congress,",False,1597990499326926855,0,4,4,0
RepLoudermilk,Rep. Barry Loudermilk,1597990499326926855,2914163523,en,1597990499326926855,2022-11-30T16:26:38.000Z,[1/3] President Biden knowingly took a premature victory lap in September when he said a railroad deal had been reached. It’s obvious now he was just kicking the can down the road to score political points ahead of the midterm elections.,False,1597990499326926855,2,23,23,0
RepLoudermilk,Rep. Barry Loudermilk,1597705507846119425,2914163523,en,1597705507846119425,2022-11-29T21:34:11.000Z,"Congratulations on the big win, Team USA! 🇺🇸",False,1597705507846119425,0,4,4,0
RepLoudermilk,Rep. Barry Loudermilk,1597591416447930375,2914163523,en,1597591416447930375,2022-11-29T14:00:50.000Z,RT @RNCResearch: WATCH: Biden spokesman John Kirby defends Biden easing oil sanctions on Venezuela — even as Biden limits American energy p…,False,1597591416447930375,223,0,0,0
RepLoudermilk,Rep. Barry Loudermilk,1597276818087690241,2914163523,en,1597276818087690241,2022-11-28T17:10:44.000Z,"President Biden would rather broker an oil deal with Venezuela’s President Nicolas Maduro – a brutal dictator who has committed crimes against humanity – than broker a deal with oil companies to drill in the U.S.
 
https://t.co/65PmVh2Hhc",False,1597276818087690241,4,17,17,1
RepLoudermilk,Rep. Barry Loudermilk,1595776756685971458,2914163523,en,1595776756685971458,2022-11-24T13:50:01.000Z,"President John Adams Thanksgiving Proclamation delivered on March 23, 1798. https://t.co/2nQBRBr1j9",False,1595776756685971458,1,14,14,0
RepLoudermilk,Rep. Barry Loudermilk,1595087400199503872,2914163523,en,1595087400199503872,2022-11-22T16:10:46.000Z,"[3/3] Fortunately, this money must be appropriated by Congress, and the incoming Republican House majority will oppose this nonsensical deal.

https://t.co/nleJpZHyDW",False,1595087396915367942,1,4,4,1
RepLoudermilk,Rep. Barry Loudermilk,1595087398643564544,2914163523,en,1595087398643564544,2022-11-22T16:10:45.000Z,"[2/3] and smuggled al Qaeda militants into Afghanistan to fight NATO troops - and China is the world’s largest emitter of greenhouse gases, and the second largest economy…",False,1595087396915367942,1,1,1,0
RepLoudermilk,Rep. Barry Loudermilk,1595087396915367942,2914163523,en,1595087396915367942,2022-11-22T16:10:45.000Z,"[1/3] While Americans struggle under crippling inflation, to afford basics like groceries and gas, Pres. Biden wants to send other countries billions of dollars in climate reparations.
 
Two of these eligible countries are China and Pakistan. Pakistan aided Bin Laden…",False,1595087396915367942,3,18,18,1
RepLoudermilk,Rep. Barry Loudermilk,1593316567797972993,2914163523,en,1593316567797972993,2022-11-17T18:54:06.000Z,I look forward to questioning Sam Bankman-Fried and his FTX associates at next month’s House Financial Services hearing. https://t.co/1r0CRIHD4U,False,1593316567797972993,8,19,19,0
RepLoudermilk,Rep. Barry Loudermilk,1593003765392891904,2914163523,en,1593003765392891904,2022-11-16T22:11:08.000Z,[2/2] David worked tirelessly to improve the lives of everyone in our great state. I’m praying for his family during this difficult time.,False,1593003758279135232,1,0,0,0
RepLoudermilk,Rep. Barry Loudermilk,1593003758279135232,2914163523,en,1593003758279135232,2022-11-16T22:11:07.000Z,"[1/2] I’m saddened to learn that David Ralston, the 73rd Speaker of the Georgia House of Representatives has passed away. As lifelong Georgian, and a man who dedicated himself to public service… https://t.co/8I5rpWWncE",False,1593003758279135232,4,6,6,0
RepLoudermilk,Rep. Barry Loudermilk,1592938651855785985,2914163523,zxx,1592938651855785985,2022-11-16T17:52:24.000Z,https://t.co/uOkB1kodqH,False,1592938650014453761,2,1,1,0
RepLoudermilk,Rep. Barry Loudermilk,1592938650014453761,2914163523,en,1592938650014453761,2022-11-16T17:52:24.000Z,"Another judge has blocked Biden’s unconstitutional student loan scheme. Even Pelosi has said the President doesn’t have the authority:

“People think that the President of the United States has the power for debt forgiveness. He does not….That has to be an act of Congress.”",False,1592938650014453761,4,14,14,1
RepLoudermilk,Rep. Barry Loudermilk,1592619577342857216,2914163523,en,1592619577342857216,2022-11-15T20:44:31.000Z,It’s a dereliction of duty for Secretary Mayorkas to say the southern border is secured. https://t.co/GvUjqqoX7h,False,1592619577342857216,14,28,28,3
RepLoudermilk,Rep. Barry Loudermilk,1592558871826280448,2914163523,en,1592558871826280448,2022-11-15T16:43:18.000Z,"It was my privilege to speak in honor of our nation’s Veterans at the American Legion Carl Boyd Post 42 Veterans Day ceremony in Cartersville. Full coverage ⬇️

https://t.co/pSFmea2llw",False,1592558871826280448,1,24,24,0
RepLoudermilk,Rep. Barry Loudermilk,1592196121903992833,2914163523,en,1592196121903992833,2022-11-14T16:41:51.000Z,"President Biden just met with China’s President Xi, and the White House refused to allow reporters to ask about Covid, fentanyl, or the rapid pace at which China is building coal-fired power plants. The American people deserve transparency. https://t.co/xe8lxEF45k",False,1592196121903992833,26,38,38,1
RepLoudermilk,Rep. Barry Loudermilk,1591049087394385920,2914163523,en,1591049087394385920,2022-11-11T12:43:57.000Z,"Happy Veterans Day to those, past and present, who have sacrificed so much in defense of our God-given freedoms. https://t.co/EWVjbKpCSD",False,1591049087394385920,2,15,15,2
RepLoudermilk,Rep. Barry Loudermilk,1590688868969639936,2914163523,en,1590688868969639936,2022-11-10T12:52:34.000Z,Happy Birthday to the U.S. Marine Corps. Thank You to all those who have served! https://t.co/cn7ARfkBDL,False,1590688868969639936,4,13,13,0
RepLoudermilk,Rep. Barry Loudermilk,1590367257007308800,2914163523,en,1590367257007308800,2022-11-09T15:34:36.000Z,"Thank you, 11th Congressional District, for entrusting me to represent you in Congress for another two years. It is my honor to continue to work to make Georgia and our nation more free, safe, and full of opportunity for all of us.",False,1590367257007308800,6,84,84,4
RepLoudermilk,Rep. Barry Loudermilk,1589959473267113984,2914163523,zxx,1589959473267113984,2022-11-08T12:34:13.000Z,https://t.co/XK2g5V2TZt,False,1589959473267113984,5,29,29,0
RepLoudermilk,Rep. Barry Loudermilk,1589638291686850560,2914163523,en,1589638291686850560,2022-11-07T15:17:57.000Z,"RT @SteveScalise: 🚨 Biden just admitted his anti-American oil &amp; gas agenda:

“No more drilling. There is no more drilling. I haven't formed…",False,1589638291686850560,2053,0,0,0
RepLoudermilk,Rep. Barry Loudermilk,1589631044462202881,2914163523,en,1589631044462202881,2022-11-07T14:49:09.000Z,"On Tuesday, We the People will choose our direction. 🇺🇸

#OneOnOneWithBarry https://t.co/p1rSxVzo3J",False,1589631044462202881,3,23,23,1
RepLoudermilk,Rep. Barry Loudermilk,1588161128844054528,2914163523,en,1588161128844054528,2022-11-03T13:28:14.000Z,President Biden’s speech last night showed how out of touch he is. He refuses to address the issues most Americans are concerned about. https://t.co/qPhCc1O974,False,1588161128844054528,9,44,44,1
RepLoudermilk,Rep. Barry Loudermilk,1587889174123876352,2914163523,en,1587889174123876352,2022-11-02T19:27:35.000Z,"RT @dcexaminer: #EXCLUSIVE: Republicans demand President @JoeBiden apologize for calling Georgia election law 'Jim Crow 2.0'

https://t.co/…",False,1587889174123876352,11,0,0,0
RepLoudermilk,Rep. Barry Loudermilk,1587828402303672321,2914163523,zxx,1587828402303672321,2022-11-02T15:26:06.000Z,https://t.co/6C1RwJpt5f,False,1587828400349126661,3,13,13,1
RepLoudermilk,Rep. Barry Loudermilk,1587828400349126661,2914163523,en,1587828400349126661,2022-11-02T15:26:05.000Z,"On a day when the Fed is expected to raise interest rates for the fourth time to try to tame inflation, you’d think Biden would speak to the American people about fixing the current economic crisis. 

Unfortunately, that’s not the case, only plans for another divisive speech.",False,1587828400349126661,5,30,30,2
RepLoudermilk,Rep. Barry Loudermilk,1587499039695654913,2914163523,en,1587499039695654913,2022-11-01T17:37:20.000Z,"Biden’s says the ”oil industry pollutes…” and his plan is to “end fossil fuels…” 

A reminder of why you are paying record prices for gas - major contributor to 40 year high inflation. https://t.co/FyqjHE5cji",False,1587499039695654913,24,31,31,12
RepLoudermilk,Rep. Barry Loudermilk,1587145794150432769,2914163523,en,1587145794150432769,2022-10-31T18:13:39.000Z,"Republicans will deliver a government that’s more accountable - immediately defunding the 87,000 new IRS agents Democrats plan to hire to audit hardworking Americans. 

#CommitmentToAmerica",False,1587145794150432769,8,63,63,1
RepLoudermilk,Rep. Barry Loudermilk,1587096342165590018,2914163523,en,1587096342165590018,2022-10-31T14:57:09.000Z,Discussing how the Biden administration's desperation is showing in this election with @MariaBartiromo on @FoxBusiness. https://t.co/h0nzRwKdae,False,1587096342165590018,2,12,12,1
RepLoudermilk,Rep. Barry Loudermilk,1585737189731991552,2914163523,en,1585737189731991552,2022-10-27T20:56:22.000Z,"I have sent an official inquiry to @DeptVetAffairs Secretary Denis McDonough regarding a veteran who was denied medical care at the West Cobb VA Clinic for not wearing a mask.

We need answers on why this veteran did not get the care he deserves. https://t.co/xMOYX10F5m",False,1585737189731991552,9,29,29,1
RepLoudermilk,Rep. Barry Loudermilk,1585625159351894017,2914163523,en,1585625159351894017,2022-10-27T13:31:12.000Z,"Food prices are up more than 13% — the largest increase ever. 

Republicans know we can  fix this by curbing wasteful gov’t spending, increasing take-home pay, and bringing stability to the economy through these and other pro economic-growth policies. 

#CommitmentToAmerica",False,1585625159351894017,5,39,39,2
RepLoudermilk,Rep. Barry Loudermilk,1585001164315103233,2914163523,en,1585001164315103233,2022-10-25T20:11:40.000Z,Vaccine mandates are unlawful. https://t.co/mUlc5YIBZN,False,1585001164315103233,10,15,15,0
RepLoudermilk,Rep. Barry Loudermilk,1584984667933249536,2914163523,en,1584984667933249536,2022-10-25T19:06:07.000Z,"Republicans fight for security for Americans: personal security, economic security, and border security. 

Democrats fight for defunding police, cashless bail, excessive gov’t spending, and open borders.",False,1584984667933249536,2,34,34,1
RepLoudermilk,Rep. Barry Loudermilk,1584933385226833921,2914163523,en,1584933385226833921,2022-10-25T15:42:20.000Z,"One must admit there’s a problem in order to fix it. Unfortunately, Democrats refuse to admit they have a spending problem that’s caused 40-year high inflation. Don’t take my word for it…watch the video ⬇️ https://t.co/NWXrFZikLa",False,1584933385226833921,3,21,21,0
RepLoudermilk,Rep. Barry Loudermilk,1584608223629578240,2914163523,en,1584608223629578240,2022-10-24T18:10:15.000Z,"$11,500…

That’s how much EXTRA $ the avg household has to spend to maintain the same standard of living as in prev years - due to unified Dem control.

Repubs plan will lower inflation - cutting excessive spending &amp; restoring America’s energy independence.

#CommitmentToAmerica",False,1584608223629578240,6,20,20,2
RepLoudermilk,Rep. Barry Loudermilk,1584530247541673984,2914163523,en,1584530247541673984,2022-10-24T13:00:24.000Z,"On my weekly podcast, I discussed how Republicans will work to lessen inflation, and restore the economy. 

#OneOnOneWithBarry https://t.co/Dz3zBfSqQR",False,1584530247541673984,3,11,11,0
RepLoudermilk,Rep. Barry Loudermilk,1583459742512738305,2914163523,en,1583459742512738305,2022-10-21T14:06:36.000Z,"These headlines show the Left manufactured the ‘voter suppression’ narrative in GA…the truth is, our election laws make it easier to vote and harder to cheat. https://t.co/x1HvTj09jw",False,1583459742512738305,6,35,35,3
RepLoudermilk,Rep. Barry Loudermilk,1583428014821773314,2914163523,qht,1583428014821773314,2022-10-21T12:00:32.000Z,#CommitToAmerica #MakeAmericaSafe,False,1583428012519075842,0,3,3,0
RepLoudermilk,Rep. Barry Loudermilk,1583428012519075842,2914163523,en,1583428012519075842,2022-10-21T12:00:31.000Z,"Repub’s Commitment To America will provide for our nation’s defense and restore America’s standing on the world stage by:
 
➡️Better supporting our troops
➡️Investing in an efficient and effective military
➡️Establishing a Select Cmte on China
➡️Exercising peace through strength",False,1583428012519075842,4,27,27,3
RepLoudermilk,Rep. Barry Loudermilk,1583069572126871557,2914163523,qht,1583069572126871557,2022-10-20T12:16:12.000Z,#CommitmentToAmerica #MakeAmericaSafe,False,1583069568456478720,1,4,4,0
RepLoudermilk,Rep. Barry Loudermilk,1583069568456478720,2914163523,en,1583069568456478720,2022-10-20T12:16:11.000Z,"Issue: 300 Hundred Americans die from fentanyl poisoning each week – the leading cause of death for adults 18-45.
 
Solution: Repubs in Congress will work to secure our southern border where fentanyl is pouring through, and permanently criminalize all forms of illicit fentanyl.",False,1583069568456478720,8,32,32,2
RepLoudermilk,Rep. Barry Loudermilk,1583063725602312192,2914163523,qme,1583063725602312192,2022-10-20T11:52:58.000Z,@TCB61454925 https://t.co/rBK9Db35hR,False,1582802256814309377,0,0,0,0
RepLoudermilk,Rep. Barry Loudermilk,1582802256814309377,2914163523,en,1582802256814309377,2022-10-19T18:33:59.000Z,"Joe Biden said Georgia’s election law is ‘Jim Crow in the 21st Century.’

Mr. President, Georgians are waiting on your apology.  

https://t.co/dasUndpl7E",False,1582802256814309377,3,22,22,1
RepLoudermilk,Rep. Barry Loudermilk,1582725083067715585,2914163523,en,1582725083067715585,2022-10-19T13:27:20.000Z,My statement below on why I’m calling on the Biden administration to abandon their pursuit of a nuclear deal with Iran ⬇️ https://t.co/YzscpXIjZv,False,1582725083067715585,4,9,9,1
RepLoudermilk,Rep. Barry Loudermilk,1582705493805367296,2914163523,en,1582705493805367296,2022-10-19T12:09:29.000Z,"Solution: Republicans will support and FUND the police, support recruitment bonuses, hold criminals who target officers accountable, and ensure prosecutors who refuse to do their jobs do not receive federal grants or federal funds.
 
#CommitmentToAmerica #MakeAmericaSafe",False,1582705491901177856,1,7,7,0
RepLoudermilk,Rep. Barry Loudermilk,1582705491901177856,2914163523,en,1582705491901177856,2022-10-19T12:09:29.000Z,"Issue: Democrats “Defund the Police” movement has resulted in the highest murder rate in over twenty years, and is at a 20 year high for intentional killings of law enforcement.",False,1582705491901177856,4,31,31,0
RepLoudermilk,Rep. Barry Loudermilk,1582434688857243649,2914163523,en,1582434688857243649,2022-10-18T18:13:24.000Z,"Hardworking Americans are struggling to afford necessities like groceries and gas, and this is what the President has to say… https://t.co/WqBqqj3HtO",False,1582434688857243649,5,16,16,0
RepLoudermilk,Rep. Barry Loudermilk,1582337265442779136,2914163523,en,1582337265442779136,2022-10-18T11:46:17.000Z,"Republicans in Congress have committed to regain operational control of the southern border by finishing the border wall, increasing CPB &amp; ICE funding, implementing Migrant Protection Protocols, and ending catch and release.
 
#CommitmentToAmerica #MakeAmericaSafe",False,1582337263543156737,3,4,4,0
RepLoudermilk,Rep. Barry Loudermilk,1582337263543156737,2914163523,en,1582337263543156737,2022-10-18T11:46:16.000Z,"Since Biden became President, our southern border has experienced 3.5 million illegal border crossings and 900K known “got-aways” from 160 different countries…",False,1582337263543156737,5,14,14,0
RepLoudermilk,Rep. Barry Loudermilk,1582002192097038336,2914163523,en,1582002192097038336,2022-10-17T13:34:49.000Z,"In this last week's podcast, I discussed how Republicans' Commitment To America will deliver a government that's accountable.

https://t.co/Zy1pW3yH9y",False,1582002192097038336,2,21,21,1
RepLoudermilk,Rep. Barry Loudermilk,1580973669383213056,2914163523,zxx,1580973669383213056,2022-10-14T17:27:50.000Z,https://t.co/a1Zu0itIyJ,False,1580973667088941058,2,9,9,0
RepLoudermilk,Rep. Barry Loudermilk,1580973667088941058,2914163523,en,1580973667088941058,2022-10-14T17:27:49.000Z,"If the admin was serious about clean, reliable, and sustainable energy, then they would follow Georgia’s lead and support investing in nuclear energy. 

Plant Vogtle, which will be online early next year, will be the first nuclear unit built in the country in over 30 years.",False,1580973667088941058,3,24,24,1
RepLoudermilk,Rep. Barry Loudermilk,1580906468693274625,2914163523,en,1580906468693274625,2022-10-14T13:00:48.000Z,"Dems drug takeover scheme could lead to 135 fewer lifesaving treatments and cures.
 
In the next Congress, Repubs plan to pass legis like the Lower Costs, More Cures Act, which will reform the Medicare prescription drug program and lower the cost of drugs.

#CommitmentToAmerica",False,1580906468693274625,4,31,31,0
RepLoudermilk,Rep. Barry Loudermilk,1580645357930676224,2914163523,en,1580645357930676224,2022-10-13T19:43:14.000Z,Happy 247th Birthday to the U.S. Navy! And thank you to all those who have served. https://t.co/39GxHOsZBH,False,1580645357930676224,4,14,14,0
RepLoudermilk,Rep. Barry Loudermilk,1580619928029519873,2914163523,en,1580619928029519873,2022-10-13T18:02:11.000Z,"RT @RNCResearch: NEVER FORGET: The Biden administration spent more than a year LYING about inflation. 
https://t.co/xd8uDqv5yK",False,1580619928029519873,1542,0,0,0
RepLoudermilk,Rep. Barry Loudermilk,1580594139930185729,2914163523,en,1580594139930185729,2022-10-13T16:19:43.000Z,Inflation has increased every month since Democrats passed their Inflation Reduction Act.,False,1580594139930185729,7,28,28,2
RepLoudermilk,Rep. Barry Loudermilk,1580577696370679809,2914163523,en,1580577696370679809,2022-10-13T15:14:23.000Z,"Inflation was 2.3 % when Biden took office. Today, inflation is at 8.2%, and rising.",False,1580577696370679809,10,19,19,2
