handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepLowenthal,Rep. Alan Lowenthal,1597684382500028416,1055730738,en,1597684382500028416,2022-11-29T20:10:14.000Z,"...on the Energy &amp; Mineral Resources subcommittee. My heart goes out to his family &amp; loved ones. As a true leader fighting for a better future for us all, his passing is a loss not only for his constituents &amp; the state of Virginia, but the entire nation. I will miss him dearly.",False,1597684380478365697,1,0,0,0
RepLowenthal,Rep. Alan Lowenthal,1597684380478365697,1055730738,en,1597684380478365697,2022-11-29T20:10:14.000Z,"I am terribly saddened to learn of the passing of my friend and colleague Rep. A. Donald McEachin. He was a leader in the fight for a clean environment and environmental justice, and I have been proud to work with him for the past four years...1/2",False,1597684380478365697,1,6,6,0
RepLowenthal,Rep. Alan Lowenthal,1594428345315385345,1055730738,en,1594428345315385345,2022-11-20T20:31:55.000Z,…as well as to all the first responders who no doubt saved additional lives due to their quick response. I stand proudly with the LGBTQ+ community and with the people of Colorado impacted by this terrible act. 2/2   https://t.co/E0qmC5YPdR,False,1594428343520198656,0,6,6,0
RepLowenthal,Rep. Alan Lowenthal,1594428343520198656,1055730738,en,1594428343520198656,2022-11-20T20:31:54.000Z,The horrific attack in Colorado is heartbreaking and my heart goes out to the families and loved ones of those killed and injured. We are grateful to those individuals who put themselves in the line of fire to stop this attack…1/2,False,1594428343520198656,4,14,14,1
RepLowenthal,Rep. Alan Lowenthal,1592291475450368000,1055730738,en,1592291475450368000,2022-11-14T23:00:45.000Z,"These ads manipulate the truth about Big Oil, focusing on climate-friendly messages to bolster their reputation, in the wake of a climate emergency they’ve worked to cause. 
And Google’s been making millions from selling them. 
It’s destructive and it’s just plain wrong. https://t.co/DuvljAX5nd",False,1592291475450368000,4,6,6,0
RepLowenthal,Rep. Alan Lowenthal,1592290976256913408,1055730738,en,1592290976256913408,2022-11-14T22:58:46.000Z,Large capacity ammo feeding devices were used in each of the 10 deadliest mass shootings in the U.S. over the last decade. It’s time to pass the Keep Americans Safe Act to ban them once again- this time for good.,False,1592290976256913408,5,8,8,0
RepLowenthal,Rep. Alan Lowenthal,1588267808525373441,1055730738,en,1588267808525373441,2022-11-03T20:32:08.000Z,"With their many offerings, this org. is, in so many ways, empowering our diverse community to thrive, despite adversity. Thank you to Richard and the rest of the @_drcinc staff for your service to our community, and selfless commitment to improving the lives of others. 2/2",False,1588267806440624128,0,2,2,0
RepLowenthal,Rep. Alan Lowenthal,1588267806440624128,1055730738,en,1588267806440624128,2022-11-03T20:32:08.000Z,"I recently visited the Disabled Resources Center to learn about their work to promote independence for members of our community with disabilities. I had the opportunity to recognize an outstanding staff member, Richard Hernandez, with a certificate in thanks for his service. 1/2",False,1588267806440624128,2,4,4,0
RepLowenthal,Rep. Alan Lowenthal,1586137117750480897,1055730738,en,1586137117750480897,2022-10-28T23:25:32.000Z,The attack on House Speaker Nancy Pelosi's husband Paul is horrific. My prayers are with the Speaker and her family hoping for Paul Pelosi's full and speedy recovery. I am grateful to first responders for their care of Paul Pelosi and for preventing the attack from being worse.,False,1586137117750480897,2,1,1,0
RepLowenthal,Rep. Alan Lowenthal,1582848312373223425,1055730738,en,1582848312373223425,2022-10-19T21:37:00.000Z,"For 20 years, the 2002 AUMF has been used to start war in ways far beyond what Congress initially intended. I am proud to join a strong bipartisan majority in Congress in supporting @RepBarbaraLee’s bill to #StopEndlessWars.",False,1582848312373223425,24,4,4,1
RepLowenthal,Rep. Alan Lowenthal,1582837903713239041,1055730738,en,1582837903713239041,2022-10-19T20:55:38.000Z,"This sort of engagement with communities impacted by these energy projects is key to their long-term success, and I look forward to this process being a model for proposals in the region yet to come.",False,1582837676549746688,1,2,2,1
RepLowenthal,Rep. Alan Lowenthal,1582837814743355393,1055730738,en,1582837814743355393,2022-10-19T20:55:17.000Z,"@Interior Last month, I held an Energy and Mineral Resources Subcommittee hearing on the potential for offshore wind energy along our central coast, where we met &amp; learned from outside experts and local community members about the, then, potential leases and their outcomes.",False,1582837676549746688,0,4,4,0
RepLowenthal,Rep. Alan Lowenthal,1582837676549746688,1055730738,en,1582837676549746688,2022-10-19T20:54:44.000Z,"Harnessing offshore wind power will be critical in building our clean energy future. @Interior’s announcement marks the 1st ever offshore wind lease sale in the Pacific and is expected to generate 4.5+ GW of wind energy– enough to power over 1.5m homes.
https://t.co/IqZzFrZWFf",False,1582837676549746688,2,3,3,1
RepLowenthal,Rep. Alan Lowenthal,1582798017215987713,1055730738,en,1582798017215987713,2022-10-19T18:17:08.000Z,"Over 8 million have already applied for student debt forgiveness, and another 30+ million are eligible. For borrowers burdened by massive debt from attending college, this relief means everything.

If you’re eligible, take the 5 minutes to apply today.

https://t.co/wZfQJZymZO",False,1582798017215987713,2,1,1,1
RepLowenthal,Rep. Alan Lowenthal,1582010800805318656,1055730738,en,1582010800805318656,2022-10-17T14:09:01.000Z,"I am honored to have received a 100% score on @HRC’s Scorecard for the 117th Congress. Advocating for the LGBTQ+ community is always a priority of mine, and I will continue the fight to advance LGBTQ+ rights for all. https://t.co/tbGyC7WLTf",False,1582010800805318656,1,1,1,0
RepLowenthal,Rep. Alan Lowenthal,1580244396741562370,1055730738,en,1580244396741562370,2022-10-12T17:09:58.000Z,The administration’s success in brokering a maritime agreement between Israel and Lebanon will contribute to regional security and stability in the region. I applaud all sides in their efforts to reach a stable peace. https://t.co/YVcYMpXkGy,False,1580244396741562370,6,0,0,1
RepLowenthal,Rep. Alan Lowenthal,1575930901770297344,1055730738,en,1575930901770297344,2022-09-30T19:29:41.000Z,"Today’s govt funding package provides critical disaster relief funding &amp; prevents a damaging govt shutdown. I’ll continue to work to pass comprehensive govt funding, which reflects progressive values, inc. critical community project funding, before the end of the year. 3/3",False,1575930897832239104,0,0,0,0
RepLowenthal,Rep. Alan Lowenthal,1575930899920998400,1055730738,en,1575930899920998400,2022-09-30T19:29:40.000Z,He has also caused food/energy prices to soar worldwide. Today I proudly voted to provide critical economic &amp; security assistance to the Ukrainian people. Ukraine must have all the tools it needs to defend itself &amp; to bring Russia to the negotiating table on fair terms. 2/3,False,1575930897832239104,3,1,1,0
RepLowenthal,Rep. Alan Lowenthal,1575930897832239104,1055730738,en,1575930897832239104,2022-09-30T19:29:40.000Z,"Today, Vladimir Putin escalated his illegal war of aggression by attempting to annex sovereign Ukrainian territory based on flagrantly rigged Russia-run elections in these areas. He’s already committed numerous atrocities &amp; caused the loss of 1,000s of innocent lives. 1/3",False,1575930897832239104,3,11,11,0
RepLowenthal,Rep. Alan Lowenthal,1574800887666581505,1055730738,en,1574800887666581505,2022-09-27T16:39:24.000Z,"The United States must recommit to the fight to bring justice to the families. We can and should provide forensic assistance, and support investigative capabilities to bring justice to all victims of forced disappearances, to end impunity and to bolster the rule of law. 2/2",False,1574800885938528258,0,1,1,0
RepLowenthal,Rep. Alan Lowenthal,1574800885938528258,1055730738,en,1574800885938528258,2022-09-27T16:39:24.000Z,"This week marks 8 years since the tragic disappearance of 43 innocent students in Ayotzinapa. We are closer to achieving justice in this case then we have ever been, and it is critical that we continue our efforts. 1/2",False,1574800885938528258,3,3,3,1
