handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepLucyMcBath,Rep. Lucy McBath,1601593832327598085,1082380458976051202,en,1601593832327598085,2022-12-10T15:05:00.000Z,"Today, we celebrate the anniversary of the UN’s adoption of the Universal Declaration of Human Rights, listing out the rights and freedoms that are fundamental to all people.

Today and every day, we must pledge to continue upholding and fighting for these essential rights.",False,1601593832327598085,8,3,3,0
RepLucyMcBath,Rep. Lucy McBath,1600545676521533440,1082380458976051202,en,1600545676521533440,2022-12-07T17:40:00.000Z,"On Pearl Harbor Remembrance Day, we honor the American soldiers and civilians whose lives were lost on this day 81 years ago.

Thanks to the bravery and heroism of America’s veterans and service members, our country and world are safer. https://t.co/UjbPUUlACj",False,1600545676521533440,2,0,0,0
RepLucyMcBath,Rep. Lucy McBath,1598381243460161556,1082380458976051202,en,1598381243460161556,2022-12-01T18:19:19.000Z,"I am honored to serve @TheBlackCaucus as Secretary in the 118th Congress. For decades, the CBC has shown what we can do as members of the Black community to advance the fight for justice and build a brighter future for all Americans. In the new year, we will continue that work. https://t.co/iPZEULzdQf",False,1598381243460161556,6,9,9,0
RepLucyMcBath,Rep. Lucy McBath,1598067034998571008,1082380458976051202,en,1598067034998571008,2022-11-30T21:30:46.000Z,"On this 29th anniversary of the #BradyBill being signed into law, we look back at the strides that have already been taken to prevent gun violence.

Our work continues—there is much to be done. https://t.co/8kdiSUCT5M",False,1598067034998571008,8,3,3,0
RepLucyMcBath,Rep. Lucy McBath,1596158014045691905,1082380458976051202,en,1596158014045691905,2022-11-25T15:05:00.000Z,"On #SmallBusinessSaturday, we celebrate small businesses and recognize all they do for our communities.

Please join me in uplifting these businesses and #ShopSmall this holiday season.",False,1596158014045691905,12,5,5,0
RepLucyMcBath,Rep. Lucy McBath,1595786817755705344,1082380458976051202,en,1595786817755705344,2022-11-24T14:30:00.000Z,"Happy Thanksgiving to all. May today be filled with friends, family, and loved ones.

What are you most thankful for this year?",False,1595786817755705344,12,8,8,0
RepLucyMcBath,Rep. Lucy McBath,1595416520452104193,1082380458976051202,en,1595416520452104193,2022-11-23T13:58:34.000Z,"I know that Jordan’s spirit and strength will be with me. Not a day goes by that I don’t miss my son.
 
Jordan, I love you. Forever and always. ❤️",False,1595416513799929856,153,39,39,1
RepLucyMcBath,Rep. Lucy McBath,1595416518426525697,1082380458976051202,en,1595416518426525697,2022-11-23T13:58:34.000Z,"I carry on Jordan’s legacy now and fight in the United States Congress to make sure no mother, no parent ever has to go through the pain that I did.
 
In January, I will begin serving my third term in Congress, fighting on behalf of the American people.",False,1595416513799929856,205,10,10,5
RepLucyMcBath,Rep. Lucy McBath,1595416516111077376,1082380458976051202,en,1595416516111077376,2022-11-23T13:58:33.000Z,"10 years ago, my heart was shattered and my life was forever changed.
 
As he was growing up, Jordan was filled with a desire to help others and to give back to the community he loved.",False,1595416513799929856,144,6,6,0
RepLucyMcBath,Rep. Lucy McBath,1595416513799929856,1082380458976051202,en,1595416513799929856,2022-11-23T13:58:32.000Z,"Today marks the 10th anniversary of the death of my precious son, Jordan. He was shot at a gas station in 2012 for playing music—he was just 17 years old.

I have never known a love stronger than the love a mother has for her child. https://t.co/K6UCXDIhkv",False,1595416513799929856,4834,843,843,169
RepLucyMcBath,Rep. Lucy McBath,1594802458240651264,1082380458976051202,en,1594802458240651264,2022-11-21T21:18:30.000Z,Please join me in thanking and celebrating our nation’s amazing public health workers and researchers on Public Health Thank You Day! Their heroic work to keep our communities safe and healthy cannot be taken for granted.,False,1594802458240651264,15,1,1,0
RepLucyMcBath,Rep. Lucy McBath,1594382565061709824,1082380458976051202,en,1594382565061709824,2022-11-20T17:30:00.000Z,I stand with the trans and non-binary community on #TransgenderDayofRemembrance. We commemorate the lives of those we have lost to transphobic violence as we all continue working towards a future where everyone has the freedom to be their authentic selves.,False,1594382565061709824,15,2,2,0
RepLucyMcBath,Rep. Lucy McBath,1594337268629528576,1082380458976051202,en,1594337268629528576,2022-11-20T14:30:00.000Z,"Wishing a very happy birthday to @POTUS today. Thank you for all your hard work on behalf of the American people. I hope your day is filled with family, friends, and loved ones. https://t.co/G9tNNlUw2c",False,1594337268629528576,67,44,44,2
RepLucyMcBath,Rep. Lucy McBath,1593305921387634689,1082380458976051202,en,1593305921387634689,2022-11-17T18:11:48.000Z,"Thank you, Madam Speaker, for your service and your friendship. https://t.co/v63eFI6mim",False,1593305921387634689,163,48,48,5
RepLucyMcBath,Rep. Lucy McBath,1592936542548262913,1082380458976051202,en,1592936542548262913,2022-11-16T17:44:01.000Z,"This month, I'm joining @RCICaregiving in recognizing National Family Caregivers Month and celebrating the commitment and compassion shown by caregivers.

Thank you to America’s 53 million family caregivers for your hard work in providing care for those most in need. #NFCMonth",False,1592936542548262913,6,2,2,0
RepLucyMcBath,Rep. Lucy McBath,1592589420439691268,1082380458976051202,en,1592589420439691268,2022-11-15T18:44:41.000Z,"RT @TransportDems: One year ago, @POTUS signed the Infrastructure Investment and Jobs Act into law, kicking off an #InfrastructureDecade. T…",False,1592589420439691268,29,0,0,0
RepLucyMcBath,Rep. Lucy McBath,1592573727547752448,1082380458976051202,en,1592573727547752448,2022-11-15T17:42:19.000Z,"Happy #AmericaRecyclesDay! I encourage all Americans to continue to do their part and reduce, reuse, and recycle to protect our beautiful planet for future generations.
https://t.co/oWnJKBT4IH https://t.co/Cv4BPtRCsR",False,1592573727547752448,3,2,2,0
RepLucyMcBath,Rep. Lucy McBath,1592237927563771904,1082380458976051202,en,1592237927563771904,2022-11-14T19:27:58.000Z,"As we recognize #WorldDiabetesDay, I'm proud to have led a measure with @SenatorWarnock to cap insulin costs at $35 per month that was signed into law.

We must keep up our work—no American should be forced to choose between paying their rent and purchasing their medication.",False,1592237927563771904,19,1,1,0
RepLucyMcBath,Rep. Lucy McBath,1591056901843738624,1082380458976051202,en,1591056901843738624,2022-11-11T13:15:00.000Z,"Today and every day, we honor the courage and bravery of America’s veterans and their families.

The freedoms and liberties we enjoy are because of the sacrifices they have made. #VeteransDay",False,1591056901843738624,4,0,0,0
RepLucyMcBath,Rep. Lucy McBath,1590817417890267137,1082380458976051202,en,1590817417890267137,2022-11-10T21:23:23.000Z,November is #MilitaryFamilyAppreciationMonth. Please join me in thanking these families for their bravery and in recognizing their sacrifices and service to protect our freedom.,False,1590817417890267137,4,0,0,0
RepLucyMcBath,Rep. Lucy McBath,1588893899657027586,1082380458976051202,en,1588893899657027586,2022-11-05T14:00:00.000Z,"On today's date in 1968, Shirley Chisholm became the first Black woman elected to Congress.

Her legacy has paved the way for women in public service, and I am sincerely honored to be able to follow in her footsteps. https://t.co/RU9JYN3k2F",False,1588893899657027586,23,6,6,0
RepLucyMcBath,Rep. Lucy McBath,1587795410332049409,1082380458976051202,en,1587795410332049409,2022-11-02T13:15:00.000Z,"Affordable, reliable health care coverage is now available at https://t.co/0KFSMnIf2Y. This year, 3.2 million Americans found plans for less than $10 a month!

You have until December 15 to enroll in a plan that starts at the beginning of 2023. Be sure to #GetCovered. #ACA https://t.co/J2iGNsjPZr",False,1587795410332049409,12,1,1,0
RepLucyMcBath,Rep. Lucy McBath,1587510175958802435,1082380458976051202,en,1587510175958802435,2022-11-01T18:21:35.000Z,¡Feliz Día de los Muertos! May all who are celebrating find joy and comfort in honoring those we have lost.,False,1587510175958802435,2,0,0,0
RepLucyMcBath,Rep. Lucy McBath,1587466894898073602,1082380458976051202,en,1587466894898073602,2022-11-01T15:29:36.000Z,"In Case You Missed It: @CMSGov announced that Georgia has been approved among the states offering 12 months of postpartum care after pregnancy through #Medicaid and #CHIP with help from American Rescue Plan funds.

This is a monumental step in improving maternal care. https://t.co/sGUOviVnVt",False,1587466894898073602,8,0,0,0
RepLucyMcBath,Rep. Lucy McBath,1587083218347446273,1082380458976051202,en,1587083218347446273,2022-10-31T14:05:00.000Z,Happy Halloween! I hope everyone has a safe and spooky time trick-or-treating and celebrating! 👻,False,1587083218347446273,2,1,1,0
RepLucyMcBath,Rep. Lucy McBath,1585714376564125696,1082380458976051202,en,1585714376564125696,2022-10-27T19:25:43.000Z,"As we mark the 4th anniversary of the deadliest antisemitic massacre in American history, I join with our Jewish community in working to build a nation where all live with freedom, safety, and belonging no matter how we pray, what we look like, or where we come from.
#TreeOfLife",False,1585714376564125696,7,2,2,0
RepLucyMcBath,Rep. Lucy McBath,1584634291018833920,1082380458976051202,en,1584634291018833920,2022-10-24T19:53:50.000Z,Wishing a very happy and prosperous Diwali to everyone who is celebrating! May light continue to triumph over darkness. https://t.co/zp0DR4Xnpm,False,1584634291018833920,7,1,1,0
RepLucyMcBath,Rep. Lucy McBath,1583193840193773622,1082380458976051202,en,1583193840193773622,2022-10-20T20:30:00.000Z,"Wishing a very Happy Birthday to @VP Kamala Harris today!

Thank you for your leadership and your service to the American people. I'm sending you warm wishes for celebrations with family, friends, and loved ones. https://t.co/rNKS69znN4",False,1583193840193773622,38,22,22,1
