handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepMTG,Rep. Marjorie Taylor Greene🇺🇸,1601028525678821378,1344356576786866176,en,1601028525678821378,2022-12-09T01:38:40.000Z,Oversight is coming. https://t.co/EPqcLwq9aF,False,1601028525678821378,1254,1725,1725,82
RepMTG,Rep. Marjorie Taylor Greene🇺🇸,1600886804554842113,1344356576786866176,en,1600886804554842113,2022-12-08T16:15:31.000Z,"Another reason to impeach Biden.

The President of the United States traded Russian terrorist arms dealer, Viktor Bout, left a U.S. Marine in Russian jail, and brought home a professional basketball player.

How many people will Viktor Bout now kill bc Biden set him free?",False,1600886804554842113,10660,16313,16313,1240
RepMTG,Rep. Marjorie Taylor Greene🇺🇸,1600868610918187011,1344356576786866176,en,1600868610918187011,2022-12-08T15:03:14.000Z,"The Black Caucus and the once anti-war Progressives love war so much they are all in to vote for the NDAA and won’t even fight for their own issues.

Pelosi disrespects the House so much she is ramming the NDAA through under suspension of the rules.

Democrats in disarray.",False,1600868610918187011,1143,1554,1554,74
RepMTG,Rep. Marjorie Taylor Greene🇺🇸,1600697236564115456,1344356576786866176,en,1600697236564115456,2022-12-08T03:42:15.000Z,"RT @ColumbiaBugle: Disturbing Story About Woke Military Trying To Silence Concerned Mother

Tucker Carlson: ""So the military responded to a…",False,1600697236564115456,3186,0,0,0
RepMTG,Rep. Marjorie Taylor Greene🇺🇸,1600696974457831424,1344356576786866176,en,1600696974457831424,2022-12-08T03:41:12.000Z,"RT @RepJamesComer: 🚨 As the new chairman of the House Oversight Committee, I am determined to root out waste, fraud, and abuse in the feder…",False,1600696974457831424,547,0,0,0
RepMTG,Rep. Marjorie Taylor Greene🇺🇸,1600691455177392128,1344356576786866176,en,1600691455177392128,2022-12-08T03:19:16.000Z,"If our donors and voters watch the gavel go to someone who negotiates away key subpoena powers and is given to a Uniparty candidate, they will revolt. 
https://t.co/tvj1ZHWgHU",False,1600691455177392128,593,1388,1388,67
RepMTG,Rep. Marjorie Taylor Greene🇺🇸,1600662050157363200,1344356576786866176,en,1600662050157363200,2022-12-08T01:22:26.000Z,"The Democrats are trying to pass a federal takeover of our elections in the NDAA.

Because clearly, stealing elections has everything to do with the military.

Talk about extreme.

An extreme disaster led by the new Democrat leader, Hakeem Jeffries.",False,1600662050157363200,2848,1879,1879,105
RepMTG,Rep. Marjorie Taylor Greene🇺🇸,1600635665124937729,1344356576786866176,en,1600635665124937729,2022-12-07T23:37:35.000Z,"“Mainstream Republicans rallied behind a resolution sponsored by Rep. Marjorie Taylor Greene to audit US military &amp; economic aid for Ukraine, sending their strongest signal yet that the Biden admin will face stricter scrutiny of its support for the war.”

https://t.co/mpQdqANoyX",False,1600635665124937729,949,825,825,57
RepMTG,Rep. Marjorie Taylor Greene🇺🇸,1600613883907084289,1344356576786866176,en,1600613883907084289,2022-12-07T22:11:02.000Z,"Today, we remember the 2,403 Americans killed in the attack on Pearl Harbor 81 fateful years ago.

We will never forget! https://t.co/tzOCaKgeId",False,1600613883907084289,1000,941,941,53
RepMTG,Rep. Marjorie Taylor Greene🇺🇸,1600596086380498957,1344356576786866176,en,1600596086380498957,2022-12-07T21:00:19.000Z,The good news about the NDAA is that the Covid-19 vaccine mandate is out.,False,1600596086380498957,1634,1394,1394,89
RepMTG,Rep. Marjorie Taylor Greene🇺🇸,1600595301416505350,1344356576786866176,en,1600595301416505350,2022-12-07T20:57:12.000Z,"The NDAA requires just a briefing if China buys land near our US military installations, but does NOT prohibit China from buying land near our military installations.

In other words, just write a report when China buys land by the base but don’t bother stopping them.",False,1600595301416505350,1643,566,566,84
RepMTG,Rep. Marjorie Taylor Greene🇺🇸,1600593390332264449,1344356576786866176,en,1600593390332264449,2022-12-07T20:49:36.000Z,"Our country is over $31 TRILLION in debt. 

The NDAA requires the Secretary of Treasury to seek to provide economic support and debt relief for Ukraine.

You can’t even make this up.",False,1600593390332264449,4458,5487,5487,367
RepMTG,Rep. Marjorie Taylor Greene🇺🇸,1600593267329990659,1344356576786866176,en,1600593267329990659,2022-12-07T20:49:07.000Z,"The 4,408 page NDAA expresses the sense of Congress that the US commitment to NATO is “ironclad.”

But the commitment to our border is nonexistent.",False,1600593267329990659,969,722,722,34
RepMTG,Rep. Marjorie Taylor Greene🇺🇸,1600590943446507526,1344356576786866176,en,1600590943446507526,2022-12-07T20:39:53.000Z,"The NDAA is focused on funding an American military that will fight the most terrifying enemy of all.

The climate.😱

The US Green New Deal Military transitioning our vehicles and our soldiers.

Our real enemies are laughing at us.",False,1600590943446507526,1182,1088,1088,61
RepMTG,Rep. Marjorie Taylor Greene🇺🇸,1600580904635744272,1344356576786866176,en,1600580904635744272,2022-12-07T19:59:59.000Z,"America should not be waging wars in foreign nations to protect foreign borders while America’s borders are wide open.

We should be waging war on the Mexican cartels bringing drugs, crime, and human trafficking across our Southern Border. https://t.co/uUefHI8EMp",False,1600580904635744272,5590,2434,2434,300
