handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepMalliotakis,Office of Rep. Nicole Malliotakis,1601306303183273984,1344750588026900481,en,1601306303183273984,2022-12-09T20:02:28.000Z,"A wonderful achievement of @goarch &amp; the Greek Orthodox community whose commitment to rebuilding St. Nicholas was unwavering. It was the only house of worship destroyed in the terrorist attack on September 11, 2001. It’s reopening is a great blessing.

https://t.co/4Ha6XvE6Ng",False,1601306303183273984,13,5,5,0
RepMalliotakis,Office of Rep. Nicole Malliotakis,1601252854626279424,1344750588026900481,en,1601252854626279424,2022-12-09T16:30:05.000Z,"Yesterday Nicole spoke with Saran and informed her that she nominated her to the U.S. Naval Academy. Congratulations Saran! We wish the best and look forward to seeing great things from you!

https://t.co/Z6Jw3qHG76",False,1601252854626279424,6,2,2,2
RepMalliotakis,Office of Rep. Nicole Malliotakis,1600961160043724800,1344750588026900481,en,1600961160043724800,2022-12-08T21:10:59.000Z,Great news! The final National Defense Authorization Act that passed today included our language that funds the updated federal share of the #StatenIsland Seawall. I look forward to working with our partners to ensure contracts are issued ASAP &amp; project continues moving forward.,False,1600961160043724800,6,9,9,1
RepMalliotakis,Office of Rep. Nicole Malliotakis,1600872593271058432,1344750588026900481,en,1600872593271058432,2022-12-08T15:19:03.000Z,"Federal infrastructure funds are currently being used to rehabilitate #StatenIsland Expressway bridge overpasses. 

@SenGillibrand &amp; I urge @GovKathyHochul to now include the remaining 2 miles of the Expressway's HOV lane in NY's five-year infrastructure plan. ⬇️ https://t.co/5WPR40KGmZ",False,1600872593271058432,3,8,8,0
RepMalliotakis,Office of Rep. Nicole Malliotakis,1600854161205100547,1344750588026900481,en,1600854161205100547,2022-12-08T14:05:49.000Z,"If @POTUS is going to release a guy convicted of providing aid to a terrorist organization &amp; conspiring to kill American citizens, he should have at least gotten BOTH Brittney Griner and Paul Whelan in return. 

A U.S. Marine is left behind in another bad deal made by Biden.",False,1600854161205100547,365,205,205,30
RepMalliotakis,Office of Rep. Nicole Malliotakis,1600591043346501640,1344750588026900481,en,1600591043346501640,2022-12-07T20:40:16.000Z,"Thanks to federal infrastructure funding Nicole helped secure, four 60-year-old overpass bridges along the #StatenIsland Expressway and the Fort Hamilton Parkway bridge over the Gowanus in #Brooklyn are being rehabilitated to extend their lifespan &amp; ensure safety.",False,1600591043346501640,9,17,17,2
RepMalliotakis,Office of Rep. Nicole Malliotakis,1600561103884685312,1344750588026900481,en,1600561103884685312,2022-12-07T18:41:18.000Z,"On this 81st Anniversary of Pearl Harbor, we honor the 2,403 men &amp; women who perished including US Navy Service Member Ira D. Hudson from #StatenIsland who was killed aboard the USS West Virginia. 

Their sacrifice will not be forgotten. 🇺🇸 https://t.co/RHPhGMTEK2",False,1600561103884685312,13,3,3,0
RepMalliotakis,Office of Rep. Nicole Malliotakis,1600540069009293312,1344750588026900481,en,1600540069009293312,2022-12-07T17:17:43.000Z,Our @CBP agents signed up to do a job: keep our border secure &amp; nation safe. They have been demoralized by an administration that has tied their hands. Today we highlighted bipartisan solutions to END the suicide that has claimed the lives of 14 border patrol agents this year. https://t.co/7HiJCuy2j2,False,1600540069009293312,12,8,8,1
RepMalliotakis,Office of Rep. Nicole Malliotakis,1600301130092888064,1344750588026900481,en,1600301130092888064,2022-12-07T01:28:16.000Z,"RT @CBSNewYork: Twenty one years ago, Saint Nicholas Greek Orthodox Church and National Shrine was destroyed when the South Tower collapsed…",False,1600301130092888064,11,0,0,0
RepMalliotakis,Office of Rep. Nicole Malliotakis,1600226678537539584,1344750588026900481,en,1600226678537539584,2022-12-06T20:32:25.000Z,"RT @nypmetro: 'Black hole' MTA 'should not be asking for more money,' US Rep. Nicole Malliotakis scolds https://t.co/ImceOFrP60 https://t.c…",False,1600226678537539584,27,0,0,0
RepMalliotakis,Office of Rep. Nicole Malliotakis,1600226656035012608,1344750588026900481,en,1600226656035012608,2022-12-06T20:32:20.000Z,"RT @Jim_Jordan: Want A Dog For Christmas? Rescue One Left By Its Family At Biden’s Border Disaster

https://t.co/6AQ9MfHQLL",False,1600226656035012608,660,0,0,0
RepMalliotakis,Office of Rep. Nicole Malliotakis,1600212190874607616,1344750588026900481,en,1600212190874607616,2022-12-06T19:34:51.000Z,"Thank you to @NYPDHateCrimes &amp; @NYPD121Pct  for quickly apprehending the individual responsible for this heinous attack on #StatenIsland. Antisemitism &amp; violence have no place in America &amp; this criminal must be held accountable to the fullest extent.

https://t.co/Fzxlvba1qi",False,1600212190874607616,8,6,6,0
RepMalliotakis,Office of Rep. Nicole Malliotakis,1600129165738459137,1344750588026900481,en,1600129165738459137,2022-12-06T14:04:56.000Z,"The MTA is a black hole -- they’re constantly asking for more and more money. My question to the governor and the MTA is: At what point is it enough? The U.S. DOT must audit every federal penny MTA received! 

https://t.co/9eJMYr4JZg",False,1600129165738459137,9,6,6,0
