handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepMaloney,Carolyn B. Maloney,1600193028383117315,258900199,en,1600193028383117315,2022-12-06T18:18:42.000Z,"If we are serious about fighting climate change, we cannot pass the #dirtydeal. 

I stand with Chair @RepRaulGrijalva &amp; by my signature on a letter urging House leadership to separate fossil fuel fast-tracking provisions from must-pass legislation.",False,1600193028383117315,58,15,15,10
RepMaloney,Carolyn B. Maloney,1600148502897577984,258900199,en,1600148502897577984,2022-12-06T15:21:47.000Z,.@HunterPresident Raab’s creativity &amp; steadfast commitment to providing NYers with a world class education and cutting-edge opportunities are two of the many legacies of her tenure at @CUNY Hunter College. Congratulations &amp; thank you for your service to education in our City. https://t.co/2gvfNmL8VC,False,1600148502897577984,10,1,1,0
RepMaloney,Carolyn B. Maloney,1599924358130307072,258900199,zxx,1599924358130307072,2022-12-06T00:31:06.000Z,https://t.co/dUXNwg4JDg,False,1599899205287280640,2,1,1,1
RepMaloney,Carolyn B. Maloney,1599899214854561793,258900199,en,1599899214854561793,2022-12-05T22:51:12.000Z,"Read my @NYDailyNews Op-Ed and their editorial on the need to address mental health in NYC and pass the Michelle Alyssa Go Act👇
https://t.co/dsb3FiGOx2",False,1599899205287280640,1,1,1,1
RepMaloney,Carolyn B. Maloney,1599899210987339776,258900199,en,1599899210987339776,2022-12-05T22:51:11.000Z,"For Medicaid to truly function as a social safety net, it needs to address people’s mental well-being not just their physical needs. 

When our friends and neighbors have access to these services, it makes our communities safer and healthier places to live.",False,1599899205287280640,2,1,1,0
RepMaloney,Carolyn B. Maloney,1599899207984246784,258900199,en,1599899207984246784,2022-12-05T22:51:10.000Z,It is time we acted to prevent these violent incidents by providing improved mental health treatment and beds to those in crisis. That’s why I am calling on Congress to pass my Michelle Alyssa Go Act now which allows facilities with more than 16 beds to be reimbursed by Medicaid.,False,1599899205287280640,2,1,1,0
RepMaloney,Carolyn B. Maloney,1599899205287280640,258900199,en,1599899205287280640,2022-12-05T22:51:09.000Z,"On Jan. 15, Michelle Alyssa Go was tragically pushed to her death in front of an incoming train at the Times Square subway station by Martial Simon, a man suffering from schizophrenia. 

This horrific event should never have taken place.",False,1599899205287280640,3,3,3,0
RepMaloney,Carolyn B. Maloney,1599834255873699840,258900199,zxx,1599834255873699840,2022-12-05T18:33:04.000Z,https://t.co/Rwh48Lkb8d,False,1599446137228103680,2,1,1,0
RepMaloney,Carolyn B. Maloney,1599446143519592449,258900199,en,1599446143519592449,2022-12-04T16:50:51.000Z,"One solution to open the doors of homeownership to more Americans would be to allow for a 50-year mortgage option which would bring down the cost of interest payments for low-income home buyers, compared to the traditional 30-year mortgage.",False,1599446137228103680,5,5,5,0
RepMaloney,Carolyn B. Maloney,1599446141480800256,258900199,en,1599446141480800256,2022-12-04T16:50:51.000Z,We must target our efforts to fight inflation so that we do not hurt working people such as addressing the war in Ukraine and fixing our supply chains.,False,1599446137228103680,3,1,1,0
RepMaloney,Carolyn B. Maloney,1599446139312295936,258900199,en,1599446139312295936,2022-12-04T16:50:50.000Z,"The monthly cost of home ownership which includes a monthly payment on a 30-year mortgage, property taxes, property insurance, mortgage insurance grew by at least $500 a month, but in some cases in metropolitan areas it's grown by over $1,000 a month.",False,1599446137228103680,3,1,1,0
RepMaloney,Carolyn B. Maloney,1599446137228103680,258900199,en,1599446137228103680,2022-12-04T16:50:50.000Z,"At our @FSCDems hearing we examined the affordable housing crisis. In NY and across the country, rising interest rates are impacting homeowners, home buyers, and even renters. As mortgage rates have increased by nearly two basis points, the median home price rose by over $50,000.",False,1599446137228103680,6,5,5,1
RepMaloney,Carolyn B. Maloney,1598029772277583873,258900199,en,1598029772277583873,2022-11-30T19:02:42.000Z,"Paid sick leave is a right. Railroad workers who keep our nation’s economy moving have endured long hours with shamefully low pay &amp; benefits for years. We should have their back.
 
That’s why I voted to keep our economy on track &amp; increase paid sick leave for railroad employees.",False,1598029772277583873,7,3,3,0
RepMaloney,Carolyn B. Maloney,1598008081778020352,258900199,en,1598008081778020352,2022-11-30T17:36:30.000Z,"Native women earn approximately 51 cents per dollar paid to white men. Today on #NativeWomensEqualPay I call for an end to systemic violence, poverty &amp; healthcare disparities. We must finally ensure justice for our Native communities.",False,1598008081778020352,16,4,4,0
RepMaloney,Carolyn B. Maloney,1597772429455417344,258900199,en,1597772429455417344,2022-11-30T02:00:07.000Z,"Tonight, the Senate passed the #RespectForMarriageAct which extends these protections nationwide. 
 
I will proudly vote again to pass this important legislation and send it to @POTUS for his signature. https://t.co/P1mPM1kFFY",False,1597772422811643904,6,2,2,0
RepMaloney,Carolyn B. Maloney,1597772422811643904,258900199,en,1597772422811643904,2022-11-30T02:00:05.000Z,"Over 30 years ago when I introduced the first measure to recognize same-sex domestic partnerships in NY, I understood the importance of providing crucial legal safeguards for same-sex couples. 
 
It is time we extend these protections to everyone across the nation.",False,1597772422811643904,13,3,3,0
