handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepMariaSalazar,Rep. María Elvira Salazar,1601332688522125313,1325928411689349120,en,1601332688522125313,2022-12-09T21:47:18.000Z,"RT @RepEspaillat: We are united and working collaboratively to address the issues facing communities at home and around the globe. 

As the…",False,1601332688522125313,6,0,0,0
RepMariaSalazar,Rep. María Elvira Salazar,1600973792737923072,1325928411689349120,en,1600973792737923072,2022-12-08T22:01:11.000Z,Thanks so much to @RepBera for his leadership on our bipartisan legislation to end tuberculosis globally! TB is one of the world’s deadliest diseases and our bill takes solid measures to ensure its eradication. https://t.co/fb3WyARSDI,False,1600973792737923072,3,3,3,0
RepMariaSalazar,Rep. María Elvira Salazar,1600506805813215238,1325928411689349120,en,1600506805813215238,2022-12-07T15:05:33.000Z,"Today, we remember and honor the lives of the thousands of Americans that were taken at Pearl Harbor more than 80 years ago.

In the face of a common enemy, the Greatest Generation stood strong and united to fight for freedom in Europe and Asia. 🇺🇸🗽 https://t.co/D70gItDZKD",False,1600506805813215238,8,6,6,1
RepMariaSalazar,Rep. María Elvira Salazar,1600234144901910530,1325928411689349120,en,1600234144901910530,2022-12-06T21:02:05.000Z,"🚨 INTERNSHIP OPPORTUNITY 🚨

My office in Miami is still looking for interns! If you are interested in politics or the federal government and want to help serve your community, I invite you to apply. 

The deadline to apply is December 16. Apply here 👉 https://t.co/I9f4D2U18X https://t.co/jCCXjq6NbY",False,1600234144901910530,0,2,2,0
RepMariaSalazar,Rep. María Elvira Salazar,1598729352207745024,1325928411689349120,en,1598729352207745024,2022-12-02T17:22:35.000Z,"I am proud to join my colleagues @MarioDB and @RepCarlos in demanding that @DHSgov implement a system that would allow family members of Cubans interdicted by sea to locate them and their cases as quickly as possible.

More details below 👇🏼 

https://t.co/5RQAP8waer",False,1598729352207745024,2,19,19,1
RepMariaSalazar,Rep. María Elvira Salazar,1598728883917971457,1325928411689349120,es,1598728883917971457,2022-12-02T17:20:43.000Z,"Me enorgullece unirme a mis colegas @MarioDB y @RepCarlos para pedir al @DHSgov que implemente un sistema que permita a los familiares de cubanos interceptados en el mar localizarlos y saber de sus casos con mayor rapidez. 

Más detalles abajo 👇🏼 https://t.co/8NcT2SIulC",False,1598728883917971457,1,3,3,0
RepMariaSalazar,Rep. María Elvira Salazar,1598394256250601484,1325928411689349120,en,1598394256250601484,2022-12-01T19:11:02.000Z,Thank you @ForeignPolicyPR for having me! I am always happy to share the experiences of my community in Miami! https://t.co/MimU9FlTEF,False,1598394256250601484,2,9,9,0
RepMariaSalazar,Rep. María Elvira Salazar,1597990260340031493,1325928411689349120,en,1597990260340031493,2022-11-30T16:25:41.000Z,"🚨 INTERNSHIP OPPORTUNITY 🚨

My office in Miami is still looking for interns! If you are interested in politics or the federal government and want to help serve your community, I invite you to apply. 

The deadline to apply is December 16. Apply here 👉 https://t.co/I9f4D3can5 https://t.co/reSB8IDptT",False,1597990260340031493,5,8,8,0
RepMariaSalazar,Rep. María Elvira Salazar,1595835667166236674,1325928411689349120,en,1595835667166236674,2022-11-24T17:44:06.000Z,"My name is María Elvira Salazar. I was born and raised in Little Havana — the daughter of Cuban political refugees.

As a little girl, I never thought I’d be in Congress and I thank God everyday for the honor of serving my community. 

Happy Thanksgiving! 🍁🇺🇸 https://t.co/WpyRdzSTRa",False,1595835667166236674,20,19,19,2
RepMariaSalazar,Rep. María Elvira Salazar,1593676713556381697,1325928411689349120,en,1593676713556381697,2022-11-18T18:45:12.000Z,"🚨 INTERNSHIP OPPORTUNITY 🚨

Are you interested in interning in a Congressional office? My Miami office is looking for Spring interns! 

The deadline to apply is December 16. Apply here 👉 https://t.co/I9f4D3bCxx https://t.co/e2Sq5J82Y0",False,1593676713556381697,4,9,9,0
RepMariaSalazar,Rep. María Elvira Salazar,1592959162136154112,1325928411689349120,en,1592959162136154112,2022-11-16T19:13:54.000Z,"My message to Daniel Ortega and Rosario Murillo:
 
The Church has outlived every king, every empire, and every dictator that has ever lived and it will surely outlive you.
 
Full video here 👉 https://t.co/qEv6NFFn5E https://t.co/GxvzYGZebm",False,1592959162136154112,21,15,15,1
RepMariaSalazar,Rep. María Elvira Salazar,1592263937612996608,1325928411689349120,en,1592263937612996608,2022-11-14T21:11:20.000Z,"🚨 INTERNSHIP OPPORTUNITY 🚨

Are you interested in interning in a Congressional office? My Miami office is looking for spring interns! 

The deadline to apply is December 16. Apply here: https://t.co/I9f4D3bCxx https://t.co/UJ3bRAG6BX",False,1592263937612996608,11,7,7,1
RepMariaSalazar,Rep. María Elvira Salazar,1588619663209996288,1325928411689349120,es,1588619663209996288,2022-11-04T19:50:17.000Z,"RT @GOPEspanol: “Suficiente basta – los Estados Unidos queremos seguridad fronteriza y orden…Por eso, cuando los Republicanos recuperemos l…",False,1588619663209996288,42,0,0,0
RepMariaSalazar,Rep. María Elvira Salazar,1587179606192291840,1325928411689349120,en,1587179606192291840,2022-10-31T20:28:01.000Z,"🚨Today is the LAST FULL DAY to enter my annual Congressional App Challenge!

The deadline to enter is TOMORROW at 5:00PM. All required materials MUST be submitted by then. Good luck!

Link to register 👉 https://t.co/9TqP9LNmtI https://t.co/Vf8qR6X9aq",False,1587179606192291840,6,9,9,1
RepMariaSalazar,Rep. María Elvira Salazar,1586089048300453889,1325928411689349120,en,1586089048300453889,2022-10-28T20:14:31.000Z,"Only 4 days left for the annual Congressional App Challenge!

The deadline to enter is November 1, 2022. Looking forward to seeing everyone's work! 

Link to register 👉 https://t.co/9TqP9LNmtI https://t.co/VfvCmZYtzJ",False,1586089048300453889,5,15,15,0
RepMariaSalazar,Rep. María Elvira Salazar,1585644788115963904,1325928411689349120,en,1585644788115963904,2022-10-27T14:49:11.000Z,"RT @james_t_quinn: New: “We cannot allow a communist sympathizer to lead the Inter-American Development Bank,"" wrote @RepMariaSalazar in a…",False,1585644788115963904,6,0,0,0
RepMariaSalazar,Rep. María Elvira Salazar,1584915182555365378,1325928411689349120,en,1584915182555365378,2022-10-25T14:30:00.000Z,"Only ONE WEEK left for the annual Congressional App Challenge!

The deadline to enter is November 1, 2022. Looking forward to seeing everyone's work! 

Link to register 👉https://t.co/9TqP9LNmtI https://t.co/b5xrMQfDjY",False,1584915182555365378,3,7,7,0
RepMariaSalazar,Rep. María Elvira Salazar,1582733311998414849,1325928411689349120,en,1582733311998414849,2022-10-19T14:00:02.000Z,"The annual Congressional App Challenge is still open for submissions! 

The deadline to enter is November 1, 2022. Can’t wait to see everyone's work! 

Link to register 👉https://t.co/9TqP9LNmtI https://t.co/mQkqGNtFUz",False,1582733311998414849,6,6,6,0
RepMariaSalazar,Rep. María Elvira Salazar,1581049320660299776,1325928411689349120,es,1581049320660299776,2022-10-14T22:28:27.000Z,RT @MarioJPenton: La @RepMariaSalazar cuestionó al gobierno de @lopezobrador_ por violar el acuerdo comercial con Estados Unidos y Canadá a…,False,1581049320660299776,88,0,0,0
RepMariaSalazar,Rep. María Elvira Salazar,1580995574782099456,1325928411689349120,en,1580995574782099456,2022-10-14T18:54:53.000Z,It was such a pleasure to meet the future of America’s Armed Forces at my annual recruitment day! Thanks to each of the five service academies for participating and to la Brigada Asalto 2506 for generously hosting 🇺🇸 https://t.co/EmKqOFDpoX,False,1580995574782099456,11,6,6,0
RepMariaSalazar,Rep. María Elvira Salazar,1580634961815932928,1325928411689349120,es,1580634961815932928,2022-10-13T19:01:56.000Z,"Congress may not be in session but guess who stopped by our DC office today? My rambunctious Ollie Bear!

El Congreso no está en sesión, pero ¿adivinen quién visitó hoy en nuestra oficina en DC? ¡Mi mascota del alma, Ollie Bear! 🐶🇺🇸 https://t.co/sNgslFBQDf",False,1580634961815932928,7,12,12,2
