handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepMeijer,Rep. Peter Meijer,1601575097420378120,1334164871420796928,en,1601575097420378120,2022-12-10T13:50:33.000Z,Sorry to see @JasonGrumet leave @BPC_Bipartisan- always appreciated his dedication to finding areas of common agreement in a Congress that’s all too divided. Can’t wait to see the passion and commitment he brings to @USCleanPower! https://t.co/qrq93SSvYp,False,1601575097420378120,0,3,3,0
RepMeijer,Rep. Peter Meijer,1601338187334709249,1334164871420796928,en,1601338187334709249,2022-12-09T22:09:09.000Z,"Just wrapped up a full day of service academy nomination interviews. Rest assured- the #MI03 kids are alright! 

Makes me so proud to meet such smart, dedicated, and service-committed young men and women interested in @WestPoint_USMA @NavalAcademy @AF_Academy @USCGAcademy @UsmmaO",False,1601338187334709249,4,2,2,0
RepMeijer,Rep. Peter Meijer,1600927812109467648,1334164871420796928,en,1600927812109467648,2022-12-08T18:58:28.000Z,Watching this building go up in 2020 was so awesome. Love to see empty lots sprout! https://t.co/5R33mQpTS8,False,1600927812109467648,1,3,3,0
RepMeijer,Rep. Peter Meijer,1600901896440786945,1334164871420796928,en,1600901896440786945,2022-12-08T17:15:30.000Z,@brent_peabody You might want to check your facts on this one,False,1600900717006376961,0,2,2,0
RepMeijer,Rep. Peter Meijer,1600697309091991552,1334164871420796928,qme,1600697309091991552,2022-12-08T03:42:32.000Z,@RepRibble https://t.co/J40I2xW6lX,False,1600683908122947585,0,0,0,0
RepMeijer,Rep. Peter Meijer,1600659798055612421,1334164871420796928,en,1600659798055612421,2022-12-08T01:13:29.000Z,"The sad reality about Congress is that without a strong political incentive, there is more risk in trying to fix what’s broken than just leaving it alone. Even when not a soul speaks in opposition or can articulate a rationale against, the status quo nonetheless prevails. (2/2)",False,1600659793387360256,6,4,4,1
RepMeijer,Rep. Peter Meijer,1600659793387360256,1334164871420796928,en,1600659793387360256,2022-12-08T01:13:28.000Z,"NUTSHELL: Senate strips totally outdated 1957 &amp; 1991 AUMFs from NDAA fearing unfounded slippery slope leading to repeal of (also) outdated 2002 AUMF, bc of unfounded fears Congress will then have to work on replacing open-ended 2001 AUMF. (1/2) https://t.co/Xq1Vs6bLwF",False,1600659793387360256,11,3,3,0
RepMeijer,Rep. Peter Meijer,1600657151176966151,1334164871420796928,en,1600657151176966151,2022-12-08T01:02:58.000Z,"@senatorshoshana @RSI It’s sad how few groups in DC substantively engage on issues with intellectual consistency, but I always appreciated @RSI ‘s smart analysis (even when we came to different conclusions) and, above all, the iron grip of East Virginia’s senior Senator @senatorshoshana.",False,1600654900995981312,5,4,4,1
RepMeijer,Rep. Peter Meijer,1600650795296456704,1334164871420796928,en,1600650795296456704,2022-12-08T00:37:42.000Z,"RT @ClarkeDynamics: This is fucking ridiculous.

Congress can't even get it together to kick a 65 year old authorization to kill pretend mi…",False,1600650795296456704,7,0,0,0
RepMeijer,Rep. Peter Meijer,1600631586541785089,1334164871420796928,en,1600631586541785089,2022-12-07T23:21:23.000Z,"@reidtsmith Couldn’t agree more, though there is an argument to be made that, far from being co-equal, the Founders intended congress to be the first (branch) among equals…",False,1600630976476061698,0,3,3,0
RepMeijer,Rep. Peter Meijer,1600625327365038081,1334164871420796928,en,1600625327365038081,2022-12-07T22:56:30.000Z,"If you’re a citizen, the 9 most terrifying words in the English language are: “I'm from the government, and I'm here to help.”

If you’re a member of Congress, the 13 most terrifying words in the English language are: “The House is now in recess subject to the call of the Chair.” https://t.co/pH95S6Jhf4",False,1600625327365038081,11,13,13,1
RepMeijer,Rep. Peter Meijer,1600585521427845127,1334164871420796928,en,1600585521427845127,2022-12-07T20:18:20.000Z,"RT @USSArizona: The staggering losses on December 7th 1941.

US Navy 2,008 killed   710 wounded
US Army 218 killed   364 wounded
US Marines…",False,1600585521427845127,129,0,0,0
RepMeijer,Rep. Peter Meijer,1600583819886792721,1334164871420796928,en,1600583819886792721,2022-12-07T20:11:34.000Z,RT @chitribopinions: It is too late to fix the dysfunction our withdrawal unleashed in Afghanistan. But there is time to make it right. Con…,False,1600583819886792721,28,0,0,0
RepMeijer,Rep. Peter Meijer,1600583097862524944,1334164871420796928,en,1600583097862524944,2022-12-07T20:08:42.000Z,@McCainJack @HIASrefugees Thank you for writing this and for your strong support of the #AfghanAdjustmentAct!,False,1600582660975341568,0,1,1,0
RepMeijer,Rep. Peter Meijer,1600572403930775562,1334164871420796928,en,1600572403930775562,2022-12-07T19:26:12.000Z,Great graphical representation of the impact of the massive expansion of the administrative state in the 1960s 🧵 https://t.co/sCJ7vmxISH,False,1600572403930775562,7,7,7,0
RepMeijer,Rep. Peter Meijer,1600569370643685376,1334164871420796928,en,1600569370643685376,2022-12-07T19:14:09.000Z,RT @RepSpanberger: Congress has a duty to prevent future abuses of executive power — and a constitutional role in decisions on war and peac…,False,1600569370643685376,20,0,0,0
RepMeijer,Rep. Peter Meijer,1600565139132006414,1334164871420796928,en,1600565139132006414,2022-12-07T18:57:20.000Z,Today marks the 81st anniversary of the attack on Pearl Harbor. I had the honor of visiting the USS Arizona memorial last month with @INDOPACOM Commander Adm. Aquilino to pay tribute to the sacrifices of all those who perished on a day that still lives in infamy. https://t.co/jkoEbjUlOV,False,1600565139132006414,5,0,0,1
RepMeijer,Rep. Peter Meijer,1600556592633548805,1334164871420796928,en,1600556592633548805,2022-12-07T18:23:23.000Z,"We all swore an oath that began ‘‘I do solemnly swear that I will support and defend the Constitution of the United States.”

A member of Congress backing a call to “terminat[e]… rules, regulations, and articles… of the Constitution” is a clear betrayal of that oath of office. https://t.co/LOKsLklWCP",False,1600556592633548805,97,30,30,6
RepMeijer,Rep. Peter Meijer,1600551605253947416,1334164871420796928,en,1600551605253947416,2022-12-07T18:03:34.000Z,@CL1974MN @RepSpanberger Yea you get it,False,1600539943318831104,0,1,1,0
RepMeijer,Rep. Peter Meijer,1600549080408768512,1334164871420796928,en,1600549080408768512,2022-12-07T17:53:32.000Z,"@CL1974MN @RepSpanberger 1957 was a ‘just-in-case’ for communists in Middle East 
1991 was Gulf War",False,1600539943318831104,0,1,1,0
RepMeijer,Rep. Peter Meijer,1600543615113216004,1334164871420796928,en,1600543615113216004,2022-12-07T17:31:49.000Z,"@drupspartan Real ID is a federal set of standards for state-issued identification documents for accessing federally-regulated facilities (government buildings, nuclear plants, airports) to make it harder for terrorists, criminals, etc to fraudulently obtain state identification documents. https://t.co/CKEQvrKJfv",False,1600514301042761728,0,1,1,0
