handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepMikeQuigley,Mike Quigley,1601585275347636224,56864092,en,1601585275347636224,2022-12-10T14:31:00.000Z,"During #UNHumanRightsDay, we are called on to reaffirm the human rights everyone is entitled to and work to better realize them across the globe. 

In Congress, I will continue working to protect and expand the rights of individuals here at home, and those abroad.",False,1601585275347636224,6,0,0,0
RepMikeQuigley,Mike Quigley,1601341613187309569,56864092,en,1601341613187309569,2022-12-09T22:22:46.000Z,"Visited the Chicago Canine Rescue today to meet some adorable pups looking for homes. 

The rescue is in desperate need of funding, &amp; I’m working to ensure they can keep their doors open and continue helping dogs in need!

This is Octavia, one of the pups ready to be adopted!🐶 https://t.co/4gPBXNxsax",False,1601341613187309569,14,4,4,0
RepMikeQuigley,Mike Quigley,1601293854971502594,56864092,en,1601293854971502594,2022-12-09T19:13:00.000Z,"Big cats are wild animals—they shouldn't be subjected to a life of confinement, where they're used &amp; abused for monetary gain. 

Thanks to the Senate passage of the #BigCatPublicSafetyAct, we're finally going to bring an end to this inhumane treatment.",False,1601293854971502594,5,2,2,0
RepMikeQuigley,Mike Quigley,1601237483223597058,56864092,en,1601237483223597058,2022-12-09T15:29:00.000Z,"Thanks to Congressional Democrats and President Biden, the #ACA marketplaces are now more affordable for Illinois. Check out your options and #GetCovered!
 
Enrollment runs through December 15 for coverage to start at the beginning of 2023!",False,1601237483223597058,2,0,0,0
RepMikeQuigley,Mike Quigley,1600936244212400129,56864092,en,1600936244212400129,2022-12-08T19:31:59.000Z,"America’s national security should rise above partisanship and politics, especially when the stakes are so high. 

That’s why I proudly voted for this year’s defense bill. #FY23NDAA",False,1600936244212400129,5,0,0,1
RepMikeQuigley,Mike Quigley,1600891071504207872,56864092,en,1600891071504207872,2022-12-08T16:32:29.000Z,"I am proud that today's vote protects Americans' right to marry who they love. #lovewins 

The members of the LGBTQ+ community continue to enrich the fabric of the American soul, and I won't rest until my fellow citizens are completely &amp; fully protected from bigotry and hate.",False,1600891071504207872,8,2,2,0
RepMikeQuigley,Mike Quigley,1600888433324367872,56864092,en,1600888433324367872,2022-12-08T16:22:00.000Z,"Brittney never should have needed to play in Russia. She is a world-class athlete, an icon of the WNBA, and if female athletes in the United States were paid equitably, she never would have been in Russia to begin with. Her plight should inspire change for all female athletes. https://t.co/DquEUKnBTs",False,1600888433324367872,11,2,2,1
RepMikeQuigley,Mike Quigley,1600869432544595968,56864092,en,1600869432544595968,2022-12-08T15:06:30.000Z,"The #RespectForMarriageAct repeals the Defense of Marriage Act and ensures critical protections for same-sex and interracial marriages.

I look forward to voting YES and sending it to the President’s desk. #LoveWins 🌈",False,1600869432544595968,6,1,1,0
RepMikeQuigley,Mike Quigley,1600866605856088067,56864092,en,1600866605856088067,2022-12-08T14:55:16.000Z,"I am so happy to learn that Brittney Griner is headed home to her wife and friends.

She never should have been detained to begin with. I'm grateful for the Biden administration's diligent work to bring her home. https://t.co/VPwvayQ3rL",False,1600866605856088067,5,2,2,1
RepMikeQuigley,Mike Quigley,1600636020172541952,56864092,en,1600636020172541952,2022-12-07T23:39:00.000Z,"Today we recognize 81 years since the attack on Pearl Harbor and a war which would ultimately lead to the deaths of hundreds of thousands of Americans. 

Let us all remember those who were lost as we also honor their bravery and sacrifice.",False,1600636020172541952,6,4,4,0
