handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepMikeRogersAL,Mike Rogers,1601285859252523008,33977070,en,1601285859252523008,2022-12-09T18:41:13.000Z,My office attended the ribbon cutting for Fort McClellan Credit Union in Ohatchee today! #AL03 https://t.co/t975yogrH7,False,1601285859252523008,0,3,3,0
RepMikeRogersAL,Mike Rogers,1600927827553320960,33977070,en,1600927827553320960,2022-12-08T18:58:32.000Z,"The U.S. Constitution tasked Congress with our nation’s most important responsibility – to provide for our national defense – the National Defense Authorization Act is a vital part of this responsibility. 

More ⬇️
https://t.co/ZzeOrhxBaz",False,1600927827553320960,0,5,5,1
RepMikeRogersAL,Mike Rogers,1600590944268652568,33977070,en,1600590944268652568,2022-12-07T20:39:53.000Z,"I am proud to represent the people of Clay County, Alabama! Clay County was founded on this day in 1866. #AL03 https://t.co/7R9ZZcmCPF",False,1600590944268652568,0,14,14,0
RepMikeRogersAL,Mike Rogers,1600590477941784576,33977070,en,1600590477941784576,2022-12-07T20:38:02.000Z,Heartbreaking news. I am praying for the family and loved ones of this brave Border Patrol agent. https://t.co/0ejsuqmLBu,False,1600590477941784576,1,1,1,0
RepMikeRogersAL,Mike Rogers,1600491719908261894,33977070,en,1600491719908261894,2022-12-07T14:05:36.000Z,"Today, we honor the memories of the brave Americans who lost their lives in the attack on Pearl Harbor on December 7th, 1941. https://t.co/pAeq3O7aPj",False,1600491719908261894,13,5,5,1
RepMikeRogersAL,Mike Rogers,1599909433101819905,33977070,en,1599909433101819905,2022-12-05T23:31:48.000Z,"On this day Lee County, Alabama was founded! I am proud to represent the folks of Lee County in Congress! #AL03 https://t.co/XtAQegYKUU",False,1599909433101819905,0,16,16,0
RepMikeRogersAL,Mike Rogers,1599845559996907521,33977070,en,1599845559996907521,2022-12-05T19:17:59.000Z,"Congratulations to my friend, Dean Wysner of Randolph County, on receiving the Alabama Farmers Federation Service To Agriculture Award. #AL03
https://t.co/GIXTCecbMy",False,1599845559996907521,0,3,3,0
RepMikeRogersAL,Mike Rogers,1599094724908154880,33977070,en,1599094724908154880,2022-12-03T17:34:26.000Z,"Congratulations to Atticus Cornett, a junior from Springville, for winning the 2022 @CongressionalAC for #AL03! His app, Atmos weather, is designed for people who want to stay informed about the weather. 

Winner: Atticus Cornett, Atmos Weather-  https://t.co/rdwEBUONHS",False,1599094724908154880,2,14,14,1
RepMikeRogersAL,Mike Rogers,1598691342275805184,33977070,en,1598691342275805184,2022-12-02T14:51:32.000Z,"RT @SteveScalise: Great planning meeting today with many future Committee Chairs for the new Republican House Majority.

The Agenda:
- Unle…",False,1598691342275805184,452,0,0,0
RepMikeRogersAL,Mike Rogers,1598026628411465728,33977070,en,1598026628411465728,2022-11-30T18:50:12.000Z,"My office was honored to attend State Senator Keith Kelley’s swearing in. I am proud to see my wife, Judge Beth Rogers, administering the oath of office. #AL03 https://t.co/fqQNxSpenL",False,1598026628411465728,1,10,10,0
RepMikeRogersAL,Mike Rogers,1598015018377043968,33977070,en,1598015018377043968,2022-11-30T18:04:04.000Z,"This is tragic news. I am praying for the victims of these horrific storms. 
https://t.co/VEXO9qJbvj",False,1598015018377043968,0,0,0,0
RepMikeRogersAL,Mike Rogers,1597667614431776768,33977070,en,1597667614431776768,2022-11-29T19:03:37.000Z,Great discussion with the Calhoun County Economic Development Committee. #AL03 https://t.co/T7fxZWpk3s,False,1597667614431776768,0,6,6,0
RepMikeRogersAL,Mike Rogers,1597666626278920192,33977070,en,1597666626278920192,2022-11-29T18:59:41.000Z,Nathan Hill is a treasure to our community. Please join me in wishing him a happy 80th birthday! #AL03 https://t.co/7ygCJV2jqK,False,1597666626278920192,0,2,2,0
RepMikeRogersAL,Mike Rogers,1597666257972494336,33977070,en,1597666257972494336,2022-11-29T18:58:13.000Z,"The Chinese Communist Party murders innocent civilians and suppresses basic human freedoms – it’s clear the people of China have had enough. 
 
This is a weak statement from the leader of the free world. https://t.co/i9FLRdEtPP",False,1597666257972494336,43,7,7,3
RepMikeRogersAL,Mike Rogers,1597641975758397440,33977070,en,1597641975758397440,2022-11-29T17:21:44.000Z,"There is a risk of tornadoes and severe weather in Alabama. 
 
Make sure you’re checking the weather and following directions from local officials to stay safe. https://t.co/ctbXUgywee",False,1597641975758397440,0,1,1,0
RepMikeRogersAL,Mike Rogers,1595769003754258434,33977070,en,1595769003754258434,2022-11-24T13:19:13.000Z,"I am wishing you and your family a very happy Thanksgiving.
 
“Give thanks in all circumstances; for this is God’s will for you in Christ Jesus.” 1 Thessalonians 5:18 https://t.co/nj1LRZcTBP",False,1595769003754258434,1,15,15,0
RepMikeRogersAL,Mike Rogers,1594753842151063552,33977070,en,1594753842151063552,2022-11-21T18:05:19.000Z,Republicans will put national security first! https://t.co/BX2qgyylfE,False,1594753842151063552,3,19,19,0
RepMikeRogersAL,Mike Rogers,1594753510393921554,33977070,en,1594753510393921554,2022-11-21T18:04:00.000Z,Biden’s inflation is driving up the cost of Thanksgiving for American families. https://t.co/GN05zZ7CSP,False,1594753510393921554,2,8,8,0
RepMikeRogersAL,Mike Rogers,1593353377307582467,33977070,en,1593353377307582467,2022-11-17T21:20:22.000Z,My office attended Anniston Kiwanis Farm City today and heard from Dean Paul Patterson on the exciting things going on in the Ag Department at Auburn University. #AL03 https://t.co/A0HF1bWmPc,False,1593353377307582467,2,4,4,0
RepMikeRogersAL,Mike Rogers,1592923009861308416,33977070,en,1592923009861308416,2022-11-16T16:50:15.000Z,My office was honored to see St. Clair County area officials being sworn into office this morning. #AL03 https://t.co/2yRb0GKdol,False,1592923009861308416,1,5,5,0
RepMikeRogersAL,Mike Rogers,1592606927984693248,33977070,en,1592606927984693248,2022-11-15T19:54:15.000Z,Productive meeting with @AmbHerzog – Israel remains a steadfast ally and friend of the United States. 🇺🇸🇮🇱 https://t.co/6AZsUYldfz,False,1592606927984693248,2,3,3,0
RepMikeRogersAL,Mike Rogers,1591088501369761794,33977070,en,1591088501369761794,2022-11-11T15:20:34.000Z,Glad to have attended the groundbreaking for Dovetail Landing. #AL03 https://t.co/PVq2cTzN1h,False,1591088501369761794,1,31,31,0
RepMikeRogersAL,Mike Rogers,1591082990729367552,33977070,en,1591082990729367552,2022-11-11T14:58:40.000Z,Thank you Mayor Lew Watson for showing me around Lincoln’s Landing. #AL03 https://t.co/oO9KXUyyxr,False,1591082990729367552,1,30,30,0
RepMikeRogersAL,Mike Rogers,1591082575510278144,33977070,en,1591082575510278144,2022-11-11T14:57:01.000Z,Thank you to the East Alabama Regional Planning and Development Commission for having me. We must do all we can to support our local Alabama communities! #AL03 https://t.co/w1iExKjm42,False,1591082575510278144,1,20,20,0
RepMikeRogersAL,Mike Rogers,1591078690523607040,33977070,en,1591078690523607040,2022-11-11T14:41:35.000Z,"This Veterans Day we honor the incredible men and women who have fought honorably to keep our nation safe. We are the land of the free because of the brave.  
 
“I have not stopped giving thanks for you, remembering you in my prayers.” Ephesians 1:16. https://t.co/JlTdpDzyTE",False,1591078690523607040,4,6,6,0
RepMikeRogersAL,Mike Rogers,1590778894260572162,33977070,en,1590778894260572162,2022-11-10T18:50:18.000Z,Happy 247th birthday to the brave men and women of @USMC. Every day these incredible men and women work around the clock to keep our nation safe. #SemperFi https://t.co/VbUSDgCkQT,False,1590778894260572162,3,8,8,0
RepMikeRogersAL,Mike Rogers,1590079480789626880,33977070,en,1590079480789626880,2022-11-08T20:31:05.000Z,Republicans seek to protect the God-given freedoms of all Americans. 🇺🇸 https://t.co/YA7JI8FYIO,False,1590079480789626880,3,24,24,1
