handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepMoBrooks,Mo Brooks,1600253158483447809,237299871,en,1600253158483447809,2022-12-06T22:17:38.000Z,"When the Big Dog at the top shows total disdain &amp; disregard for the rule of law &amp; U.S. Constitution, no one should be surprised when subordinates reflect the Big Dog’s lead.

https://t.co/ebLP6byybU",False,1600253158483447809,2,58,58,9
RepMoBrooks,Mo Brooks,1600174964782424064,237299871,en,1600174964782424064,2022-12-06T17:06:56.000Z,".@KatieBrittforAL husband hired as PAID LOBBYIST, a FIRST in Alabama history!

#WesleyBritt CLAIMS won’t lobby wife or feds.

But KBritt controls $BILLIONS for state &amp; local govts.

It is unethical &amp; immoral for Sen.’s spouse to be paid lobbyist. Period.

https://t.co/EBQZbyZ38Q",False,1600174964782424064,14,23,23,11
RepMoBrooks,Mo Brooks,1599494644794281984,237299871,en,1599494644794281984,2022-12-04T20:03:35.000Z,"@lucarp2_DJTWN @realDonaldTrump Why do you deceive? Dumb.

I was target of election theft (11 of 45 voting machines rigged to count all candidate votes except Mo Brooks’).

I fight for election integrity, led that fight on January 6. I support rule of law. Constitution is highest law. Other option: civil war.",False,1599491667655999489,1,3,3,0
RepMoBrooks,Mo Brooks,1599493594871566336,237299871,en,1599493594871566336,2022-12-04T19:59:24.000Z,"@melobyrd @realDonaldTrump Surely you know a Barack Obama-appointed federal court judge examined all evidence, &amp; entered an order dismissing Eric Swalwell’s lawsuit against me because there was “no plausible argument” supporting Swalwell’s or your false accusation.

Why do you deceive?",False,1599491667655999489,1,1,1,0
RepMoBrooks,Mo Brooks,1599492824860266496,237299871,en,1599492824860266496,2022-12-04T19:56:21.000Z,"@kingofkings0247 @realDonaldTrump As the letter to the White House stated, at the request of Congressman Matt Gaetz.

But surely you knew this????",False,1599491667655999489,1,1,1,0
RepMoBrooks,Mo Brooks,1599491667655999489,237299871,en,1599491667655999489,2022-12-04T19:51:45.000Z,".@realDonaldTrump took oath to defend &amp; protect the Constitution.

Now #DonaldTrump states USA can &amp; should “terminate” Constitution whenever Trump dislikes it.

USA must learn Trump’s oaths have same trustworthiness &amp; veracity as Trump’s marital vows.

https://t.co/PQADoQzT7z",False,1599491667655999489,11,56,56,6
RepMoBrooks,Mo Brooks,1599049850502676480,237299871,und,1599049850502676480,2022-12-03T14:36:07.000Z,"NCAAF B10 vs SEC playoffs

CFP:
21: GA 34 Mich 11
20: Bama 52 OSU 24
15: Bama 38 MSU 0
14: OSU 42 Bama 35

BCS:
07: LSU 38 OSU 24
06: Fla 41 OSU 14

SEC 5 blowout wins over B10
B10 1 1-score win over SEC

SEC 14 BCS/CFP titles, B10 2 titles

SEC #2 better CFP pick than B10 #2 OSU",False,1599049850502676480,1,6,6,1
RepMoBrooks,Mo Brooks,1599042064058314752,237299871,en,1599042064058314752,2022-12-03T14:05:11.000Z,"Stir NCAAF pot

B10 losing record &amp; only 4 wins vs. P5 Conf teams

SEC best record with 10 wins vs. P5 Conf teams

SEC’s Bama Tenn LSU (if beats GA) ALL deserve playoff spot over OSU - 2nd place team in losing conference

SEC 14, B10 2 in playoff era!

https://t.co/VpQ0iedBg4",False,1599042064058314752,2,1,1,0
RepMoBrooks,Mo Brooks,1596908328189239296,237299871,en,1596908328189239296,2022-11-27T16:46:29.000Z,"USA has @ least FIVE political parties: #Socialists (won #Democrat Party), old-style liberal Dems, patriotic conservative #Republicans, special interest Establishment #GOP &amp; #Libertarians.

Patriotic conservatives lost Bama 2022.

Good read on GOP battle: https://t.co/FgqVytHnak",False,1596908328189239296,11,34,34,0
RepMoBrooks,Mo Brooks,1591536707706707969,237299871,en,1591536707706707969,2022-11-12T21:01:35.000Z,"#DonaldTrump demands #KevinMcCarthy publicly endorse Trump for 2024 President to become House Speaker.

Trump dictate alienates Congressmen, hurts McCarthy’s Speaker race.

Trump interjects himself. Losses ensue, just like in 2018 2020 2022 elections.

https://t.co/VKWGxOwuIW",False,1591536707706707969,17,189,189,16
