handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepMrvan,Rep. Frank J. Mrvan,1601286393237770240,1346205046036377601,en,1601286393237770240,2022-12-09T18:43:21.000Z,Great to meet with students participating in the Jobs for America’s Graduates @jagindiana program from Hammond Central High School last week. Thank you for your engaging questions and I wish you all the best in your continued studies. https://t.co/V0xlP5GIva,False,1601286393237770240,3,3,3,1
RepMrvan,Rep. Frank J. Mrvan,1600887279345487881,1346205046036377601,en,1600887279345487881,2022-12-08T16:17:25.000Z,Below is my question during the @VetAffairsDems oversight hearing on the implementation of the #PACTAct. Let us continue to ensure that our selfless veterans receive the world class health care and benefits that they deserve. https://t.co/3Kf2BKYnFJ,False,1600887279345487881,5,4,4,1
RepMrvan,Rep. Frank J. Mrvan,1600608381546405895,1346205046036377601,en,1600608381546405895,2022-12-07T21:49:10.000Z,"Spoke on the House floor yesterday in support of completing FY 2023 appropriations measures that include specific funds for economic development at the Michigan City Harbor, construction of Central Avenue in Portage, and expansions at the Gary/Chicago International Airport. https://t.co/f1LHF6XRVE",False,1600608381546405895,8,4,4,1
RepMrvan,Rep. Frank J. Mrvan,1600144263165014016,1346205046036377601,en,1600144263165014016,2022-12-06T15:04:56.000Z,Thank you to Beth Wrobel and everyone with @HealthLinc for your dedicated initiative to make this investment in the people of Michigan City. I appreciate your consistent efforts to positively collaborate and improve the ability of all people to access health care services. https://t.co/qPQfhFW9vU,False,1600144263165014016,3,3,3,0
RepMrvan,Rep. Frank J. Mrvan,1598688278131216388,1346205046036377601,en,1598688278131216388,2022-12-02T14:39:22.000Z,"Spoke on the House floor in support of completing Fiscal Year 2023 Appropriations measures, which include funds for the Porter County Sheriff's office, the Whiting Police Department, &amp; the Gary Police Department. https://t.co/TbkADvdgM7",False,1598688278131216388,8,9,9,0
RepMrvan,Rep. Frank J. Mrvan,1598333146675699714,1346205046036377601,en,1598333146675699714,2022-12-01T15:08:12.000Z,"Congratulations to the new House Democratic Leaders @RepJeffries, @RepKClark, and @RepPeteAguilar! Look forward to continuing the work in the 118th Congress! https://t.co/1nh0dCZtKk",False,1598333146675699714,10,9,9,0
RepMrvan,Rep. Frank J. Mrvan,1598060400846991360,1346205046036377601,en,1598060400846991360,2022-11-30T21:04:24.000Z,"As we move forward, I will continue to work to support the rights of all members of organized labor and take actions to ensure that all workers are able to thrive and succeed in a growing economy. (3/3)",False,1598060250774786049,2,1,1,0
RepMrvan,Rep. Frank J. Mrvan,1598060337273925632,1346205046036377601,en,1598060337273925632,2022-11-30T21:04:09.000Z,"I also would emphasize the critical importance of the rail system to the Northwest Indiana economy, including the success of our steel industry, our manufacturing base, and CN’s Kirk Yard in Gary. (2/3)",False,1598060250774786049,2,2,2,0
RepMrvan,Rep. Frank J. Mrvan,1598060250774786049,1346205046036377601,en,1598060250774786049,2022-11-30T21:03:48.000Z,I supported the increase of an additional seven days of paid sick leave and the underlying agreement in order to avert a rail shutdown and to not exacerbate inflation challenges facing all individuals and families. (1/3),False,1598060250774786049,5,13,13,1
RepMrvan,Rep. Frank J. Mrvan,1597709276889632768,1346205046036377601,en,1597709276889632768,2022-11-29T21:49:10.000Z,"Pleased to recently recognize the 50th work anniversary of Mr. Michael Schrage, Chief Executive Officer and Chairman of the Board of @CentierBank. Congratulations on this incredible achievement, and thank you for your commitment to our region and helping those in need. https://t.co/UiqKCMxLWo",False,1597709276889632768,4,5,5,0
