handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepNancyMace,Rep. Nancy Mace,1601609027385176064,1343597700542038017,en,1601609027385176064,2022-12-10T16:05:23.000Z,"This Sunday will hold the 27th Annual Christmas Light Parade which starts at 5:30pm in Mount Pleasant!

Learn more here: 
https://t.co/WYtXgQpLky https://t.co/6sAUNjdoEq",False,1601609027385176064,1,2,2,0
RepNancyMace,Rep. Nancy Mace,1601271197022695424,1343597700542038017,en,1601271197022695424,2022-12-09T17:42:58.000Z,"Had the chance to talk to a group of Citadel '74 grads in the Capitol this week - go bulldogs! 

@Citadel1842 https://t.co/zhfSOTt0Su",False,1601271197022695424,2,2,2,1
RepNancyMace,Rep. Nancy Mace,1601059042428096512,1343597700542038017,en,1601059042428096512,2022-12-09T03:39:56.000Z,"3. States can still do what they want. But states cannot take away protections another state has granted to a married couple.

Seems pretty straight forward to us, respecting individual Liberty and freedom, while including First Amendment and religious Liberty protections.",False,1601059037621391360,7,14,14,0
RepNancyMace,Rep. Nancy Mace,1601059039961415680,1343597700542038017,en,1601059039961415680,2022-12-09T03:39:56.000Z,2. The law explicitly prohibits the IRS from revoking a church’s tax exempt status.,False,1601059037621391360,4,11,11,0
RepNancyMace,Rep. Nancy Mace,1601059037621391360,1343597700542038017,en,1601059037621391360,2022-12-09T03:39:55.000Z,"All this disinformation about the Respect for Marriage Act (shocker). 

1. Churches can refuse to marry whoever they want. They can even refuse to marry sinners or redheads, for example…",False,1601059037621391360,18,31,31,4
RepNancyMace,Rep. Nancy Mace,1600991178048286720,1343597700542038017,en,1600991178048286720,2022-12-08T23:10:16.000Z,The only place cannabis is controversial is in the Capitol… 🙃 https://t.co/JOVtvXfAN9,False,1600991178048286720,113,99,99,9
RepNancyMace,Rep. Nancy Mace,1600989932868468736,1343597700542038017,en,1600989932868468736,2022-12-08T23:05:19.000Z,Safe Banking sure would have been nice this week… https://t.co/EOGl5fBpSS,False,1600989932868468736,49,55,55,8
RepNancyMace,Rep. Nancy Mace,1600971587234435073,1343597700542038017,en,1600971587234435073,2022-12-08T21:52:25.000Z,"Special time today signing Christmas cards to our veterans! 

Thank you to all who have served! https://t.co/9Cd4K9kyjN",False,1600971587234435073,6,2,2,0
RepNancyMace,Rep. Nancy Mace,1600967860222046210,1343597700542038017,en,1600967860222046210,2022-12-08T21:37:37.000Z,"Today's passage of the NDAA not only supports our military and national security but will also bring approximately $124 million in authorizations for the Lowcountry. 

Our office is delivering, big time.
https://t.co/zEJNGyNLbs",False,1600967860222046210,2,14,14,0
RepNancyMace,Rep. Nancy Mace,1600918721962381330,1343597700542038017,en,1600918721962381330,2022-12-08T18:22:21.000Z,RT @SophieBramsWCBD: .@RepNancyMace on passing the Respect for Marriage Act: “We want to make sure that two people are not discriminated ag…,False,1600918721962381330,22,0,0,0
RepNancyMace,Rep. Nancy Mace,1600915431317204992,1343597700542038017,en,1600915431317204992,2022-12-08T18:09:17.000Z,"Our Charleston Harbor is now home to the deepest port on the East Coast. This is a win for the Lowcountry and will allow for the world's largest ships to now enter our @SCPorts.  

#LowcountryFirst #SC01 https://t.co/aai3wFnUy4",False,1600915431317204992,4,1,1,0
RepNancyMace,Rep. Nancy Mace,1600889639585206276,1343597700542038017,en,1600889639585206276,2022-12-08T16:26:47.000Z,"Today's vote to protect marriage and protect religious liberties marks the end of a long fight for the basic civil right for any two people to marry without discrimination. 

#FreedomFirst #Liberty #RespectForMarriage

https://t.co/dA2hv9TqfU",False,1600889639585206276,13,24,24,7
RepNancyMace,Rep. Nancy Mace,1600619144914804743,1343597700542038017,en,1600619144914804743,2022-12-07T22:31:56.000Z,".@SecMayorkas ignoring the crisis at the southern border puts our national security at risk. 

Just a fact.",False,1600619144914804743,7,25,25,4
RepNancyMace,Rep. Nancy Mace,1600583045005905933,1343597700542038017,en,1600583045005905933,2022-12-07T20:08:29.000Z,"Talking today with @Reveal on conservation, climate issues and how bipartisanship is the key to get things done. 

Keep an eye out for the episode drop https://t.co/dkV49gJCjR",False,1600583045005905933,5,11,11,3
RepNancyMace,Rep. Nancy Mace,1600569686038827008,1343597700542038017,en,1600569686038827008,2022-12-07T19:15:24.000Z,RT @smallbizpatriot: Fun to give @uschamber #SmallBiz outlook to @HHIBChamber PowerHour this morning between presentations by #ShopSmallEve…,False,1600569686038827008,2,0,0,0
RepNancyMace,Rep. Nancy Mace,1600517988570247168,1343597700542038017,en,1600517988570247168,2022-12-07T15:49:59.000Z,Ignoring the ongoing border crisis is like the fire department turning its back on a smoking building. https://t.co/BJ2NI1VrG4,False,1600517988570247168,8,18,18,0
RepNancyMace,Rep. Nancy Mace,1600499853993320461,1343597700542038017,en,1600499853993320461,2022-12-07T14:37:55.000Z,"Charleston is now home to the deepest harbor on the East Coast! #LowcountryFirst

Read more here:

https://t.co/e5GIPSfdsp",False,1600499853993320461,3,6,6,0
RepNancyMace,Rep. Nancy Mace,1600495677372604417,1343597700542038017,en,1600495677372604417,2022-12-07T14:21:19.000Z,"We remember all those who lost their lives on December 7, 1941 – “a date which will live in infamy.” The heroic sacrifices of these brave soldiers, and all those who served in World War II, will never be forgotten. #PearlHarborDay https://t.co/Vgq6Ox1L5R",False,1600495677372604417,15,2,2,0
RepNancyMace,Rep. Nancy Mace,1600492009659269121,1343597700542038017,en,1600492009659269121,2022-12-07T14:06:45.000Z,"RT @FoxFriendsFirst: “Like the fire department ‘turning their back’ on smoke”: South Carolina Congresswoman, @RepNancyMace, rips Biden’s ap…",False,1600492009659269121,7,0,0,0
RepNancyMace,Rep. Nancy Mace,1600222686872932352,1343597700542038017,en,1600222686872932352,2022-12-06T20:16:33.000Z,"The COVID-19 vaccine mandate on our military is significantly hurting recruitment efforts. 

This mandate has to end! 
https://t.co/m0uNoqjQUG",False,1600222686872932352,1,70,70,4
RepNancyMace,Rep. Nancy Mace,1600211034546896897,1343597700542038017,en,1600211034546896897,2022-12-06T19:30:15.000Z,Congratulations to the @ChasRiverDogs on being named 2022 Minor League Team of the Year by @BaseballAmerica! ⚾🎉 https://t.co/FBBx77g6Is,False,1600211034546896897,2,1,1,0
RepNancyMace,Rep. Nancy Mace,1600183861979144192,1343597700542038017,en,1600183861979144192,2022-12-06T17:42:17.000Z,"Last week we met with the Army Corps of Engineers to get an update on all of their hard work on projects across the Lowcountry. 

#LowcountryFirst https://t.co/pxJd5BsWoR",False,1600183861979144192,3,6,6,0
RepNancyMace,Rep. Nancy Mace,1600144121963782144,1343597700542038017,en,1600144121963782144,2022-12-06T15:04:22.000Z,RT @SenatorTimScott: Charleston is now home to the deepest port on the east coast. This project further solidifies South Carolina as an eco…,False,1600144121963782144,28,0,0,0
RepNancyMace,Rep. Nancy Mace,1600144048148209665,1343597700542038017,en,1600144048148209665,2022-12-06T15:04:04.000Z,"RT @RealClearNews: WATCH | With co-host @CPEARCoalition, RCP's @theabstoddard led a conversation on @cspan with @RepBrianMast, @RepNancyMac…",False,1600144048148209665,6,0,0,0
RepNancyMace,Rep. Nancy Mace,1599880629851934720,1343597700542038017,en,1599880629851934720,2022-12-05T21:37:21.000Z,"Thankful none of the students were hurt. 

Remember to take your time on the roads - especially in hazardous conditions. https://t.co/6vD0mwfXte",False,1599880629851934720,2,4,4,0
