handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepOHalleran,Rep. Tom O'Halleran,1600581568170442792,808416682972770304,en,1600581568170442792,2022-12-07T20:02:37.000Z,"81 years ago, over 2,000 brave Americans were lost in the attack on Pearl Harbor. Today, we continue to honor their lives and recognize the sacrifices of those who fought for our country in the years that followed. https://t.co/SQOI27UmIN",False,1600581568170442792,2,1,1,0
RepOHalleran,Rep. Tom O'Halleran,1593344474318458880,808416682972770304,en,1593344474318458880,2022-11-17T20:45:00.000Z,Thrilled to see that over $7 million is headed to the Havasupai Tribe to support broadband deployment and connect over 100 tribal households! https://t.co/UBlR1w1Ajb,False,1593344474318458880,3,13,13,0
RepOHalleran,Rep. Tom O'Halleran,1592233776993959936,808416682972770304,en,1592233776993959936,2022-11-14T19:11:29.000Z,"REMINDER: Marketplace Open Enrollment has started! You have until December 15 to enroll, re-enroll, or change a 2023 insurance plan. Learn about the new plans and lower costs available to you and your family, below: https://t.co/H5Vq1iqNXt",False,1592233776993959936,3,2,2,0
RepOHalleran,Rep. Tom O'Halleran,1589305359516270598,808416682972770304,en,1589305359516270598,2022-11-06T17:15:00.000Z,"November is #MilitaryFamilyAppreciationMonth. The families and loved ones of our veterans and active-duty servicemembers are the embodiment of strength, resilience, and courage; words cannot express our gratitude for their immense sacrifices. https://t.co/TsL75Xcn4P",False,1589305359516270598,7,2,2,0
RepOHalleran,Rep. Tom O'Halleran,1588618332508405760,808416682972770304,en,1588618332508405760,2022-11-04T19:45:00.000Z,Marketplace Open Enrollment has begun! Make sure your plan best fits your family's needs and #GetCovered for 2023 at https://t.co/gxpPTHKtI5. Learn more about the benefits of reevaluating your coverage: https://t.co/Iyrwcm5ex1,False,1588618332508405760,7,3,3,0
RepOHalleran,Rep. Tom O'Halleran,1588573525782118400,808416682972770304,en,1588573525782118400,2022-11-04T16:46:57.000Z,Great conversation with Yavapai Apache Nation leadership yesterday! Thanks for sitting down with me to discuss key issues affecting families in the community. https://t.co/k6B9mb522r,False,1588573525782118400,5,1,1,0
RepOHalleran,Rep. Tom O'Halleran,1588264111254958080,808416682972770304,en,1588264111254958080,2022-11-03T20:17:27.000Z,"During #NativeAmericanHeritageMonth we celebrate the diverse traditions of Native communities. I'm humbled to represent 12 sovereign tribal nations in Congress, &amp; I'm focused on finding solutions to the issues facing Indian Country. More info &amp; resources: https://t.co/YLYE3C8xIg",False,1588264111254958080,10,2,2,0
RepOHalleran,Rep. Tom O'Halleran,1588211326903619584,808416682972770304,en,1588211326903619584,2022-11-03T16:47:42.000Z,"Transparency is not a partisan issue. That's why I publish a list of my official meetings on my website. 

View my Washington, DC meetings, here: https://t.co/XoS8ED8gZA 
View my #AZ01 meetings, below: https://t.co/SqMqs2WMuM",False,1588211326903619584,4,3,3,0
RepOHalleran,Rep. Tom O'Halleran,1587935191397707776,808416682972770304,en,1587935191397707776,2022-11-02T22:30:26.000Z,"Honored to receive the U.S. Chamber of Commerce Advocate for American Business award. Looking forward to continued work to invest in our growing industries, support rural economic growth, and deliver the resources our small businesses need. https://t.co/taizrNHtLV",False,1587935191397707776,5,0,0,1
RepOHalleran,Rep. Tom O'Halleran,1587847397681643520,808416682972770304,en,1587847397681643520,2022-11-02T16:41:35.000Z,"REMINDER: Early voting in Arizona ends this Friday, November 4. It's too late to mail back your ballot, but you can still return it to an official ballot drop-box or voting location. Check your polling location and other voting information, here: https://t.co/8mb06ZR8WH",False,1587847397681643520,4,2,2,2
RepOHalleran,Rep. Tom O'Halleran,1587492162182094849,808416682972770304,en,1587492162182094849,2022-11-01T17:10:00.000Z,"Over the last several years, we've seen complete breakdown of trust between the federal government and the American people. Congress needs to consider, debate, and pass legislation like the TRUST in Congress Act and my package of ethics bills. https://t.co/oaiKqlsCen",False,1587492162182094849,8,3,3,0
RepOHalleran,Rep. Tom O'Halleran,1587126326619619329,808416682972770304,en,1587126326619619329,2022-10-31T16:56:18.000Z,"Happy Halloween, Arizona! https://t.co/BDPt5rW1Us",False,1587126326619619329,2,0,0,0
RepOHalleran,Rep. Tom O'Halleran,1586059819752255488,808416682972770304,en,1586059819752255488,2022-10-28T18:18:23.000Z,"As a former police officer, I know the hard work and dedication our first responders bring to their jobs. Today, on #NationalFirstRespondersDay, join me in thanking the brave men and women who continue to keep our communities safe. https://t.co/neath7jVm7",False,1586059819752255488,12,1,1,2
RepOHalleran,Rep. Tom O'Halleran,1585775854440878081,808416682972770304,en,1585775854440878081,2022-10-27T23:30:00.000Z,"This week, I met with stakeholders in St. Johns to discuss efforts to support coal transition communities. I'm working to ensure our rural First District communities aren't left behind as we transition towards clean energy. https://t.co/6RkfA08no1",False,1585775854440878081,7,0,0,1
RepOHalleran,Rep. Tom O'Halleran,1585682873289424898,808416682972770304,en,1585682873289424898,2022-10-27T17:20:32.000Z,"Happy #NavyDay! Today, and every day, we thank the brave men and women who have served in the U.S. Navy. https://t.co/AFW9fWs9Bx",False,1585682873289424898,4,1,1,0
