handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepPatFallon,Rep. Pat Fallon,1601322292654604289,1343258042704527362,en,1601322292654604289,2022-12-09T21:06:00.000Z,"Now is the time to restore expedited removal to its original state as Congress intended. That is exactly why I introduced the American SAFER Act.

Read more:

👇👇👇
https://t.co/EcfHCH9aWy",False,1601322292654604289,6,0,0,1
RepPatFallon,Rep. Pat Fallon,1601312531145904129,1343258042704527362,en,1601312531145904129,2022-12-09T20:27:13.000Z,"Come January, Big Tech will be held accountable for their flagrant bias. https://t.co/UsT32rwBjU",False,1601312531145904129,275,331,331,29
RepPatFallon,Rep. Pat Fallon,1601265304910254081,1343258042704527362,en,1601265304910254081,2022-12-09T17:19:33.000Z,"Over 5.5 MILLION illegal aliens have crossed our border since Biden took office.

That’s why I’ve introduced the American SAFER Act — CBP needs all the tools they can get.

👇👇👇 https://t.co/LC6aOFPQJ1",False,1601265304910254081,33,7,7,4
RepPatFallon,Rep. Pat Fallon,1601239168855601152,1343258042704527362,en,1601239168855601152,2022-12-09T15:35:42.000Z,"Since Biden took office, he's been to Delaware 59 times.

What's it going to take for him to visit the southern border just ONCE?",False,1601239168855601152,220,201,201,17
RepPatFallon,Rep. Pat Fallon,1601222991698092032,1343258042704527362,en,1601222991698092032,2022-12-09T14:31:25.000Z,"I look forward to hearing Twitter's testimony before @GOPoversight. 

They owe the American people answers.",False,1601222991698092032,18,9,9,2
RepPatFallon,Rep. Pat Fallon,1600942791533658114,1343258042704527362,en,1600942791533658114,2022-12-08T19:58:00.000Z,"Earlier today, I gathered with my Texas colleagues to outline our plan to secure the southern border.

If Joe Biden and Alejandro Mayorkas won’t protect Texans, we will.
https://t.co/rPe1qle0yp",False,1600942791533658114,40,10,10,4
RepPatFallon,Rep. Pat Fallon,1600916115936272384,1343258042704527362,en,1600916115936272384,2022-12-08T18:12:00.000Z,"While we're happy that Brittney Griner is back on American soil, it shouldn't have been at the cost of freeing a prolific enemy of America -- the ""Merchant of Death"".

THIS IS WHO JOE BIDEN RELEASED:

👇👇👇 https://t.co/z14FPgHdoI",False,1600916115936272384,12,4,4,1
RepPatFallon,Rep. Pat Fallon,1600901766484107264,1343258042704527362,en,1600901766484107264,2022-12-08T17:14:59.000Z,"I am proud to announce that in this year's NDAA, the military's COVID vaccine mandate is OFFICIALLY REPEALED.

A huge win for the @HouseGOP.",False,1600901766484107264,94,85,85,12
RepPatFallon,Rep. Pat Fallon,1600894786973622272,1343258042704527362,en,1600894786973622272,2022-12-08T16:47:15.000Z,"RT @RepHarshbarger: !!Breaking !!

@AdamSchiff is circulating a letter urging @facebook to maintain their ban of President Trump's account.…",False,1600894786973622272,189,0,0,0
RepPatFallon,Rep. Pat Fallon,1600884022263119872,1343258042704527362,en,1600884022263119872,2022-12-08T16:04:28.000Z,"RT @kilmeade: DISORDER AT THE BORDER: Biden's open border policy continues to negatively impact many, and @RepPatFallon joins to weigh in o…",False,1600884022263119872,27,0,0,0
RepPatFallon,Rep. Pat Fallon,1600848255310446592,1343258042704527362,en,1600848255310446592,2022-12-08T13:42:21.000Z,"Our nation’s Border Patrol agents work day and night on the frontlines of this Administration's border crisis.

Yet, Joe Biden says there are ""more important things"" to do than visiting with them on his trip to Arizona. https://t.co/b9wsyYIMRd",False,1600848255310446592,24,15,15,0
RepPatFallon,Rep. Pat Fallon,1600842120469700615,1343258042704527362,en,1600842120469700615,2022-12-08T13:17:58.000Z,"RT @BillFOXLA: An observation on sinking Border Patrol morale.

One day after President says the border isn’t important enough to visit, a…",False,1600842120469700615,3593,0,0,0
