handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepPeterDeFazio,Rep. Peter DeFazio,1600948474723590145,252249233,en,1600948474723590145,2022-12-08T20:20:35.000Z,"I’m proud to be the author of the House bill. It will advance the Biden Adm's goal of recalibrating the US-Saudi relationship to better serve our shared national interests. Honored to be joined by @AdamSchiff, @JimMcGovern, @RepTedLieu, @RepDebDingell, @RepJayapal &amp; @RoKhanna.",False,1600948472294694912,8,5,5,1
RepPeterDeFazio,Rep. Peter DeFazio,1600948472294694912,252249233,en,1600948472294694912,2022-12-08T20:20:34.000Z,My House colleagues &amp; I urge the Senate to swiftly pass @SenSanders’ Yemen War Powers Resolution to end US support for offensive operations in the Saudi-led war in Yemen. We must stop giving Saudi Arabia a blank check. https://t.co/3vYhyVyGuZ,False,1600948472294694912,62,7,7,4
RepPeterDeFazio,Rep. Peter DeFazio,1600893303691411456,252249233,en,1600893303691411456,2022-12-08T16:41:21.000Z,I am proud to have voted to pass the #RespectforMarriageAct. This bill is long overdue and will protect &amp; respect the sanctity of same-sex &amp; interracial marriages in this country. #LoveWins 🌈 https://t.co/yj6j9NuxbI,False,1600893303691411456,7,7,7,2
RepPeterDeFazio,Rep. Peter DeFazio,1600571638906503192,252249233,en,1600571638906503192,2022-12-07T19:23:10.000Z,"RT @FCNL: BREAKING: This week, @SenSanders said that he would push for a vote on the Yemen War Powers Resolution. Today, we joined 100+ org…",False,1600571638906503192,33,0,0,0
RepPeterDeFazio,Rep. Peter DeFazio,1600528483947528194,252249233,en,1600528483947528194,2022-12-07T16:31:41.000Z,Today is my final hearing as @TransportDems Chair. It’s been an honor to help ensure the Coast Guard can carry out its missions in the Arctic region and around the world. I am grateful for my time with the gavel fighting to invest in our nation’s infrastructure.,False,1600528483947528194,17,30,30,3
RepPeterDeFazio,Rep. Peter DeFazio,1600221194434682880,252249233,en,1600221194434682880,2022-12-06T20:10:38.000Z,"I applaud this move by my colleague @SenSanders to bring our bipartisan Yemen War Powers Resolution to the Senate floor for a vote. It's Congress’s duty to codify @POTUS's pledge to end U.S. support for Saudi Arabia-led offensive military operations in Yemen, once and for all. https://t.co/29LokIvZqS",False,1600221194434682880,37,12,12,1
RepPeterDeFazio,Rep. Peter DeFazio,1599894862102376448,252249233,en,1599894862102376448,2022-12-05T22:33:54.000Z,"I proudly voted in the House last week to avert a rail shutdown, ensure higher pay for workers, and provide 7 days of paid sick leave. It’s beyond time for Congress to fight against corporate greed and protect working people and their families. 

https://t.co/io519krsv9",False,1599894858663006208,4,2,2,0
RepPeterDeFazio,Rep. Peter DeFazio,1599894858663006208,252249233,en,1599894858663006208,2022-12-05T22:33:53.000Z,"Today, I took to the House Floor to call out the freight railroad industry for their failure to treat their workforce fairly and provide the quality of life they deserve – despite the industry’s record profits.",False,1599894858663006208,5,2,2,2
RepPeterDeFazio,Rep. Peter DeFazio,1599837714408673280,252249233,en,1599837714408673280,2022-12-05T18:46:49.000Z,"RT @TransportDems: “Who makes this country great? Who makes it run? It’s frontline workers.”
 
On the House Floor today, Chair @RepPeterDeF…",False,1599837714408673280,42,0,0,0
RepPeterDeFazio,Rep. Peter DeFazio,1597934105907560449,252249233,en,1597934105907560449,2022-11-30T12:42:33.000Z,"Freight railroads failed to reach an agreement with workers or provide the quality of life they deserve—despite record profits.

Now we must act.

Today, Congress votes to prevent a rail shutdown—which would hurt millions of Americans—and provide paid sick leave to workers. https://t.co/CjckNnuo9x",False,1597934105907560449,131,52,52,9
