handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepPressley,Congresswoman Ayanna Pressley,1601607687963279364,1080584229510172678,en,1601607687963279364,2022-12-10T16:00:03.000Z,"Gun violence is a public health crisis.

We MUST abolish the filibuster and pass an assault weapons ban.",False,1601607687963279364,48,110,110,5
RepPressley,Congresswoman Ayanna Pressley,1601577473703043072,1080584229510172678,en,1601577473703043072,2022-12-10T14:00:00.000Z,"Housing is infrastructure &amp; a human right. We need:

✅More affordable housing
✅Rent stabilization
✅Down payment assistance
✅Age-appropriate housing
✅Eviction assistance
✅&amp; so much more

Let's pass policies &amp; budgets affirm it as such.",False,1601577473703043072,34,22,22,1
RepPressley,Congresswoman Ayanna Pressley,1601333353713905664,1080584229510172678,en,1601333353713905664,2022-12-09T21:49:57.000Z,"I'm joining @SenSanders, @RepBowman, and 70 of our colleagues in keeping up the fight for paid sick time for our rail workers.

Every worker deserves paid leave. https://t.co/KSVuSdMHpZ",False,1601333353713905664,32,24,24,1
RepPressley,Congresswoman Ayanna Pressley,1601275494162464776,1080584229510172678,en,1601275494162464776,2022-12-09T18:00:02.000Z,"Every worker deserves to unionize and fight for better wages, a safe workplace, and dignity &amp; respect from their employer—full stop.",False,1601275494162464776,24,15,15,1
RepPressley,Congresswoman Ayanna Pressley,1601260396341776385,1080584229510172678,en,1601260396341776385,2022-12-09T17:00:03.000Z,"Transit-oriented development is critical to housing affordability, transit access, and economic growth—and our transit infrastructure must keep up with demand.

Proud to work with @SenMarkey to secure federal funding so the @MBTA can do just that. https://t.co/ko6vs0rZjF",False,1601260396341776385,14,5,5,0
RepPressley,Congresswoman Ayanna Pressley,1601034264878915585,1080584229510172678,en,1601034264878915585,2022-12-09T02:01:29.000Z,RT @RepGraceMeng: Free transit for New Yorkers would be a boon for our city. I’m currently cosponsoring @RepPressley's legislation that wou…,False,1601034264878915585,25,0,0,0
RepPressley,Congresswoman Ayanna Pressley,1600976525008199680,1080584229510172678,en,1600976525008199680,2022-12-08T22:12:02.000Z,"Standing in solidarity with the Logan Airport workers defending their right to unionize &amp; join @32BJSEIU.

Their lives and livelihoods are essential, and they deserve dignity from their employer.
https://t.co/qCRSu1lEHg",False,1600976525008199680,40,6,6,1
RepPressley,Congresswoman Ayanna Pressley,1600958789888659456,1080584229510172678,en,1600958789888659456,2022-12-08T21:01:34.000Z,"Latinas earn 54 cents for every $1 paid to white men.

This is a racial &amp; economic injustice.

On #LatinaEqualPay Day &amp; every day, let's make sure everyone gets equal pay for equal work—period.
https://t.co/2LG7rpjuRz",False,1600958789888659456,31,23,23,0
RepPressley,Congresswoman Ayanna Pressley,1600913101880102913,1080584229510172678,en,1600913101880102913,2022-12-08T18:00:01.000Z,"When we organize &amp; mobilize, we win.

Congratulations @gradworkersofBU on this union victory &amp; for joining the @SEIU family! https://t.co/ripq9VPMm1",False,1600913101880102913,14,6,6,0
RepPressley,Congresswoman Ayanna Pressley,1600893919046139909,1080584229510172678,en,1600893919046139909,2022-12-08T16:43:48.000Z,"Today, the People's House took a step forward in reaffirming #LoveIsLove. The #RespectforMarriageAct is now heading to @POTUS' desk.

To our LGBTQ+ siblings: we see you, we love you, &amp; we won't stop fighting for true marriage equality.",False,1600893919046139909,50,23,23,2
RepPressley,Congresswoman Ayanna Pressley,1600878351329234953,1080584229510172678,en,1600878351329234953,2022-12-08T15:41:56.000Z,"RT @POTUS: Moments ago I spoke to Brittney Griner.
 
She is safe.
She is on a plane.
She is on her way home. https://t.co/FmHgfzrcDT",False,1600878351329234953,69403,0,0,0
RepPressley,Congresswoman Ayanna Pressley,1600622740557500418,1080584229510172678,en,1600622740557500418,2022-12-07T22:46:14.000Z,"Solidarity with @MachinistsUnion &amp; the 3,000 JetBlue ground workers organizing for unionization! ✊🏿
 
Every worker deserves to be treated with dignity &amp; respect, and that starts with collective bargaining rights &amp; a union contract.",False,1600622740557500418,27,17,17,3
RepPressley,Congresswoman Ayanna Pressley,1600554229239889937,1080584229510172678,en,1600554229239889937,2022-12-07T18:13:59.000Z,RT @ALZIMPACT: Thank you @RepPressley for cosponsoring the #ALZCaregiverAct that would ensure those providing unpaid care for someone livin…,False,1600554229239889937,11,0,0,0
RepPressley,Congresswoman Ayanna Pressley,1600550719022473216,1080584229510172678,en,1600550719022473216,2022-12-07T18:00:02.000Z,"Maternal health care doesn’t stop at birth &amp; all birthing folks deserve resources to support their pregnancy &amp; postpartum recovery.

I’m pleased that the House passed my amendment to provide these services to those behind the wall.
https://t.co/EKGZEvY3M7",False,1600550719022473216,13,6,6,0
RepPressley,Congresswoman Ayanna Pressley,1600505410036805632,1080584229510172678,en,1600505410036805632,2022-12-07T15:00:00.000Z,"This decision is a testament that organizing &amp; advocacy works.

After we pushed for months, @POTUS heeded our calls to extend #TPSforHaiti, which will undoubtedly save lives.
https://t.co/D13gAh0uto",False,1600505410036805632,12,3,3,1
RepPressley,Congresswoman Ayanna Pressley,1600278474375274496,1080584229510172678,en,1600278474375274496,2022-12-06T23:58:14.000Z,"RT @commondreams: .@RepPressley says the decision to extend and redesignate Temporary Protected Status for Haitian migrants ""will save live…",False,1600278474375274496,26,0,0,0
RepPressley,Congresswoman Ayanna Pressley,1600248729470046208,1080584229510172678,en,1600248729470046208,2022-12-06T22:00:02.000Z,"We can't let fossil fuel companies line their pockets at the expense of frontline communities like Chelsea and East Boston.

I stand with the 750+ environmental justice groups urging Congress to keep the coal baron's #DirtyDeal out of the NDAA.",False,1600248729470046208,21,16,16,1
RepPressley,Congresswoman Ayanna Pressley,1600232295574769666,1080584229510172678,en,1600232295574769666,2022-12-06T20:54:44.000Z,RT @TrueAllianceCe1: Sec Mayorkas Extends and Redesignates #TPS for Haiti for 18 Months. Thank you to our allies for their support.⁩ ⁦@Ayan…,False,1600232295574769666,6,0,0,0
RepPressley,Congresswoman Ayanna Pressley,1600195872171511809,1080584229510172678,en,1600195872171511809,2022-12-06T18:30:00.000Z,"It's time we keep our promises to our Dreamers.

Congress must act NOW to save DACA and grant them the pathway to citizenship they deserve. #HomeIsHere",False,1600195872171511809,39,34,34,0
RepPressley,Congresswoman Ayanna Pressley,1600163207225626630,1080584229510172678,en,1600163207225626630,2022-12-06T16:20:12.000Z,"The people overwhelmingly want student debt relief.

Republicans and their far-right judges must stop blocking this critical relief.",False,1600163207225626630,70,131,131,6
RepPressley,Congresswoman Ayanna Pressley,1600162321954967556,1080584229510172678,en,1600162321954967556,2022-12-06T16:16:41.000Z,RT @RepMondaire: Grateful to see the Biden administration heed my call—alongside @RepPressley and @RepCori—to extend and redesignate Haiti…,False,1600162321954967556,24,0,0,0
RepPressley,Congresswoman Ayanna Pressley,1599924234783891458,1080584229510172678,en,1599924234783891458,2022-12-06T00:30:37.000Z,"This decision will save lives and is the type of compassionate response this moment demands.

Thank you @POTUS and @SecMayorkas for heeding our calls to extend &amp; re-designate #TPSforHaiti and to the grassroots movement that made this possible. https://t.co/X7GKku9qdc",False,1599924234783891458,42,20,20,1
RepPressley,Congresswoman Ayanna Pressley,1599886330242146307,1080584229510172678,en,1599886330242146307,2022-12-05T22:00:00.000Z,"Haiti is in crisis and the U.S. has an obligation to respond with compassion.

The Biden Administration MUST extend and re-designate TPS for Haiti. https://t.co/4PdlkACUEz",False,1599886330242146307,54,45,45,4
RepPressley,Congresswoman Ayanna Pressley,1599877151267905554,1080584229510172678,en,1599877151267905554,2022-12-05T21:23:31.000Z,RT @NatUrbanLeague: 🎥 Tune in tomorrow! We are so excited for @RepPressley to lend her voice to the convo as we dive into barriers returnin…,False,1599877151267905554,12,0,0,0
RepPressley,Congresswoman Ayanna Pressley,1599856237901795329,1080584229510172678,en,1599856237901795329,2022-12-05T20:00:25.000Z,This is another good week for the Senate to abolish the Jim Crow filibuster and pass the Women’s Health Protection Act.,False,1599856237901795329,158,124,124,4
RepPressley,Congresswoman Ayanna Pressley,1599463544776540162,1080584229510172678,en,1599463544776540162,2022-12-04T18:00:00.000Z,"If you haven’t already, take a few minutes and sign up for health care coverage during this open enrollment period.

Visit https://t.co/LfViUoIfmp by December 15th to #GetCovered.",False,1599463544776540162,19,15,15,2
RepPressley,Congresswoman Ayanna Pressley,1599449406410891264,1080584229510172678,en,1599449406410891264,2022-12-04T17:03:49.000Z,"RT @Dove: ""For Black people, hair is rooted in the stories of our resistance.""​

Thank you @ItsMichelleHurd and Reps. @CoryBooker, @CoriBus…",False,1599449406410891264,26,0,0,0
