handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepRWilliams,Rep. Roger Williams,1605005511203913728,1077446982,en,1605005511203913728,2022-12-20T01:01:48.000Z,"Great visit to the Weatherford and Mineral Wells Fire Departments to deliver turkeys and thank the firefighters for their service to the community, especially during the Holiday season. #TX25 https://t.co/DmthySr7FE",False,1605005511203913728,3,4,4,1
RepRWilliams,Rep. Roger Williams,1604931073611157504,1077446982,en,1604931073611157504,2022-12-19T20:06:00.000Z,"President Biden's dangerous border policies have put Texas communities at risk.
This will only worsen once Title 42 expires this week. The Biden Administration MUST act quickly to secure the border &amp; safeguard American citizens.
https://t.co/vJHtj3M85l",False,1604931073611157504,4,6,6,0
RepRWilliams,Rep. Roger Williams,1604672096684179456,1077446982,en,1604672096684179456,2022-12-19T02:56:55.000Z,RT @HouseGOP: Happy #Hanukkah! Wishing all those celebrating a joyous and blessed Festival of Lights. https://t.co/1CuSC6Jx3V,False,1604672096684179456,52,0,0,0
RepRWilliams,Rep. Roger Williams,1603808030449053697,1077446982,en,1603808030449053697,2022-12-16T17:43:26.000Z,"National Wreaths Across America Day is tomorrow, and the Dallas - Fort Worth National Cemetery will be participating in this important day to honor the sacrifices of our veterans during the Holiday season.🇺🇸
You can find more information here: https://t.co/oZZ6gIaZCP",False,1603808030449053697,0,6,6,1
RepRWilliams,Rep. Roger Williams,1603761914630340608,1077446982,en,1603761914630340608,2022-12-16T14:40:11.000Z,"It’s officiall! My office in Washington D.C. has moved. 
1708 Longworth → 2336 Rayburn https://t.co/ehH6eSKEea",False,1603761914630340608,3,7,7,2
RepRWilliams,Rep. Roger Williams,1603465010323283968,1077446982,en,1603465010323283968,2022-12-15T19:00:24.000Z,"NYC is getting a taste of the #BidenBorderCrisis &amp; is now requesting $1 BILLION to help with the surge.

TX has been dealing with this crisis for months &amp; it's past due TX gets the assistance from the federal gov't needed to address the flow of migrants.
https://t.co/bXtRqvfCVq",False,1603465010323283968,0,3,3,0
RepRWilliams,Rep. Roger Williams,1602783321121083394,1077446982,en,1602783321121083394,2022-12-13T21:51:36.000Z,"RT @GriffJenkins: BREAKING: CBP Sources tell FOX News just 74 days into FY23: more than half a million migrant encounters.

FYTD23: 505,137…",False,1602783321121083394,464,0,0,0
RepRWilliams,Rep. Roger Williams,1602757864271093761,1077446982,en,1602757864271093761,2022-12-13T20:10:27.000Z,Happy Birthday to the @USNationalGuard!🇺🇸 https://t.co/ICpzzgqH0D,False,1602757864271093761,2,4,4,1
RepRWilliams,Rep. Roger Williams,1602684640812318722,1077446982,en,1602684640812318722,2022-12-13T15:19:29.000Z,"North Texas - be sure to stay safe during today’s weather. 

You can find the latest tornado updates here: https://t.co/jUmkxku0vQ https://t.co/hUQJDhW8yn",False,1602684640812318722,0,1,1,0
RepRWilliams,Rep. Roger Williams,1601978366961516544,1077446982,en,1601978366961516544,2022-12-11T16:33:00.000Z,"Congratulations to Max Duggan on finishing 2nd in the vote for the Heisman Trophy.

We are ready to watch you and the @TCUFootball team take field at the Fiesta Bowl. Go Frogs! https://t.co/urJro09vx4",False,1601978366961516544,6,4,4,1
RepRWilliams,Rep. Roger Williams,1601274733118431233,1077446982,en,1601274733118431233,2022-12-09T17:57:01.000Z,"This week, I was proud to recognize the @TCU Horned Frogs’ incredible football season &amp; congratulate them on making it to the College Playoffs.

I look forward to watching the team take the field in the Vrbo Fiesta Bowl.

Riff, Ram, Bah Zoo
Go Frogs!🏈
@TCU_Athletics @TCUFootball https://t.co/ewF6sMfnSR",False,1601274733118431233,26,2,2,8
RepRWilliams,Rep. Roger Williams,1600961922849210368,1077446982,en,1600961922849210368,2022-12-08T21:14:01.000Z,"Today, I joined my colleagues in unveiling our framework and priority to fix this crisis in the new majority⤵️ https://t.co/IGC9bY9deA",False,1600961843056427008,0,2,2,0
RepRWilliams,Rep. Roger Williams,1600961843056427008,1077446982,en,1600961843056427008,2022-12-08T21:13:42.000Z,"Under the Biden Admin, we have endured an unprecedented crisis at our southern border.

Texans have seen this crisis firsthand &amp; we have a plan to enforce our laws, safeguard our communities, &amp; take back control of our border from the drug cartels.
https://t.co/pwgKPsBQqj",False,1600961843056427008,3,4,4,0
RepRWilliams,Rep. Roger Williams,1600856887758503936,1077446982,en,1600856887758503936,2022-12-08T14:16:39.000Z,"Honored to join my Texas colleagues in addressing the #BidenBorderCrisis.

Tune in to our press conference here⤵️ https://t.co/iRHKKR26t1",False,1600856887758503936,0,2,2,0
RepRWilliams,Rep. Roger Williams,1600549757591732224,1077446982,en,1600549757591732224,2022-12-07T17:56:13.000Z,"Gearing up for the TCU vs. Michigan Football Playoff in the Vrbo Fiesta Bowl with my friend @RepHuizenga.

Riff Ram, Go Frogs!🏈
@TCU @TCUFootball @TCU_Athletics https://t.co/9cx03mzPeO",False,1600549757591732224,9,4,4,2
RepRWilliams,Rep. Roger Williams,1600512391258800129,1077446982,en,1600512391258800129,2022-12-07T15:27:44.000Z,"RT @HouseGOP: On this solemn anniversary, we remember the 2,403 American lives lost 81 years ago and honor the courageous sacrifice of our…",False,1600512391258800129,65,0,0,0
RepRWilliams,Rep. Roger Williams,1600503475649093635,1077446982,en,1600503475649093635,2022-12-07T14:52:19.000Z,"This is a huge win for the men and women of our Armed Forces.
This mandate was unconstitutional and an outright violation of our military personnel's rights and freedoms.
https://t.co/6vuYoUtLJp",False,1600503475649093635,3,6,6,0
RepRWilliams,Rep. Roger Williams,1600173956715012096,1077446982,en,1600173956715012096,2022-12-06T17:02:55.000Z,"RT @BPUnion: No surprise that Biden doesn't think the border crisis is ""important"" or worthy of visiting/bringing attention to. 

What is h…",False,1600173956715012096,582,0,0,0
RepRWilliams,Rep. Roger Williams,1600173706730524673,1077446982,en,1600173706730524673,2022-12-06T17:01:56.000Z,"The end of Title 42 could mean up to 18,000 people crossing the border PER DAY. 

This influx would have dire impacts on our national security, yet President Biden continues to ignore this reality &amp; protect illegal criminals over American communities.
https://t.co/sIi1ddXpbu",False,1600173706730524673,0,5,5,0
RepRWilliams,Rep. Roger Williams,1599056004066340865,1077446982,en,1599056004066340865,2022-12-03T15:00:35.000Z,Let’s go USA!🇺🇸⚽️,False,1599056004066340865,0,3,3,1
RepRWilliams,Rep. Roger Williams,1598328568043405312,1077446982,en,1598328568043405312,2022-12-01T14:50:00.000Z,"The Biden Administration has turned to dictators in Venezuela for more oil.

We should instead be turning to hardworking Americans to power our country, but this Administration continues to wage war on American energy &amp; threaten our energy security.
https://t.co/N5uo9vWSAS",False,1598328568043405312,0,5,5,1
RepRWilliams,Rep. Roger Williams,1597704372426711040,1077446982,en,1597704372426711040,2022-11-29T21:29:40.000Z,"RT @HouseGOP: 33% of small businesses said the number one issue they are facing is inflation, according to the National Federation of Indep…",False,1597704372426711040,35,0,0,0
RepRWilliams,Rep. Roger Williams,1596623578354847744,1077446982,en,1596623578354847744,2022-11-26T21:54:59.000Z,"RT @thehill: .@RepRWilliams on Small Business Saturday: ""Small businesses are the backbone of our economy and fuel greater growth in commun…",False,1596623578354847744,4,0,0,0
RepRWilliams,Rep. Roger Williams,1596572997489676288,1077446982,en,1596572997489676288,2022-11-26T18:34:00.000Z,"Happy #SmallBusinessSaturday! Small businesses are the backbone of our economy and fuel greater growth in our local communities. 

This is the best time of the year to #ShopSmall and support your local businesses and entrepreneurs in #TX25 and across the country. https://t.co/BQ2uLIWzxZ",False,1596572997489676288,2,7,7,2
RepRWilliams,Rep. Roger Williams,1595771969877970947,1077446982,en,1595771969877970947,2022-11-24T13:31:00.000Z,Happy Thanksgiving! #TX25 https://t.co/uJ0uDki8dh,False,1595771969877970947,1,0,0,0
RepRWilliams,Rep. Roger Williams,1595105255465037824,1077446982,en,1595105255465037824,2022-11-22T17:21:43.000Z,"Today marks 59 years since President Kennedy was assassinated. I still remember shaking his hand that morning before he went into Dallas that fateful afternoon. 
May we always remember that tragic day that forever impacted our country &amp; the entire world.
https://t.co/thzyPcmFci",False,1595105255465037824,0,2,2,1
RepRWilliams,Rep. Roger Williams,1594805790203846658,1077446982,en,1594805790203846658,2022-11-21T21:31:45.000Z,RT @FortWorthFire: Thank you to TX-25 Representative @RepRWilliams  for stopping by Fort Worth Fire Department Station 17 this morning. We…,False,1594805790203846658,1,0,0,0
RepRWilliams,Rep. Roger Williams,1594773718969905152,1077446982,en,1594773718969905152,2022-11-21T19:24:18.000Z,"Great to visit the firefighters of @ArlingtonTxFire, @FortWorthFire, and @CityofBurleson Fire Department and delivery turkeys to kick off the Thanksgiving spirit. #TX25 🦃 https://t.co/tR4MHHPHtb",False,1594773718969905152,1,0,0,0
