handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepRaulGrijalva,Raul M. Grijalva,1601308291648622592,28602948,en,1601308291648622592,2022-12-09T20:10:22.000Z,"RT @NRDems: What Big Oil says: 
""We care about #ClimateChange! We're finding clean energy solutions!""

What Big Oil does: 
KeEps inVesTinG…",False,1601308291648622592,11,0,0,0
RepRaulGrijalva,Raul M. Grijalva,1601267699216453632,28602948,en,1601267699216453632,2022-12-09T17:29:04.000Z,"My statement on @SenatorSinema's decision to leave our party. Her decision, while disappointing, does not shift the balance of power and Democrats will move forward putting people over politics with or without her help. https://t.co/uaWDdOKgA7",False,1601267699216453632,15,6,6,2
RepRaulGrijalva,Raul M. Grijalva,1600962496470261760,28602948,en,1600962496470261760,2022-12-08T21:16:18.000Z,"RT @Michael_Shank: ""If we want to build a global community that is serious about addressing the #climatecrisis and advancing #climatejustic…",False,1600962496470261760,10,0,0,0
RepRaulGrijalva,Raul M. Grijalva,1600940971377668096,28602948,en,1600940971377668096,2022-12-08T19:50:46.000Z,"RT @EliseJoshi: It’s time @RepRaulGrijalva gets his long deserved credit. 

He introduced the incredible Environmental Justice For All Act,…",False,1600940971377668096,19,0,0,0
RepRaulGrijalva,Raul M. Grijalva,1600933199688790017,28602948,en,1600933199688790017,2022-12-08T19:19:53.000Z,Felicidades to the @USProgressives new leadership team for the 118th Congress! https://t.co/AJhveNVvbx,False,1600933199688790017,10,7,7,1
RepRaulGrijalva,Raul M. Grijalva,1600917966752620545,28602948,en,1600917966752620545,2022-12-08T18:19:21.000Z,"RT @TucsonRomero: Today we celebrate love and the right to marry who YOU choose! 
THANK YOU @SenatorSinema @SenMarkKelly @RepRaulGrijalva @…",False,1600917966752620545,15,0,0,0
RepRaulGrijalva,Raul M. Grijalva,1600897164082786304,28602948,en,1600897164082786304,2022-12-08T16:56:41.000Z,"This #LatinaEqualPayDay, we recognize that Latinas are still being marginalized in the workplace. 

It's unacceptable that Latinas only make 54
cents, even 46 cents, on the dollar, compared to non-Hispanic white men. 

We must close and end the wage gap.
https://t.co/6yp4TeWZ1n",False,1600897164082786304,3,1,1,0
RepRaulGrijalva,Raul M. Grijalva,1600890013998350339,28602948,en,1600890013998350339,2022-12-08T16:28:17.000Z,"The #RespectforMarriageAct is a celebration of decades of progress! 

Today, we enshrined marriage equality and ensured same-sex and interracial couples no longer have to worry about their rights being stripped away. 

I look forward to seeing this bill signed by @POTUS. 🧡",False,1600890013998350339,8,0,0,1
RepRaulGrijalva,Raul M. Grijalva,1600886603765125122,28602948,en,1600886603765125122,2022-12-08T16:14:44.000Z,RT @HHS_ASH: Thanks so much for the welcome! And thanks to the @uarizona @udallcenter in the @Cityoftucson for the kind invitation to speak…,False,1600886603765125122,7,0,0,0
RepRaulGrijalva,Raul M. Grijalva,1600876355469512704,28602948,en,1600876355469512704,2022-12-08T15:34:00.000Z,"Welcome @HHS_ASH to Tucson! Your work greatly compliments our efforts to pass #EJforAll and ensure a more equitable and sustainable future. 

We face a number of public health challenges in southern Arizona and I’m grateful to have @HHSgov as a committed partner in this fight.",False,1600876355469512704,1,1,1,1
RepRaulGrijalva,Raul M. Grijalva,1600861771148890112,28602948,en,1600861771148890112,2022-12-08T14:36:03.000Z,"I'm grateful for the news that Brittney Griner will make her safe return to the US. 

The Biden admin and many public servants who achieved this moment deserve our gratitude and praise.

Together, we'll continue our work to end the wrongful detainment of Americans abroad. https://t.co/Ac9i0z9IIs",False,1600861771148890112,7,8,8,0
RepRaulGrijalva,Raul M. Grijalva,1600608426241015808,28602948,en,1600608426241015808,2022-12-07T21:49:21.000Z,"On December 7, we remember the attack on Pearl Harbor, ""a date which will live in infamy"", forever. 

We will never forget this day and the sacrifice of those who fought to defend our nation. 

https://t.co/UEzIVnnnuR",False,1600608426241015808,5,5,5,0
RepRaulGrijalva,Raul M. Grijalva,1600603022576521230,28602948,en,1600603022576521230,2022-12-07T21:27:53.000Z,RT @SenWhitehouse: A big thanks also to @SenatorCantwell and @RepRaulGrijalva for their tireless leadership to negotiate this package and p…,False,1600603022576521230,18,0,0,0
RepRaulGrijalva,Raul M. Grijalva,1600602975562567685,28602948,en,1600602975562567685,2022-12-07T21:27:41.000Z,RT @EarthjusticeDC: Thank you @RepRaulGrijalva for your leadership and for always standing up to protect communities from the interests of…,False,1600602975562567685,6,0,0,0
RepRaulGrijalva,Raul M. Grijalva,1600595342214500364,28602948,en,1600595342214500364,2022-12-07T20:57:21.000Z,"RT @MarkRuffalo: Thank you @RepJayapal, @RepRaulGrijalva,  @RepRoKhanna, @RashidaTlaib, @USProgressives, &amp; all the organizations &amp; activist…",False,1600595342214500364,95,0,0,0
RepRaulGrijalva,Raul M. Grijalva,1600553722639269900,28602948,en,1600553722639269900,2022-12-07T18:11:58.000Z,"Those who swear an oath to defend the Constitution then wholeheartedly endorse a former president's views to terminate the Constitution, a president who sought to violently overturn a democratic election by stoking white supremacy and division, are unfit to serve. https://t.co/75sgSchFTX",False,1600553722639269900,5,7,7,0
RepRaulGrijalva,Raul M. Grijalva,1600550212522721289,28602948,en,1600550212522721289,2022-12-07T17:58:02.000Z,The flight to Phoenix yesterday was quicker than my normal AZ to DC commute. Thanks @POTUS for the ride! https://t.co/D7Gg8hsoaV,False,1600550212522721289,3,2,2,1
