handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepRaulRuizMD,Raul Ruiz,1601371762859470848,1089859058,en,1601371762859470848,2022-12-10T00:22:34.000Z,"Great news for our communities this week!
 
🌈 Love won again
🎖️ We recognized our Capitol Police heroes
🦋 I advocated for our local Dreamers
🪖 We worked to protect our servicemembers from burn pits https://t.co/0tM9aT1YHn",False,1601371762859470848,2,2,2,0
RepRaulRuizMD,Raul Ruiz,1601353505695944704,1089859058,en,1601353505695944704,2022-12-09T23:10:02.000Z,Our small businesses are the backbone of our economy but are too often at risk of cyber attacks and theft that could shut them down. That is why I voted for the SBA Cyber Awareness Act to strengthen the SBA's ability to better handle the threats affecting small businesses.,False,1601353505695944704,4,0,0,0
RepRaulRuizMD,Raul Ruiz,1601048992573374464,1089859058,en,1601048992573374464,2022-12-09T03:00:00.000Z,"Burn pits pose a risk to the health of many of our servicemembers. With my priorities included in this year's #NDAA, we will ensure that servicemembers &amp; the providers who treat them have the tools they need to live healthier lives after they return home.

https://t.co/eBJ99vvoIJ",False,1601048992573374464,2,3,3,0
RepRaulRuizMD,Raul Ruiz,1601003696426348550,1089859058,en,1601003696426348550,2022-12-09T00:00:01.000Z,"As we count down the days to celebrate the Holidays with our families, I encourage you to set a day to get your COVID booster and flu shot. My family did!
 
Find a provider or make your appointment here: https://t.co/IV4Cjvu9nV",False,1601003696426348550,3,3,3,0
RepRaulRuizMD,Raul Ruiz,1600967591027445761,1089859058,en,1600967591027445761,2022-12-08T21:36:32.000Z,"Once again, I voted yes for the #RespectforMarriageAct. Now, this long overdue legislation to protect all marriages in this country is on its way to @POTUS's desk. #LoveWins 🌈 https://t.co/vZPTZ14NwW",False,1600967591027445761,7,1,1,0
RepRaulRuizMD,Raul Ruiz,1600867122736861184,1089859058,en,1600867122736861184,2022-12-08T14:57:19.000Z,"RT @POTUS: Moments ago I spoke to Brittney Griner.
 
She is safe.
She is on a plane.
She is on her way home. https://t.co/FmHgfzrcDT",False,1600867122736861184,69398,0,0,0
RepRaulRuizMD,Raul Ruiz,1600701703883575298,1089859058,en,1600701703883575298,2022-12-08T04:00:00.000Z,"My bill to honor the memory of Sy Kaplan is on its way to @POTUS's desk! For 25 years, Sy served the veteran community of our Valley. Now, his legacy will be forever part of our Desert by renaming the outpatient clinic of the @DeptVetAffairs in Palm Desert in his memory.",False,1600701703883575298,2,5,5,0
RepRaulRuizMD,Raul Ruiz,1600656408847912961,1089859058,en,1600656408847912961,2022-12-08T01:00:01.000Z,Thank you to Inland Congregation for United Change for stopping by my office in our capital and for all the work to bring awareness to our Dreamers. The time is now to find a permanent solution for our Dreamers. https://t.co/PcGD29geZv,False,1600656408847912961,3,1,1,2
RepRaulRuizMD,Raul Ruiz,1600641308204277760,1089859058,en,1600641308204277760,2022-12-08T00:00:01.000Z,"Today, we remember the lives we lost as a nation 81 years ago during the attack on Pearl Harbor and honor the sacrifice of all who fought for our country. Let's come together to commemorate their bravery, devotion, and service. https://t.co/iFuyYOJIpb",False,1600641308204277760,5,3,3,0
RepRaulRuizMD,Raul Ruiz,1600641306589470720,1089859058,en,1600641306589470720,2022-12-08T00:00:00.000Z,"Yesterday, I shared the story of my mentee Juan Vazquez, a Dreamer saving lives as an emergency medicine resident in New York City. But if Congress does not act by the end of this year, the futures of thousands of Dreamers will be on the line. It is now or never. https://t.co/Ww2YSiKkB6",False,1600641306589470720,66,11,11,1
