handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepRichHudson,Richard Hudson,1606026877784801282,935033864,en,1606026877784801282,2022-12-22T20:40:20.000Z,"Congress is preparing to pass $1.7 trillion in spending.

Out-of-control spending has fueled inflation. While I’m glad it includes necessary funding for Ft Bragg &amp; our military, the overall price tag of this 4,155-page boondoggle will further threaten our economy.

I will vote NO",False,1606026877784801282,2,4,4,0
RepRichHudson,Richard Hudson,1605263854224932864,935033864,en,1605263854224932864,2022-12-20T18:08:21.000Z,"The Supreme Court has temporarily halted the end of Title 42, but longer-term solutions are needed to secure our border now. We must end the #BidenBorderCrisis by fully supporting CBP, finishing the wall, and keeping Title 42.",False,1605263854224932864,3,9,9,0
RepRichHudson,Richard Hudson,1604844694298447872,935033864,en,1604844694298447872,2022-12-19T14:22:46.000Z,"RT @HouseGOP: Border Patrol expects the average daily encounters to DOUBLE once Title 42 ends this week.
 
Joe Biden has failed to address…",False,1604844694298447872,175,0,0,0
RepRichHudson,Richard Hudson,1604476585482108928,935033864,en,1604476585482108928,2022-12-18T14:00:02.000Z,Renee and I wish a very Happy Hanukkah to all who celebrate beginning today. Chag Sameach! https://t.co/Kdh60xn2w5,False,1604476585482108928,5,4,4,0
RepRichHudson,Richard Hudson,1603812203454513172,935033864,en,1603812203454513172,2022-12-16T18:00:01.000Z,Proud to receive the @AFPhq and @AFPNC Pioneer for Prosperity Award this week for our work to advance conservative solutions and stop reckless spending. #ncpol https://t.co/GdZNXB84NC,False,1603812203454513172,1,3,3,0
RepRichHudson,Richard Hudson,1603790730652274691,935033864,en,1603790730652274691,2022-12-16T16:34:41.000Z,The Senate has now passed the NDAA and it is headed to President Biden's desk. I am proud of our work to end the COVID vaccine mandate and pass needed support for our troops and their families at Fort Bragg and around the world. Read more⬇️ https://t.co/3GOedJMobM,False,1603790730652274691,2,6,6,0
RepRichHudson,Richard Hudson,1603481740768600073,935033864,en,1603481740768600073,2022-12-15T20:06:52.000Z,"New research from @NORCNews finds just 1 in 7 cancer cases are diagnosed through screening. Our bipartisan Medicare Multi-Cancer Early Detection Screening Coverage Act would give seniors access to new #MCED screening technologies without undue delay.

https://t.co/ztZWstY7gT",False,1603481740768600073,2,2,2,0
RepRichHudson,Richard Hudson,1603139405681762315,935033864,en,1603139405681762315,2022-12-14T21:26:33.000Z,A shelter will open tonight at 5pm for those impacted by the natural gas outage in Stanly County. Information from @StanlyCountyNC: https://t.co/7zOk7DIOmo,False,1603139405681762315,1,2,2,0
RepRichHudson,Richard Hudson,1603081521975500802,935033864,en,1603081521975500802,2022-12-14T17:36:33.000Z,"I have worked to improve dangerous road conditions in Uwharrie National Forest since entering Congress. I am grateful a draft decision has finally been issued by the Forest Service that will improve public safety and grow our region's economy. #ncpol

https://t.co/KSI4GA1W5P",False,1603081521975500802,1,0,0,0
RepRichHudson,Richard Hudson,1602694837790281730,935033864,en,1602694837790281730,2022-12-13T16:00:00.000Z,"Happy Birthday to the @NationalGuard!

Thank you to all the brave men and women of the National Guard for their service and commitment to the people of our state and nation! https://t.co/Pd4ygNDI3j",False,1602694837790281730,3,1,1,0
RepRichHudson,Richard Hudson,1602672185134522371,935033864,en,1602672185134522371,2022-12-13T14:29:59.000Z,"Inflation remains near 40-year highs and is still outpacing wages.

From food, to travel, to energy, Americans simply can't afford #Bidenflation. Next year, our @HouseGOP majority is committed to building an economy that's strong. #CommitmentToAmerica https://t.co/l6s1mpZFnC",False,1602672185134522371,37,34,34,1
RepRichHudson,Richard Hudson,1602472297222311936,935033864,en,1602472297222311936,2022-12-13T01:15:42.000Z,"Congrats to incoming Whip @RepTomEmmer who received a ceremonial whip passing the torch from @SteveScalise tonight. Looking forward to working with Whip Emmer, Leader Scalise, @RepStefanik, @GOPLeader, and @HouseGOP leadership next year to deliver on our #CommitmentToAmerica. https://t.co/TrpTv2g4hN",False,1602472297222311936,3,7,7,0
RepRichHudson,Richard Hudson,1602419522018938893,935033864,en,1602419522018938893,2022-12-12T21:46:00.000Z,"When Title 42 expires next week, the record-setting #BidenBorderCrisis will only get worse, as ""daily apprehension totals might hit 10,000.""

It is past time the Biden Administration take action to end this humanitarian and national security disaster. https://t.co/wYm6VlSOrb",False,1602419522018938893,3,1,1,0
RepRichHudson,Richard Hudson,1602320325533908995,935033864,en,1602320325533908995,2022-12-12T15:11:49.000Z,RT @HouseGOP: The American people are ready for a new direction. https://t.co/jE91jqLsZD,False,1602320325533908995,144,0,0,0
RepRichHudson,Richard Hudson,1600938331914702848,935033864,en,1600938331914702848,2022-12-08T19:40:16.000Z,"The House has passed the NDAA providing needed investments for Fort Bragg and military families, while also ensuring our military is free of needless measures that undermine recruitment, readiness, and the freedoms of our military servicemembers. #ncpol

https://t.co/cIP8OKt2ft",False,1600938331914702848,3,4,4,2
RepRichHudson,Richard Hudson,1600838801470824449,935033864,en,1600838801470824449,2022-12-08T13:04:47.000Z,"RT @RepRichHudson: The State of Emergency and curfew will end in #MooreCounty at 5am Thursday.

@MooreSchools remain closed to students Thu…",False,1600838801470824449,2,0,0,0
RepRichHudson,Richard Hudson,1600619269775151105,935033864,en,1600619269775151105,2022-12-07T22:32:26.000Z,"The State of Emergency and curfew will end in #MooreCounty at 5am Thursday.

@MooreSchools remain closed to students Thursday.

A shelter at 155 Hillcrest Park Ln. in Carthage will remain open until noon Thursday.

Find additional updates here:
https://t.co/Usizez1zKh",False,1600619269775151105,2,2,2,1
RepRichHudson,Richard Hudson,1600589510919999488,935033864,en,1600589510919999488,2022-12-07T20:34:11.000Z,"RT @SandhillsCC: All Moore and Hoke SCC operations will resume Thursday, December 8. Check your college email for details concerning final…",False,1600589510919999488,8,0,0,0
RepRichHudson,Richard Hudson,1600516454251724800,935033864,en,1600516454251724800,2022-12-07T15:43:53.000Z,"I have sponsored legislation and urged President Biden &amp; Defense Secretary Austin to drop the absurd COVID-19 vaccine mandate impacting our military recruitment and readiness.

Now, @HouseGOP are delivering results as the mandate is officially OUT of this year's defense bill. https://t.co/pxYpqG33e2",False,1600516454251724800,2,3,3,0
RepRichHudson,Richard Hudson,1600509464460795908,935033864,en,1600509464460795908,2022-12-07T15:16:07.000Z,"Find an updated list of resources including meals, showers, and charging stations for today in #MooreCounty:

https://t.co/Usizez1zKh",False,1600509464460795908,4,2,2,1
RepRichHudson,Richard Hudson,1600484388747313155,935033864,en,1600484388747313155,2022-12-07T13:36:28.000Z,"Today we honor all those lost during the attack on Pearl Harbor, as well as all those who answered the call to defend America in the Second World War. Thank you all for your service and sacrifice. 

May their memory never be forgotten. https://t.co/G35kmvZx8e",False,1600484388747313155,6,4,4,0
RepRichHudson,Richard Hudson,1600243818288537600,935033864,en,1600243818288537600,2022-12-06T21:40:32.000Z,RT @SandhillsCC: The Hoke County campus will operate as normal Wednesday. SCC Moore County operations are closed Wednesday due to the power…,False,1600243818288537600,6,0,0,0
RepRichHudson,Richard Hudson,1600232186082656257,935033864,en,1600232186082656257,2022-12-06T20:54:18.000Z,"RT @MooreSchools: Schools will be closed to all students Wednesday, December 7 and Thursday, December 8. A determination for Friday will be…",False,1600232186082656257,19,0,0,0
RepRichHudson,Richard Hudson,1600222956738994177,935033864,en,1600222956738994177,2022-12-06T20:17:38.000Z,Update from @DukeEnergy: https://t.co/k5EI54QIRw,False,1600222956738994177,2,0,0,0
RepRichHudson,Richard Hudson,1600200398916096000,935033864,en,1600200398916096000,2022-12-06T18:48:00.000Z,"RT @FirstHealth: Good news from Carthage...some power has been restored. 

FirstHealth Family Medicine - Carthage and Carthage Family Care…",False,1600200398916096000,12,0,0,0
RepRichHudson,Richard Hudson,1600142972892246016,935033864,en,1600142972892246016,2022-12-06T14:59:48.000Z,"Find an updated list of resources including meals, showers, and charging stations for today in #MooreCounty:

https://t.co/UsizezjaBP",False,1600142972892246016,2,4,4,1
RepRichHudson,Richard Hudson,1599893882791239681,935033864,en,1599893882791239681,2022-12-05T22:30:00.000Z,"📢Update on #MooreCounty 📢: Click below for an updated list of resources available Tuesday to those impacted by the ongoing power outage.
https://t.co/Usizez1zKh",False,1599893882791239681,3,4,4,0
RepRichHudson,Richard Hudson,1599890285248380928,935033864,en,1599890285248380928,2022-12-05T22:15:43.000Z,"RT @SandhillsCC: SCC operations in Hoke County will resume as normal Tuesday, December 6. Moore County operations are closed Tuesday due to…",False,1599890285248380928,7,0,0,0
