handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepRickLarsen,Rep. Rick Larsen,1601355710977097729,404132211,en,1601355710977097729,2022-12-09T23:18:47.000Z,"🚌🧸 Last Saturday, I joined @VOAWW, @ATUComm Local 833 and @EverettTransit at the @FredMeyerStores Stuff-A-Bus drive to help pack toys and food for children- and families in the district. https://t.co/QdcZXxKDKO",False,1601355710977097729,1,0,0,0
RepRickLarsen,Rep. Rick Larsen,1601282434943029249,404132211,en,1601282434943029249,2022-12-09T18:27:37.000Z,"The BIL’s Affordable Connectivity Program has enabled 200,000+ WA households to afford broadband internet to do work, pursue an education &amp; access health care. To find out more ➡️ https://t.co/0eY3axf0ko or see if you are eligible ➡️ https://t.co/3KFSSVjESg. https://t.co/oqK0Rnvdwe",False,1601282434943029249,0,0,0,0
RepRickLarsen,Rep. Rick Larsen,1601255100609019904,404132211,en,1601255100609019904,2022-12-09T16:39:00.000Z,"On this week's #RecapWithRick ⬇️

🏳️‍🌈 Passage of the #RespectForMarriageAct
📜 Key wins for #WA02 in the #FY23NDAA
💉 Get your flu vaccine! https://t.co/ClPLyLjnPN https://t.co/3HXGKdQofy",False,1601255100609019904,2,4,4,0
RepRickLarsen,Rep. Rick Larsen,1601051445746630656,404132211,en,1601051445746630656,2022-12-09T03:09:45.000Z,"Kaetana Bernuy (right in the 📸) grew up in Houston &amp; is a recent grad of @UTAustin where she studied Government &amp; International Relations. Earlier this year, she studied abroad in London at @ucl. Kaetana’s favorite internship experience was “writing bill recommendations.”",False,1601051439190904834,0,2,2,0
RepRickLarsen,Rep. Rick Larsen,1601051443162533889,404132211,en,1601051443162533889,2022-12-09T03:09:44.000Z,"Trenity Hughes (left in the 📸 ) is from Oak Harbor &amp; is finishing her last semester @LoyolaChicago, where she majors in Political Science &amp; Global Studies. Her favorite experience was “giving tours to constituents &amp; running into members of Congress in hallways/trains/tunnels.”",False,1601051439190904834,0,2,2,0
RepRickLarsen,Rep. Rick Larsen,1601051439190904834,404132211,en,1601051439190904834,2022-12-09T03:09:43.000Z,"Meet my last intern group for 2022! Trenity and Kaetana spent the fall semester in my Washington, D.C. office. Learn more about them ⬇️ https://t.co/5s2BaufkSa",False,1601051439190904834,4,3,3,0
RepRickLarsen,Rep. Rick Larsen,1601030226959474688,404132211,en,1601030226959474688,2022-12-09T01:45:26.000Z,RT @USDOTFHWA: .@USDOT today announced that Shailen Bhatt has been confirmed as the 21st FHWA Administrator. As the first person of Indian…,False,1601030226959474688,37,0,0,0
RepRickLarsen,Rep. Rick Larsen,1600988319244251144,404132211,en,1600988319244251144,2022-12-08T22:58:54.000Z,"Did you know this week is National Influenza Vaccination Week?

I caught up with @WAHealthSec Dr. Umair Shah to talk about the importance of getting vaccinated this year. Visit https://t.co/ClPLyLBx3V for more information! https://t.co/GvQXFqlzoi",False,1600988319244251144,7,2,2,0
RepRickLarsen,Rep. Rick Larsen,1600970616773148673,404132211,en,1600970616773148673,2022-12-08T21:48:34.000Z,"PASSED ➡️ My bipartisan POMM Act expands federal protections for marine mammals, including Southern Resident killer whales in Puget Sound. https://t.co/zVKkOxWKum",False,1600970616773148673,12,2,2,0
RepRickLarsen,Rep. Rick Larsen,1600938170241409025,404132211,en,1600938170241409025,2022-12-08T19:39:38.000Z,"RT @HASCDemocrats: NEW: By a vote of 350-80, the House of Representatives has passed the #FY23NDAA.

The House will always support our serv…",False,1600938170241409025,5,0,0,0
