handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepRitchie,Rep. Ritchie Torres,1606034660173131776,1276403757224546304,en,1606034660173131776,2022-12-22T21:11:16.000Z,"During a Hanukkah celebration at
@SARAcademy, @bronxbp and I were asked to perform a dialogue in front of the students, in which the two of us argued over whether the students should have longer school days or more time off.

Here's how the drama all unfolded: https://t.co/h8cZFTg1e1",False,1606034660173131776,2,0,0,0
RepRitchie,Rep. Ritchie Torres,1606005375970336768,1276403757224546304,en,1606005375970336768,2022-12-22T19:14:54.000Z,"I had the pleasure of joining Johnnie Goff, a civic leader in the Northeast Bronx, as she held a toy giveaway for families in need.

I love leaders like Johnnie Goff who pour their heart and soul into the Bronx. https://t.co/r57Ll8ZnOY",False,1606005375970336768,3,0,0,0
RepRitchie,Rep. Ritchie Torres,1605991762350194713,1276403757224546304,en,1605991762350194713,2022-12-22T18:20:48.000Z,"As the Presiding Judge of the Second Department, the most active state appellate court in the nation, Judge Lasalle is eminently qualified to lead the high court in New York State.",False,1605991709275394048,1,4,4,1
RepRitchie,Rep. Ritchie Torres,1605991709275394048,1276403757224546304,en,1605991709275394048,2022-12-22T18:20:36.000Z,The nomination of Hector Lasalle as Chief Judge of the NYS Court of Appeals represents a historic breakthrough for Latino representation at the highest levels of New York State government.,False,1605991709275394048,20,37,37,18
RepRitchie,Rep. Ritchie Torres,1605971057550262277,1276403757224546304,en,1605971057550262277,2022-12-22T16:58:32.000Z,"As the incoming Congressman for Riverdale, I had the honor of participating in a Hanukkah celebration hosted by @bronxbp and @riverdaleymywha.

I’m looking forward to partnering with @bronxbp, @JeffreyDinowitz and @EricDinowitzNYC in representing the people of Riverdale. https://t.co/iF4NBGukx8",False,1605971057550262277,10,4,4,1
RepRitchie,Rep. Ritchie Torres,1605946090297008129,1276403757224546304,en,1605946090297008129,2022-12-22T15:19:19.000Z,"I partnered with Council Member @OswaldFeliz to host a toy giveaway for families affected by the catastrophic fire at Twin Parks North
West.

My message to the families: we will never forget you. Out of tragedy comes a community that is stronger &amp; more resilient than ever before. https://t.co/Bs5KYsVN8u",False,1605946090297008129,10,6,6,2
RepRitchie,Rep. Ritchie Torres,1605676999237779456,1276403757224546304,en,1605676999237779456,2022-12-21T21:30:03.000Z,"RT @RepRitchie: @POTUS signed into law the ""Empowering US Fire Administration Act"" which I introduced in the wake of Twin Parks West. This…",False,1605676999237779456,19,0,0,0
RepRitchie,Rep. Ritchie Torres,1605321122194460672,1276403757224546304,en,1605321122194460672,2022-12-20T21:55:55.000Z,"@POTUS signed into law the ""Empowering US Fire Administration Act"" which I introduced in the wake of Twin Parks West. This legislation deepens the federal gov’s role in fire safety &amp; establishes a federal process for investigating &amp; learning from the deadliest fires in the US. https://t.co/J3d1ErOXqn",False,1605321122194460672,19,11,11,1
RepRitchie,Rep. Ritchie Torres,1605211696901111813,1276403757224546304,en,1605211696901111813,2022-12-20T14:41:06.000Z,"The Cross Bronx Expressway has long been a structure of racism, leaving behind decades of disinvestment, displacement and environmental degradation.

@SenSchumer and I are partnering with @NYCMayor and @GovKathyHochul to cap the Cross Bronx to combat air pollution and asthma. https://t.co/J7OIwdQxAr",False,1605211696901111813,25,24,24,2
RepRitchie,Rep. Ritchie Torres,1604578297228189703,1276403757224546304,en,1604578297228189703,2022-12-18T20:44:12.000Z,Chag Sameach to those celebrating! Wishing you and your loved ones a Happy Hanukkah this season. https://t.co/9sxhE7Rq38,False,1604578297228189703,29,11,11,1
RepRitchie,Rep. Ritchie Torres,1603783051276083200,1276403757224546304,en,1603783051276083200,2022-12-16T16:04:10.000Z,"The newly signed into law Honoring our PACT Act is the largest expansion of veterans' benefits in generations.

Visit @DeptVetAffairs' website below to learn more about how this law benefits toxic-exposed veterans.

https://t.co/Yv3l8PIg7F",False,1603783051276083200,11,3,3,0
RepRitchie,Rep. Ritchie Torres,1603768779133050880,1276403757224546304,en,1603768779133050880,2022-12-16T15:07:28.000Z,"RT @repdinatitus: The bipartisan Empowering the U.S. Fire Administration Act helps prevent future fires, loss of life, and destruction by r…",False,1603768779133050880,9,0,0,0
RepRitchie,Rep. Ritchie Torres,1603397576400715776,1276403757224546304,en,1603397576400715776,2022-12-15T14:32:26.000Z,"🚨Today is the last day to enroll for coverage for 2023. Make sure that your friends and family have coverage. 
For more information and to sign up, go to https://t.co/AcCOWS9758 or call 1-800-318-2596.",False,1603397576400715776,10,1,1,0
RepRitchie,Rep. Ritchie Torres,1603136182099001347,1276403757224546304,en,1603136182099001347,2022-12-14T21:13:45.000Z,"Following the fire at Twin Parks Northwest, the deadliest in NYC in more than three decades, I introduced the 'Empowering US Fire Administration Act,' which deepens the federal government's role in fire safety.

My bill just passed both the House and the Senate! https://t.co/LSO6cL6Fes",False,1603136182099001347,11,3,3,3
RepRitchie,Rep. Ritchie Torres,1603112588832739329,1276403757224546304,en,1603112588832739329,2022-12-14T19:40:00.000Z,"We’re harnessing the power of electricity to lower costs and reduce pollution by:

⚡️Investing in a better grid

🚘Deploying 500k EV chargers across America

🚍Electrifying school buses

Check out our supercharged progress on #SolvingTheClimateCrisis https://t.co/Tewn1SXZBe",False,1603112588832739329,3,2,2,0
