handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepRonEstes,Rep. Ron Estes,1600970764252913665,854715071116849157,en,1600970764252913665,2022-12-08T21:49:09.000Z,"Like all other COVID vaccine mandates, Biden's military COVID vaccine mandate was a blatant overreach. Today's passage of the National Defense Authorization Act removes this detrimental mandate while strengthening our Armed Forces and supporting those who defend our freedoms.",False,1600970764252913665,0,10,10,1
RepRonEstes,Rep. Ron Estes,1600962642587578368,854715071116849157,en,1600962642587578368,2022-12-08T21:16:53.000Z,"(3/3) Today, I joined my Republican colleagues in demanding answers from the Biden administration and called for the end of the PHE. https://t.co/C6KwacJhPE",False,1600962639622209537,0,3,3,0
RepRonEstes,Rep. Ron Estes,1600962641207623680,854715071116849157,en,1600962641207623680,2022-12-08T21:16:52.000Z,"(2/3) We are currently experiencing near historic lows of COVID hospitalizations, and 41 states have ended their state of emergency. The continuation of the PHE places significant strain on state and federal budgets when we are already combating inflation and rising prices.",False,1600962639622209537,0,3,3,1
RepRonEstes,Rep. Ron Estes,1600962639622209537,854715071116849157,en,1600962639622209537,2022-12-08T21:16:52.000Z,"It has been nearly three years since the beginning of the pandemic, and the Biden admin has decided to extend the COVID-19 Public Health Emergency (PHE) – despite in September President Biden stating that the ""pandemic is over."" (1/3)",False,1600962639622209537,3,4,4,0
RepRonEstes,Rep. Ron Estes,1600619921314127872,854715071116849157,en,1600619921314127872,2022-12-07T22:35:01.000Z,"Kansas Energy producers and ranchers have taken proactive measures to preserve the lesser prairie-chicken's habitat. Today, I introduced legislation that stops Washington from undermining voluntary conservation practices and ensures Kansans control our land. https://t.co/SHKZwIQHrT",False,1600619921314127872,2,6,6,0
RepRonEstes,Rep. Ron Estes,1600560098367393793,854715071116849157,en,1600560098367393793,2022-12-07T18:37:19.000Z,"Pearl Harbor was attacked 81 years ago in 1941– a day that forever lives in infamy. Today, we remember the thousands of Americans who lost their lives in this tragedy and honor the sacrifice and service of our Armed Forces. https://t.co/mmcmK0XXBW",False,1600560098367393793,3,2,2,0
RepRonEstes,Rep. Ron Estes,1599871069585670144,854715071116849157,en,1599871069585670144,2022-12-05T20:59:21.000Z,One of Kansas' favorite sons passed away one year ago today. Our country is forever grateful for the service and sacrifice of Sen. Bob Dole. I was humbled to honor him on the House floor shortly after his passing. https://t.co/rsGHiBjyT1,False,1599871069585670144,1,8,8,0
RepRonEstes,Rep. Ron Estes,1598773355485749249,854715071116849157,en,1598773355485749249,2022-12-02T20:17:26.000Z,"Today, the House honored the late Rep. Jackie Walorski by passing vital, bipartisan legislation. Jackie was a champion for families, and I was privileged to cosponsor this bill that preserves her legacy by ensuring that mothers and children do not fall through the cracks. https://t.co/BmdlM5hVpD",False,1598773355485749249,0,0,0,1
RepRonEstes,Rep. Ron Estes,1598718351273955338,854715071116849157,en,1598718351273955338,2022-12-02T16:38:52.000Z,"RT @WaysandMeansGOP: ✅ PASSED: The Jackie Walorski Maternal and Child Home Visiting Reauthorization Act of 2022

This bipartisan bill renew…",False,1598718351273955338,46,0,0,0
RepRonEstes,Rep. Ron Estes,1598384487637090304,854715071116849157,en,1598384487637090304,2022-12-01T18:32:13.000Z,"Allowing R&amp;D tax credits to expire inhibits innovation, workers and businesses. I introduced bipartisan legislation that allows American companies to continue to use this valuable tool to drive ingenuity. https://t.co/emwh5Yddio",False,1598384487637090304,6,4,4,2
RepRonEstes,Rep. Ron Estes,1597635504404430848,854715071116849157,en,1597635504404430848,2022-11-29T16:56:01.000Z,"President Biden gave up our energy independence to appease Green New Deal activists. Instead of removing regulatory barriers that are handicapping our energy sector and putting our national security at risk, the admin is funding a communist regime. https://t.co/Ivt6vUn18b",False,1597635504404430848,0,18,18,1
RepRonEstes,Rep. Ron Estes,1597319344177831937,854715071116849157,en,1597319344177831937,2022-11-28T19:59:43.000Z,"(2/2) Open border policies are a risk to our national security, and Republicans have the plan to restore order.",False,1597319342039109632,0,5,5,0
RepRonEstes,Rep. Ron Estes,1597319342039109632,854715071116849157,en,1597319342039109632,2022-11-28T19:59:42.000Z,"One month into FY23 and the chaos at our border continues to set records. CBP had 230,678 migrant encounters along our southern border last month – making it the 20th straight month with more than 150,000 encounters. (1/2)",False,1597319342039109632,6,6,6,1
RepRonEstes,Rep. Ron Estes,1595814751757651973,854715071116849157,en,1595814751757651973,2022-11-24T16:21:00.000Z,"Happy Thanksgiving! As you join with your families and friends across our great state, may the day be filled with fond memories and times of gratitude. https://t.co/06n7NsW6gt",False,1595814751757651973,3,6,6,0
RepRonEstes,Rep. Ron Estes,1595502454459797508,854715071116849157,en,1595502454459797508,2022-11-23T19:40:02.000Z,"During National Aviation History Month, we celebrate a critical industry in American travel and commerce. I am proud to represent the Air Capital of the World – home to the forefront of aviation and an incredibly skilled workforce. https://t.co/CTLVhLGhe9",False,1595502454459797508,1,2,2,0
RepRonEstes,Rep. Ron Estes,1595102084856254465,854715071116849157,zxx,1595102084856254465,2022-11-22T17:09:07.000Z,RT @HouseGOP: https://t.co/5HTpp9YXWx,False,1595102084856254465,104,0,0,0
RepRonEstes,Rep. Ron Estes,1594880911643910145,854715071116849157,en,1594880911643910145,2022-11-22T02:30:15.000Z,The gov often interferes in the business of private citizens. Biden’s latest rolling back of private priority rights is a blatant federal overreach &amp; undermines Kansans' ability to steward their land. Read more in my op-ed in the High Plains Journal: https://t.co/MnMiBkORJz,False,1594880911643910145,4,1,1,0
RepRonEstes,Rep. Ron Estes,1593401725393723393,854715071116849157,en,1593401725393723393,2022-11-18T00:32:29.000Z,"We’re just one week away from Thanksgiving, but because of destructive Democrat policies that fueled inflation, your Thanksgiving dinner will cost 20% more compared to last year.

🦃 ⬆️ 23%

🧈 ⬆️ 25.8%

🥧 ⬆️ 26%

🥚 ⬆️ 32.5%

🥔 ⬆️ 45.5%",False,1593401725393723393,4,19,19,2
RepRonEstes,Rep. Ron Estes,1591256262779744257,854715071116849157,en,1591256262779744257,2022-11-12T02:27:11.000Z,"On Veterans Day &amp; throughout November, we honor those who have selflessly served our country. Last weekend I joined Kansans at the Wichita Veterans Day parade &amp; ceremony. Thank you to the countless Kansans who have protected our nation – we are forever grateful for your service. https://t.co/kpsilpmwgE",False,1591256262779744257,2,9,9,1
RepRonEstes,Rep. Ron Estes,1590012913061793792,854715071116849157,en,1590012913061793792,2022-11-08T16:06:34.000Z,"RT @HouseGOP: Families will face the highest prices in over a decade to heat their homes this winter, and Joe Biden is choosing to double d…",False,1590012913061793792,223,0,0,0
RepRonEstes,Rep. Ron Estes,1589751732749598720,854715071116849157,en,1589751732749598720,2022-11-07T22:48:43.000Z,(2/2) Republicans have common sense policies that work – American workers experienced real wage increases under the TCJA. Republicans intend to rebuild our economy for a stronger America. #CommitmentToAmerica,False,1589751730564390912,1,14,14,0
