handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepRosendale,Matt Rosendale,1601665459925184512,1344751420139040783,en,1601665459925184512,2022-12-10T19:49:37.000Z,"It was great to visit with Monarch Mounts Taxidermy in Huntley yesterday! Shayne Hinz has been producing quality mounts, rugs, and other trophies for Montana sportsmen for over 12 years. https://t.co/d7TWcad3YF",False,1601665459925184512,3,1,1,0
RepRosendale,Matt Rosendale,1600890550248296456,1344751420139040783,en,1600890550248296456,2022-12-08T16:30:24.000Z,RT @RepMattGaetz: There are likely dozens or even hundreds of House Republicans that I would love to support as Speaker. It’s time for them…,False,1600890550248296456,336,0,0,0
RepRosendale,Matt Rosendale,1600597083224002560,1344751420139040783,en,1600597083224002560,2022-12-07T21:04:16.000Z,"When asked why he won't go to the border, Biden said: ""there are more important things going on.""

I've been to the border and witnessed the crisis first-hand. 5 million illegals have entered the U.S. since Biden took office. It's time to take action.

 https://t.co/1uVVXaFVKU",False,1600597083224002560,86,107,107,16
RepRosendale,Matt Rosendale,1600544590368587795,1344751420139040783,en,1600544590368587795,2022-12-07T17:35:41.000Z,"Kevin McCarthy has made it clear that he is unwilling to challenge the status quo in Washington. We cannot continue to do the same thing with the same people and expect a different outcome. 

Read my latest op-ed: https://t.co/C4nI9qkfr8",False,1600544590368587795,767,271,271,52
RepRosendale,Matt Rosendale,1600521181433569281,1344751420139040783,en,1600521181433569281,2022-12-07T16:02:40.000Z,"On the anniversary of the attack on Pearl Harbor, we honor the men and women who made the ultimate sacrifice for our freedom. We will never forget those we lost that day and the years that followed. https://t.co/bUus6HqUHC",False,1600521181433569281,9,9,9,0
RepRosendale,Matt Rosendale,1600496094898753537,1344751420139040783,en,1600496094898753537,2022-12-07T14:22:59.000Z,Live now ⬇️ https://t.co/ylhBpMgv0H,False,1600496094898753537,2,4,4,0
RepRosendale,Matt Rosendale,1600322470006837250,1344751420139040783,en,1600322470006837250,2022-12-07T02:53:04.000Z,RT @russvought: People keep asking who the replacement to Kevin McCarthy should be. It should be the first person to agree to make House Le…,False,1600322470006837250,53,0,0,0
RepRosendale,Matt Rosendale,1600194437111418882,1344751420139040783,en,1600194437111418882,2022-12-06T18:24:18.000Z,"Today, we honor the hard work and sacrifices of miners in Montana and across the country. This year, I had the opportunity to tour Stillwater Mine in Sweet Grass County, among others, to learn about their critical work that bolsters our economy. Happy National Miners Day! https://t.co/2bNDmWzlQH",False,1600194437111418882,6,11,11,0
RepRosendale,Matt Rosendale,1600123692486311937,1344751420139040783,en,1600123692486311937,2022-12-06T13:43:11.000Z,"RT @MasonMornings: Thanks @RepRosendale for joining @juliemason @MasonMornings 8:20 AM East, Listen live SiriusXM 124 or anytime with the S…",False,1600123692486311937,2,0,0,0
RepRosendale,Matt Rosendale,1598762960775675905,1344751420139040783,en,1598762960775675905,2022-12-02T19:36:08.000Z,"RT @RepThomasMassie: Astonishingly, Biden is still fighting to force you to wear masks on airplanes. 

That’s why several of my colleagues…",False,1598762960775675905,1529,0,0,0
RepRosendale,Matt Rosendale,1598723672281317377,1344751420139040783,en,1598723672281317377,2022-12-02T17:00:00.000Z,"Kevin McCarthy ran on curbing wasteful government spending, but he sat back while establishment Republicans voted to keep earmarks. 

We need a Republican Speaker who will challenge the status quo. 

https://t.co/SjmEnDXxRz",False,1598723672281317377,21,29,29,4
