handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepRussFulcher,Rep. Russ Fulcher,1600949213772546048,1078741899572240384,en,1600949213772546048,2022-12-08T20:23:31.000Z,The example led by the Hells Canyon Recreation Collaborative is one for the rest of the nation. I am proud to honor the men and women who stepped up and made a difference for the benefit of all users in the Hells Canyon River area. https://t.co/y4DN21eKiu,False,1600949213772546048,4,14,14,2
RepRussFulcher,Rep. Russ Fulcher,1600884370717302784,1078741899572240384,en,1600884370717302784,2022-12-08T16:05:51.000Z,"This severely impacted our military readiness, so I am relieved to see an end to the policy. In 26 days, the Biden Administration should stand prepared for House Republicans to conduct oversight into this disastrous policy.

2/2",False,1600884368855252992,2,17,17,2
RepRussFulcher,Rep. Russ Fulcher,1600884368855252992,1078741899572240384,en,1600884368855252992,2022-12-08T16:05:51.000Z,"The consequences of President Biden’s military COVID vaccine mandate cannot be understated. As a result, the Defense Department discharged nearly 8,000 service members, and the Army and Navy missed their recruitment goals by thousands. 

1/2 https://t.co/0wE7iphnMl",False,1600884368855252992,7,23,23,2
RepRussFulcher,Rep. Russ Fulcher,1600530283819827200,1078741899572240384,en,1600530283819827200,2022-12-07T16:38:50.000Z,"Today, we remember the 2,403 Americans who were killed in the attack on Pearl Harbor. Let us honor their legacy by keeping their stories alive.

Read the names and some of the stories of Idahoans at Pearl Harbor: https://t.co/1Nbm2RM0nm https://t.co/PZ33mfVFs2",False,1600530283819827200,3,16,16,1
RepRussFulcher,Rep. Russ Fulcher,1600195931533504513,1078741899572240384,en,1600195931533504513,2022-12-06T18:30:14.000Z,"Happy National Miners Day!

Earlier this year, I co-hosted a @WesternCaucus Forum celebrating the benefits of mining in the Gem State. I am proud to support Idaho's miners and the important work they do.

Watch the forum here: https://t.co/OQ3sFkzPZT https://t.co/0L174IfoKl",False,1600195931533504513,2,24,24,1
RepRussFulcher,Rep. Russ Fulcher,1600134266402242561,1078741899572240384,en,1600134266402242561,2022-12-06T14:25:12.000Z,"Without properly addressing issues raised by @EdLaborGOP, the @USEEOC Strategic Plan will fail to meet its stated commitments to equal employment opportunity, accountability, and integrity.

Read more from Rep. @VirginiaFoxx and me: https://t.co/nnh09IE5iX",False,1600134266402242561,1,28,28,1
RepRussFulcher,Rep. Russ Fulcher,1599871529335955457,1078741899572240384,en,1599871529335955457,2022-12-05T21:01:11.000Z,"RT @EdLaborGOP: ✍️@virginiafoxx and @RepRussFulcher sent a letter to @EEOCChair to sound the 🚨 on the agency's draft Strategic Plan, which…",False,1599871529335955457,1,0,0,0
RepRussFulcher,Rep. Russ Fulcher,1599815447540629506,1078741899572240384,en,1599815447540629506,2022-12-05T17:18:20.000Z,"The national average for a gallon of gas is $3.40 —over a dollar more than when President Biden took office. Instead of expanding American energy production, the Biden Administration is looking towards the authoritarian Venezuelan government to help out. https://t.co/4OoHMmCSk3",False,1599815447540629506,9,40,40,2
RepRussFulcher,Rep. Russ Fulcher,1598724738616102915,1078741899572240384,en,1598724738616102915,2022-12-02T17:04:15.000Z,"I joined 28 Republican colleagues in urging President Biden to reverse course on his destructive domestic energy agenda and immediately remove any unnecessary barriers to American energy production. 

Read the full letter here — https://t.co/jqxgHrh2Za https://t.co/MJW27PTCH5",False,1598724738616102915,2,14,14,1
RepRussFulcher,Rep. Russ Fulcher,1598361027921563650,1078741899572240384,en,1598361027921563650,2022-12-01T16:58:59.000Z,"I am honored to have been elected by my colleagues to serve on the @GOPpolicy Committee. After four years of failed Democratic leadership, House Republicans stand prepared to offer Americans common-sense policies to our most pressing issues. https://t.co/XeNbQEezEL",False,1598361027921563650,2,29,29,2
RepRussFulcher,Rep. Russ Fulcher,1598335037069529090,1078741899572240384,en,1598335037069529090,2022-12-01T15:15:43.000Z,"In light of a recent report indicating the Palestinian Authority made ""payments to Palestinian prisoners who had committed acts of terrorism,"" we are calling on the State Department to end economic assistance unless the PA stops enabling this violence: https://t.co/4M2CfqlKt3 https://t.co/WYRmK5km9u",False,1598335037069529090,2,8,8,1
RepRussFulcher,Rep. Russ Fulcher,1597997583238328320,1078741899572240384,en,1597997583238328320,2022-11-30T16:54:47.000Z,RT @HouseGOP: Families are paying the cost of Biden’s war on American energy.,False,1597997583238328320,395,0,0,0
