handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepSaraJacobs,Congresswoman Sara Jacobs,1601639384834621440,1345103905869455361,en,1601639384834621440,2022-12-10T18:06:01.000Z,"Upholding human rights isn’t only about living our values – it’s crucial to our coalition-building and our national security. On #UNHumanRightsDay, we’re committed to defending human rights here at home and around the world.",False,1601639384834621440,4,1,1,0
RepSaraJacobs,Congresswoman Sara Jacobs,1600993145608708102,1345103905869455361,en,1600993145608708102,2022-12-08T23:18:05.000Z,The strength of our national security shouldn’t be measured by aircraft carriers and F-35s. It should be measured by our commitment to our values and the support of our service members and military families. I’m proud that I secured these provisions in the NDAA: https://t.co/pr4BKhN6wu,False,1600993145608708102,3,6,6,0
RepSaraJacobs,Congresswoman Sara Jacobs,1600963360442716160,1345103905869455361,en,1600963360442716160,2022-12-08T21:19:44.000Z,"This summer, I officiated my trans brother’s wedding, which was one of my life’s proudest moments. I’m so grateful to have voted for the Respect for Marriage Act – to honor Dylan and Kay’s marriage and the hundreds of thousands of other LGBTQ+ marriages across the country. https://t.co/VpMkRC4mCb",False,1600963360442716160,12,3,3,1
RepSaraJacobs,Congresswoman Sara Jacobs,1600933178449235968,1345103905869455361,en,1600933178449235968,2022-12-08T19:19:48.000Z,"So glad the House passed my bill! The Diplomatic Support and Security Act will help our diplomatic corps go beyond the wires and walls of embassy compounds and get out into the communities to effectively engage with civil society, get better information, and act proactively. https://t.co/aGSEN0p8PM",False,1600933178449235968,7,0,0,0
RepSaraJacobs,Congresswoman Sara Jacobs,1600897311600934912,1345103905869455361,en,1600897311600934912,2022-12-08T16:57:16.000Z,"On Latina Equal Pay Day, we recognize that Latinas only earn 54 cents for every $1 that a white man earns – for doing the exact same work! Everyone deserves equal pay for equal work.",False,1600897311600934912,7,4,4,2
RepSaraJacobs,Congresswoman Sara Jacobs,1600868458463653890,1345103905869455361,en,1600868458463653890,2022-12-08T15:02:37.000Z,"RT @LGBTEqCaucus: The #RespectForMarriageAct will:

✅ Repeal the Defense of Marriage Act.
✅ Enshrine marriage equality for federal purposes…",False,1600868458463653890,28,0,0,0
RepSaraJacobs,Congresswoman Sara Jacobs,1600855972423016450,1345103905869455361,en,1600855972423016450,2022-12-08T14:13:00.000Z,"I’m so relieved that Brittney Griner is safe and coming home. Thank you to President Biden, your team, and all the tireless advocates for making this happen.",False,1600855972423016450,6,4,4,0
RepSaraJacobs,Congresswoman Sara Jacobs,1600665745532555265,1345103905869455361,en,1600665745532555265,2022-12-08T01:37:07.000Z,We can’t look away and ignore the humanitarian crisis in Haiti. Extending and redesignating Haiti for TPS is a necessary step that will save lives. https://t.co/orZzPrtIDu,False,1600665745532555265,3,1,1,0
RepSaraJacobs,Congresswoman Sara Jacobs,1600638509446037504,1345103905869455361,en,1600638509446037504,2022-12-07T23:48:53.000Z,"It was so great to join the Congressional Jewish Staff Association for an early Hanukkah celebration, to recommit to our sacred task of repairing the world and bringing light and hope to the darkest corners of the world. https://t.co/Y9njvyhBaO",False,1600638509446037504,8,5,5,0
RepSaraJacobs,Congresswoman Sara Jacobs,1600567717865603080,1345103905869455361,en,1600567717865603080,2022-12-07T19:07:35.000Z,"Abortion is health care.
https://t.co/m5iwffXWf3",False,1600567717865603080,5,5,5,0
RepSaraJacobs,Congresswoman Sara Jacobs,1600532663512682496,1345103905869455361,en,1600532663512682496,2022-12-07T16:48:18.000Z,"So excited to be a voice for San Diego at the Democratic House leadership table in the next Congress!
https://t.co/u08hWOdQkm",False,1600532663512682496,4,1,1,1
RepSaraJacobs,Congresswoman Sara Jacobs,1600502360110923778,1345103905869455361,en,1600502360110923778,2022-12-07T14:47:53.000Z,"Last month, I visited the USS Arizona Memorial to pay tribute to more than 2,400 Americans who were killed at Pearl Harbor on December 7, 1941. We will never forget that fateful day. https://t.co/AeYwS1YTa0 https://t.co/iKEl9OJb6o",False,1600502360110923778,1,1,1,0
RepSaraJacobs,Congresswoman Sara Jacobs,1600202703757447168,1345103905869455361,en,1600202703757447168,2022-12-06T18:57:09.000Z,The Medicare Open Enrollment period ends tomorrow! Don't forget to enroll yourself and your family to ensure you're covered in 2023. Visit https://t.co/HGgOLYv7Pc to learn more and enroll.,False,1600202703757447168,1,2,2,0
RepSaraJacobs,Congresswoman Sara Jacobs,1600186441287364609,1345103905869455361,en,1600186441287364609,2022-12-06T17:52:32.000Z,"Today we honored @CapitolPolice, @DCPoliceDept, and the heroes of January 6th with the Congressional Gold Medal for their incredible courage, service, and sacrifice. I'm forever grateful to them for protecting me and my colleagues who were trapped in the House Gallery that day. https://t.co/KTTV5qXAda",False,1600186441287364609,4,1,1,0
RepSaraJacobs,Congresswoman Sara Jacobs,1600182834529853440,1345103905869455361,en,1600182834529853440,2022-12-06T17:38:12.000Z,"RT @RepBarbaraLee: The expansion of the #ChildTaxCredit was so effective that in just one year, it cut child poverty in America by nearly H…",False,1600182834529853440,56,0,0,0
RepSaraJacobs,Congresswoman Sara Jacobs,1599899860316327936,1345103905869455361,en,1599899860316327936,2022-12-05T22:53:46.000Z,"RT @USGLC: The war in Ukraine continues to threaten global food security, leaving Ukrainian families and millions around the world hungry.…",False,1599899860316327936,3,0,0,0
RepSaraJacobs,Congresswoman Sara Jacobs,1599458514614865928,1345103905869455361,en,1599458514614865928,2022-12-04T17:40:01.000Z,"I couldn’t agree more! We need to make the expanded Child Tax Credit permanent to help families in San Diego and across the country make ends meet.
https://t.co/NXhdNAxYDT",False,1599458514614865928,6,8,8,0
RepSaraJacobs,Congresswoman Sara Jacobs,1599138151775305734,1345103905869455361,en,1599138151775305734,2022-12-03T20:27:00.000Z,"The lack of housing that’s safe and affordable is hurting our health. That’s why I’m pushing to provide relief to cost-burdened renters and expand the housing supply so that all Americans have a safe place to live.
https://t.co/mJG3oAIGG7",False,1599138151775305734,15,12,12,0
RepSaraJacobs,Congresswoman Sara Jacobs,1599073485820665858,1345103905869455361,en,1599073485820665858,2022-12-03T16:10:03.000Z,"I’ve pushed Google to delete its stored location data, but information and privacy are still at risk in so many ways. We need to pass the My Body, My Data Act to create a new national standard for protecting reproductive and sexual health data.
https://t.co/olqLmdG5mH",False,1599073485820665858,4,5,5,0
RepSaraJacobs,Congresswoman Sara Jacobs,1598785034491727891,1345103905869455361,en,1598785034491727891,2022-12-02T21:03:50.000Z,Our child care infrastructure hangs by a thread: too many parents can’t find or afford child care and providers don’t have enough support. I’m proud to lead over 1/2 of @HouseDemocrats in a push to double child care funding in the omnibus so we can begin to address this crisis. https://t.co/CUgwqijFeo,False,1598785034491727891,30,5,5,0
RepSaraJacobs,Congresswoman Sara Jacobs,1598726488743972869,1345103905869455361,en,1598726488743972869,2022-12-02T17:11:12.000Z,"My D.C. and San Diego offices are hiring paid, spring interns! #CA53 and students without previous Capitol Hill experience are encouraged to apply! This is a great opportunity to get hands-on congressional experience. 
https://t.co/FzyzviSXNh",False,1598726488743972869,2,5,5,0
RepSaraJacobs,Congresswoman Sara Jacobs,1598426307032916003,1345103905869455361,en,1598426307032916003,2022-12-01T21:18:23.000Z,"We delivered 📬!

I’m so grateful to my colleagues in the House for passing my bill to rename the Rolando post office after my friend, mentor, and predecessor Susan Davis to honor her decades of service to Rolando and all of San Diego. https://t.co/c4jC9vZgWP",False,1598426307032916003,3,10,10,2
RepSaraJacobs,Congresswoman Sara Jacobs,1598425112209924118,1345103905869455361,en,1598425112209924118,2022-12-01T21:13:38.000Z,Russia’s unprovoked war in Ukraine has left one in three Ukrainian families without enough food – and millions around the world hungry and suffering. So I’m glad the House recognizes the urgency of this crisis and passed my resolution to condemn using hunger as a weapon of war. https://t.co/Fw6zMfIwT3,False,1598425112209924118,3,7,7,1
RepSaraJacobs,Congresswoman Sara Jacobs,1598403281394491397,1345103905869455361,en,1598403281394491397,2022-12-01T19:46:53.000Z,My statement on being elected Caucus Leadership Representative in the 118th Congress: https://t.co/lgTwxqNV9G,False,1598403281394491397,5,7,7,2
RepSaraJacobs,Congresswoman Sara Jacobs,1598374298212659200,1345103905869455361,en,1598374298212659200,2022-12-01T17:51:43.000Z,"One of the biggest reasons why I decided to run for Congress was that I didn’t see enough young women like me in government. That's why I’m so honored to serve as Caucus Leadership Representative and uplift the diversity of identity, ideas, and experience in our caucus. https://t.co/XAeek1KaHt",False,1598374298212659200,21,11,11,3
RepSaraJacobs,Congresswoman Sara Jacobs,1598350044343721984,1345103905869455361,en,1598350044343721984,2022-12-01T16:15:21.000Z,"On #WorldAIDSDay, let’s recommit to expanding access to testing, treatment, and prevention and ending the stigma toward those living with HIV/AIDS. Together, I know we can end this epidemic.",False,1598350044343721984,2,4,4,0
RepSaraJacobs,Congresswoman Sara Jacobs,1598003899201249280,1345103905869455361,en,1598003899201249280,2022-11-30T17:19:53.000Z,"Congrats to @RepJeffries, @RepKClark, and @RepPeteAguilar! This is a big day for our caucus and I'm so excited to welcome in a new generation of leaders. Looking forward to working together and finding new ways to deliver for the American people.",False,1598003899201249280,8,7,7,1
